review_id,system_candidate,bulletin_number,document_type,make,model,model_year,component,subsystem,text,source_file,source,license_review_status,technical_review_status,eligible_for_faiss,reviewer,observations
NHTSA-TSB-MOTOR-01,MOTOR,15-NA-084,Service Bulletin/Repair Instructions,CHEVROLET,CRUZE,2015,ENGINE,,"Diagnostic Tips for Engine Running Rough, Poor Acceleration, Smell of Exhaust Inside Cabin, Possible P0101, P0299, P2002, P2263 or P2463 DTCs Set Some customers may comment on one or more of the following conditions:  Engine runs rough.  Poor acceleration.  Smell of exhaust within vehicle. During diagnosis, a technician may find one or more of the following DTCs set:  P0101  Mass Air Flow Sensor Performance  P0299  Turbocharger Engine Underboost  P2002  Diesel Particulate Filter (DPF) Low Efficiency  P2263  Turbocharger Boost System Performance  P2463  Diesel Particulate Filter (DPF) Soot Accumulation",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-02,MOTOR,Circular21H2REV1,Service Bulletin/Repair Instructions,VOLKSWAGEN,TOUAREG,2012,ENGINE,,"Due to a parts catalog error, incorrect emissions related component(s) may have been installed on some vehicles during a past service repair visit. Dealers will inspect and, if needed, replace the component(s) as a proactive measure to ensure continued emissions compliance. REVISED: Removed the need for particle sensor plug on Touareg SCR Catalysts",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-03,MOTOR,Dealer 24FD,Service Bulletin/Repair Instructions,VOLKSWAGEN,GTI,2020,ENGINE AND ENGINE COOLING,,"Under certain conditions, the engine may stall at very low speeds (such as while the vehicle is coming to a stop), or when the vehicle is already at a stop with the engine running.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-04,MOTOR,Dealer 23Ai,Service Bulletin/Repair Instructions,AUDI,A4,2017,ENGINE,,"This action addresses an emissions system-related Engine-Off calculation error and improves the Oxygen Sensor Aging-Correction Factor. Neither concern has a direct impact to vehicle exhaust or evaporative emissions. However, either condition could affect proper operation of the Malfunction Indicator Lamp (MIL). 2017-2018 A3 Cabriolet",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-05,MOTOR,Dealer 23AK,Service Bulletin/Repair Instructions,VOLKSWAGEN,TOUAREG,2013,ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL,,"Volkswagen is releasing a software calibration update to the Approved Emissions Modification (AEM). This software calibration will include the following changes to the vehicles emissions control and on-board diagnostics (OBD) software: (1) It will correct an issue that is causing the 'check engine' light to falsely illuminate under certain driving conditions, which has resulted in [VIN_REDACTED] of the diesel oxidation catalyst (DOC) for certain customers; (2) It will reduce the likelihood of experiencing an engine shudder that could occur during certain warm-up driving conditions; and (3) It will improve OBD monitoring of vehicle emissions systems and otherwise improve the software used by your vehicle.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-06,MOTOR,SB1627,Service Bulletin/Repair Instructions,VAN HOOL,CX45,2020,"FUEL SYSTEM, DIESEL:STORAGE:TANK ASSEMBLY",,Introduction of a DEF tank filler cap unit with integrated de-aeration valve. Van Hool has switched over to a new type of DEF tank filler cap unit from MY2020 vehicles onwards. The new DEF tank filler cap unit is equipped with an integrated de-aeration valve and prevents tank ventilation problems in case the standard installed tank in-line de-aeration valve is clogged due to DEF crystallization. The new DEF tank filler cap unit fits earlier vehciles and will be supplied as kit 91082547.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-07,MOTOR,SB1735,Service Bulletin/Repair Instructions,VAN HOOL,VAN HOOL,9999,ENGINE AND ENGINE COOLING,,"Introduction of new hose splicers for coolant circuits. Van Hool has released new hose splicers. Instead of the previous plastic ones, the new are made of metal. For that reason, the new ones are better suited to resist the higher coolant temperatures on current vehicles. As the new ones also can be used on older vehicles, only the metal ones will be made available as [VIN_REDACTED]. All Van Hool vehicles are affected by this Product Improvement.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-08,MOTOR,D19M6,Service Bulletin/Repair Instructions,THOMAS BUILT BUSES,SAF-T-LINER C2,2017,ENGINE AND ENGINE COOLING,,Field Service Campaign for MDEG Air Compressor Upper Suction Line and Oil Fill Cap. A new improved air compressor upper suction line is now available which reduces or prevents the air compressor from debris ingestion.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-09,MOTOR,PS639,Service Bulletin/Repair Instructions,KIA,NIRO,2019,ENGINE,,"PITSTOP 639: TRACTION MOTOR - GEAR DRIVE ASSEMBLY CONNECTING BOLT SPEC CHANGE - This bulletin provides information on the installation of the four (4) longer (75mm) connecting bolts between the Traction Motor and Gear Drive Assembly on some 2019MY Niro (DE EV) produced before May 13, 2019, which is noted in the EPC when ordering a traction motor assembly for [VIN_REDACTED].",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-MOTOR-10,MOTOR,17TS-12REV,Service Bulletin/Repair Instructions,WESTERN STAR,4900,2019,ENGINE AND ENGINE COOLING,,Technical Service Letter for GHG17 Heavy Duty Engine Platform 1-BOX Aftertreatment System (ATS) Wire Harness experiencing chaffing caused by vibration and dirt collecting in the harness conduit.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-01,TRANSMISION,15-NA-058,Service Bulletin/Repair Instructions,CHEVROLET,VOLT,2016,POWER TRAIN:AXLE ASSEMBLY,,"Squeak, Squawk, Creak or Popping Noise Originating from Rear Axle Some customers may comment on a squeak, squawk, creak or popping noise in the rear of the vehicle when cornering or pulling into driveways. The creak noise is created from the manufacturing process when the rear axle round tube is compressed to a U shape pattern. When the rear axle twists, the inner axle tube wall rubs on the outer wall. To fix the creak noise, a dry lubricant has been added during manufacturing. See the red arrows in the illustration above for rubbing areas.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-02,TRANSMISION,WP19-023,Service Bulletin/Repair Instructions,ALLISON,TRANSMISSION,9999,POWER TRAIN,,Warranty Policy letter announcing a handling fee on Allison transmission parts that are progressively damaged and replaced as a result of a [VIN_REDACTED] DTNA failure.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-03,TRANSMISION,TSB_TRA085,Service Bulletin/Repair Instructions,KIA,K900,2016,POWER TRAIN,,TECHNICAL SERVICE BULLETIN: DCT ACTUATOR ROD LENGTH ADJUSTMENT - This bulletin provides the procedure to adjust the Dual Clutch Transmission (DCT) actuator rod lengths using the applicable SST on some 2016MY~ vehicles equipped with 6 speed DCT (D6KF1) or 7 speed DCT (D7UF1) in order to prevent [VIN_REDACTED] [VIN_REDACTED] of both the DCT clutch actuator and clutch set together.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-04,TRANSMISION,122-Y8Z9R-01,Service Bulletin/Repair Instructions,PORSCHE,CAYENNE,2019,POWER TRAIN,,"Bulletin telling dealers about the new Special Tool, a Transmission Support, that will be auto shipped to dealers if they have not already ordered one.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-05,TRANSMISION,19PBG,Service Bulletin/Repair Instructions,PETERBILT,520,2020,POWER TRAIN,,"Safety Recall: Peterbilt Motors Company has determined that a defect, which relates to motor vehicle safety, may exist in certain model 348, 367, 389, 520 or 567 vehicles manufactured between November 22, 2019 and December 5, 2019. Output shafts may not have been correctly heat-treated and could break near the pinion nut. Resolution is to inspect the driveshaft to verify the julian date, and if witin th esupect date rate,, replace the output shaft.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-06,TRANSMISION,56-003,Service Bulletin/Repair Instructions,PETERBILT,567,2019,POWER TRAIN,,"Non-Safety Campaign: Certain Model 567 and 579 vehicles, built between 4/03/2018 and 12/21/2018, and equipped with Cummins engines and Eaton Endurant transmissions had the Enable PTO parameter incorrectly set. Fault code 900 may present and the PTO does not function as intended. Resolution is to update the ECU software and endable the Endurant PTO 1 1939 parameter.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-07,TRANSMISION,SRV-SRB-19-046,Service Bulletin/Repair Instructions,DUCATI,1299 PANIGALE,2015,POWER TRAIN,,Final Drive Chain Maintenance Precautions - Applicability: All models and Model Years (except XDiavel). The purpose of this service bulletin is to further inform dealers and service managers of proper maintenance to ensure optimal performance and service life of the final drive chain installed on the entire Ducati range of motorcycles.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-08,TRANSMISION,TSB 19-2358,Service Bulletin/Repair Instructions,FORD,F-150,2019,POWER TRAIN,,"Some 2018-2019 F-150 vehicles equipped with a 5.0L engine built on or before 12-Feb-2019 may exhibit a metallic grinding/rattling sound coming from the transmission bellhousing area under various operating conditions. This may be due to the torque converter studs contacting the engine to transmission spacer plate. To correct the condition, follow the Service Procedure steps to replace the engine to transmission spacer plate with a new engine to transmission spacer plate that includes a bend for additional clearance.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-09,TRANSMISION,TSB 19-2386,Service Bulletin/Repair Instructions,LINCOLN,MKX,2018,POWER TRAIN,,"Some 2019-2020 Edge/Nautilus/Transit Connect and 2020 Escape/Corsair vehicles equipped with a 8F35 transmission may exhibit an illuminated malfunction indicator lamp (MIL) with diagnostic trouble code (DTC) P0766 stored in the powertrain control module (PCM) and/or intermittent no reverse engagement concerns. This may be due to contamination in the main control valve body separator plate orifice. To correct the condition, follow the Service Procedure steps to clean the contamination from the main control plate.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-TRANSMISION-10,TRANSMISION,WUV-07,Service Bulletin/Repair Instructions,SUBARU,ASCENT,2019,POWER TRAIN,,"Subaru of America, Inc. (Subaru) is recalling certain 2019 model year Ascent vehicles in which midjoint of the transmission hydraulic sensor harness was made with dissimilar materials (tinplate and copper) which may cause an oxide film to form. If an oxide film forms, the electrical resistance may increase, potentially causing an incorrect [VIN_REDACTED] of the hydraulic pressure. If the fluid pressure is measured higher than its actual value, the Transmission Control Unit (TCU) programming was not robust enough to compensate for variation and would instruct the valve to lower the hydraulic pressure, thus potentially reducing the tension on the drive chain. Customers may experience irregular noise and/or vibration while driving, and/or warning lamp illumination. A total of 76,842 U.S. vehicles will be affected by this recall.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-01,SUSPENSION_CHASIS,15-NA-068,Service Bulletin/Repair Instructions,CHEVROLET,CORVETTE,2015,SUSPENSION,,Front Lower Ball Joint and Knuckle Inspection After Road Hazard Tire/Wheel Damage and/or Noise from Front End Some customers may comment on a ticking/clicking/metallic grinding noise heard from front suspension area or lash in steering wheel after a severe road or track front suspension impact. This condition may be due to damage on the lower ball joint to steering knuckle connection.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-02,SUSPENSION_CHASIS,ICI19-064,Service Bulletin/Repair Instructions,FREIGHTLINER,BUSINESS CLASS M2,2018,SUSPENSION:FRONT:STABILIZER BAR,,Important Campaign Information Letter announcing that a revision for D19M4 as a REV2 exists and is available on DTNAConnect.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-03,SUSPENSION_CHASIS,2052853/3,Service Bulletin/Repair Instructions,BENTLEY,BENTAYGA,2019,WHEELS,,"Customer statement / workshop findings: Clicking noise from front corner(s) Technical background: In order to accurately diagnose and repair customer reported clicking noises from the front corner(s) the Measure section of this TPI consists of three individual sections, each section describes the symptom and the remedy which should be applied Symptoms and descriptions regarding clicking noises can appear to be very similar when described, where possible the customer should demonstrate the reported symptom to enable correct diagnosis",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-04,SUSPENSION_CHASIS,2057947/1,Service Bulletin/Repair Instructions,BENTLEY,CONTINENTAL GT CABRIO,2019,TIRES,,Customer statement / workshop findings: Customer statement: Tyre pressure monitoring system warning light on within the DIP Technical background: DTC U012700 evident within Address 0019 Gateway Measure: 1) Replace the Tyre pressure control module and bracket (Figure 1) - Refer to Rep.Gr 44,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-05,SUSPENSION_CHASIS,07-129-18R,Service Bulletin/Repair Instructions,SUBARU,IMPREZA,2017,TIRES,,"This bulletin announces availability of reprogramming files to optimize operation of the Tire Pressure Monitor Systemâs (TPMS) real-time display function. Under certain high-altitude conditions, the tire pressure values displayed in the combination meter may not be accurate. NOTE: The TPMS Real Time display is independent of the actual TPMS function. Should an actual low tire pressure condition occur, the TPMS indicator light will illuminate as expected.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-06,SUSPENSION_CHASIS,05-72-19,Service Bulletin/Repair Instructions,SUBARU,ASCENT,2019,SUSPENSION,,"This bulletin addresses isolated concerns of a squeaking / creaking -type sound from the rear suspension. The condition is caused by a burr on the end of the coil spring winding produced with an end gap which was out of specification. This allowed the burr to make contact with the mount. Over time, the burr, which is characteristic result of the manufacturing process, can penetrate the rubber isolator and come into direct contact with the strut mount as shown in the photos below. This contact creates the sound described. Should this occur, both the mount and coil spring must be replaced. NEVER attempt to grind or otherwise alter the burr on the new or original equipment coil spring or repair any contact marks with paint or other coatings. Replace the affected parts with new ones.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-07,SUSPENSION_CHASIS,2053492/5,Service Bulletin/Repair Instructions,BENTLEY,CONTINENTAL,2007,SUSPENSION,,"Condition: The front and/or rear suspension appears to have dropped. Technical Background: The list of Bentley vehicles below are fitted with air springs as part of the suspension system. Should air leak from the air springs, this will cause the suspension to drop. However, the dropping of the suspension does not necessarily mean that the air spring is faulty. The Measure section of this TPI describes how and where to check for air leaks on the front and rear air springs, the air pump compressor, pipes, valve unit and air reservoirs. This includes potential air leak points on the air springs and also the locations of an air leak that can be repaired without the need to replace an air spring. Please follow and complete the check list within the Measure section of this TPI to help in diagnosing the issue (the check list does not need to be sent as an attachment should a DISS technical query be raised) . Should a leak be found from an air spring, compressor, valve unit or reservoir, please raise a DISS technical query and include as much information as possible including photograph/s of the leak/s location. Once the DISS ticket has been submitted please await clarification from your TSC before commencing with replacing any of the suspected faulty air springs. Mandatory reporting is applicable for all air spring related issues.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-08,SUSPENSION_CHASIS,ZP1-ABC19-12,Service Bulletin/Repair Instructions,OLIVER TRAVEL TRAILERS,LEGACY ELITE II,2019,SUSPENSION,,"Monthly Report for December 2019, No issues to report outside of matter already reported through this portal and the EWS portal relating to the Dexter Axle Recall 19V-897",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-09,SUSPENSION_CHASIS,LTB01294NAS2,Service Bulletin/Repair Instructions,LAND ROVER,RANGE ROVER EVOQUE,2020,SUSPENSION,,"A knocking noise from the front suspension when driving over uneven road surfaces or speed bumps, at speeds of up to 40 km/h (25 mph) may be evident.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-SUSPENSION_CHASIS-10,SUSPENSION_CHASIS,2056407/2,Service Bulletin/Repair Instructions,BENTLEY,CONTINENTAL GT,2008,SUSPENSION,,"Condition: Customer statement: Noise complaint from the suspension and/or steering Workshop findings: The noise can be reproduced and clearly assigned to the suspension system from either of the axles And/or The noise can be reproduced and clearly assigned to the steering system Prior to starting the instructions within this TPI, the Retailer must check and confirm the vehicle is in standard factory condition and has not had any non-approved [VIN_REDACTED] modifications conducted including the modification of the engine control modules (chip tuning) Check the history of the vehicle to confirm Should any [VIN_REDACTED] modifications be found, the Retailer must make Product Support aware by raising a DISS query to report the details of the modification, you must then await feedback from Product Support before conducting any further work Technical Background It is the retailers responsibility to check and confirm if any TPIs are applicable to the customers complaint/issue, should an applicable TPI be available, apply it and complete a DISS complaint to include Workshop findings only (No repair query required) For correct diagnosis and repair, the attached Flowchart must be followed in conjunction with the Measure section of this TPI",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-DIRECCION-01,DIRECCION,TSB_CHA102,Service Bulletin/Repair Instructions,KIA,SOUL,2020,STEERING,,"TECHNICAL SERVICE BULLETIN: SERVICE ACTION: EPS DTC JUDGEMENT LOGIC IMPROVEMENT SOFTWARE UPGRADE (SA409) - This bulletin provides the procedure to apply improved Diagnostic Trouble Code (DTC) judgement logic for the Electronic Power Steering (EPS) on some 2020MY Soul (SK3) vehicles, produced from November 15, 2018 through October 8, 2019, which requires a software upgrade. Install the improved logic of the EPS using the KDS ECU Upgrade function as described in this bulletin.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-DIRECCION-02,DIRECCION,122-X6C3S-01,Service Bulletin/Repair Instructions,PORSCHE,MACAN,2017,STEERING,,Instructions for replacing the intermediate steering shaft in the event that there are noise complaints from the customer.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-DIRECCION-03,DIRECCION,IK0500038,Service Bulletin/Repair Instructions,INTERNATIONAL,RH,2020,STEERING,,"Steering Shake, Shimmy, Shudder, Steering Vibration; Only ProStar / LoneStar and LT / RH with 14k front weight rated axles and below",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-DIRECCION-04,DIRECCION,SSM 48388,Service Bulletin/Repair Instructions,FORD,MUSTANG,2020,STEERING,,"Some 2020 Mustang vehicles built on or before 04-Sep-2019 may exhibit a U3000:62 DTC set in the PSCM. This may be accompanied by a slightly different steering feel, which will return to normal after one key cycle. To correct this condition, update the PSCM using the latest software level of the appropriate Ford diagnostic scan tool. For claiming use causal part 3504 and applicable labor times in Section 10 of the Service Labor Time Standards (SLTS) Manual.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-DIRECCION-05,DIRECCION,2042624/2,Service Bulletin/Repair Instructions,BENTLEY,CONTINENTAL GT,2015,STEERING,,Technical product information: Power steering noise 4.0 V8 Customer statement / workshop findings: Power steering noise (hiss) audible in cabin emanating from front of car Technical background: Variability in hose assembly and fitting can create noise transfer path at rubber mounting points resulting in power steering hydraulic flow audible in cabin Measure: In the event of a qualified report of power steering hiss audible in cabin then replace power steering high pressure hose (2) (see Figure 1) Rep.Gr.48 Power Steering Pipes To Remove and Fit,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
