id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones
F10-L11-0026,G-11-59-26,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Auditoria de presion segun estandar DOT en camion Freightliner: presion inicial de 125 psi con motor apagado. Al aplicar freno de servicio estatico durante 60 segundos la presion desciende a 112 psi (caida de 13 psi/minuto frente al maximo legal de 3.0 psi/min para unidad simple). Manometro de aguja en camara de servicio delantera izquierda acusa fuga de 6.2 bar por rotura radial de 15 mm en diafragma de goma reforzada tipo 24.,TECNICO,PRUEBA_DOT_ESTANQUEIDAD,"caida_13psi_min_vs_3psi_norma_dot, diafragma_tipo_24_rajado_15mm, camara_fuga_6_2bar",falla_secador_aps,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L3 prueba DOT caida 13 psi/min diafragma tipo 24 roto
F10-L11-0027,G-11-59-27,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,"Diagnostico de tiempo de recuperacion neumática en tractocamion: con motor a 1800 rpm el compresor Wabco de 600 cc tarda 4 minutos y 45 segundos en recuperar de 85 psi a 100 psi (especificacion maxima fabricante menor a 45 segundos). Manometro en cabeza de compresor acusa contrapresion de 14 bar por carbonilla en valvula laminar de descarga, con fuga de aire hacia carter medida en 45 L/min.",TECNICO,RECUPERACION_85_100_PSI,"recuperacion_4min45s_vs_45s_oem, laminas_compresor_carbonilla, fuga_carter_45l_min",falla_secador_aire,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L3 tiempo recuperacion 4m45s vs 45s carbonilla compresor
F10-L11-0028,G-11-59-28,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Inspeccion con ultrasonido acustico en circuito de frenos neumatico: transductor ultrasonico detecta emision focalizada de 40 kHz con nivel de 78 dB en racor de conexion rapida Voss tipo 232 de linea de servicio de 1/2 pulgada; perdida de flujo masico calculada en 18 L/min a 8.5 bar por junta torica de viton extrusionada.,TECNICO,DETECTOR_ULTRASONIDO_VOSS,"ultrasonido_40khz_78db_racor_voss, fuga_18l_min_8_5bar, junta_viton_danada",falla_valvula_maxi,,NO,SI,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),SINTETICO_IA,L3 ultrasonido 40kHz racor Voss 232 fuga 18 L/min
F10-L11-0029,G-11-59-29,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,"Evaluacion de valvula de pedal de freno de aire (Treadle Valve Bendix E-6): conexion de manometros dobles en puertos de salida 21 y 22; al aplicar 30 psi de esfuerzo en pedal, el puerto 21 entrega solo 14 psi y descarga continuamente 35 L/min de aire por la tobera inferior debido a embolo escalonado de aluminio gripado por particulas abrasivas de oxido.",TECNICO,MANOMETRO_DOBLE_TREADLE,"puerto_21_14psi_vs_30psi_orden, fuga_continua_35l_min, embolo_treadle_gripado",fuga_bomba_freno_hidraulica,,NO,SI,Fuga hidraulica o aire en el sistema de frenos,SINTETICO_IA,L3 valvula pedal Bendix E-6 embolo gripado 35 L/min
F10-L11-0030,G-11-59-30,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Prueba de estanqueidad de tanque primario de 40 Litros: sellado de entradas y presurizacion externa a 10.0 bar; manometro patron digital acusa perdida de 0.85 bar en 10 minutos. Inspeccion boroscopica interna revela picaduras de oxido por falta de purga de agua con perforacion puntual de 0.8 mm en chapa de acero de 2.5 mm de espesor.,TECNICO,BOROSCOPIO_TANQUE_PRIMARIO,"tanque_40l_caida_0_85bar_10min, perforacion_0_8mm_oxido_interno",falla_valvula_secador,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L3 boroscopio en tanque 40L perforacion por oxido
F10-L11-0031,G-11-59-31,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Escaneo de sistema de frenos electronico Knorr EBS-7 registra lectura discrepante referente a sensor de presion de circuito neumatico primario; lectura de parametros en vivo registra valor de 4.2 bar mientras manometro mecanico calibrado en el calderin marca 8.8 bar; sensor piezorresistivo descalibrado con tension de senal fija en 1.85V.,TECNICO,SCANNER_KNORR_EBS,"lectura_ebs_4_2bar_vs_8_8bar_real, sensor_piezorresistivo_descalibrado",falla_sensor_rueda,,NO,NO,,SINTETICO_IA,L3 Knorr EBS sensor presion 4.2 vs 8.8 bar
F10-L11-0032,G-11-59-32,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Medicion de presion diferencial entre cabecera de tractor y cola de semirremolque de 14 metros: linea de senal de servicio entrega 7.8 bar en glad hand delantero pero solo 4.9 bar en camaras de freno traseras del tercer eje (caida de presion de 2.9 bar); obstruccion parcial por lodo aceitoso acumulado en filtro de linea en linea de manguera de 3/8 pulgada.,TECNICO,PRESION_DIFERENCIAL_TREN,"caida_presion_2_9bar_cola_trailer, filtro_linea_taponado_aceite",falla_caliper_pegado,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L3 caida 2.9 bar a cola de trailer filtro taponado
F10-L11-0033,G-11-59-33,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,"Diagnostico en valvula moduladora ABS de eje delantero: prueba de excitacion bidireccional desde software de taller; al conmutar solenoide de escape, la valvula no cierra completamente el paso de venteo quedando con fuga continua de 40 psi en puerto de camara, impidiendo mantener presion de frenado modulado.",TECNICO,SOFTWARE_TEST_ABS_CAMION,"valvula_moduladora_abs_no_sella, fuga_40psi_puerto_escape",falla_sensor_abs,,NO,NO,,SINTETICO_IA,L3 moduladora ABS fuga 40 psi puerto escape
F10-L11-0034,G-11-59-34,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Inspeccion de manguera termoplastica blindada de descarga de compresor (diametro interior 16 mm): malla exterior de acero inoxidable presenta rotura de hilos y ampolla de caucho de 40 mm de diametro a 11.5 bar de presion de trabajo; riesgo inminente de estallido catastrófico en ruta.,TECNICO,INSPECCION_MANGUERA_DESCARGA,"ampolla_40mm_manguera_descarga_11_5bar, rotura_malla_inox",fuga_aceite_motor,,NO,NO,,SINTETICO_IA,L3 manguera compresor con ampolla 40mm a 11.5 bar
F10-L11-0035,G-11-59-35,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,"Evaluacion de valvula rele de emergencia de remolque (Relay Emergency Valve RE-6): ante corte simulado de linea de suministro roja (presion cae a 0 bar), la valvula de emergencia no aplica automaticamente los frenos del remolque en menos de 0.5 segundos por embolo obturador trabado con barniz de aceite degradado.",TECNICO,SIMULACION_CORTE_EMERGENCIA,"falla_aplicacion_emergencia_re6, embolo_trabado_aceite, corte_suministro",falla_maxi_brake,,NO,SI,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),SINTETICO_IA,L3 falla de aplicacion emergencia RE-6 por barniz
F10-L11-0036,G-11-59-36,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Comprobacion de tiempo de llenado y caudal volumetrico de aire comprimido: compresor suministra caudal libre de 280 L/min a 2000 rpm (nominal de catalogo 450 L/min); medicion de vacio en admision registra -18 kPa por filtro de aire de motor saturado que restringe flujo al compresor bicilindrico.,TECNICO,CAUDALIMETRO_AIRE_COMPRIMIDO,"caudal_280l_min_vs_450l_min, vacio_admision_menos18kpa, filtro_saturado",falla_filtro_secador,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L3 caudal 280 L/min restriccion en admision
F10-L11-0037,G-11-59-37,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,"Prueba hidrostatica de calderin de frenos auxiliar de aluminio: a presion de prueba de 15 bar se evidencia deformacion plastica y microfisura en costura longitudinal; soldadura TIG fatigada por ciclos de presurizacion de 0 a 12 bar repetidos durante 650,000 km de servicio interprovincial.",TECNICO,PRUEBA_HIDROSTATICA_CALDERIN,"microfisura_costura_15bar, fatiga_calderin_aluminio_650000km",falla_mangueras_freno,,NO,NO,,SINTETICO_IA,L3 prueba hidrostatica calderin microfisura
F10-L11-0038,G-11-59-38,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,"Analisis de fuga en valvula de retencion de cuatro vias (Four-Circuit Protection Valve): circuito 21 (freno trasero) pierde presion y el circuito 22 (freno delantero) no retiene la presion minima de seguridad de 4.5 bar estipulada por norma europea ECE R13, cayendo ambos circuitos en paralelo a 2.0 bar.",TECNICO,VALVULA_CUATRO_CIRCUITOS,"falla_valvula_4_circuitos, caida_ambos_a_2bar_vs_4_5bar_ece_r13",falla_secador_aps,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L3 valvula 4 vias no retiene presion minima ECE R13
F10-L11-0039,G-11-59-39,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Medicion de caida de presion con sistema de telemetria en ruta: camion con carga de 32 toneladas registra 6 alarmas sonoras de baja presion en 80 km de trayecto; consumo excesivo de aire producido por fuga continua de 22 psi en el actuador de elevacion del eje auxiliar retractil (eje loco).,TECNICO,TELEMETRIA_PRESION_RUTA,"telemetria_6_alarmas_80km, fuga_22psi_eje_retractil, camion_32tn",falla_suspension_muelles,,NO,NO,,SINTETICO_IA,L3 telemetria 6 alarmas en 80km fuga eje retractil
F10-L11-0040,G-11-59-40,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,Inspeccion tecnica en conector glad hand de linea de emergencia: manometro calibrado registra fuga de 1.8 bar en acople sellado; ensayo con liquido revelador de burbujas constata que la placa de acople de aluminio fundido tiene un alabeo planar de 0.45 mm por golpe con perno de remolque.,TECNICO,METROLOGIA_GLAD_HAND,"alabeo_planar_0_45mm_glad_hand, fuga_1_8bar_acople, liquido_revelador",falla_maxi_brake,,NO,SI,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),SINTETICO_IA,L3 glad hand alabeado 0.45mm fuga 1.8 bar
F10-L11-0041,G-11-60-01,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,El secador de aire de mi camion escupe agua con aceite cada rato.,COLOQUIAL,PURGA_SECADOR,escupe_agua_con_aceite,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 secador escupe agua y aceite
F10-L11-0042,G-11-60-02,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,La valvula del secador de aire no para de estornudar seguido.,COLOQUIAL,DESCARGA_AIRE,estornudo_constante_valvula,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 estornudo continuo de valvula
F10-L11-0043,G-11-60-03,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,El filtro secador de aire del camion esta tapado y no deja subir la presion.,COLOQUIAL,CARGA_PRESION,filtro_secador_tapado,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 filtro secador tapado
F10-L11-0044,G-11-60-04,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,En el tablero me sale una advertencia del modulo APS de frenos.,COLOQUIAL,TABLERO_ALERTA,advertencia_modulo_aps,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 advertencia APS en tablero
F10-L11-0045,G-11-60-05,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,Purgo los tanques de aire y sale puro lodo negro con grasa.,COLOQUIAL,PURGA_TANQUES,lodo_negro_en_tanques,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 lodo negro y grasa al purgar
F10-L11-0046,G-11-60-06,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,El camion llega a 120 libras de aire y no hace la descarga de alivio.,COLOQUIAL,PRESION_MAXIMA,sin_descarga_alivio,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 no hace descarga de alivio
F10-L11-0047,G-11-60-07,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,Se congela la valvula de aire abajo en la madrugada de viaje.,COLOQUIAL,CLIMA_FRIO,congelamiento_valvula_aire,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 congelamiento de valvula en frio
F10-L11-0048,G-11-60-08,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,La valvula de purga del secador bota aire continuo sin cerrar nunca.,COLOQUIAL,DESCARGA_AIRE,valvula_purga_abierta_continua,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 purga abierta continua
F10-L11-0049,G-11-60-09,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,El calentador electrico del secador de aire no funciona.,COLOQUIAL,ELECTRICO_SECADOR,calentador_secador_inoperante,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 calentador de secador inoperante
F10-L11-0050,G-11-60-10,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,El compresor corta y arranca a cada segundo como loco.,COLOQUIAL,CICLADO_COMPRESOR,ciclado_rapido_compresor,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 compresor cicla a cada segundo
F10-L11-0051,G-11-60-11,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L2,"La valvula de purga del secador de aire Wabco estornuda cada 15 segundos en ralentí, arrojando gotas de aceite de motor carbonizado que empapan el chasis y reducen la presion de tanques a 85 psi.",TECNICO,RALENTI_DESCARGA,"estornudo_cada_15s_secador, aceite_carbonizado_tanques",fuga_linea_aire,,NO,SI,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),SINTETICO_IA,L2 estornudo ciclico cada 15s vs fuga de linea
F10-L11-0052,G-11-60-12,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L2,Al abrir la valvula de drenaje manual del calderin humedo se expulsan 300 ml de emulsion de agua y aceite; el cartucho desecante coalescente esta saturado y no retiene humedad.,TECNICO,DRENAJE_CALDERIN_HUMEDO,"emulsion_300ml_agua_aceite, cartucho_desecante_saturado",falla_maxi_brake,,NO,SI,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),SINTETICO_IA,L2 emulsion de agua en calderin vs maxi-brake
F10-L11-0053,G-11-60-13,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L2,El modulo de procesamiento de aire APS Knorr-Bremse registra fallo en la valvula solenoide de regeneracion; el cartucho no ejecuta el ciclo de soplado inverso de limpieza.,TECNICO,DIAGNOSTICO_APS_KNORR,"solenoide_regeneracion_falla, sin_soplado_inverso",falla_compresor_aire,,NO,NO,,SINTETICO_IA,L2 solenoide regeneracion APS inoperante
F10-L11-0054,G-11-60-14,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L2,"La presion de aire en los tanques sube hasta 150 psi sin que la valvula gobernadora (governor) mande la senal de corte al descompresor, amenazando con reventar mangueras de servicio.",TECNICO,SOBREPRESION_SISTEMA,"sobrepresion_150psi_sin_corte, gobernadora_no_descarga",fuga_aire_chasis,,NO,SI,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),SINTETICO_IA,L2 sobrepresion 150 psi sin corte gobernadora
F10-L11-0055,G-11-60-15,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L2,En zona de puna a -5°C la valvula de descarga del secador amanecio congelada por hielo en el asiento del embolo; la resistencia calefactora de 24V del secador tiene el fusible quemado.,TECNICO,ZONA_FRIO_EXTREMO,"descarga_congelada_hielo, resistencia_24v_calentador_quemada",falla_bateria,,NO,NO,,SINTETICO_IA,L2 congelamiento de purga por resistencia quemada
