id,id_grupo,texto_usuario,clase_objetivo,pred_c1,correct_c1,in_top3_c1,conf_c1,macro_sistema,pred_macro_fix,macro_correct
F10-L02-0060,G07-L2-10,Se calienta solo al parar en los semaforos despues de rodar media hora. Al andar normal a 60 no calienta nada.,Falla en termostato o motoventilador de radiador,Falla en termostato o motoventilador de radiador,1,True,0.8544,MOTOR,MOTOR,1
F10-L02-0062,G07-L2-12,El radiador se mantiene tibio mientras el motor está hirviendo; la válvula termostática parece haberse quedado pegada en su asiento.,Falla en termostato o motoventilador de radiador,Falla en termostato o motoventilador de radiador,1,True,0.8627,MOTOR,MOTOR,1
F10-L02-0091,G08-L2-01,"Hay un charco de líquido verde bajo el radiador cada mañana y el nivel baja dos dedos, pero el motor no calienta mientras tenga agua.",Fuga en mangueras de refrigerante o radiador picado,Fuga en mangueras de refrigerante o radiador picado,1,True,0.8481,MOTOR,MOTOR,1
F10-L02-0100,G08-L2-10,"Caída de presión rápida en el manómetro de prueba de enfriamiento a 15 psi, detectando fuga audible en la manguera inferior del radiador.",Fuga en mangueras de refrigerante o radiador picado,Fuga en mangueras de refrigerante o radiador picado,1,True,0.9565,MOTOR,MOTOR,1
F10-L02-0102,G08-L2-12,Al apagar el motor se escucha un silbido delante y cae un chorro de agua caliente por la unión de la manguera gruesa inferior.,Fuga en mangueras de refrigerante o radiador picado,Fuga en mangueras de refrigerante o radiador picado,1,True,0.7715,MOTOR,MOTOR,1
F10-L02-0131,G09-L2-01,"El auto bota una bocanada de humo azul en el primer arranque matutino que dura 10 segundos y luego desaparece, bajando medio litro de aceite al mes.",Consumo de aceite por desgaste de anillos o retenes,Consumo de aceite por desgaste de anillos o retenes,1,True,0.9743,MOTOR,MOTOR,1
F10-L02-0140,G09-L2-10,Humo azulado visible por el retrovisor al pasar los 3500 rpm en carretera abierta. El filtro de aire tiene residuos de aceite del respiradero PCV.,Consumo de aceite por desgaste de anillos o retenes,Consumo de aceite por desgaste de anillos o retenes,1,True,0.8901,MOTOR,MOTOR,1
F10-L02-0142,G09-L2-12,"El escape huele a aceite quemado penetrante y el catalizador empieza a taparse, arrojando código P0420 por contaminación de aceite.",Consumo de aceite por desgaste de anillos o retenes,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0,True,0.3642,MOTOR,MOTOR,1
F10-L02-0171,G10-L2-01,"El testigo de aceite parpadea en rojo cuando el motor llega a temperatura de trabajo y queda en ralentí a 750 rpm, pero al acelerar a 1500 rpm se apaga de inmediato.",Baja presion de aceite o bomba de aceite defectuosa,Baja presion de aceite o bomba de aceite defectuosa,1,True,0.8366,MOTOR,MOTOR,1
F10-L02-0180,G10-L2-10,"El testigo de presión de aceite titila al frenar bruscamente o doblar esquinas cerradas, indicando baja presión transitoria en ralentí.",Baja presion de aceite o bomba de aceite defectuosa,Baja presion de aceite o bomba de aceite defectuosa,1,True,0.9823,MOTOR,MOTOR,1
F10-L02-0182,G10-L2-12,"Presión en galería principal no supera 12 psi a 2500 rpm con motor a 90°C, cuando el manual especifica un mínimo de 35 psi.",Baja presion de aceite o bomba de aceite defectuosa,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0,True,0.5995,MOTOR,MOTOR,1
F10-L03-0011,G11-L2-01,"La cadena suena como matraca suelta durante 5 segundos en el arranque en frío y luego se calma, pero al acelerar a 2500 rpm vuelve a raspar la tapa.",Faja o cadena de distribucion destensada o con salto de punto,Faja o cadena de distribucion destensada o con salto de punto,1,True,0.841,MOTOR,MOTOR,1
F10-L03-0020,G11-L2-10,"Tensión de la correa de distribución por debajo de especificación con deflexión de más de 20 mm entre piñones de leva, causando marcha áspera.",Faja o cadena de distribucion destensada o con salto de punto,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),0,True,0.8476,MOTOR,MOTOR,1
F10-L03-0022,G11-L2-12,El motor arrancaba bien pero al hacer un rebaje brusco en bajada se sintió un crujido y quedó fallando como fuera de tiempo en todos los cilindros.,Faja o cadena de distribucion destensada o con salto de punto,Falla en bujias o bobinas de encendido (misfire),0,True,0.5495,MOTOR,MOTOR,1
F10-L03-0051,G12-L2-01,"El motor funciona perfecto en frío, pero al calentar y llegar a un semáforo el ralentí oscila entre 500 y 900 rpm y suena un traqueteo en el solenoide VVT.",Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),1,True,0.8253,MOTOR,MOTOR,1
F10-L03-0060,G12-L2-10,Al desacelerar tras rodar a 80 km/h el motor casi se apaga y cabecea bruscamente porque el árbol de levas se queda pegado en posición avanzada.,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),1,True,0.8803,MOTOR,MOTOR,1
F10-L03-0062,G12-L2-12,"El actuador del árbol de levas presenta juego radial interno y fugas de presión de aceite por el retén frontal, provocando golpeteo al regular.",Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),1,True,0.8796,MOTOR,MOTOR,1
F10-L03-0091,G13-L2-01,En las mañanas el motor arranca temblando como si estuviera en tres cilindros durante dos minutos; al calentar se normaliza pero le falta fuerza al acelerar.,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0,True,0.3149,MOTOR,MOTOR,1
F10-L03-0100,G13-L2-10,El motor no responde ágil al acelerador en baja y tiene un bache de aceleración; el consumo aumentó 2 litros cada 100 km en tráfico urbano.,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),Cuerpo de aceleracion o valvula IAC sucia,0,True,0.5056,MOTOR,MOTOR,1
F10-L03-0102,G13-L2-12,Aceleraciones en marchas intermedias presentan titubeo; el sistema de turbulencia de admisión se traba por carbonilla espesa en los ejes de las mariposas flap.,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),1,True,0.9827,MOTOR,CARROCERIA_NEUMATICA,0
F10-L03-0131,G14-L2-01,En autopista al pisar a fondo en cuarta se prende el testigo EPC y el carro entra en modo de emergencia; apago y prendo el carro y vuelve a acelerar normal.,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,1,True,0.6579,MOTOR,MOTOR,1
F10-L03-0140,G14-L2-10,DTC P2563 referente a señal fuera de rango del sensor de posición del actuador de la geometría variable en motor 2.0 TDI diésel.,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,1,True,0.8621,MOTOR,MOTOR,1
F10-L03-0142,G14-L2-12,El motor eléctrico del actuador de turbo presenta resistencia térmica; funciona frío pero al calentar la carcasa se bloquea mecánicamente.,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,1,True,0.905,MOTOR,MOTOR,1
F10-L03-0171,G15-L2-01,"Al acelerar a más de 2000 rpm se escucha un fuerte soplido de aire a presión bajo el capó, el carro se queda sin potencia y empieza a botar humo negro por el escape.",Fuga en mangueras de intercooler o turbocompresor danado,Fuga en mangueras de intercooler o turbocompresor danado,1,True,0.8087,MOTOR,MOTOR,1
F10-L03-0180,G15-L2-10,El motor tironea al exigir el turbo porque la mezcla se enriquece bruscamente al perder aire comprimido por una abrazadera floja en el tubo de carga.,Fuga en mangueras de intercooler o turbocompresor danado,Fuga en mangueras de intercooler o turbocompresor danado,1,True,0.8393,MOTOR,MOTOR,1
F10-L03-0182,G15-L2-12,El turbo aúlla muy fuerte desde las 1500 rpm; al soltar el conducto de admisión se encontró la propela del compresor con los álabes doblados por ingreso de cuerpo extraño.,Fuga en mangueras de intercooler o turbocompresor danado,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0,True,0.4644,MOTOR,MOTOR,1
F10-L04-0011,G16-L2-01,En un Ford EcoSport 1.0 EcoBoost parpadea el testigo de presión de aceite al quedar en ralentí caliente; al retirar el tapón de llenado se observa la correa hinchada y deshilachada.,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),1,True,0.6079,MOTOR,MOTOR,1
F10-L04-0020,G16-L2-10,Ruido de zumbido agudo en la zona de distribución húmeda que aumenta con las rpm; el tensor automático llegó a tope por estiramiento del tejido de goma.,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Faja o cadena de distribucion destensada o con salto de punto,0,True,0.9356,MOTOR,MOTOR,1
F10-L04-0022,G16-L2-12,Código P0521 referente a rendimiento del sensor de presión de aceite; en caliente la presión cae a 8 psi en ralentí debido a taponamiento del colador de succión.,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Baja presion de aceite o bomba de aceite defectuosa,0,True,0.9387,MOTOR,MOTOR,1
F10-L04-0051,G17-L2-01,"En una Chevrolet Silverado el motor se apaga súbitamente tras 30 minutos de marcha continua; se probó la bomba con 12V directos y funciona perfecta, pero el módulo FSCM ubicado en el chasis está hirviendo.",Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),1,True,0.9872,MOTOR,MOTOR,1
F10-L04-0060,G17-L2-10,"Buenas, se me mojó la parte trasera del carro tras pasar un charco hondo y de inmediato se apagó. El módulo de combustible que va pegado a la llanta de repuesto tiene agua adentro.",Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),1,True,0.7131,MOTOR,MOTOR,1
F10-L04-0062,G17-L2-12,DTC U0109 intermitente registrado en el PCM; las líneas de comunicación CAN Bus llegan íntegras con 60 ohms pero el módulo de bomba no envía confirmación de estado.,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),1,True,0.9949,MOTOR,MOTOR,1
F10-L04-0091,G18-L2-01,Toyota Hilux 2.8 diésel encendió testigo DPF parpadeante y entró en modo de emergencia a 2500 rpm; el escáner indica acumulación de hollín al 110% por viajes cortos en ciudad.,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),1,True,0.9837,MOTOR,MOTOR,1
F10-L04-0100,G18-L2-10,Camioneta diésel Euro 5 no logra completar la regeneración forzada en taller; la temperatura antes del DPF no supera los 320°C debido a sensor de temperatura defectuoso.,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),1,True,0.7365,MOTOR,MOTOR,1
F10-L04-0102,G18-L2-12,DTC P2463 por masa de hollín acumulada superior a 45 gramos; la ECU limita el torque de motor un 50% para proteger el sustrato cerámico de una combustión incontrolada.,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),1,True,0.9923,MOTOR,MOTOR,1
F10-L04-0131,G19-L2-01,En una Toyota Hilux 1GD 2.8 el motor demora 8 segundos en arrancar; en datos en vivo la presión de riel sube muy lento y no alcanza los 250 bar requeridos para autorizar la inyección.,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),1,True,0.9185,MOTOR,MOTOR,1
F10-L04-0140,G19-L2-10,En desaceleración rápida el motor cae a 400 rpm y se apaga con código P0088 por sobrepresión de riel; la válvula PCV no logra evacuar el exceso de caudal hacia el retorno.,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),1,True,0.8638,MOTOR,MOTOR,1
F10-L04-0142,G19-L2-12,Presión de riel nominal solicitada es de 1350 bar a 2200 rpm pero la real solo alcanza 850 bar con pedal a fondo; la bomba de transferencia interna de paletas no alimenta suficiente.,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),1,True,0.4977,MOTOR,MOTOR,1
F10-L04-0171,G20-L2-01,Vehículo Flex Fuel con motor brasileño no arranca a 12°C por las mañanas; la bomba del depósito auxiliar de gasolina de arranque en frío (tanquinho) está quemada y no inyecta gasolina.,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),1,True,0.9342,MOTOR,MOTOR,1
F10-L04-0180,G20-L2-10,"La electroválvula de purga del reservorio auxiliar de gasolina se quedó abierta continuo, succionando gasolina del tanquinho hacia la admisión y ahogando el motor en ralentí caliente.",Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),1,True,0.7151,MOTOR,MOTOR,1
F10-L04-0182,G20-L2-12,DTC P0179 por señal de frecuencia alta del sensor de composición de combustible; el sensor entrega 170 Hz fijo simulando 100% de etanol cuando el auto tiene gasolina.,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),1,True,0.9386,MOTOR,MOTOR,1
F10-L05-0011,G21-L2-01,El motor gira con buena velocidad de arranque pero no enciende; se verificó y no hay chispa en bujías ni pulso en inyectores porque el sensor CKP no emite señal.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),1,True,0.9282,MOTOR,MOTOR,1
F10-L05-0020,G21-L2-10,"El motor tironea fuerte a 2500 rpm y pierde sincronismo con código P0016; el calado mecánico está perfecto y el juego axial del dámper no existe, siendo el sensor CMP el defectuoso.",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),1,True,0.8093,MOTOR,MOTOR,1
F10-L05-0022,G21-L2-12,DTC P0341 de rango y rendimiento del sensor de posición del árbol de levas; el conector tiene la traba rota y vibra desconectándose en caminos irregulares.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),0,True,0.5333,MOTOR,MOTOR,1
F10-L05-0051,G22-L2-01,Tras llenar el tanque en el grifo el motor demora 10 segundos en arrancar tosiendo y ahogado; la válvula de purga de canister se quedó trabada abierta succionando vapores crudos.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),1,True,0.8418,MOTOR,MOTOR,1
F10-L05-0060,G22-L2-10,Al retirar la tapa del tanque de gasolina se escucha un fuerte soplido de vacío que hace crujir el tanque de chapa; la válvula de alivio bidireccional del canister está obstruida.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),1,True,0.7614,MOTOR,MOTOR,1
F10-L05-0062,G22-L2-12,El sensor de presión del tanque de combustible FTP reporta voltaje fijo de 4.8V; el módulo PCM no puede ejecutar la prueba automática de estanqueidad nocturna.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0,True,0.8991,MOTOR,MOTOR,1
F10-L05-0091,G23-L2-01,"Código P0420 encendido permanente; el auto no pierde nada de potencia ni tironea, pero en datos en vivo la sonda posterior oscila al mismo ritmo que la delantera indicando catalizador ineficiente.",Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),1,True,0.8562,MOTOR,MOTOR,1
F10-L05-0100,G23-L2-10,Al dar golpes con un mazo de goma en la petaca del convertidor catalítico suena un sonajero seco de trozos cerámicos desprendidos que obstruyen la salida de gases.,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),1,True,0.97,MOTOR,MOTOR,1
F10-L05-0102,G23-L2-12,DTC P0420 y P0430 simultáneos en motor en V; la tasa de almacenamiento de oxígeno calculada por la ECU es del 12% (especificación mínima eficiente 60%).,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),1,True,0.9834,MOTOR,MOTOR,1
F10-L05-0131,G24-L2-01,Al retirar la manguera de vacío del regulador de presión de combustible montado en el riel brota gasolina líquida continua; el diafragma interno está roto inundando el múltiple.,Falla en regulador de presion de combustible o diafragma roto,Falla en regulador de presion de combustible o diafragma roto,1,True,0.9937,MOTOR,MOTOR,1
F10-L05-0140,G24-L2-10,El motor se ahoga y se apaga al llegar a un semáforo; al desconectar la manguera de vacío del regulador el ralentí se estabiliza de golpe al cesar el ingreso de gasolina cruda.,Falla en regulador de presion de combustible o diafragma roto,Falla en regulador de presion de combustible o diafragma roto,1,True,0.7657,MOTOR,MOTOR,1
F10-L05-0142,G24-L2-12,"Prueba de hermeticidad de rampa de inyección: al aplicar vacío de 15 inHg con bomba manual al puerto de control del regulador, el diafragma no retiene y cae a cero de inmediato.",Falla en regulador de presion de combustible o diafragma roto,Falla en regulador de presion de combustible o diafragma roto,1,True,0.9633,MOTOR,FRENOS,0
F10-L05-0171,G25-L2-01,Código P0201 de circuito de inyector 1 abierto; el motor tiembla severamente en 3 cilindros pero la bujía y la bobina del cilindro 1 tienen chispa potente.,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),1,True,0.7241,MOTOR,MOTOR,1
F10-L05-0180,G25-L2-10,El inyector del cilindro 3 presenta resistencia de solo 1.2 ohms en cortocircuito parcial; la ECU entra en protección desactivando el banco de inyección por sobrecorriente.,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),1,True,0.9681,MOTOR,MOTOR,1
F10-L05-0182,G25-L2-12,DTC P0201 intermitente que aparece únicamente al pasar sobre baches o adoquines; el arnés de cables del inyector 1 rozaba contra la chapa del soporte del alternador.,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),1,True,0.9736,MOTOR,MOTOR,1
F10-L05-0211,G26-L2-01,"El cilindro 3 marca solo 40 psi de compresión mientras los otros tres marcan 165 psi; al agregar una cucharada de aceite en el cilindro la compresión no sube, confirmando válvula pisada.",Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,1,True,0.6335,MOTOR,MOTOR,1
F10-L05-0220,G26-L2-10,DTC P0301; la bujía sale negra y carbonizada pero el osciloscopio muestra pulso de inyección correcto y arco de chispa de 18 kV en la bobina descartando fallas electrónicas.,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,Falla en bujias o bobinas de encendido (misfire),0,False,0.3929,MOTOR,MOTOR,1
F10-L05-0222,G26-L2-12,"Diferencia de compresión mayor al 25% entre cilindros: cilindro 1 (160 psi), cilindro 2 (155 psi), cilindro 3 (95 psi) y cilindro 4 (160 psi), originando cabeceo en ralentí.",Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,1,True,0.9413,MOTOR,MOTOR,1
F10-L06-0011,G27-L2-01,Chillido metálico agudo en la rueda delantera izquierda al frenar suave; el sonido cesa al pisar a fondo y el volante no vibra en absoluto.,Desgaste de pastillas y zapatas de freno,Desgaste de pastillas y zapatas de freno,1,True,0.7908,FRENOS,FRENOS,1
F10-L06-0020,G27-L2-10,Inspección de zapatas en freno de tambor: espesor de material de fricción en 1.0 mm (límite de servicio 1.5 mm) con surcos concéntricos en el forro.,Desgaste de pastillas y zapatas de freno,Desgaste de pastillas y zapatas de freno,1,True,0.9366,FRENOS,FRENOS,1
F10-L06-0022,G27-L2-12,El freno emite chasquido metálico al aplicar marcha atrás tras frenar hacia adelante; holgura excesiva de las pastillas en las guías del portacaliper.,Desgaste de pastillas y zapatas de freno,Desgaste de pastillas y zapatas de freno,1,True,0.8264,FRENOS,FRENOS,1
F10-L06-0051,G28-L2-01,Vibración severa en el volante al frenar entre 80 y 110 km/h; al soltar el freno el auto rueda suavemente a 100 km/h sin vibración alguna en la dirección.,Discos de freno alabeados o desgastados,Llantas desbalanceadas o desalineadas,0,True,0.5895,FRENOS,SUSPENSION_CHASIS,0
F10-L06-0060,G28-L2-10,Reloj comparador colocado en la maza delantera izquierda registra alabeo lateral de 0.12 mm (tolerancia máxima OEM 0.05 mm); maza de rueda sin descentramiento.,Discos de freno alabeados o desgastados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0,True,0.904,FRENOS,SUSPENSION_CHASIS,0
F10-L06-0062,G28-L2-12,Vibración al frenar no atribuible a tren delantero; bujes de trapecio y rótulas sin holgura pero la pista del disco tiene variación de espesor de 0.03 mm.,Discos de freno alabeados o desgastados,Discos de freno alabeados o desgastados,1,True,0.8446,FRENOS,FRENOS,1
F10-L06-0091,G29-L2-01,Pedal de freno extremadamente rígido que exige esfuerzo físico excesivo; al apagar el motor y bombear no se siente ninguna diferencia de dureza.,Falla en servofreno (booster) o linea de vacio,Falla en servofreno (booster) o linea de vacio,1,True,0.8139,FRENOS,FRENOS,1
F10-L06-0100,G29-L2-10,Prueba de hermeticidad de servofreno: la depresión cae de 18 inHg a 0 inHg en menos de 5 segundos tras cortar el contacto del motor.,Falla en servofreno (booster) o linea de vacio,Falla en servofreno (booster) o linea de vacio,1,True,0.7855,FRENOS,FRENOS,1
F10-L06-0102,G29-L2-12,El pedal de freno no baja al dar arranque con el pie apoyado; prueba estándar de servofreno fallida confirmando nula amplificación por vacío.,Falla en servofreno (booster) o linea de vacio,Falla en servofreno (booster) o linea de vacio,1,True,0.8571,FRENOS,FRENOS,1
F10-L06-0131,G30-L2-01,Pedal de freno esponjoso que se hunde hasta la alfombra al mantenerlo pisado en semáforo; al bombear 3 veces recupera altura firme por unos segundos.,Fuga hidraulica o aire en el sistema de frenos,Fuga hidraulica o aire en el sistema de frenos,1,True,0.951,FRENOS,FRENOS,1
F10-L06-0140,G30-L2-10,Arandela de cobre de unión banjo en la pinza delantera con fuga por falta de apriete; rezuma burbujas diminutas al presionar el pedal con fuerza.,Fuga hidraulica o aire en el sistema de frenos,Discos de freno alabeados o desgastados,0,False,0.4788,FRENOS,FRENOS,1
F10-L06-0142,G30-L2-12,Tornillo de purga (sangrador) de la mordaza trasera derecha barrido en su rosca; permite entrada de aire por depresión al soltar el pedal de freno.,Fuga hidraulica o aire en el sistema de frenos,Caliper de freno trabado o mordaza pegada (piston agarrotado),0,False,0.4486,FRENOS,FRENOS,1
