clase,support_unseen,rec_f83,rec_c1,delta_recall,f1_f83,f1_c1,delta_f1,degradacion_relevante
Fuga hidraulica o aire en el sistema de frenos,8,0.375,0.375,0.0,0.4615,0.4615,0.0,NO
Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),8,0.5,0.875,0.375,0.6154,0.875,0.2596,NO
Fuga parasita de corriente en reposo (consumo nocturno de bateria),8,0.25,0.75,0.5,0.3636,0.75,0.3864,NO
Fugas de aire o fallos en el sistema de frenos neumático (Camiones),8,0.625,0.5,-0.125,0.7143,0.5333,-0.181,SI
Inyectores sucios o filtro de combustible obstruido,8,0.375,0.5,0.125,0.2857,0.4706,0.1849,NO
Juntas homocineticas o palieres danados,8,0.625,0.625,0.0,0.5882,0.7143,0.1261,NO
Limpiaparabrisas o motor pluma quemado,8,0.625,0.5,-0.125,0.7692,0.6154,-0.1538,SI
Llantas desbalanceadas o desalineadas,8,0.625,0.5,-0.125,0.625,0.5714,-0.0536,NO
Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,8,0.625,0.5,-0.125,0.5263,0.4706,-0.0557,NO
Rodajes de caja mecanica o diferencial gastados,8,0.375,0.75,0.375,0.375,0.8,0.425,NO
Rodajes de transmision manual o eje primario gastados,8,0.5,1.0,0.5,0.6667,0.9412,0.2745,NO
Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),8,0.375,0.75,0.375,0.4286,0.5455,0.1169,NO
Sobrecalentamiento o solenoides en caja automatica CVT / DSG,8,0.75,0.75,0.0,0.8,0.8571,0.0571,NO
Válvula de freno de aire o secador APS obstruido (Camiones),8,0.875,1.0,0.125,0.8235,1.0,0.1765,NO
