id,id_grupo,texto_usuario,clase_objetivo,pred_c1,correct_c1,in_top3_c1,conf_c1,macro_sistema,pred_macro_fix,macro_correct
F10-L03-0042,G12-L1-02,Se encendió el Check Engine y siento un cascabeleo al pasar las 2500 revoluciones.,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0,False,0.3418,MOTOR,MOTOR,1
F10-L03-0049,G12-L1-09,"Buenas, el carro tiembla en mínimo pero en carretera corre suave.",Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),Falla en bujias o bobinas de encendido (misfire),0,False,0.6586,MOTOR,MOTOR,1
F10-L03-0082,G13-L1-02,"Hola, mi carro tiene inyección directa y perdió bastante pique en salida.",Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),1,True,0.9234,MOTOR,MOTOR,1
F10-L03-0089,G13-L1-09,"Buenas, me dijeron en el taller que a los motores turbo directos hay que descarbonizarlos.",Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),Fuga en mangueras de intercooler o turbocompresor danado,0,False,0.8657,MOTOR,MOTOR,1
F10-L03-0122,G14-L1-02,"Hola, al acelerar fuerte en tercera se me corta la potencia y no pasa de 80.",Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,1,True,0.3559,MOTOR,MOTOR,1
F10-L03-0129,G14-L1-09,Se prende el EPC y se queda sin turbo cuando paso un camion en pista.,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,1,True,0.919,MOTOR,MOTOR,1
F10-L03-0162,G15-L1-02,El carro perdió fuerza de golpe y sopla como una aspiradora adelante.,Fuga en mangueras de intercooler o turbocompresor danado,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0,False,0.4088,MOTOR,MOTOR,1
F10-L03-0169,G15-L1-09,Bota humo azul espeso y se siente juego en la turbina del motor.,Fuga en mangueras de intercooler o turbocompresor danado,Consumo de aceite por desgaste de anillos o retenes,0,True,0.9616,MOTOR,MOTOR,1
F10-L04-0002,G16-L1-02,"Hola, mi carro tiene motor 3 cilindros y siento que el pedal del freno se puso duro.",Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Falla en servofreno (booster) o linea de vacio,0,True,0.8504,MOTOR,FRENOS,0
F10-L04-0009,G16-L1-09,"Buenas tardes, me dijeron en el cambio de aceite que la faja va sumergida y está fea.",Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),1,True,0.8434,MOTOR,MOTOR,1
F10-L04-0042,G17-L1-02,"Hola, al abrir el contacto no suena el zumbido de la bomba de gasolina atrás.",Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),0,False,0.3922,MOTOR,MOTOR,1
F10-L04-0049,G17-L1-09,"Buenas, cambié la bomba de gasolina dos veces y sigue cortándose la corriente.",Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),Bomba de gasolina quemada o con baja presion,0,True,0.6401,MOTOR,MOTOR,1
F10-L04-0082,G18-L1-02,"Hola, la camioneta no pasa de 80 km/h y huele a quemado por el escape.",Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0,True,0.312,MOTOR,MOTOR,1
F10-L04-0089,G18-L1-09,"Buenas maestro, uso mi camioneta diésel solo para tramos cortitos y se ahoga.",Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),0,True,0.8509,MOTOR,MOTOR,1
F10-L04-0122,G19-L1-02,"Hola, al pisar a fondo el acelerador en subida el motor se apaga de golpe.",Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),Cuerpo de aceleracion o valvula IAC sucia,0,False,0.6234,MOTOR,MOTOR,1
F10-L04-0129,G19-L1-09,"Buenas, hay un tubito metálico delgado que está sudando diésel en el motor.",Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),1,True,0.8736,MOTOR,MOTOR,1
F10-L04-0162,G20-L1-02,"Hola, mi auto es bi-combustible y consume el doble de combustible de repente.",Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),1,True,0.8902,MOTOR,MOTOR,1
F10-L04-0169,G20-L1-09,"Buenas, llené el tanque con otra gasolina y ahora el carro no empareja el mínimo.",Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),Bomba de gasolina quemada o con baja presion,0,False,0.7794,MOTOR,MOTOR,1
F10-L05-0002,G21-L1-02,"Hola, doy arranque con la llave, el motor gira normal pero no arranca nada.",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0,False,0.7685,MOTOR,ELECTRICO,0
F10-L05-0009,G21-L1-09,"Buenas, el carro gira alegre con la batería pero parece que no le llega corriente.",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Bateria descargada o bornes sulfatados,0,False,0.7047,MOTOR,ELECTRICO,0
F10-L05-0042,G22-L1-02,"Hola, siento un olor fuerte a gasolina cruda dentro del carro al manejar.",Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Falla en regulador de presion de combustible o diafragma roto,0,False,0.4025,MOTOR,MOTOR,1
F10-L05-0049,G22-L1-09,"Buenas, llené el tanque a tope y cuando salí del grifo el carro casi se apaga.",Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Bomba de gasolina quemada o con baja presion,0,True,0.3876,MOTOR,MOTOR,1
F10-L05-0082,G23-L1-02,"Hola, el carro no tiene fuerza en subida y huele a azufre o huevo podrido.",Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),Falla en sensor de oxigeno o mezcla rica,0,False,0.8509,MOTOR,MOTOR,1
F10-L05-0089,G23-L1-09,"Buenas, cambié el sensor de oxígeno de abajo y a los dos días volvió a prender la luz del check.",Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),1,True,0.5912,MOTOR,MOTOR,1
F10-L05-0122,G24-L1-02,"Hola, al apagar el motor y querer prenderlo a los diez minutos le cuesta un montón arrancar.",Falla en regulador de presion de combustible o diafragma roto,Inyectores sucios o filtro de combustible obstruido,0,False,0.4524,MOTOR,MOTOR,1
F10-L05-0129,G24-L1-09,"Buenas, cambié la bomba de gasolina y la presión sigue subiendo demasiado alta.",Falla en regulador de presion de combustible o diafragma roto,Bomba de gasolina quemada o con baja presion,0,False,0.7211,MOTOR,MOTOR,1
F10-L05-0162,G25-L1-02,"Hola, se prendió el Check Engine y un inyector dejó de hacer el sonido de tic-tic.",Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),1,True,0.3421,MOTOR,MOTOR,1
F10-L05-0169,G25-L1-09,"Buenas maestro, le desconecto la ficha a un inyector y el motor no hace ningún cambio.",Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),1,True,0.4698,MOTOR,MOTOR,1
F10-L05-0202,G26-L1-02,"Hola, un cilindro no está funcionando y ya cambié bujía, cable y bobina.",Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,Falla en bujias o bobinas de encendido (misfire),0,True,0.8361,MOTOR,MOTOR,1
F10-L05-0209,G26-L1-09,"Buenas, cambiaron inyectores y sigue fallando el mismo cilindro de siempre.",Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,Falla en bujias o bobinas de encendido (misfire),0,True,0.5537,MOTOR,MOTOR,1
F10-L06-0002,G27-L1-02,"Hola, siento como un raspado de fierro con fierro cuando me detengo.",Desgaste de pastillas y zapatas de freno,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),0,False,0.316,FRENOS,MOTOR,0
F10-L06-0009,G27-L1-09,"Buenas tardes, al retroceder y frenar suena un golpe seco en las ruedas de atrás.",Desgaste de pastillas y zapatas de freno,Amortiguadores reventados o bujes de suspension gastados,0,True,0.6823,FRENOS,SUSPENSION_CHASIS,0
F10-L06-0042,G28-L1-02,"Hola, siento como un zapateo o pulsaciones en el pedal del freno al frenar en bajada.",Discos de freno alabeados o desgastados,Desgaste de pastillas y zapatas de freno,0,True,0.3363,FRENOS,FRENOS,1
F10-L06-0049,G28-L1-09,"Buenas, cambié pastillas nuevas y ahora el pedal patea hacia arriba al frenar.",Discos de freno alabeados o desgastados,Discos de freno alabeados o desgastados,1,True,0.3931,FRENOS,FRENOS,1
F10-L06-0082,G29-L1-02,"Hola, cada vez que piso el pedal del freno suena como un soplido de aire adentro.",Falla en servofreno (booster) o linea de vacio,Falla en servofreno (booster) o linea de vacio,1,True,0.9026,FRENOS,FRENOS,1
F10-L06-0089,G29-L1-09,"Buenas, pisando el freno se acelera el motor a 1500 revoluciones solo.",Falla en servofreno (booster) o linea de vacio,Falla en servofreno (booster) o linea de vacio,1,True,0.5619,FRENOS,FRENOS,1
F10-L06-0122,G30-L1-02,"Hola, prendió la luz roja de freno en el tablero y encontré un charquito aceitoso.",Fuga hidraulica o aire en el sistema de frenos,Desgaste de pastillas y zapatas de freno,0,False,0.4102,FRENOS,FRENOS,1
F10-L06-0129,G30-L1-09,"Buenas, cambiaron pastillas y desde ahí el pedal quedó aguado sin fuerza.",Fuga hidraulica o aire en el sistema de frenos,Falla en servofreno (booster) o linea de vacio,0,False,0.4704,FRENOS,FRENOS,1
F10-L06-0162,G31-L1-02,"Hola, cuando freno despacito antes de parar el pedal empieza a temblar como loco.",Falla en sensor de velocidad de rueda ABS,Falla en servofreno (booster) o linea de vacio,0,False,0.5846,FRENOS,FRENOS,1
F10-L06-0169,G31-L1-09,"Buenas, cambiaron el rodamiento de rueda y al salir del taller se prendió el ABS.",Falla en sensor de velocidad de rueda ABS,Falla en sensor de velocidad de rueda ABS,1,True,0.9746,FRENOS,FRENOS,1
F10-L06-0202,G32-L1-02,"Hola, apareció un aviso en la pantalla de frenado regenerativo deshabilitado.",Falla en sistema de frenado regenerativo (EV / Hibridos),Falla en sistema de frenado regenerativo (EV / Hibridos),1,True,0.9765,FRENOS,FRENOS,1
F10-L06-0209,G32-L1-09,"Buenas, el pedal de mi auto eléctrico se siente artificial y como desconectado.",Falla en sistema de frenado regenerativo (EV / Hibridos),Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),0,True,0.4212,FRENOS,FRENOS,1
F10-L06-0242,G33-L1-02,"Hola, siento un olor muy fuerte a quemado saliendo de la llanta derecha.",Caliper de freno trabado o mordaza pegada (piston agarrotado),Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0,False,0.5586,FRENOS,SUSPENSION_CHASIS,0
F10-L06-0249,G33-L1-09,"Buenas, al soltar el freno el carro no rueda libre en bajaditas ligeras.",Caliper de freno trabado o mordaza pegada (piston agarrotado),Caliper de freno trabado o mordaza pegada (piston agarrotado),1,True,0.7333,FRENOS,FRENOS,1
F10-L07-0002,G34-L1-02,"Hola, siento un olor a quemado feo cuando intento subir una cuesta.",Disco de embrague desgastado o patinando,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",0,True,0.3409,TRANSMISION,CARROCERIA_NEUMATICA,0
F10-L07-0009,G34-L1-09,"Buenas, al salir en primera tiembla y huele a frenos quemados en la cabina.",Disco de embrague desgastado o patinando,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0,False,0.9031,TRANSMISION,SUSPENSION_CHASIS,0
F10-L07-0042,G35-L1-02,"Hola, no entran los cambios con el motor prendido pero apagado entran suaves.",Falla en bombin o bomba hidraulica de embrague,Falla en bombin o bomba hidraulica de embrague,1,True,0.7914,TRANSMISION,TRANSMISION,1
F10-L07-0049,G35-L1-09,"Buenas, me baja el nivel del líquido de frenos pero las cuatro ruedas están secas.",Falla en bombin o bomba hidraulica de embrague,Fuga hidraulica o aire en el sistema de frenos,0,False,0.9641,TRANSMISION,FRENOS,0
F10-L07-0082,G36-L1-02,"Hola, la caja de cambios zumba como un engranaje seco cuando voy en carretera.",Falta o degradacion de aceite de caja de cambios,Falta o degradacion de aceite de caja de cambios,1,True,0.7102,TRANSMISION,TRANSMISION,1
F10-L07-0089,G36-L1-09,"Buenas, el mecánico sacó el tapón de la caja y salió solo un chorrito negro con brillo.",Falta o degradacion de aceite de caja de cambios,Falta o degradacion de aceite de caja de cambios,1,True,0.9828,TRANSMISION,TRANSMISION,1
F10-L07-0122,G37-L1-02,"Hola, siento un aullido sordo debajo del centro del carro que cambia al soltar el gas.",Rodajes de caja mecanica o diferencial gastados,Rodajes de caja mecanica o diferencial gastados,1,True,0.5562,TRANSMISION,TRANSMISION,1
F10-L07-0129,G37-L1-09,"Buenas, levantaron el carro en el aire y al girar las llantas la caja suena hueca.",Rodajes de caja mecanica o diferencial gastados,Rodajes de caja mecanica o diferencial gastados,1,True,0.4972,TRANSMISION,TRANSMISION,1
F10-L07-0162,G38-L1-02,"Hola, la caja automática da tirones muy secos al pasar los cambios.",Sobrecalentamiento o solenoides en caja automatica CVT / DSG,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,1,True,0.5662,TRANSMISION,TRANSMISION,1
F10-L07-0169,G38-L1-09,"Buenas, en tráfico lento sale olor a quemado y el carro empieza a vibrar.",Sobrecalentamiento o solenoides en caja automatica CVT / DSG,Falla en termostato o motoventilador de radiador,0,False,0.6783,TRANSMISION,MOTOR,0
F10-L07-0202,G39-L1-02,"Hola, sale un aviso de 'Hacer controlar cambio' y el carro no quiere arrancar.",Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),1,True,0.7003,TRANSMISION,TRANSMISION,1
F10-L07-0209,G39-L1-09,"Buenas, en frío funciona pero al calentar se traba y no entra la marcha atrás.",Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),Fallo en inversor de corriente IGBT o motor electrico (EV),0,False,0.5989,TRANSMISION,TRANSMISION,1
F10-L07-0242,G40-L1-02,"Hola, al pisar el embrague siento como un grillo o raspado en el pie.",Desgaste en collarin de empuje o crapodina de embrague,Desgaste en collarin de empuje o crapodina de embrague,1,True,0.6716,TRANSMISION,TRANSMISION,1
F10-L07-0249,G40-L1-09,"Buenas, gotea líquido por la campana de caja y chilla feo al desembragar.",Desgaste en collarin de empuje o crapodina de embrague,Desgaste en collarin de empuje o crapodina de embrague,1,True,0.3234,TRANSMISION,TRANSMISION,1
F10-L07-0282,G41-L1-02,"Hola, con el carro parado suena como una licuadora que se calla al apretar el embrague.",Rodajes de transmision manual o eje primario gastados,Rodajes de transmision manual o eje primario gastados,1,True,0.3587,TRANSMISION,TRANSMISION,1
F10-L07-0289,G41-L1-09,"Buenas, al soltar el embrague en neutro empieza a sonar un traqueteo en la caja.",Rodajes de transmision manual o eje primario gastados,Rodajes de transmision manual o eje primario gastados,1,True,0.7101,TRANSMISION,TRANSMISION,1
F10-L08-0002,G42-L1-02,"Hola, siento que el carro rebota demasiado como si fuera una lancha después de pasar un desnivel.",Amortiguadores reventados o bujes de suspension gastados,Amortiguadores reventados o bujes de suspension gastados,1,True,0.3141,SUSPENSION_CHASIS,MOTOR,0
F10-L08-0009,G42-L1-09,Al frenar siento que la trompa del auto se clava demasiado hacia adelante.,Amortiguadores reventados o bujes de suspension gastados,Juntas homocineticas o palieres danados,0,True,0.5235,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L08-0042,G43-L1-02,"Hola, al doblar en las esquinas acelerando se escucha un chasquido continuo en la rueda delantera.",Juntas homocineticas o palieres danados,Juntas homocineticas o palieres danados,1,True,0.9032,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L08-0049,G43-L1-09,La parte delantera tiembla únicamente cuando mantengo el pie en el acelerador.,Juntas homocineticas o palieres danados,Cuerpo de aceleracion o valvula IAC sucia,0,False,0.5723,SUSPENSION_CHASIS,MOTOR,0
F10-L08-0082,G44-L1-02,"Hola, si suelto el timón en pista recta el carro se jala de inmediato hacia la derecha.",Llantas desbalanceadas o desalineadas,Llantas desbalanceadas o desalineadas,1,True,0.9775,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L08-0089,G44-L1-09,Se escucha un zumbido ondulante de llantas como si el neumático estuviera deformado.,Llantas desbalanceadas o desalineadas,Llantas desbalanceadas o desalineadas,1,True,0.5422,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L08-0122,G45-L1-02,"Hola, la dirección se puso pesadísima como si no tuviera asistencia y chilla al doblar.",Cremallera de direccion asistida con holgura o fuga,Falla en servofreno (booster) o linea de vacio,0,True,0.6792,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L08-0129,G45-L1-09,Cruje y se traba un poco la dirección al doblar cerrado para estacionar.,Cremallera de direccion asistida con holgura o fuga,Cremallera de direccion asistida con holgura o fuga,1,True,0.7861,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L08-0162,G46-L1-02,"Hola, la rueda delantera zumba fuertísimo cuando viajo en la carretera a partir de 60 km/h.",Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),1,True,0.7801,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L08-0169,G46-L1-09,Al tocar la maza de la rueda delantera después de manejar quema caliente.,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),1,True,0.9381,SUSPENSION_CHASIS,SUSPENSION_CHASIS,1
F10-L09-0002,G47-L1-02,"Hola, las luces del tablero y los faros parpadean o bajan de intensidad cuando acelero.",Alternador defectuoso o placa de diodos quemada,Inyectores sucios o filtro de combustible obstruido,0,False,0.7368,ELECTRICO,ELECTRICO,1
F10-L09-0009,G47-L1-09,El auto arranca bien en la mañana pero si prendo las luces y el aire se desmaya el motor.,Alternador defectuoso o placa de diodos quemada,Bateria descargada o bornes sulfatados,0,True,0.3511,ELECTRICO,ELECTRICO,1
F10-L09-0042,G48-L1-02,"Hola, hoy quise prender el auto y está completamente muerto, ni la luz del techo prende.",Bateria descargada o bornes sulfatados,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0,False,0.7807,ELECTRICO,ELECTRICO,1
F10-L09-0049,G48-L1-09,La batería ya tiene como 4 años y en invierno le cuesta un mundo hacer girar el motor.,Bateria descargada o bornes sulfatados,Bateria descargada o bornes sulfatados,1,True,0.8954,ELECTRICO,ELECTRICO,1
F10-L09-0082,G49-L1-02,"Hola, la batería de tracción se descarga rapidísimo con solo subir una pequeña pendiente.",Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),1,True,0.9031,ELECTRICO,ELECTRICO,1
F10-L09-0089,G49-L1-09,El auto no pasa de 60 km/h y sale advertencia de degradación de batería.,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),1,True,0.7788,ELECTRICO,ELECTRICO,1
F10-L09-0122,G-09-50-02,Me sale una advertencia en el tablero del EV y se apago el motor.,Fallo en inversor de corriente IGBT o motor electrico (EV),Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),0,False,0.3391,ELECTRICO,ELECTRICO,1
F10-L09-0129,G-09-50-09,El carro electrico hace un chillido agudo al intentar avanzar y se bloquea.,Fallo en inversor de corriente IGBT o motor electrico (EV),Fallo en inversor de corriente IGBT o motor electrico (EV),1,True,0.6063,ELECTRICO,ELECTRICO,1
F10-L09-0162,G-09-51-02,Se prendio un foco de temperatura en mi carro hibrido y pierde fuerza.,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),Foco o falla en sistema de refrigeracion de bateria/inversor (EV),1,True,0.9256,ELECTRICO,MOTOR,0
F10-L09-0169,G-09-51-09,En el tablero me marca aviso de temperatura alta en bateria de traccion.,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),Fallo en inversor de corriente IGBT o motor electrico (EV),0,True,0.471,ELECTRICO,ELECTRICO,1
F10-L09-0202,G-09-52-02,Le doy marcha y solo se escucha un clac seco debajo del motor.,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),1,True,0.8609,ELECTRICO,ELECTRICO,1
F10-L09-0209,G-09-52-09,"Le doy encendido, suena un clic y todo queda en silencio.",Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),1,True,0.6944,ELECTRICO,ELECTRICO,1
F10-L09-0242,G-09-53-02,Todas las mananas tengo que pedir puente para que prenda mi auto.,Fuga parasita de corriente en reposo (consumo nocturno de bateria),Falta o degradacion de aceite de caja de cambios,0,False,0.4531,ELECTRICO,ELECTRICO,1
F10-L09-0249,G-09-53-09,De noche algo se queda prendido y en la manana no da ni un giro de arranque.,Fuga parasita de corriente en reposo (consumo nocturno de bateria),Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0,False,0.7415,ELECTRICO,ELECTRICO,1
F10-L10-0002,G-10-54-02,El aire acondicionado no esta enfriando casi nada estos dias de calor.,Falla en compresor de aire acondicionado o fuga de gas R134a,Falla en compresor de aire acondicionado o fuga de gas R134a,1,True,0.9225,CLIMATIZACION,CLIMATIZACION,1
F10-L10-0009,G-10-54-09,Noto manchas verdes fosforescentes en unas mangueras del sistema de aire.,Falla en compresor de aire acondicionado o fuga de gas R134a,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0,False,0.8224,CLIMATIZACION,CARROCERIA_NEUMATICA,0
F10-L10-0042,G-10-55-02,El pestillo de la puerta del chofer no se mueve con el boton central.,Falla electrica del cierre centralizado o actuador de puerta,Falla electrica del cierre centralizado o actuador de puerta,1,True,0.4909,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L10-0049,G-10-55-09,Le doy al switch de seguros y solo suena un rele pero ninguna puerta traba.,Falla electrica del cierre centralizado o actuador de puerta,Falla electrica del cierre centralizado o actuador de puerta,1,True,0.8209,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
