id,synthetic_or_original,nivel_informacion,texto_usuario,clase_objetivo,pred_c1,in_top3_c1,conf_c1,dtc,macro_sistema,pred_macro_fix
F10-L05-0082,SINTETICO,L1,"Hola, el carro no tiene fuerza en subida y huele a azufre o huevo podrido.",Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),Falla en sensor de oxigeno o mezcla rica,False,0.8509,,MOTOR,MOTOR
F10-L05-0202,SINTETICO,L1,"Hola, un cilindro no está funcionando y ya cambié bujía, cable y bobina.",Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,Falla en bujias o bobinas de encendido (misfire),True,0.8361,,MOTOR,MOTOR
F10-L06-0060,SINTETICO,L2,Reloj comparador colocado en la maza delantera izquierda registra alabeo lateral de 0.12 mm (tolerancia máxima OEM 0.05 mm); maza de rueda sin descentramiento.,Discos de freno alabeados o desgastados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),True,0.904,,FRENOS,SUSPENSION_CHASIS
F10-L07-0009,SINTETICO,L1,"Buenas, al salir en primera tiembla y huele a frenos quemados en la cabina.",Disco de embrague desgastado o patinando,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),False,0.9031,,TRANSMISION,SUSPENSION_CHASIS
F10-L07-0037,SINTETICO,L3,Prueba de aceleración de 0 a 100 km/h: tiempo registrado de 19.8 segundos (especificación del fabricante 10.5 s) debido a que al cambiar de primera a segunda y de segunda a tercera el embrague demora 2.2 segundos en acoplar firmemente el giro del cigüeñal con el primario de la transmisión.,Disco de embrague desgastado o patinando,Rodajes de transmision manual o eje primario gastados,True,0.8272,,TRANSMISION,TRANSMISION
F10-L07-0049,SINTETICO,L1,"Buenas, me baja el nivel del líquido de frenos pero las cuatro ruedas están secas.",Falla en bombin o bomba hidraulica de embrague,Fuga hidraulica o aire en el sistema de frenos,False,0.9641,,TRANSMISION,FRENOS
F10-L08-0077,SINTETICO,L3,Sustitución de semieje completo tras fractura por corte del eje estriado de la homocinética exterior: la rotura ocurrió exactamente en el entalle de fijación de la tuerca de maza debido a fatiga por microfisuras originadas por torque excesivo de apriete (420 Nm vs especificado 220 Nm) en un cambio de rodamiento previo.,Juntas homocineticas o palieres danados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),True,0.8166,,SUSPENSION_CHASIS,SUSPENSION_CHASIS
F10-L08-0100,SINTETICO,L2,Zumbido y rumorosidad de rodadura ondulante en autopista; al pasar la mano por la banda de rodadura del neumático se siente escalonada en los tacos.,Llantas desbalanceadas o desalineadas,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),True,0.9224,,SUSPENSION_CHASIS,SUSPENSION_CHASIS
F10-L08-0195,SINTETICO,L3,Código de falla ABS DTC C0040 almacenado en memoria del calculador de frenos en rueda delantera derecha: flujo de datos del sensor de velocidad indica lectura oscilante errática a 80 km/h provocada por salto lateral y descentramiento de 0.28 mm en el rodamiento de maza picado que separa intermitentemente el anillo fónico magnético del sensor activo Hall.,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Falla en sensor de velocidad de rueda ABS,True,0.9798,C0040,SUSPENSION_CHASIS,FRENOS
F10-L10-0009,SINTETICO,L1,Noto manchas verdes fosforescentes en unas mangueras del sistema de aire.,Falla en compresor de aire acondicionado o fuga de gas R134a,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),False,0.8224,,CLIMATIZACION,CARROCERIA_NEUMATICA
F10-L10-0077,SINTETICO,L3,"Medicion de corriente en reposo de actuador: tras bloquear el vehiculo y entrar la red CAN en modo sleep, el actuador de la tapa de combustible retiene 320 mA continuos por falla en el transistor de corte de salida de la fusiblera inteligente, descargando la bateria en 48 horas.",Falla electrica del cierre centralizado o actuador de puerta,Fuga parasita de corriente en reposo (consumo nocturno de bateria),False,0.9973,,CARROCERIA_NEUMATICA,ELECTRICO
F10-L10-0169,SINTETICO,L1,Le doy a la palanca del volante y no hace nada el limpia parabrisas.,Limpiaparabrisas o motor pluma quemado,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),True,0.8366,,CARROCERIA_NEUMATICA,ELECTRICO
F10-L11-0022,SINTETICO,L2,Manometro de cabina marca 120 psi estables en marcha pero al frenar cae inmediatamente a 70 psi; la valvula de doble retencion (shuttle valve) de la cabina tiene el obturador partido.,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,False,0.8424,,CARROCERIA_NEUMATICA,FRENOS
