id,source,nivel,texto,correct_top1,in_top3,pred_top1,conf,macro_real,macro_pred,macro_correct
ORIG-4127,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El compresor del A/C no prende nunca.,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9885,CLIMATIZACION,CLIMATIZACION,1
ORIG-4128,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El compresor del A/C no prende nunca. compresor no prende,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9971,CLIMATIZACION,CLIMATIZACION,1
ORIG-4227,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Enfría bien los primeros minutos y después deja de enfriar.,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.993,CLIMATIZACION,CLIMATIZACION,1
ORIG-4477,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Olor a moho al encender el aire acondicionado (componente: Evaporador),1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,1.0,CLIMATIZACION,CLIMATIZACION,1
ORIG-4518,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El aire enfría al inicio y luego deja de enfriar,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.996,CLIMATIZACION,CLIMATIZACION,1
ORIG-4555,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Olor fuerte a moho al encender el A/C (componente: Evaporador),1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9978,CLIMATIZACION,CLIMATIZACION,1
ORIG-4707,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El compresor del aire no llega a embragar (componente: Clutch de compresor),1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9998,CLIMATIZACION,CLIMATIZACION,1
ORIG-4876,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El compresor del A/C no embraga nunca,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9966,CLIMATIZACION,CLIMATIZACION,1
ORIG-4877,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El compresor del A/C no embraga nunca (componente: Clutch),1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.999,CLIMATIZACION,CLIMATIZACION,1
ORIG-4913,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El A/C enfría muy poco aunque el compresor trabaja (componente: Gas refrigerante),1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.99,CLIMATIZACION,CLIMATIZACION,1
F10-L10-0002,SINTETICO,L1,El aire acondicionado no esta enfriando casi nada estos dias de calor.,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9225,CLIMATIZACION,CLIMATIZACION,1
F10-L10-0009,SINTETICO,L1,Noto manchas verdes fosforescentes en unas mangueras del sistema de aire.,0,False,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.8224,CLIMATIZACION,CARROCERIA_NEUMATICA,0
F10-L10-0011,SINTETICO,L2,Al encender el boton A/C el ventilador del habitaculo sopla con fuerza pero el aire sale a 28°C; el motor termico no presenta sobrecalentamiento ni variacion de temperatura en tablero.,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.763,CLIMATIZACION,CLIMATIZACION,1
F10-L10-0020,SINTETICO,L2,El termometro colocado en la rejilla central marca 22°C con el A/C al maximo y soplador en velocidad 2; no hay codigos de error de motor ni tirones de combustion.,0,False,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.6327,CLIMATIZACION,MOTOR,0
F10-L10-0022,SINTETICO,L2,"Al cargar gas refrigerante el sistema enfrio a 7°C durante dos semanas, pero luego volvio a botar aire tibio; la manguera de alta presion presenta humedad aceitosa en el crimpado.",0,True,Fuga en mangueras de refrigerante o radiador picado,0.4523,CLIMATIZACION,MOTOR,0
F10-L10-0026,SINTETICO,L3,Conexion de manometros manifold en tomas de servicio R134a a 1500 rpm: linea de baja marca 12 psi (nominal 28-35 psi) y linea de alta marca 95 psi (nominal 180-220 psi). Temperatura en difusor central de 19.5°C con ambiente a 26°C. Lampara de luz ultravioleta revela traza fluorescente de contraste UV en el sello mecanico del eje del compresor confirmando microfuga.,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.8792,CLIMATIZACION,CLIMATIZACION,1
F10-L10-0035,SINTETICO,L3,"Verificacion en vehiculo hibrido/electrico con compresor scroll de alto voltaje trifasico (280V DC): DTC P0A1F registrado en modulo de climatizacion; medicion de resistencia de aislamiento con megohmetro a 500V entre bornes del compresor electrico y chasis mide 120 Megaohmios (aislamiento optimo), pero devanado trifasico U-V mide resistencia infinita por bobina abierta.",1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.4997,CLIMATIZACION,ELECTRICO,0
F10-L10-0037,SINTETICO,L3,Carga completa de 480g de R1234yf realizada en estacion certificada: termometro en difusor marca 4.8°C durante 48 horas. Al quinto dia sube a 17°C y manometros marcan 20 psi estaticos; inspeccion con liquido detector ultravioleta localiza mancha brillante en el racor de la valvula de servicio Schrader de baja presion que no sellaba el obus.,0,False,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.5101,CLIMATIZACION,CARROCERIA_NEUMATICA,0
