clase,macro_sistema,support,precision_f83,recall_f83,f1_f83,precision_c1,recall_c1,f1_c1,delta_recall,delta_f1
Falla en termostato o motoventilador de radiador,MOTOR,32,0.7895,0.9375,0.8571,0.9667,0.9062,0.9355,-0.0312,0.0783
Fallo en inversor de corriente IGBT o motor electrico (EV),ELECTRICO,26,0.875,0.8077,0.84,0.8571,0.9231,0.8889,0.1154,0.0489
Falta o degradacion de aceite de caja de cambios,TRANSMISION,27,0.9286,0.963,0.9455,0.9286,0.963,0.9455,0.0,0.0
Foco o falla en sistema de refrigeracion de bateria/inversor (EV),ELECTRICO,20,0.8182,0.9,0.8571,0.9444,0.85,0.8947,-0.05,0.0376
Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,25,0.913,0.84,0.875,0.95,0.76,0.8444,-0.08,-0.0306
Fuga en mangueras de refrigerante o radiador picado,MOTOR,23,0.7931,1.0,0.8846,0.7692,0.8696,0.8163,-0.1304,-0.0683
Fuga hidraulica o aire en el sistema de frenos,FRENOS,36,0.9394,0.8611,0.8986,0.8824,0.8333,0.8571,-0.0278,-0.0414
Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,19,0.9375,0.7895,0.8571,0.8421,0.8421,0.8421,0.0526,-0.015
Fuga parasita de corriente en reposo (consumo nocturno de bateria),ELECTRICO,20,0.9333,0.7,0.8,0.75,0.9,0.8182,0.2,0.0182
Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,28,0.9615,0.8929,0.9259,0.8519,0.8214,0.8364,-0.0714,-0.0896
Inyectores sucios o filtro de combustible obstruido,MOTOR,38,0.7674,0.8684,0.8148,0.7,0.7368,0.7179,-0.1316,-0.0969
Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,44,0.9111,0.9318,0.9213,0.9167,0.75,0.825,-0.1818,-0.0963
Limpiaparabrisas o motor pluma quemado,CARROCERIA_NEUMATICA,24,1.0,0.875,0.9333,0.9524,0.8333,0.8889,-0.0417,-0.0444
Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,49,0.9388,0.9388,0.9388,0.8913,0.8367,0.8632,-0.102,-0.0756
Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,MOTOR,20,0.7391,0.85,0.7907,0.7619,0.8,0.7805,-0.05,-0.0102
Rodajes de caja mecanica o diferencial gastados,TRANSMISION,26,0.8077,0.8077,0.8077,0.7778,0.8077,0.7925,0.0,-0.0152
Rodajes de transmision manual o eje primario gastados,TRANSMISION,20,1.0,0.8,0.8889,0.8696,1.0,0.9302,0.2,0.0413
Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,21,0.8421,0.7619,0.8,0.5588,0.9048,0.6909,0.1429,-0.1091
Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,28,0.963,0.9286,0.9455,0.7879,0.9286,0.8525,0.0,-0.093
Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,24,0.92,0.9583,0.9388,0.96,1.0,0.9796,0.0417,0.0408
