id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones,source_dataset,source_row_id,source_type,specificity_level,synthetic_or_original
F10L01_0011,C1_G11,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,El motor tiembla en ralenti y pierde un poco de fuerza al acelerar.,COTIDIANO,ralenti y aceleracion,tiembla en ralenti|pierde fuerza,,,NO,NO,,SINTETICO_IA,Sintomas clasicos misfire,dataset_fase10_lote_01.csv,F10L01_0011,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0012,C1_G12,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,Cuando el motor esta caliente empieza a fallar y se siente un cilindro muerto.,TALLER,motor caliente,falla en caliente|cilindro muerto,,,NO,NO,,SINTETICO_IA,Falla termica bobina,dataset_fase10_lote_01.csv,F10L01_0012,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0013,C1_G13,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,Tiembla fuerte parado en el semaforo pero al acelerar mejora un poco.,COTIDIANO,ralenti,tiembla en ralenti,,,NO,SI,Cuerpo de aceleracion o valvula IAC sucia,SINTETICO_IA,Contraste con IAC,dataset_fase10_lote_01.csv,F10L01_0013,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0014,C1_G14,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,El carro vibra y a veces se enciende el check engine con codigo de falla de cilindro.,TALLER,,vibra|check engine,,P0300,NO,NO,,SINTETICO_IA,DTC generico misfire,dataset_fase10_lote_01.csv,F10L01_0014,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0015,C1_G15,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,En frio anda bien pero cuando calienta empieza a dar tirones.,COTIDIANO,motor caliente,tirones en caliente,falla en frio,,NO,SI,Bomba de gasolina quemada o con baja presion,SINTETICO_IA,Contraste termico con bomba,dataset_fase10_lote_01.csv,F10L01_0015,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0016,C1_G16,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,"Se siente como si le faltara chispa, el motor no gira redondo.",TALLER,,falta chispa|motor irregular,,,NO,NO,,SINTETICO_IA,Lenguaje taller,dataset_fase10_lote_01.csv,F10L01_0016,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0017,C1_G17,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,El motor falla mas cuando esta lloviendo o hay mucha humedad.,COTIDIANO,humedad,falla con humedad,,,NO,NO,,SINTETICO_IA,Bobinas fuga humedad,dataset_fase10_lote_01.csv,F10L01_0017,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0018,C1_G18,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,Tiembla en minimo y el check prende intermitente.,WHATSAPP,ralenti,tiembla|check intermitente,,,NO,NO,,SINTETICO_IA,WhatsApp intermitente,dataset_fase10_lote_01.csv,F10L01_0018,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0019,C1_G19,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,"Al acelerar se siente una vibracion y pierde potencia, sobre todo en caliente.",COTIDIANO,aceleracion en caliente,vibracion|pierde potencia,,,NO,NO,,SINTETICO_IA,Carga + temperatura,dataset_fase10_lote_01.csv,F10L01_0019,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0020,C1_G20,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,"El motor no trabaja en los 4 cilindros, se nota el fallo.",TALLER,,falla de cilindro,,,NO,NO,,SINTETICO_IA,Cilindro muerto,dataset_fase10_lote_01.csv,F10L01_0020,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0021,C1_G21,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,Vibra parado y a veces se casi apaga en el semaforo.,COTIDIANO,ralenti,vibra|casi se apaga,,,NO,SI,Cuerpo de aceleracion o valvula IAC sucia,SINTETICO_IA,Puede confundirse con IAC,dataset_fase10_lote_01.csv,F10L01_0021,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0022,C1_G22,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,Codigo P0301 y el motor tiembla del lado del cilindro 1.,TECNICO,,tiembla|codigo P0301,,P0301,NO,NO,,SINTETICO_IA,DTC especifico,dataset_fase10_lote_01.csv,F10L01_0022,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0023,C1_G23,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,El carro da jalones cuando voy a media velocidad.,COTIDIANO,media velocidad,jalones,,,NO,SI,Inyectores sucios o filtro de combustible obstruido,SINTETICO_IA,Jalones vs inyeccion,dataset_fase10_lote_01.csv,F10L01_0023,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0024,C1_G24,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,"Motor rough en caliente, en frio normal.",ERROR_ORTOGRAFICO,motor caliente,rough en caliente,falla en frio,,NO,NO,,SINTETICO_IA,Error ortografico termico,dataset_fase10_lote_01.csv,F10L01_0024,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0025,C1_G25,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,Se siente el motor irregular y consume un poco mas de gasolina.,COTIDIANO,,motor irregular|consumo alto,,,NO,NO,,SINTETICO_IA,Misfire aumenta consumo,dataset_fase10_lote_01.csv,F10L01_0025,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0026,C1_G26,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,El motor tiembla fuerte en ralenti y al acelerar pierde potencia. En caliente empeora. No hay humo y el check engine se prende a veces con P0300.,COTIDIANO,ralenti y carga en caliente,tiembla en ralenti|pierde potencia|check intermitente,humo,P0300,NO,NO,,SINTETICO_IA,L3 con DTC y negacion humo,dataset_fase10_lote_01.csv,F10L01_0026,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0027,C1_G27,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,En frio el motor funciona redondo. Cuando alcanza temperatura empieza a fallar un cilindro y se siente vibracion en el volante. No se apaga y no hay olor a gasolina.,TALLER,transicion a caliente,falla un cilindro en caliente|vibracion volante,se apaga|olor gasolina,,NO,SI,Bomba de gasolina quemada o con baja presion,SINTETICO_IA,Contraste con bomba,dataset_fase10_lote_01.csv,F10L01_0027,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0028,C1_G28,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Codigo P0302. El motor vibra mas del lado del cilindro 2. Al desconectar la bobina de ese cilindro el cambio es minimo. Ralenti inestable solo en caliente.,TECNICO,caliente,codigo P0302|vibracion localizada|ralenti inestable,,P0302,NO,NO,,SINTETICO_IA,Prueba desconexion bobina,dataset_fase10_lote_01.csv,F10L01_0028,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0029,C1_G29,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Tiembla en semaforo y al salir se siente un hueco de potencia. Cuando llueve falla mas. No vibra al frenar ni a velocidad constante en seco.,COTIDIANO,ralenti y humedad,tiembla en ralenti|hueco de potencia|empeora con lluvia,vibra al frenar|vibra en seco a velocidad,,NO,SI,Discos de freno alabeados o desgastados,SINTETICO_IA,Contraste discos alabeados,dataset_fase10_lote_01.csv,F10L01_0029,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0030,C1_G30,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Motor irregular solo en caliente. En ralenti se nota un cilindro que no trabaja bien. Al acelerar fuerte se siente mas el fallo.,TALLER,caliente bajo carga,cilindro irregular|falla al acelerar,,,NO,NO,,SINTETICO_IA,Bobina degradada por calor,dataset_fase10_lote_01.csv,F10L01_0030,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0031,C1_G31,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,El carro vibra parado y en movimiento a baja velocidad. Check Engine con P0301. Cambie la bujia del cilindro 1 y sigue igual. No pierde aceite ni refrigerante.,WHATSAPP,baja velocidad,vibra|P0301|persiste tras cambio bujia,pierde aceite|pierde refrigerante,P0301,NO,NO,,SINTETICO_IA,Descarta bujia orienta bobina,dataset_fase10_lote_01.csv,F10L01_0031,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0032,C1_G32,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Falla intermitente: a veces anda perfecto y de repente empieza a temblar y pierde fuerza. Mas frecuente cuando el motor ya esta caliente. No se relaciona con el nivel de gasolina.,COTIDIANO,caliente intermitente,falla intermitente|tiembla|pierde fuerza,relacion con nivel gasolina,,NO,SI,Bomba de gasolina quemada o con baja presion,SINTETICO_IA,No depende nivel tanque,dataset_fase10_lote_01.csv,F10L01_0032,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0033,C1_G33,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,En ralenti el motor baila y se siente un golpeo irregular. Al subir rpm se suaviza un poco pero no desaparece del todo. Codigo P0303 almacenado.,TECNICO,ralenti,motor baila|golpeo irregular|P0303,,P0303,NO,NO,,SINTETICO_IA,Descripcion tecnica misfire,dataset_fase10_lote_01.csv,F10L01_0033,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0034,C1_G34,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,El motor falla solo cuando esta completamente caliente y con el aire acondicionado prendido. En frio y sin A/C no se nota. No hay humo ni olores raros.,COTIDIANO,caliente con A/C,falla con A/C en caliente,falla en frio|humo|olores,,NO,NO,,SINTETICO_IA,Carga electrica + temperatura,dataset_fase10_lote_01.csv,F10L01_0034,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0035,C1_G35,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Vibracion clara en ralenti que disminuye al acelerar. Se siente como si un cilindro no aportara. No hay ruido de taques ni de cadena. Check a veces enciende.,TALLER,ralenti,vibracion ralenti|cilindro no aporta,ruido taques|ruido cadena,,NO,NO,,SINTETICO_IA,Descarta ruidos mecanicos,dataset_fase10_lote_01.csv,F10L01_0035,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0036,C1_G36,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Despues de cambiar bobinas sigue fallando un poco. Puede ser bujia o cable. El problema es mas notorio en caliente y con humedad.,ERROR_ORTOGRAFICO,caliente y humedad,falla residual|empeora caliente humedad,,,NO,NO,,SINTETICO_IA,Post-reparacion parcial,dataset_fase10_lote_01.csv,F10L01_0036,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0037,C1_G37,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Motor con misfire evidente en cilindro 4. Contador de fallos sube en caliente. Ralenti inestable. No hay codigos de combustible ni de sensores de oxigeno activos.,TECNICO,caliente,misfire cilindro 4|contador fallos|ralenti inestable,codigos combustible|codigos O2,P0304,NO,NO,,SINTETICO_IA,Escaner orientado a encendido,dataset_fase10_lote_01.csv,F10L01_0037,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0038,C1_G38,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Tiembla solo en ralenti. Cuando voy en marcha el motor se siente normal. No vibra el volante a velocidad ni al frenar. El problema es puramente en minimo.,COTIDIANO,solo ralenti,tiembla solo en ralenti,vibra a velocidad|vibra al frenar,,NO,SI,Llantas desbalanceadas o desalineadas,SINTETICO_IA,Contraste balanceo llantas,dataset_fase10_lote_01.csv,F10L01_0038,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0039,C1_G39,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,El auto tiene una falla de encendido que aparece despues de 15-20 minutos de manejo. Se siente un cilindro muerto y el check parpadea a veces. No hay perdida de refrigerante.,TALLER,despues de 15-20 min,cilindro muerto|check parpadea,perdida refrigerante,,NO,SI,Empaque de culata soplado o danado,SINTETICO_IA,Contraste empaque culata,dataset_fase10_lote_01.csv,F10L01_0039,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0040,C1_G40,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,Falla en caliente con codigo P0300. La presion de combustible esta dentro de rango. Las bobinas miden resistencia irregular en dos de ellas. Ralenti inestable.,TECNICO,caliente,P0300|ralenti inestable|bobinas resistencia irregular,presion combustible baja,P0300,NO,NO,,SINTETICO_IA,Medicion apunta a bobinas,dataset_fase10_lote_01.csv,F10L01_0040,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0041,C2_G01,Bomba de gasolina quemada o con baja presion,MOTOR,L1,El carro se ahoga.,COTIDIANO,,se ahoga,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0041,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0042,C2_G02,Bomba de gasolina quemada o con baja presion,MOTOR,L1,Pierde fuerza en la subida.,COTIDIANO,subida,pierde fuerza,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0042,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0043,C2_G03,Bomba de gasolina quemada o con baja presion,MOTOR,L1,Se escucha un zumbido en la parte de atras.,COTIDIANO,,zumbido atras,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0043,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0044,C2_G04,Bomba de gasolina quemada o con baja presion,MOTOR,L1,No tiene fuerza.,COTIDIANO,,sin fuerza,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0044,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0045,C2_G05,Bomba de gasolina quemada o con baja presion,MOTOR,L1,El motor se queda sin gasolina.,TALLER,,sin gasolina,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0045,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0046,C2_G06,Bomba de gasolina quemada o con baja presion,MOTOR,L1,Zumba el tanque.,WHATSAPP,,zumba tanque,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0046,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0047,C2_G07,Bomba de gasolina quemada o con baja presion,MOTOR,L1,Se ahoga cuando acelero.,COTIDIANO,aceleracion,se ahoga,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0047,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0048,C2_G08,Bomba de gasolina quemada o con baja presion,MOTOR,L1,Falta potencia en carretera.,COTIDIANO,carretera,falta potencia,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0048,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0049,C2_G09,Bomba de gasolina quemada o con baja presion,MOTOR,L1,El carro no responde al acelerar fuerte.,COTIDIANO,aceleracion fuerte,no responde,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0049,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0050,C2_G10,Bomba de gasolina quemada o con baja presion,MOTOR,L1,Bomba hace ruido raro.,ERROR_ORTOGRAFICO,,ruido bomba,,,SI,NO,,SINTETICO_IA,L1 bomba,dataset_fase10_lote_01.csv,F10L01_0050,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0051,C2_G11,Bomba de gasolina quemada o con baja presion,MOTOR,L2,Cuando el tanque esta por la mitad o menos el carro pierde fuerza en las subidas.,COTIDIANO,tanque bajo y subida,pierde fuerza|tanque medio,,,NO,NO,,SINTETICO_IA,Clasico bomba debil,dataset_fase10_lote_01.csv,F10L01_0051,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0052,C2_G12,Bomba de gasolina quemada o con baja presion,MOTOR,L2,Se escucha un zumbido fuerte desde el tanque y el auto se ahoga al acelerar.,TALLER,aceleracion,zumbido tanque|se ahoga,,,NO,NO,,SINTETICO_IA,Ruido + presion,dataset_fase10_lote_01.csv,F10L01_0052,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0053,C2_G13,Bomba de gasolina quemada o con baja presion,MOTOR,L2,En carretera a velocidad constante a veces da tirones como si le faltara combustible.,COTIDIANO,carretera velocidad constante,tirones|falta combustible,,,NO,SI,Falla en bujias o bobinas de encendido (misfire),SINTETICO_IA,Contraste misfire,dataset_fase10_lote_01.csv,F10L01_0053,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0054,C2_G14,Bomba de gasolina quemada o con baja presion,MOTOR,L2,Al acelerar fuerte se queda sin fuerza un segundo y despues responde. Mas notorio con poca gasolina.,COTIDIANO,aceleracion fuerte tanque bajo,queda sin fuerza|responde despues,,,NO,NO,,SINTETICO_IA,Hueco potencia,dataset_fase10_lote_01.csv,F10L01_0054,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0055,C2_G15,Bomba de gasolina quemada o con baja presion,MOTOR,L2,La bomba zumba mas de lo normal y el carro no tiene la misma potencia de antes.,TALLER,,zumbido excesivo|falta potencia,,,NO,NO,,SINTETICO_IA,Ruido bomba desgastada,dataset_fase10_lote_01.csv,F10L01_0055,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0056,C2_G16,Bomba de gasolina quemada o con baja presion,MOTOR,L2,En subidas se siente que el motor no recibe suficiente gasolina. En plano casi no se nota.,COTIDIANO,subida,falta gasolina en subida,problema en plano,,NO,NO,,SINTETICO_IA,Sintoma bajo carga,dataset_fase10_lote_01.csv,F10L01_0056,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0057,C2_G17,Bomba de gasolina quemada o con baja presion,MOTOR,L2,Cuando el tanque baja de la mitad empieza a fallar en aceleraciones.,WHATSAPP,tanque bajo,falla en aceleracion|tanque bajo,,,NO,NO,,SINTETICO_IA,WhatsApp nivel,dataset_fase10_lote_01.csv,F10L01_0057,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0058,C2_G18,Bomba de gasolina quemada o con baja presion,MOTOR,L2,Presion de combustible baja en riel cuando se exige carga.,TECNICO,bajo carga,presion baja en riel,,,NO,NO,,SINTETICO_IA,Lenguaje tecnico,dataset_fase10_lote_01.csv,F10L01_0058,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0059,C2_G19,Bomba de gasolina quemada o con baja presion,MOTOR,L2,El auto se ahoga en primera y segunda al salir fuerte. Con el tanque lleno mejora.,COTIDIANO,salida fuerte,se ahoga en 1ra 2da,problema con tanque lleno,,NO,NO,,SINTETICO_IA,Mejora tanque lleno,dataset_fase10_lote_01.csv,F10L01_0059,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0060,C2_G20,Bomba de gasolina quemada o con baja presion,MOTOR,L2,Zumbido agudo debajo del asiento trasero y perdida de potencia en pendientes.,TALLER,pendientes,zumbido bajo asiento|pierde potencia,,,NO,NO,,SINTETICO_IA,Ubicacion bomba,dataset_fase10_lote_01.csv,F10L01_0060,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0061,C2_G21,Bomba de gasolina quemada o con baja presion,MOTOR,L2,A veces parece que se queda sin gas aunque el marcador indique que hay.,COTIDIANO,,parece sin gas|marcador con nivel,,,NO,NO,,SINTETICO_IA,Percepcion falta combustible,dataset_fase10_lote_01.csv,F10L01_0061,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0062,C2_G22,Bomba de gasolina quemada o con baja presion,MOTOR,L2,En caliente y con poca gasolina el carro no responde bien al acelerador.,COTIDIANO,caliente tanque bajo,no responde acelerador,,,NO,SI,Falla en bujias o bobinas de encendido (misfire),SINTETICO_IA,Puede confundirse bobina,dataset_fase10_lote_01.csv,F10L01_0062,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0063,C2_G23,Bomba de gasolina quemada o con baja presion,MOTOR,L2,El motor pierde potencia bajo carga pero el ralenti se mantiene estable.,TALLER,bajo carga,pierde potencia bajo carga,ralenti inestable,,NO,SI,Falla en bujias o bobinas de encendido (misfire),SINTETICO_IA,Contraste ralenti estable,dataset_fase10_lote_01.csv,F10L01_0063,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0064,C2_G24,Bomba de gasolina quemada o con baja presion,MOTOR,L2,Se escucha la bomba trabajando mas fuerte de lo normal al dar contacto.,TALLER,al dar contacto,bomba ruido excesivo,,,NO,NO,,SINTETICO_IA,Ruido al activar,dataset_fase10_lote_01.csv,F10L01_0064,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0065,C2_G25,Bomba de gasolina quemada o con baja presion,MOTOR,L2,"Falta de potencia progresiva, peor cuando el tanque esta bajo.",COTIDIANO,tanque bajo,falta potencia progresiva,,,NO,NO,,SINTETICO_IA,Evolucion progresiva,dataset_fase10_lote_01.csv,F10L01_0065,LOTE_ESTRATIFICADO_L1_L2_L3,L2,SINTETICO_IA
F10L01_0066,C2_G26,Bomba de gasolina quemada o con baja presion,MOTOR,L3,Cuando el tanque esta por debajo de la mitad el carro pierde fuerza en subidas y a veces se ahoga al acelerar fuerte. El ralenti es estable y no hay codigos de misfire. Se escucha zumbido en el tanque.,COTIDIANO,tanque bajo subida,pierde fuerza|se ahoga|zumbido tanque,ralenti inestable|codigos misfire,,NO,SI,Falla en bujias o bobinas de encendido (misfire),SINTETICO_IA,Contraste fuerte misfire,dataset_fase10_lote_01.csv,F10L01_0066,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0067,C2_G27,Bomba de gasolina quemada o con baja presion,MOTOR,L3,Presion de combustible en riel cae bajo carga. En ralenti mantiene presion pero al acelerar baja notablemente. Zumbido excesivo de la bomba. No hay olor a gasolina en el vano.,TECNICO,bajo carga,presion cae bajo carga|zumbido bomba,olor gasolina vano,,NO,SI,Inyectores sucios o filtro de combustible obstruido,SINTETICO_IA,Contraste inyectores,dataset_fase10_lote_01.csv,F10L01_0067,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
F10L01_0068,C2_G28,Bomba de gasolina quemada o con baja presion,MOTOR,L3,En carretera con el tanque a un cuarto el motor da tirones cortos al mantener velocidad. Si piso mas el acelerador se recupera. En ciudad con tanque lleno no se nota. No hay Check Engine.,COTIDIANO,carretera tanque bajo,tirones al mantener velocidad|se recupera al acelerar,problema con tanque lleno|check engine,,NO,NO,,SINTETICO_IA,Crucero nivel bajo,dataset_fase10_lote_01.csv,F10L01_0068,LOTE_ESTRATIFICADO_L1_L2_L3,L3,SINTETICO_IA
