[G1_01] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.66) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Baja presion de aceite o bomba de aceite defectuosa | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_12] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.98) | Top2=Consumo de aceite por desgaste de anillos o retenes | Top3=Inyectores sucios o filtro de combustible obstruido | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_13] Macro=MOTOR | Top1=Falla en sensor de oxigeno o mezcla rica (0.85) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Inyectores sucios o filtro de combustible obstruido | Inter=False | Final=Falla en sensor de oxigeno o mezcla rica
[G1_14] Macro=MOTOR | Top1=Pendiente de comparar el modo de combustible (0.00) | Top2=N/A | Top3=N/A | Inter=True | Final=Consulta fuera del alcance automotriz
[G1_15] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.74) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo) | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_16] Macro=FRENOS | Top1=Fuga hidraulica o aire en el sistema de frenos (0.93) | Top2=Falla en servofreno (booster) o linea de vacio | Top3=Desgaste de pastillas y zapatas de freno | Inter=False | Final=Fuga hidraulica o aire en el sistema de frenos
[G1_17] Macro=FRENOS | Top1=Falla en servofreno (booster) o linea de vacio (0.96) | Top2=Discos de freno alabeados o desgastados | Top3=Fuga hidraulica o aire en el sistema de frenos | Inter=False | Final=Falla en servofreno (booster) o linea de vacio
[G1_18] Macro=FRENOS | Top1=Desgaste de pastillas y zapatas de freno (0.59) | Top2=Llantas desbalanceadas o desalineadas | Top3=Juntas homocineticas o palieres danados | Inter=False | Final=Desgaste de pastillas y zapatas de freno
[G1_19] Macro=SUSPENSION_CHASIS | Top1=Llantas desbalanceadas o desalineadas (0.66) | Top2=Discos de freno alabeados o desgastados | Top3=Falla en servofreno (booster) o linea de vacio | Inter=False | Final=Llantas desbalanceadas o desalineadas
[G1_20] Macro=SUSPENSION_CHASIS | Top1=Llantas desbalanceadas o desalineadas (0.97) | Top2=Juntas homocineticas o palieres danados | Top3=Desgaste de pastillas y zapatas de freno | Inter=False | Final=Llantas desbalanceadas o desalineadas
[G1_21] Macro=FRENOS | Top1=Falla en sensor de velocidad de rueda ABS (0.76) | Top2=Desgaste de pastillas y zapatas de freno | Top3=Fuga hidraulica o aire en el sistema de frenos | Inter=False | Final=Falla en sensor de velocidad de rueda ABS
[G1_22] Macro=MOTOR | Top1=Consulta fuera del alcance automotriz (0.00) | Top2=N/A | Top3=N/A | Inter=False | Final=Consulta fuera del alcance automotriz
[G1_23] Macro=TRANSMISION | Top1=Falta o degradacion de aceite de caja de cambios (0.65) | Top2=Sobrecalentamiento o solenoides en caja automatica CVT / DSG | Top3=Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW) | Inter=False | Final=Falta o degradacion de aceite de caja de cambios
[G1_24] Macro=TRANSMISION | Top1=Sobrecalentamiento o solenoides en caja automatica CVT / DSG (0.76) | Top2=Inyectores sucios o filtro de combustible obstruido | Top3=Bomba de gasolina quemada o con baja presion | Inter=False | Final=Sobrecalentamiento o solenoides en caja automatica CVT / DSG
[G1_25] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.83) | Top2=Disco de embrague desgastado o patinando | Top3=Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW) | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_26] Macro=TRANSMISION | Top1=Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW) (0.96) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Falla en bombin o bomba hidraulica de embrague | Inter=False | Final=Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW)
[G1_27] Macro=MOTOR | Top1=Auto-pregunta técnica de descarte enviada (0.26) | Top2=Falla en bujias o bobinas de encendido (misfire) | Top3=Bomba de gasolina quemada o con baja presion | Inter=True | Final=Falla en sensor de oxigeno o mezcla rica
[G1_28] Macro=TRANSMISION | Top1=Falla en bombin o bomba hidraulica de embrague (0.64) | Top2=Disco de embrague desgastado o patinando | Top3=Sobrecalentamiento o solenoides en caja automatica CVT / DSG | Inter=False | Final=Falla en bombin o bomba hidraulica de embrague
[G1_29] Macro=TRANSMISION | Top1=Falla en bombin o bomba hidraulica de embrague (0.89) | Top2=Falta o degradacion de aceite de caja de cambios | Top3=Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW) | Inter=False | Final=Falla en bombin o bomba hidraulica de embrague
[G1_30] Macro=TRANSMISION | Top1=Disco de embrague desgastado o patinando (0.95) | Top2=Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW) | Top3=Bomba de gasolina quemada o con baja presion | Inter=False | Final=Disco de embrague desgastado o patinando
[G1_31] Macro=SUSPENSION_CHASIS | Top1=Llantas desbalanceadas o desalineadas (0.99) | Top2=Amortiguadores reventados o bujes de suspension gastados | Top3=Cremallera de direccion asistida con holgura o fuga | Inter=False | Final=Llantas desbalanceadas o desalineadas
[G1_32] Macro=SUSPENSION_CHASIS | Top1=Juntas homocineticas o palieres danados (0.64) | Top2=Llantas desbalanceadas o desalineadas | Top3=Cremallera de direccion asistida con holgura o fuga | Inter=False | Final=Juntas homocineticas o palieres danados
[G1_33] Macro=SUSPENSION_CHASIS | Top1=Llantas desbalanceadas o desalineadas (0.94) | Top2=Rodajes de caja mecanica o diferencial gastados | Top3=Juntas homocineticas o palieres danados | Inter=False | Final=Llantas desbalanceadas o desalineadas
[G1_34] Macro=SUSPENSION_CHASIS | Top1=Llantas desbalanceadas o desalineadas (0.67) | Top2=Falla en sensor de oxigeno o mezcla rica | Top3=Inyectores sucios o filtro de combustible obstruido | Inter=False | Final=Llantas desbalanceadas o desalineadas
[G1_35] Macro=SUSPENSION_CHASIS | Top1=Cremallera de direccion asistida con holgura o fuga (0.95) | Top2=Llantas desbalanceadas o desalineadas | Top3=Juntas homocineticas o palieres danados | Inter=False | Final=Cremallera de direccion asistida con holgura o fuga
[G1_36] Macro=SUSPENSION_CHASIS | Top1=Llantas desbalanceadas o desalineadas (0.99) | Top2=Juntas homocineticas o palieres danados | Top3=Amortiguadores reventados o bujes de suspension gastados | Inter=False | Final=Llantas desbalanceadas o desalineadas
[G1_37] Macro=MOTOR | Top1=Falla en termostato o motoventilador de radiador (0.91) | Top2=Falla en bujias o bobinas de encendido (misfire) | Top3=Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas) | Inter=False | Final=Falla en termostato o motoventilador de radiador
[G1_38] Macro=MOTOR | Top1=Falla en termostato o motoventilador de radiador (0.71) | Top2=Fuga en mangueras de refrigerante o radiador picado | Top3=Baja presion de aceite o bomba de aceite defectuosa | Inter=False | Final=Falla en termostato o motoventilador de radiador
[G1_39] Macro=MOTOR | Top1=Auto-pregunta técnica de descarte enviada (0.26) | Top2=Faja o cadena de distribucion destensada o con salto de punto | Top3=Empaque de culata soplado o danado | Inter=True | Final=Fuga en mangueras de refrigerante o radiador picado
[G1_40] Macro=MOTOR | Top1=Baja presion de aceite o bomba de aceite defectuosa (0.67) | Top2=Cuerpo de aceleracion o valvula IAC sucia | Top3=Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas) | Inter=False | Final=Baja presion de aceite o bomba de aceite defectuosa
[G1_41] Macro=MOTOR | Top1=Baja presion de aceite o bomba de aceite defectuosa (0.53) | Top2=Falla en bujias o bobinas de encendido (misfire) | Top3=Faja o cadena de distribucion destensada o con salto de punto | Inter=False | Final=Baja presion de aceite o bomba de aceite defectuosa
[G1_42] Macro=ELECTRICO | Top1=Alternador defectuoso o placa de diodos quemada (0.87) | Top2=Falla en sensor de oxigeno o mezcla rica | Top3=Inyectores sucios o filtro de combustible obstruido | Inter=False | Final=Alternador defectuoso o placa de diodos quemada
[G1_43] Macro=ELECTRICO | Top1=Bateria descargada o bornes sulfatados (0.79) | Top2=Alternador defectuoso o placa de diodos quemada | Top3=Cuerpo de aceleracion o valvula IAC sucia | Inter=False | Final=Bateria descargada o bornes sulfatados
[G1_44] Macro=ELECTRICO | Top1=Bateria descargada o bornes sulfatados (0.88) | Top2=Alternador defectuoso o placa de diodos quemada | Top3=Fallo en inversor de corriente IGBT o motor electrico (EV) | Inter=False | Final=Bateria descargada o bornes sulfatados
[G1_45] Macro=ELECTRICO | Top1=Alternador defectuoso o placa de diodos quemada (0.84) | Top2=Bateria descargada o bornes sulfatados | Top3=Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos) | Inter=False | Final=Alternador defectuoso o placa de diodos quemada
[G1_46] Macro=CARROCERIA_NEUMATICA | Top1=Fugas de aire o fallos en el sistema de frenos neumático (Camiones) (0.58) | Top2=Falla en termostato o motoventilador de radiador | Top3=Falla en compresor de aire acondicionado o fuga de gas R134a | Inter=False | Final=Fugas de aire o fallos en el sistema de frenos neumático (Camiones)
[G1_47] Macro=MOTOR | Top1=Auto-pregunta técnica de descarte enviada (0.42) | Top2=Discos de freno alabeados o desgastados | Top3=Bomba de gasolina quemada o con baja presion | Inter=True | Final=Válvula de freno de aire o secador APS obstruido (Camiones)
[G1_48] Macro=MOTOR | Top1=Bomba de gasolina quemada o con baja presion (0.66) | Top2=Discos de freno alabeados o desgastados | Top3=Fuga en mangueras de intercooler o turbocompresor danado | Inter=False | Final=Bomba de gasolina quemada o con baja presion
[G1_49] Macro=MOTOR | Top1=Auto-pregunta técnica de descarte enviada (0.38) | Top2=Cuerpo de aceleracion o valvula IAC sucia | Top3=Bomba de gasolina quemada o con baja presion | Inter=True | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_50] Macro=SUSPENSION_CHASIS | Top1=Llantas desbalanceadas o desalineadas (0.84) | Top2=Bateria descargada o bornes sulfatados | Top3=Cremallera de direccion asistida con holgura o fuga | Inter=False | Final=Llantas desbalanceadas o desalineadas
