CHG_ID,TITULO_PROPUESTA,PROBLEMA_ORIGEN,EVIDENCIA_AUDITORIA,EVIDENCIA_DOCUMENTAL_EXTERNA,UTILIZA_VALORES_TECNICOS,UTILIZA_PROCEDIMIENTOS,REQUIERE_FUENTE,FUENTE_DISPONIBLE,RESPALDA_EXACTO,DEPENDE_VEHICULO,DEPENDE_OEM,IMPLICA_SEGURIDAD,REQUIERE_VALIDACION_MANUAL,CLASIFICACION,DECISION,PARTE_EXACTA_IMPLEMENTABLE
CHG-011,Reemplazar chunk stub de 56 car. en Nissan Versa 2021,Chunk con solo 56 caracteres triviales sin contenido técnico diagnóstico real,Confirmado en auditoría: archivo manual_nissan_versa.txt contiene un stub,El manual de servicio oficial de taller de Nissan Versa 2021 no se encuentra en el proyecto,RAG-PLAN propone procedimientos sin respaldo de manual PDF oficial en repo,Propuesta de mantenimiento y pares de apriete redactados sintéticamente en el plan,"SÍ, de forma obligatoria",NO DISPONIBLE EN PROYECTO (falta manual de servicio oficial Nissan),No respalda el texto propuesto,Sí (Nissan Versa HR16DE),Sí (Nissan Motor Co.),Medio (mantenimiento y frenos),Sí,C — REQUIERE FUENTE,REQUIERE_FUENTE,Se autoriza únicamente la marca de deprecación o exclusión del stub de 56 car. El nuevo texto queda BLOQUEADO hasta incorporar el manual OEM oficial con licencia verificada.
CHG-012,Reemplazar chunk stub de 56 car. en Toyota Corolla 2019,Chunk con solo 56 caracteres triviales sin valor técnico de taller,Confirmado en auditoría: manual_toyota_corolla.txt contiene stub,Manual de taller oficial Toyota Corolla 2019 no se encuentra localmente,Propuesta sintética en RAG-PLAN,Propuesta sintética en RAG-PLAN,"SÍ, de forma obligatoria",NO DISPONIBLE EN PROYECTO (falta manual de servicio oficial Toyota TIS),No,Sí (Toyota Corolla 2ZR-FAE/M20A),Sí (Toyota Motor Corp.),Medio,Sí,C — REQUIERE FUENTE,REQUIERE_FUENTE,Se autoriza la exclusión/depuración del stub. La inyección de nuevo texto queda BLOQUEADA hasta disponer del manual OEM oficial correspondiente.
CHG-013,Incorporar bloque obligatorio de seguridad de Alta Tensión en EV/HV,Riesgo de electrocución en sistemas de tracción híbridos y eléctricos (>60V DC hasta 650V DC),Auditoría de seguridad P0 detectó falta de consignación estricta,Norma SAE J2344 / UNECE R100. En el proyecto NO existen los manuales OEM completos de Prius,"60V DC (umbral), 1000V (Clase 0), CAT III 1000V / CAT IV 600V (normativos universales)",Desconexión de clavija de servicio (Service Plug) y verificación de tensión nula,"Sí, para los procedimientos paso a paso de desarmado de inversor",Parcial (normas generales de alta tensión conocidas; manual específico ausente),Respalda la advertencia y el EPP; no respalda pasos invasivos de desarmado,Sí (Toyota Hybrid Synergy Drive y BEVs),Sí,CRÍTICO (P0),"Sí, obligatoria",B — PARCIALMENTE RESPALDADO,IMPLEMENTABLE_PARCIALMENTE,Se aprueba incorporar la ADVERTENCIA NORMATIVA de seguridad pasiva y derivación obligatoria a personal certificado (Regla 17). Se BLOQUEA cualquier instrucción invasiva de despiece o apertura interna de inversor/batería.
CHG-014,"Incorporar advertencia de inyección subcutánea en Common Rail (1,600+ bar)",Procedimientos diésel actuales omiten advertir el peligro de penetración de microchorros diésel a través de la piel,RAG_PROC_049 y afines omiten advertencia de seguridad crítica,Norma ISO 2974 y manuales Bosch Common Rail sobre riesgos de fluidos a ultra-alta presión,"1,600 a 2,200 bar (rango normativo documentado)",No colocar dedos ni cartón; esperar despresurización tras parada de motor,No requiere fuente adicional para la cláusula de advertencia de peligro,Sí (conocimiento de seguridad industrial automotriz verificable),"Sí, para la advertencia pasiva",No (aplica a todos los motores Common Rail),No,CRÍTICO (P0),No para la advertencia estándar,A — RESPALDADO,IMPLEMENTABLE_POSTERIORMENTE,"Incorporar cláusula textual estándar de seguridad: 'PELIGRO CRÍTICO: Circuito presurizado a más de 1,600 bar. Riesgo de inyección subcutánea y necrosis. Prohibido manipular cañerías con motor girando. Esperar mínimo 5 minutos tras apagado para despresurización residual.'"
CHG-015,Protocolo de despresurización de línea de gasolina antes de apertura,Riesgo de derrame de combustible a presión sobre escape caliente o chispas e incendio de taller,Procedimientos de inyectores y filtro de gasolina omiten paso previo de alivio de presión,Manuales de taller multimarca y procedimientos de servicio automotriz estándar,Presión residual 3.5 a 4.0 bar (45 - 60 PSI),"Extraer fusible de bomba, dar arranque hasta calado, luego desconectar batería",No requiere fuente adicional (práctica obligatoria de seguridad de taller),Sí,Sí,No,No,CRÍTICO (P0),No,A — RESPALDADO,IMPLEMENTABLE_POSTERIORMENTE,"Incorporar paso previo universal obligatorio a todos los chunks de inyectores, filtro y bomba: '1. Desconectar relé/fusible de bomba de combustible. 2. Dar arranque al motor hasta que se apague por agotamiento de combustible. 3. Desconectar borne negativo de batería antes de abrir racores.'"
CHG-016,Procedimiento de diagnóstico dinámico de A/C (carretera vs detenido),"El RAG carece de diferenciación entre soplador de cabina, falta de flujo forzado en condensador y compresor",0 chunks en RAG actual explican por qué el A/C enfría al circular pero sale tibio al detenerse en semáforos,Principios psicrométricos y termodinámicos de ciclo de refrigeración automotriz,Valores numéricos de PSI y RPM propuestos en el plan fueron redactados por IA sin tabla OEM,Inspección de giro de motoventilador exterior de condensador vs presión de alta,SÍ para los valores exactos de presión en baja y alta en función de temperatura ambiente,Parcial (lógica diagnóstica cualitativa verificada; tabla numérica oficial ausente),Respalda la lógica cualitativa; NO respalda los valores numéricos fijos,No para el principio cualitativo; Sí para presiones exactas (R134a vs R1234yf),Sí (tablas de servicio Denso / Sanden / Valeo),Medio (refrigerante y partes en movimiento),Sí,B — PARCIALMENTE RESPALDADO,IMPLEMENTABLE_PARCIALMENTE,Se aprueba la SECUENCIA CUALITATIVA de diagnóstico: 1) Verificar si el motoventilador exterior de condensador enciende al pulsar el botón A/C; 2) Limpiar aletas de condensador si están obstruidas por suciedad. Se BLOQUEAN los valores numéricos fijos de presión PSI hasta incorporar tabla técnica psicrométrica oficial OEM.
CHG-017,Incorporar preguntas discriminantes explícitas y descarte en Grupos A a E,"Cadenas diagnósticas incompletas en 40 clases del RAG, provocando sugerencias genéricas",RAG-AUDIT detectó que solo 21 clases poseen cadena relativamente completa,Las propuestas de preguntas y descarte de RAG-PLAN fueron generadas por IA (PLAN_ONLY_UNVERIFIED),Varios umbrales propuestos sin verificación documental,Árboles de decisión sintéticos,"SÍ, obligatoria para los criterios de descarte no mecánicos directos","Parcial: pruebas físicas y metrológicas directas están verificadas (Grupo C, D, E). Grupos A y B requieren validación",No respalda la redacción completa del plan,Parcial,Parcial,Medio,"SÍ, obligatoria",C — REQUIERE FUENTE / REQUIERE_VALIDACION_MANUAL,REQUIERE_VALIDACION_MANUAL,Se aprueban únicamente los discriminadores físicos/metrológicos de taller ya auditados: 1) Reloj comparador y prueba en frenado para Discos Alabeados vs Llantas Desbalanceadas (Grupo C); 2) Multímetro en bornes para Batería vs Alternador (Grupo D); 3) Patinamiento en 3ra/4ta bajo carga vs zumbido de collarín (Grupo E). Se BLOQUEA la incorporación de ramas sintéticas para Grupos A y B hasta validar con manuales de taller o asesor técnico.
CHG-018,Migración de los 239 registros al formato de schema enriquecido schema_v2,"Schema v1 no tiene campos estructurados para herramientas, descarte, precondiciones ni niveles de seguridad",Identificado en análisis de arquitectura y limitaciones de metadatos,Estándar Pydantic y modelos de datos JSON estructurados,No aplica (diseño puramente arquitectural de metadatos),No aplica,No (cambio estructural y de ingeniería de software),Sí (código del backend),Sí,No,No,No,No,E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,Aprobado al 100% como evolución de arquitectura y schema de datos (Pydantic / JSON Schema). Permite campos opcionales con fallback seguro hacia schema v1 sin alterar el contenido técnico de los textos.
CHG-019,"Integrar lookup relacional SQLite para el catálogo DTC (18,805 códigos) en query builder","Incorporar 18,805 códigos DTC en FAISS saturaría el índice vectorial con texto microscópico de baja relevancia",Identificado en análisis arquitectural DTC,"La base dtc_codes.db existe físicamente en machine_learning/data/fuentes_abiertas/dtc_codes.db (18,805 definiciones)",No aplica,Lookup relacional por clave exacta DTC en milisegundos,No (la base de datos SQLite ya está en el repositorio),Sí (dtc_codes.db),"Sí, para código y descripción textual",No (contiene códigos genéricos y por fabricante),Sí (soporta desglose por fabricante),No,No,E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Aprobado al 100% como módulo relacional estructurado independiente (DTC_LOOKUP) desacoplado de FAISS. Prohibido indexar los 18,805 códigos en el vector store. El query builder consultará SQLite de forma exacta."
CHG-020,Generar manifiesto posicional estricto con hashes SHA-256 (corpus_manifest.json),Riesgo crítico de desalineación posicional entre el índice FAISS (vector N) y los metadatos JSON (registro N),Riesgo de arquitectura RSK-01 documentado en auditoría RAG,Mejores prácticas en compilación de índices vectoriales densos,Hashes SHA-256 de integridad,Validación criptográfica previa y posterior al build,No (garantía de integridad de software),Sí (herramientas estándar hashlib de Python),Sí,No,No,No (seguridad de datos e integridad algorítmica),No,E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,Aprobado al 100% como requisito obligatorio previo a cualquier compilación de RAG_CANDIDATO_V1. Todo build deberá generar y verificar corpus_manifest.json asegurando orden 1:1 inmutable.
