ID_C1,CLASE_EXACTA,MACRO,COBERTURA_RAG_ACTUAL,CADENA_ACTUAL,FUENTES_EXTERNAS_DISPONIBLES,DESCRIPCION,SINTOMAS,CAUSAS,PREGUNTAS_DISCRIMINANTES,PRUEBA,HERRAMIENTA,PRECONDICIONES,RESULTADOS,INTERPRETACION,REFUERZA,DEBILITA,DESCARTA,SIGUIENTE_ACCION,DTC,SEGURIDAD,VEHICLE_SCOPE,ESTADO_DOCUMENTAL,ACCION_FUTURA,ESTADO_RAG_ACTUAL,CONTENIDO_CONSERVAR,CONTENIDO_CORREGIR,CONTENIDO_AGREGAR_RESPALDADO,CONTENIDO_PENDIENTE,FUENTES,RIESGO,PRIORIDAD
11,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,n=8,COMPLETA,"dtc_codes.db (P0505-P0507, P2135), zenodo (IAC/Throttle), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=8 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0505-P0507, P2135), zenodo (IAC/Throttle), manual_procedimientos.txt",Alto,P3
12,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),ELECTRICO,n=1,INSUFICIENTE,"dtc_codes.db (P0A80, P0A7F), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,VERIFICADO,Híbridos / EV (Tracción Alta Tensión),PARCIAL,BLOQUEADO_REQUIERE_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0A80, P0A7F), manual_procedimientos.txt",Crítico (P0),P0
13,Desgaste de pastillas y zapatas de freno,FRENOS,n=4,PARCIAL,"manual_procedimientos.txt, zenodo (Brake pads wear)",VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=4 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"manual_procedimientos.txt, zenodo (Brake pads wear)",Alto,P3
14,Desgaste en collarin de empuje o crapodina de embrague,TRANSMISION,n=1,INSUFICIENTE,manual_procedimientos.txt (estetoscopio acústico de taller),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (estetoscopio acústico de taller),Medio,P2
15,Disco de embrague desgastado o patinando,TRANSMISION,"n=7 (-3 chunks misclass a A/C, DSG, TCC)",COMPLETA,manual_procedimientos.txt (prueba dinámica de aceleración),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,"n=7 (-3 chunks misclass a A/C, DSG, TCC) chunks en metadatos_manuales.json. Cadena completa.",Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (prueba dinámica de aceleración),Medio,P1
16,Discos de freno alabeados o desgastados,FRENOS,n=2,PARCIAL,manual_procedimientos.txt (reloj comparador centesimal y micrómetro),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=2 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (reloj comparador centesimal y micrómetro),Alto,P3
17,Elevalunas electrico o guaya de alzacristales rota o trabada,CARROCERIA_NEUMATICA,n=2,PARCIAL,manual_procedimientos.txt (inspección de guayas y motor alzacristales),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=2 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (inspección de guayas y motor alzacristales),Medio,P3
18,Empaque de culata soplado o danado,MOTOR,n=3,PARCIAL,"dtc_codes.db (P0300 misfire asociado), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=3 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0300 misfire asociado), manual_procedimientos.txt",Alto,P3
19,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,n=4,PARCIAL,"dtc_codes.db (P0016, P0017), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=4 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0016, P0017), manual_procedimientos.txt",Alto,P3
20,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,n=1,INSUFICIENTE,manual_procedimientos.txt (inspección visual boca de llenado y colador),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Inyección Directa / Downsizing Turbo,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (inspección visual boca de llenado y colador),Alto,P2
21,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P0300), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Inyección Directa / Downsizing Turbo,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0300), manual_procedimientos.txt",Alto,P2
22,Falla electrica del cierre centralizado o actuador de puerta,CARROCERIA_NEUMATICA,n=5,COMPLETA,"dtc_codes.db (B1234), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=5 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (B1234), manual_procedimientos.txt",Medio,P3
23,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),CARROCERIA_NEUMATICA,n=1,INSUFICIENTE,manual_procedimientos.txt (prueba manométrica neumática 85-100 PSI),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,VERIFICADO,Universal / Multimarca Liviano,PARCIAL,BLOQUEADO_REQUIERE_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (prueba manométrica neumática 85-100 PSI),Crítico (P0),P0
24,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P0299, P0234), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Inyección Directa / Downsizing Turbo,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0299, P0234), manual_procedimientos.txt",Alto,P2
25,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,n=2,PARCIAL,manual_procedimientos.txt (purga y carrera hidráulica),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=2 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (purga y carrera hidráulica),Medio,P3
26,Falla en bujias o bobinas de encendido (misfire),MOTOR,n=29 (-4 chunks misclass a EVAP/TPMS),PARCIAL,"dtc_codes.db (P0300-P0308), obdex (P0300), zenodo, manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=29 (-4 chunks misclass a EVAP/TPMS) chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0300-P0308), obdex (P0300), zenodo, manual_procedimientos.txt",Alto,P1
27,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),TRANSMISION,n=8,COMPLETA,"dtc_codes.db (P0741, P17BF), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Transmisión Automática / Robotizada,FUENTE_VERIFICADA,CONSERVAR,n=8 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0741, P17BF), manual_procedimientos.txt",Medio,P3
28,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P0201-P0208), obdex (P0201), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0201-P0208), obdex (P0201), manual_procedimientos.txt",Alto,P2
29,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,n=5 (+1 chunk misclass: PROC_060),COMPLETA,"dtc_codes.db (B1000-B1421), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,CORREGIR_METADATA,n=5 (+1 chunk misclass: PROC_060) chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (B1000-B1421), manual_procedimientos.txt",Medio,P1
30,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P2002, P20EE), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Diésel / Camiones Comerciales,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P2002, P20EE), manual_procedimientos.txt",Alto,P2
31,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P0627, U0109), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0627, U0109), manual_procedimientos.txt",Alto,P2
