sintoma,falla
el carro calienta rapido cuando estoy en el trafico de Lima,Sobrecalentamiento del sistema de refrigeracion
bota agua del reservorio y calienta el motor feo,Sobrecalentamiento del sistema de refrigeracion
el electroventilador no prende y sube la temperatura al limite,Sobrecalentamiento del sistema de refrigeracion
hirvio el agua del radiador y bota humo blanco por el capo,Sobrecalentamiento del sistema de refrigeracion
se recalienta el motor al estar parado en la cola del peaje,Sobrecalentamiento del sistema de refrigeracion
temperatura al tope y bota vapor de refrigerante,Sobrecalentamiento del sistema de refrigeracion
el motor hirvio bajando del puente y bota vapor,Sobrecalentamiento del sistema de refrigeracion
calentamiento del motor bota humo y vapor por el capo,Sobrecalentamiento del sistema de refrigeracion
aguja de temperatura al maximo bota agua y refrigerante,Sobrecalentamiento del sistema de refrigeracion
el carro se recalienta parado en el trafico del semaforo,Sobrecalentamiento del sistema de refrigeracion
motor hirviendo bota vapor caliente por el reservorio,Sobrecalentamiento del sistema de refrigeracion
termostato trancado radiador hirviendo bota refrigerante,Sobrecalentamiento del sistema de refrigeracion
fuga de agua en manguera de radiador motor recalentado,Sobrecalentamiento del sistema de refrigeracion
temperatura critica en el motor vapor por el deposito de expansion,Sobrecalentamiento del sistema de refrigeracion
electroventilador quemado provoca sobrecalentamiento de motor,Sobrecalentamiento del sistema de refrigeracion
bomba de agua rota el motor hirvio en carretera,Sobrecalentamiento del sistema de refrigeracion
calentamiento excesivo bota refrigerante hirviendo,Sobrecalentamiento del sistema de refrigeracion
el timon tiembla bastante cuando voy a mas de 80 kilometros por hora,Llantas desalineadas o desbalanceadas
vibra la direccion del carro a alta velocidad en la autopista,Llantas desalineadas o desbalanceadas
vibracion en el timon pasando los 70 km por hora,Llantas desalineadas o desbalanceadas
las llantas delanteras se sacuden al correr por la carretera,Llantas desalineadas o desbalanceadas
el volante tiembla en pista plana corriendo arriba de 80,Llantas desalineadas o desbalanceadas
siento que el timon cabecea a alta velocidad,Llantas desalineadas o desbalanceadas
vibracion constante en la direccion al agarrar velocidad,Llantas desalineadas o desbalanceadas
se sacude el timon feo cuando acelero rapido,Llantas desalineadas o desbalanceadas
vibracion en el timon al pasar los 80 kmh en carretera,Llantas desalineadas o desbalanceadas
timon se sacude feo corriendo a alta velocidad,Llantas desalineadas o desbalanceadas
volante tiembla en la carretera Panamericana a 80,Llantas desalineadas o desbalanceadas
sacudida constante de la direccion al acelerar a 90 kmh,Llantas desalineadas o desbalanceadas
desbalanceo de llantas produce vibracion en timon a velocidad constante,Llantas desalineadas o desbalanceadas
el vehiculo se jala hacia un lado al soltar el timon en recta,Llantas desalineadas o desbalanceadas
desgaste irregular en bordes de llantas y timon desalineado,Llantas desalineadas o desbalanceadas
sacudida de volante sin pisar freno solo por correr a 100kmh,Llantas desalineadas o desbalanceadas
llantas traseras desbalanceadas vibracion en el chasis a alta velocidad,Llantas desalineadas o desbalanceadas
timon chueco y vibracion de ruedas en autopista,Llantas desalineadas o desbalanceadas
suena un clac clac fuerte al girar todo el timon para doblar,Juntas homocineticas o palieres dañados
cuando doblo la esquina suena un crujido feo en la direccion,Juntas homocineticas o palieres dañados
suena un traqueteo en la llanta delantera al dar la vuelta,Juntas homocineticas o palieres dañados
clac clac feo al doblar a la derecha en la esquina,Juntas homocineticas o palieres dañados
el palier suena feo al girar todo el timon para estacionar,Juntas homocineticas o palieres dañados
crujido metalico en la rueda al dar vuelta en U,Juntas homocineticas o palieres dañados
suena clac clac clac cuando giro el timon hacia la izquierda,Juntas homocineticas o palieres dañados
traqueteo constante en las ruedas delanteras al doblar,Juntas homocineticas o palieres dañados
suena clac clac en la rueda al doblar a la derecha,Juntas homocineticas o palieres dañados
palier suena feo al girar el timon completito,Juntas homocineticas o palieres dañados
traqueteo fuerte en la llanta al dar la vuelta en esquina,Juntas homocineticas o palieres dañados
crujido en la direccion al doblar la esquina rapido,Juntas homocineticas o palieres dañados
fuelle de palier roto voto grasa y suena clac clac al doblar,Juntas homocineticas o palieres dañados
junta homocinetica destruida traba el giro al estacionar,Juntas homocineticas o palieres dañados
sonido metralleta clac clac en llantas delanteras al girar volante,Juntas homocineticas o palieres dañados
crujido metalico seco al doblar todo el timon en marcha,Juntas homocineticas o palieres dañados
palier desgastado cruje feo en curvas cerradas,Juntas homocineticas o palieres dañados
traqueteo mecanico en eje de transmision al girar a fondo,Juntas homocineticas o palieres dañados
el carro se aguanta o pierde fuerza cuando acelero,Filtro o inyectores de combustible obstruidos
siento que el auto pierde potencia y no responde al acelerador,Filtro o inyectores de combustible obstruidos
el carro se chupa o tironea al meter la segunda marcha,Filtro o inyectores de combustible obstruidos
piso a fondo y el carro no piquea se queda aguantado,Filtro o inyectores de combustible obstruidos
el carro no acelera bien y tironea en las subidas,Filtro o inyectores de combustible obstruidos
se chupa el motor cuando acelero para adelantar un bus,Filtro o inyectores de combustible obstruidos
la caña pierde fuerza y parece que se fuera a ahogar,Filtro o inyectores de combustible obstruidos
el auto da tirones y no avanza rapido al acelerar,Filtro o inyectores de combustible obstruidos
carro se chupa y pierde potencia al pisar el acelerador,Filtro o inyectores de combustible obstruidos
auto tironea y no avanza al acelerar fuerte,Filtro o inyectores de combustible obstruidos
pierde fuerza en subida y parece que se ahoga la caña,Filtro o inyectores de combustible obstruidos
se atranca el carro al querer acelerar para pasar otro auto,Filtro o inyectores de combustible obstruidos
inyectores sucios o tapados causan perdida de aceleracion,Filtro o inyectores de combustible obstruidos
filtro de gasolina tupido ahoga el motor al acelerar a fondo,Filtro o inyectores de combustible obstruidos
auto atrancandose y ahogandose al pisar el pedal de gasolina,Filtro o inyectores de combustible obstruidos
falta de presion de combustible inyectores obstruidos,Filtro o inyectores de combustible obstruidos
el motor tironea y pierde caballos de fuerza al acelerar,Filtro o inyectores de combustible obstruidos
se atranca la caña como si faltara gasolina al acelerar,Filtro o inyectores de combustible obstruidos
el carro no arranca solo hace un click click al girar la llave,Bateria descargada o alternador defectuoso
no prende el auto no da arranque y las luces estan bajas,Bateria descargada o alternador defectuoso
el testigo de la bateria se queda prendido con el motor encendido,Bateria descargada o alternador defectuoso
las luces del tablero parpadean y el carro no da arranque,Bateria descargada o alternador defectuoso
gire la llave y solo se escucha un clack y no da marcha,Bateria descargada o alternador defectuoso
se descargo la bateria y no quiere arrancar el carro,Bateria descargada o alternador defectuoso
el motor no da arranque pero la radio prende muy floja,Bateria descargada o alternador defectuoso
no arranca la caña y la luz roja de bateria se encendio,Bateria descargada o alternador defectuoso
el carro no prende solo hace click click al dar contacto,Bateria descargada o alternador defectuoso
bateria descargada no da marcha ni arranque al carro,Bateria descargada o alternador defectuoso
testigo de bateria prendido y luces bajas en el tablero,Bateria descargada o alternador defectuoso
no arranca la caña solo suena un clack al girar la llave,Bateria descargada o alternador defectuoso
codigo DTC P0562 bajo voltaje de sistema de carga o bateria,Bateria descargada o alternador defectuoso
alternador no carga la bateria se apaga tablero y luces,Bateria descargada o alternador defectuoso
bornes sulfatados y bateria sin carga impiden el arranque,Bateria descargada o alternador defectuoso
motor de arranque no gira bateria totalmente muerta,Bateria descargada o alternador defectuoso
fallo de carga de alternador deja sin corriente al encendido,Bateria descargada o alternador defectuoso
chasquido seco del selenoide de arranque sin dar marcha,Bateria descargada o alternador defectuoso
