sintoma,falla,codigo_falla,sistema,severidad,origen,doi,licencia,estado_validacion
"Las revoluciones varían cuando el motor está en mínimo; además, El motor se apaga cuando está en mínimo",Cuerpo de aceleracion o valvula IAC sucia,COMBUSTIBLE_003,Inyección de Combustible,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"Se enciende la luz de baja presión de aceite; además, Se escucha un golpeteo metálico en el motor",Baja presion de aceite o bomba de aceite defectuosa,MOTOR_004,Motor,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"Sale humo azul por el escape; además, El motor pierde fuerza",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"La luz de batería permanece encendida; además, El sistema eléctrico tiene bajo voltaje",Alternador defectuoso o placa de diodos quemada,ELECTRICO_001,Sistema Eléctrico y Carga,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor se apaga al circular a alta velocidad; además, El vehículo acelera con poca fuerza",Inyectores sucios o filtro de combustible obstruido,COMBUSTIBLE_001,Inyección de Combustible,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El vehículo acelera con poca fuerza; además, El motor se apaga cuando está en mínimo",Cuerpo de aceleracion o valvula IAC sucia,COMBUSTIBLE_003,Inyección de Combustible,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor tironea y falla a alta velocidad; además, El vehículo pierde fuerza",Bomba de gasolina quemada o con baja presion,COMBUSTIBLE_002,Inyección de Combustible,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"Los cambios patinan; además, La caja de cambios se recalienta",Falta o degradacion de aceite de caja de cambios,TRANSMISION_003,Transmisión y Embrague,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"La caja demora en realizar los cambios; además, La caja automática patina",Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION_001,Transmisión y Embrague,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"La caja realiza cambios bruscos o erráticos; además, La caja no realiza los cambios",Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION_001,Transmisión y Embrague,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
