fila_base,familia_sha256,particion
57,52842c1068aeba0f7bb2bb9b3bee898af4c9e2f7b5bf356f543fb1a80239eccc,holdout
58,d1f0ddaecfb9e3945b67c31859738910b678228a1a63d2e886e7b0c60e561177,desarrollo
59,52842c1068aeba0f7bb2bb9b3bee898af4c9e2f7b5bf356f543fb1a80239eccc,holdout
60,8ae74a09b2c70c2198f7ee09c9fedbed1c1921b149c21547382dd2946a9f1499,desarrollo
61,8ae74a09b2c70c2198f7ee09c9fedbed1c1921b149c21547382dd2946a9f1499,desarrollo
62,7e2978a7b626f2b5e115a77bd174bc98e0c0c7412e73240e19bcecb7a3484099,desarrollo
63,8ae74a09b2c70c2198f7ee09c9fedbed1c1921b149c21547382dd2946a9f1499,desarrollo
64,245a23c2d3d208821160cf79985d39b60b50eeabf24a590cb76d916c6d21ec78,holdout
65,d0ec069f0ec4d6285818e620ec3a63405b42cd139230413e792e5e470337853b,desarrollo
66,cd828bf7b67529928f4250207cc1dd5864995661ef192d8250abd5a69556152c,desarrollo
67,245a23c2d3d208821160cf79985d39b60b50eeabf24a590cb76d916c6d21ec78,holdout
68,69c5f36b2e4cb1eccfd88d03ef42d429eb4d17331426a4ceba8026aa83cd012b,desarrollo
69,70a315b454c2a3bb6a7f8fbb48182b82e3392d7140a58ee42d127b244ea4c561,desarrollo
70,69c5f36b2e4cb1eccfd88d03ef42d429eb4d17331426a4ceba8026aa83cd012b,desarrollo
71,cc7198f3e17eb8a12aefe52f3868e3c27289496603256c736e14c83c9878aec7,desarrollo
72,4ecfde5f3c5f2ad0d1bf99d29140726d05ce598cc6532deaa0a790fa005a355a,desarrollo
73,4ecfde5f3c5f2ad0d1bf99d29140726d05ce598cc6532deaa0a790fa005a355a,desarrollo
74,4ecfde5f3c5f2ad0d1bf99d29140726d05ce598cc6532deaa0a790fa005a355a,desarrollo
75,4ecfde5f3c5f2ad0d1bf99d29140726d05ce598cc6532deaa0a790fa005a355a,desarrollo
76,9036bf71fcda363be31f9e70b1b090c0ff8e656cc2617cebd83a45a06ab35227,desarrollo
77,5f7e3ad11f2a4bb8986412dcdd9f5e81513f9586b9fce060f87ad58d7d651d99,desarrollo
78,9036bf71fcda363be31f9e70b1b090c0ff8e656cc2617cebd83a45a06ab35227,desarrollo
79,9036bf71fcda363be31f9e70b1b090c0ff8e656cc2617cebd83a45a06ab35227,desarrollo
80,4e2bdd064b169bf01ebad1d9718bd2c53db8efdb7c0125946ba2964496758d86,desarrollo
81,4e2bdd064b169bf01ebad1d9718bd2c53db8efdb7c0125946ba2964496758d86,desarrollo
82,6996a354d56cd0c849351f1c090b647589f2cb9ecc9b84a9d76fd31d648a6b62,desarrollo
83,2d36666206196b402a9f8f63af3e10d7269acdd2ef1159c0b862a3728991e8bc,desarrollo
84,f193d2ce5acae053fbd8e6c2d63ce81bc36992ab8deb73e07b13d82f4e632059,desarrollo
85,2d36666206196b402a9f8f63af3e10d7269acdd2ef1159c0b862a3728991e8bc,desarrollo
86,6d20670d3455c8309921f920fef8d12aecfba90b1900d6f51ec8740e71f0957b,desarrollo
87,7f259fbaa2784698235985afaf1b6466345f3ac48e7390ff184abbd25ee4500c,desarrollo
88,7f259fbaa2784698235985afaf1b6466345f3ac48e7390ff184abbd25ee4500c,desarrollo
89,7f259fbaa2784698235985afaf1b6466345f3ac48e7390ff184abbd25ee4500c,desarrollo
90,a1cb1e154651458cd5a3f040f91cfec9ce13a28f09d39c91c96e03f6d28f185f,holdout
91,a1cb1e154651458cd5a3f040f91cfec9ce13a28f09d39c91c96e03f6d28f185f,holdout
92,84f306ee3f1a0f38a45d78498cb675ac28350b2e02443198a5d51f8ad2056737,desarrollo
93,5314aa0ba3ba9be0469414d298021abd129dfa7eda8e535f579e77a10ec28d0b,desarrollo
94,0eb5038276970da1ddfab810c142b3b62239b33cf890694d5f0bc1de1cc0b369,holdout
95,0eb5038276970da1ddfab810c142b3b62239b33cf890694d5f0bc1de1cc0b369,holdout
96,511801617d981bbf934fe4a0d6f4153280954b19dde168d1c7617115290f07c5,holdout
97,0eb5038276970da1ddfab810c142b3b62239b33cf890694d5f0bc1de1cc0b369,holdout
98,09f9fac0631a2a6377d8f3ea4a6d2fbd94daff8091befadac523aee4c03b5d4b,holdout
99,09f9fac0631a2a6377d8f3ea4a6d2fbd94daff8091befadac523aee4c03b5d4b,holdout
100,ed070583f526cef0f2663b90f2f9c1b57bca7b261b3769acfb5a6c7450d51f4a,desarrollo
101,e0e901592fff91a3ac24d6a0b9edbbb998fc38c41c008cf69bbcb29bce0641c2,desarrollo
102,77a42355b22eb02cb32f23e57f22dc5f7ff204b8e66774f71370ca3ceacba1f8,desarrollo
103,77a42355b22eb02cb32f23e57f22dc5f7ff204b8e66774f71370ca3ceacba1f8,desarrollo
104,77a42355b22eb02cb32f23e57f22dc5f7ff204b8e66774f71370ca3ceacba1f8,desarrollo
105,77a42355b22eb02cb32f23e57f22dc5f7ff204b8e66774f71370ca3ceacba1f8,desarrollo
106,a79b3aa381f1fc3887517b572cb59f9608938b90be947f3d89c6907648d4d6b8,desarrollo
107,d08e5590abac5f4f00d2e0ce9f4694c74a5653e752cf96e91f46e59a9ea735be,desarrollo
108,d08e5590abac5f4f00d2e0ce9f4694c74a5653e752cf96e91f46e59a9ea735be,desarrollo
109,a79b3aa381f1fc3887517b572cb59f9608938b90be947f3d89c6907648d4d6b8,desarrollo
110,f3a3be624900f1ff31834b11357eff5df311bca6e56a88d66744b540883aabec,desarrollo
111,53b1edcfb9b92d7dccc5ab6aa89c6d68847b5f6c2fe2d3c9e6a234719c5f6ddc,holdout
112,f3a3be624900f1ff31834b11357eff5df311bca6e56a88d66744b540883aabec,desarrollo
113,f3a3be624900f1ff31834b11357eff5df311bca6e56a88d66744b540883aabec,desarrollo
114,9f72e690d22369b42ef1836cfe2967f3ebe141a170c5d6242820547b274c44ec,desarrollo
115,e406d3b50b35a2523fc8f0b0a845a41ee827020d134ba9c7ace8d5af72043b91,desarrollo
116,9f72e690d22369b42ef1836cfe2967f3ebe141a170c5d6242820547b274c44ec,desarrollo
117,e406d3b50b35a2523fc8f0b0a845a41ee827020d134ba9c7ace8d5af72043b91,desarrollo
118,87590ca59fa967391c8ca58f5892f550824a8f460659be14506620ff2f14d1b7,desarrollo
119,87590ca59fa967391c8ca58f5892f550824a8f460659be14506620ff2f14d1b7,desarrollo
120,4577c9aaf4c799c83956de3ae2897c5350c49ecea60c7d7c343b762ffc203ea4,desarrollo
121,4577c9aaf4c799c83956de3ae2897c5350c49ecea60c7d7c343b762ffc203ea4,desarrollo
122,c7e6006a9ede0aedfda9783dee257dd484c78c272e55286c2f85d63d6b93f524,desarrollo
123,1e08f88430bcc483edb398bddf1f04720c6f2f0aec1d2f6ae07e5c95a15d5075,desarrollo
124,c7e6006a9ede0aedfda9783dee257dd484c78c272e55286c2f85d63d6b93f524,desarrollo
125,c7e6006a9ede0aedfda9783dee257dd484c78c272e55286c2f85d63d6b93f524,desarrollo
126,6d79c95872101caa4d14eb8aaf1dae968663cdaf2fde62c4445c8fce28bf902a,desarrollo
127,6d79c95872101caa4d14eb8aaf1dae968663cdaf2fde62c4445c8fce28bf902a,desarrollo
128,6d79c95872101caa4d14eb8aaf1dae968663cdaf2fde62c4445c8fce28bf902a,desarrollo
129,3f8dd4794953ea2ffb7b0d1f770a5e39965a8bbd22bb70a8cbec60b48b7aff86,desarrollo
130,ddd56cee08fce8089b21ec2a32cb2efea3904e0d95a4174d4da85dd47047cd39,desarrollo
131,ddd56cee08fce8089b21ec2a32cb2efea3904e0d95a4174d4da85dd47047cd39,desarrollo
132,4caa456e81e53dd8d5d268aa8f7f176766d70d32b7eb3da78e2172c3657f9ea6,desarrollo
133,ddd56cee08fce8089b21ec2a32cb2efea3904e0d95a4174d4da85dd47047cd39,desarrollo
134,32e1f0cb3b9dec264e38a938de257874d3d2f436d8956051d4fe9005152e3b1e,desarrollo
135,32e1f0cb3b9dec264e38a938de257874d3d2f436d8956051d4fe9005152e3b1e,desarrollo
136,e6ccecf579b0099a9f0e5a62e97e3d79f68baba765b1cf1a5f2865201ce85f73,holdout
137,32e1f0cb3b9dec264e38a938de257874d3d2f436d8956051d4fe9005152e3b1e,desarrollo
138,66d48d70ad0702d970569b333fa085ea731138128a7f06a3355e7f5236e7807c,desarrollo
139,66d48d70ad0702d970569b333fa085ea731138128a7f06a3355e7f5236e7807c,desarrollo
140,d7a6f19235ebb269d51f699849e322fc286b959f79d4ad14af519bc54b7f4985,desarrollo
141,e89383f4fc56d18ab502ff2d80ddc77b8b3bfc6f700d7935f0e7943048c56ad4,desarrollo
142,e89383f4fc56d18ab502ff2d80ddc77b8b3bfc6f700d7935f0e7943048c56ad4,desarrollo
143,e89383f4fc56d18ab502ff2d80ddc77b8b3bfc6f700d7935f0e7943048c56ad4,desarrollo
144,3eee372ee6890bb30848c020b30b941cf313554bb67e119d80bfe2dc6478d90b,desarrollo
145,7936f585e8be62d011fd12d16ab80286895e059b1ea02866ff4f38238380c344,desarrollo
146,24e91633781b0023d2f998bc98fc0df85e38c1c179b0d4b1d121b6251a1447cc,holdout
147,24e91633781b0023d2f998bc98fc0df85e38c1c179b0d4b1d121b6251a1447cc,holdout
148,7936f585e8be62d011fd12d16ab80286895e059b1ea02866ff4f38238380c344,desarrollo
149,6a858e89e4118eec481efaa1fd6c295d8f6eaeb1eb98bd12a8842ca17ae6ff17,holdout
150,6a858e89e4118eec481efaa1fd6c295d8f6eaeb1eb98bd12a8842ca17ae6ff17,holdout
151,3d09e959b7fd1456f48ee5fd26d8f879f91cdf2691f15c0db72cd26318b8a509,holdout
152,433d17cd6c3fad3d71727f37861a627bf9f861291754d69e47bf4c80d246e91d,desarrollo
153,079473325b182f08431c361e2dc7c4866a71a513c4a2bd580e5f993dfa12b4c9,desarrollo
154,065644f288f62693bfa3666e506c6ad915cabf8e08d5c7968470e205d7059151,holdout
155,065644f288f62693bfa3666e506c6ad915cabf8e08d5c7968470e205d7059151,holdout
156,079473325b182f08431c361e2dc7c4866a71a513c4a2bd580e5f993dfa12b4c9,desarrollo
157,a7290bc39050f2333155fd7d56213d6977ec87a49b87bbd746bbb940561292cb,desarrollo
158,8a52df120bc2b8d233ae92deee117925030dac016174b787155d7c85b2103acd,desarrollo
159,86460a48130a115aea4960b5dc9cf260493671edff214a1369c79d31febcd9e5,desarrollo
160,a7290bc39050f2333155fd7d56213d6977ec87a49b87bbd746bbb940561292cb,desarrollo
161,0049ec51d398d570dcc4b1986c6b6fa264f7b5898cf9a1e01bbee05bfa6d6960,desarrollo
162,49eb84b58f5b9f64ce211ac2c5530a8b7b8d7f335899a1c19a7bff78616db778,desarrollo
163,0476eed83c74af2f04d03e93f871059d1a31835e18b7c4037600c061f42ddcb8,desarrollo
164,0049ec51d398d570dcc4b1986c6b6fa264f7b5898cf9a1e01bbee05bfa6d6960,desarrollo
165,246ce378d6603ce8ff58703463ed2a92414b61709378121a602a68746c1c489c,desarrollo
166,246ce378d6603ce8ff58703463ed2a92414b61709378121a602a68746c1c489c,desarrollo
167,246ce378d6603ce8ff58703463ed2a92414b61709378121a602a68746c1c489c,desarrollo
168,272d26359cc3dd7cfe25a2a7f717f9a66ae8250538ca56438ab3457256d53d0e,desarrollo
169,2e833490e63a4a533dff167d62ab19973aa57b5b09a021ce5f3058c317d1eef6,holdout
170,59658751e61f6b1223a0f3d6a3665b2e681c589ccc0445ffb7b2a7671dc173f0,desarrollo
171,272d26359cc3dd7cfe25a2a7f717f9a66ae8250538ca56438ab3457256d53d0e,desarrollo
172,cf78441a9cac10aa0d26716172a76b6fa5125f0b61c1cc7fa5664602bbd48e10,holdout
173,cf78441a9cac10aa0d26716172a76b6fa5125f0b61c1cc7fa5664602bbd48e10,holdout
174,7351a5190d288e6ef5c0ddb2906e97dce892c0730de9af398ddd7ee72e96dd6a,desarrollo
175,d1a0ec1927aab79f9a20c1d56f061a12deca9ca80f812dcf945623e9017d56d8,holdout
176,6237c9d44af1a92be9777282581570b19a986cc174d23e060a74139c7b5642aa,desarrollo
177,e90461e9ffbdbbeb5775e60fb3dd43b8fa841d31118b1918bd50d0127fc83e94,holdout
178,933212275b911cf667db9df3d3e3197b4518d3bfb9c49eeb09afd25afc81f29e,desarrollo
179,e90461e9ffbdbbeb5775e60fb3dd43b8fa841d31118b1918bd50d0127fc83e94,holdout
180,24894472342c8eda885a0bb8d221f2d06a1f1db63738105835060cf4a89f8b85,desarrollo
181,24894472342c8eda885a0bb8d221f2d06a1f1db63738105835060cf4a89f8b85,desarrollo
182,da6ceded411645f5cb7d78244b787af2adb1c90ffce2fd784dc05f13117b3dac,holdout
183,da6ceded411645f5cb7d78244b787af2adb1c90ffce2fd784dc05f13117b3dac,holdout
184,cf732b266ab2bc72afcd8881111fc1b40bacb176813342ffcf3cf21c01bec730,desarrollo
185,cf732b266ab2bc72afcd8881111fc1b40bacb176813342ffcf3cf21c01bec730,desarrollo
186,cf732b266ab2bc72afcd8881111fc1b40bacb176813342ffcf3cf21c01bec730,desarrollo
187,acfaf9702d38502e438a2ef5bfbfaf556fe12eb694cd96afc733939dbf662511,desarrollo
188,9bf6ca8d772a3888b8bb47c7954975c64958d430dd4562a4c1ac27ab8bad0283,desarrollo
189,acfaf9702d38502e438a2ef5bfbfaf556fe12eb694cd96afc733939dbf662511,desarrollo
190,7af4a0ec7f82c440b0969c35173cb0f4dde30aecebe057ef9fa5bb28af7c4a21,holdout
191,89d32dbb6eb40eb79f0c382ce2ac3a0ab98c06f35cccae42cf645718ef48dc84,desarrollo
192,89d32dbb6eb40eb79f0c382ce2ac3a0ab98c06f35cccae42cf645718ef48dc84,desarrollo
193,89d32dbb6eb40eb79f0c382ce2ac3a0ab98c06f35cccae42cf645718ef48dc84,desarrollo
194,585946b148c91b31a94bd3b60480979312b26862cd8110ddf3a9a6633c9af152,desarrollo
195,ce5c39d9d9901b382ff58d830dc9a53a2afde31e7f1ad23aaba8705dac8e9900,desarrollo
196,ce7794a2442874eb824ba6c2741d825564e10cd52ed5c27d890b21a775f67642,holdout
197,ce5c39d9d9901b382ff58d830dc9a53a2afde31e7f1ad23aaba8705dac8e9900,desarrollo
198,ac7d29991e1a044eaf58f3054d3fedd19494b5ba22d1a142e4a599a77eb79733,desarrollo
199,cbfe55567f028ce6f7424cddf0ec98bcd5c5d9b3288319863a520b7b6fbef240,desarrollo
200,ac7d29991e1a044eaf58f3054d3fedd19494b5ba22d1a142e4a599a77eb79733,desarrollo
201,ac7d29991e1a044eaf58f3054d3fedd19494b5ba22d1a142e4a599a77eb79733,desarrollo
202,99888befd6ee8f5d036bc6eb0340c87ddd595010281aec9de3cea7a9e10e00e0,desarrollo
203,99888befd6ee8f5d036bc6eb0340c87ddd595010281aec9de3cea7a9e10e00e0,desarrollo
204,99888befd6ee8f5d036bc6eb0340c87ddd595010281aec9de3cea7a9e10e00e0,desarrollo
205,9720bb3bd087571bd7855a852a55eee22e7796c78a6d430b9209e80fa309cfbe,holdout
206,cdeb99c90252f1445f89c8be4971c97beb16465eb52381e1b790375a5b1f83f7,desarrollo
207,cdeb99c90252f1445f89c8be4971c97beb16465eb52381e1b790375a5b1f83f7,desarrollo
208,512aa8abc3694620f489798fe23a4cda125a75aaf36eb86de338152abf0666e3,holdout
209,cdeb99c90252f1445f89c8be4971c97beb16465eb52381e1b790375a5b1f83f7,desarrollo
210,cfbcb28efb5bd3f630bfba63e309c998a9f6be9819c0fc0c0cf75762eb3d9ed2,desarrollo
211,a052b7ae341b11ef0ac096312c7856586b3a80375fc1881fc4dc79296e74d654,desarrollo
212,a052b7ae341b11ef0ac096312c7856586b3a80375fc1881fc4dc79296e74d654,desarrollo
213,8cc2d8f313d95f4c41f7acd81ae3d2838a8ff03d4d4e5c97fd24c6fc12f6c037,desarrollo
214,5023ee229fee8619e971c9ca96a625a4c1f36fc4fc4e4641abae36b97b6fb05e,desarrollo
215,5023ee229fee8619e971c9ca96a625a4c1f36fc4fc4e4641abae36b97b6fb05e,desarrollo
216,5023ee229fee8619e971c9ca96a625a4c1f36fc4fc4e4641abae36b97b6fb05e,desarrollo
217,617f75de9e74ee8fc2e8ed800aac6ef1fe93674fd84a05d3309e01a0bd8dbc68,desarrollo
218,51dbe2f898a3fc21dc0078437ff134307999c475028fc297442e8800c6f329e7,desarrollo
219,51dbe2f898a3fc21dc0078437ff134307999c475028fc297442e8800c6f329e7,desarrollo
220,51dbe2f898a3fc21dc0078437ff134307999c475028fc297442e8800c6f329e7,desarrollo
221,b1a3d939257192586bf4d747f2d4cf6c986b969a09c8e4d99e6436183f111d2c,desarrollo
222,800184689ac4418626644b572173b78e2555f74ceeccb0c6639ece0779a21e6b,desarrollo
223,800184689ac4418626644b572173b78e2555f74ceeccb0c6639ece0779a21e6b,desarrollo
224,800184689ac4418626644b572173b78e2555f74ceeccb0c6639ece0779a21e6b,desarrollo
225,51600c3193add7b7dd4aa01ebcc4f5b3eae54a2f952e202b906049ab42e9c27d,holdout
226,275675de2f2dd4a4a459dd669d8bd5248311e61522b3ed8a9d19c847cfd3c157,desarrollo
227,b09d0eb625f24c19ad0cda45b31bbe824454635a0f177b7b020197c1ef8b2451,desarrollo
228,275675de2f2dd4a4a459dd669d8bd5248311e61522b3ed8a9d19c847cfd3c157,desarrollo
229,275675de2f2dd4a4a459dd669d8bd5248311e61522b3ed8a9d19c847cfd3c157,desarrollo
230,c8e045f81124f47784d8535c22a0d82f36c802663439a8e4e7a2e52ddb790f5a,desarrollo
231,c8e045f81124f47784d8535c22a0d82f36c802663439a8e4e7a2e52ddb790f5a,desarrollo
232,c8e045f81124f47784d8535c22a0d82f36c802663439a8e4e7a2e52ddb790f5a,desarrollo
233,1facc07434f568cd9bf68ba5c5bd0cef3780b374e7401e3163e0195b9ce707c3,desarrollo
234,be1897222b472ee3655db7f2dba61fe4b8e73cb1ad1593bf17c087c37c6c14e9,holdout
235,af2a09d7bc39b45bd6f46b19723343dfa98c3625ee68db5e7c35d4f17a3befca,desarrollo
236,be1897222b472ee3655db7f2dba61fe4b8e73cb1ad1593bf17c087c37c6c14e9,holdout
237,be1897222b472ee3655db7f2dba61fe4b8e73cb1ad1593bf17c087c37c6c14e9,holdout
238,7ead409e2b1174e5f9fbd112da49add7e7ac3ba8c936413ce8fceb217ced2535,desarrollo
239,7ead409e2b1174e5f9fbd112da49add7e7ac3ba8c936413ce8fceb217ced2535,desarrollo
240,095ffaeede2ea1fdc42bc192f8ba3e0174f9acb5e40003149c0c3637332b8833,desarrollo
241,7ead409e2b1174e5f9fbd112da49add7e7ac3ba8c936413ce8fceb217ced2535,desarrollo
242,a64c2e424cd7cc51621ee032d98bf6a120d4c66260a806b7d8335dede36ded2d,desarrollo
243,57da7828420e75969ebeaa6c3eaf1cdfe9b4982914e5e47e2291667c5f98130d,desarrollo
244,a64c2e424cd7cc51621ee032d98bf6a120d4c66260a806b7d8335dede36ded2d,desarrollo
245,b1db638015ec1162fbc7c49c6900ea0ef5b1b8376a6933a8eb96e86a736746fd,desarrollo
246,e509f64a753bd15d000fbfff2c725a3ee2f1a3447b1589728ee869a9f8242419,desarrollo
247,e509f64a753bd15d000fbfff2c725a3ee2f1a3447b1589728ee869a9f8242419,desarrollo
248,e509f64a753bd15d000fbfff2c725a3ee2f1a3447b1589728ee869a9f8242419,desarrollo
249,be6862835afd5a53eded659ef9daf652012cda3fb55d9341c6f718da048658ed,holdout
250,cab73fad36d243e6ee87e65442f9aa53fd640a962e9fdc3f834ef4642f4b6d17,desarrollo
251,cab73fad36d243e6ee87e65442f9aa53fd640a962e9fdc3f834ef4642f4b6d17,desarrollo
252,e9f768b1cb9d7a8d810b9904378cf7ca880334f75a46fe0f47aef30ffcd1eef3,desarrollo
253,cab73fad36d243e6ee87e65442f9aa53fd640a962e9fdc3f834ef4642f4b6d17,desarrollo
254,2ccb42d4b5c4a0d81091b1dac0ca997c5c8159f106948117e89fdefcb367779f,desarrollo
255,2ccb42d4b5c4a0d81091b1dac0ca997c5c8159f106948117e89fdefcb367779f,desarrollo
256,68b546b3dd33c21db8648db402cc7243d36c7f2b6262fb5bf14ca844a520b304,desarrollo
257,48a104af24a168fc023455d082029a5ae09e800ed597b5c40aaa7014d68fa50b,desarrollo
258,6422351063d93df8c2169cdca86452efd9624deb17ee02a3df488f0236f5e5c6,desarrollo
259,6422351063d93df8c2169cdca86452efd9624deb17ee02a3df488f0236f5e5c6,desarrollo
260,a28fc3f35cd4473faec797a6a821c9ce4dd7b975ff05ed9b1aac1dd6a1473258,holdout
261,6422351063d93df8c2169cdca86452efd9624deb17ee02a3df488f0236f5e5c6,desarrollo
262,4314d676fb8da145554b7ad24395686e4979895c725bbaaa6f0bf6cb6ea2e509,desarrollo
263,4314d676fb8da145554b7ad24395686e4979895c725bbaaa6f0bf6cb6ea2e509,desarrollo
264,c5bf09bd4089338ae2be75204f440c95f501d89416a5ec977a8aa10a74e46849,desarrollo
265,4314d676fb8da145554b7ad24395686e4979895c725bbaaa6f0bf6cb6ea2e509,desarrollo
266,937f1bccadcfadfdd21b4c27be791d44bf3563b627b6c39989540b87a4cf7818,desarrollo
267,937f1bccadcfadfdd21b4c27be791d44bf3563b627b6c39989540b87a4cf7818,desarrollo
268,a61b6d2a9a39f66a22e779cd7614d3deac2b207183bc2593b6654a31b6057f3b,desarrollo
269,35b1b0999df58731ebd72f4edb80bb475ad04d52535373a025675932274532df,holdout
270,270878a944135054d4ca9050dd975fa614d3f1cfd8b06d20421d4b528287eaa9,desarrollo
271,270878a944135054d4ca9050dd975fa614d3f1cfd8b06d20421d4b528287eaa9,desarrollo
272,172a585ae5cd525e24317543bef937f0ac0a28c543087c9163fa5c50218aaec5,desarrollo
273,270878a944135054d4ca9050dd975fa614d3f1cfd8b06d20421d4b528287eaa9,desarrollo
274,2b84c3533f6af9b3067c580bb912b4b65704045ff16d1d40c40cfc7812081d20,desarrollo
275,853e511e1082802e463dd838875a16dbadb2b4031575c89aabb1bdfc2cfae181,desarrollo
