case_id,session_id,turn,user_input,normalized_input,current_issue,stored_positive_symptoms,stored_negative_symptoms,unknown_information,DTC,synthesized_ml_query,macro_prediction,macro_confidence,fault_top1,fault_top2,fault_top3,fault_confidences,rag_query,rag_hits,final_response,latency_ms
CASE_016,f11_case_016,3,también parpadea el check engine y tironea un cilindro,presenta funcionamiento irregular / misfire. cuando está al acelerar bajo carga.,completo,cuando acelero en subida; también parpadea el check engine y tironea un cilindro,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta funcionamiento irregular / misfire. cuando está al acelerar bajo carga.,MOTOR,0.7000,Falla en bujias o bobinas de encendido (misfire),Cuerpo de aceleracion o valvula IAC sucia,Fuga en mangueras de intercooler o turbocompresor danado,Falla en bujias o bobinas de encendido (misfire): 0.7000; Cuerpo de aceleracion o valvula IAC sucia: 0.1950; Fuga en mangueras de intercooler o turbocompresor danado: 0.1050,presenta funcionamiento irregular / misfire. cuando está al acelerar bajo carga.,"PROCEDIMIENTO: DIAGNÓSTICO DE TURBOALIMENTADOR, ACTUADOR ELECTRÓNICO WASTEGATE Y FUGAS DE PRESIÓN DE AIRE (DTC P0234 / P0299)",🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Falla en bujías o bobinas de encendido (*misfire*) (70%). - **Diagnóstico Diferencial:**    - *Hipótesis Principal (Misfire - 70%):* La falla se manifiesta con tirones y pérdida de potencia específicamente al acel,3158
CASE_017,f11_case_017,1,hace un ruido adelante,hace un ruido adelante,completo,hace un ruido adelante,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,hace un ruido adelante,ELECTRICO,0.5328,Bateria descargada o bornes sulfatados,Faja o cadena de distribucion destensada o con salto de punto,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Bateria descargada o bornes sulfatados: 0.5328; Faja o cadena de distribucion destensada o con salto de punto: 0.3040; Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo): 0.1640,hace un ruido adelante,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Batería descargada o bornes sulfatados (53%). - **Diagnóstico Diferencial:**    - La *Hipótesis Principal* apunta a un fallo en el sistema de carga o acumulación eléctrica (batería descargada o bornes sulfatados).,2999
CASE_017,f11_case_017,2,como un zumbido al rodar,presenta ruido anómalo.,completo,como un zumbido al rodar,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta ruido anómalo.,MOTOR,0.4361,Faja o cadena de distribucion destensada o con salto de punto,Desgaste de pastillas y zapatas de freno,Limpiaparabrisas o motor pluma quemado,Faja o cadena de distribucion destensada o con salto de punto: 0.4361; Desgaste de pastillas y zapatas de freno: 0.3670; Limpiaparabrisas o motor pluma quemado: 0.1970,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal (43%):** Faja o cadena de distribución destensada o con salto de punto. Puede generar ruidos anómalos en la zona frontal del motor (cascabeleo o zumbido metálico), pérdida de potencia y dificultad en el arranque. * ",3388
CASE_017,f11_case_017,3,aumenta con la velocidad y se calma al virar a la derecha,aumenta con la velocidad y se calma al virar a la derecha,completo,aumenta con la velocidad y se calma al virar a la derecha,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,aumenta con la velocidad y se calma al virar a la derecha,TRANSMISION,0.6266,Rodajes de caja mecanica o diferencial gastados,Llantas desbalanceadas o desalineadas,Juntas homocineticas o palieres danados,Rodajes de caja mecanica o diferencial gastados: 0.6266; Llantas desbalanceadas o desalineadas: 0.2430; Juntas homocineticas o palieres danados: 0.1310,aumenta con la velocidad y se calma al virar a la derecha,PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Rodajes de caja mecánica o diferencial gastados (62%). * **Diagnóstico Diferencial:** Dado que el síntoma reportado es un zumbido que *aumenta con la velocidad* pero *se calma al virar a la derecha*, debemos cont",5137
CASE_018,f11_case_018,1,no arranca,presenta motor no arranca.,esperando_autopregunta,no arranca,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta motor no arranca.,ELECTRICO,0.5702,Bateria descargada o bornes sulfatados,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Bateria descargada o bornes sulfatados: 0.5702; Inyectores sucios o filtro de combustible obstruido: 0.1568; Falla en bujias o bobinas de encendido (misfire): 0.1526,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para precisar el origen del problema de arranque:  • 1️⃣ Las luces del tablero se apagan o parpadean al dar arranque y suena arrastrado (Batería descargada) — 57% • 2️⃣ El motor tose, tironea a cualquier velocidad o le cuesta responder al acelerador (Inyectores / Filtro) — 16% • 3️⃣ Jalonea o ca",36
CASE_018,f11_case_018,2,al girar la llave se escucha solo un clac seco,presenta motor no arranca.,completo,presenta motor no arranca.. Aclaración técnica del mecánico: al girar la llave se escucha solo un clac seco,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,presenta motor no arranca.,ELECTRICO,0.5702,Bateria descargada o bornes sulfatados,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Bateria descargada o bornes sulfatados: 0.5702; Inyectores sucios o filtro de combustible obstruido: 0.2790; Falla en bujias o bobinas de encendido (misfire): 0.1500,presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Batería descargada o bornes sulfatados (57%). - **Diagnóstico Diferencial:**    Para determinar la causa raíz del problema de arranque, es necesario contrastar la **Hipótesis Principal (Batería descargada o bornes",3272
CASE_018,f11_case_018,3,las luces del tablero quedan prendidas y la batería tiene 12.6V,las luces del tablero quedan prendidas y la batería tiene 12.6V,esperando_clarificacion,las luces del tablero quedan prendidas y la batería tiene 12.6v,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,las luces del tablero quedan prendidas y la batería tiene 12.6V,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_019,f11_case_019,1,pierde potencia,pierde potencia,esperando_clarificacion,pierde potencia,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,pierde potencia,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_019,f11_case_019,2,en frío anda bien pero caliente se desinfla,en frío anda bien pero caliente se desinfla,esperando_clarificacion,pierde potencia; en frío anda bien pero caliente se desinfla,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,en frío anda bien pero caliente se desinfla,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_019,f11_case_019,3,medí presión en rampa de combustible y cae a 20 PSI,medí presión en rampa de combustible y cae a 20 PSI,esperando_clarificacion,medí presión en rampa de combustible y cae a 20 psi,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,medí presión en rampa de combustible y cae a 20 PSI,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_020,f11_case_020,1,bota humo por el escape,bota humo por el escape,esperando_autopregunta,bota humo por el escape,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,bota humo por el escape,MOTOR,0.4420,Consumo de aceite por desgaste de anillos o retenes,Empaque de culata soplado o danado,Falla en sensor de oxigeno o mezcla rica,Consumo de aceite por desgaste de anillos o retenes: 0.4420; Empaque de culata soplado o danado: 0.2669; Falla en sensor de oxigeno o mezcla rica: 0.2166,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 44% • 2️⃣ Consume refrigerante, bota humo blanco espeso o burbujea el depósito de expansión (Empaque de culata) — 27% •",44
CASE_020,f11_case_020,2,es humo azul espeso,bota humo por el escape,completo,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 44%,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,bota humo por el escape,MOTOR,0.8000,Consumo de aceite por desgaste de anillos o retenes,Empaque de culata soplado o danado,Falla en sensor de oxigeno o mezcla rica,Consumo de aceite por desgaste de anillos o retenes: 0.8000; Empaque de culata soplado o danado: 0.1300; Falla en sensor de oxigeno o mezcla rica: 0.0700,bota humo por el escape,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA",PERFIL DEL VEHÍCULO DECLARADO: Vehículo: Genérico | Placa: N/A  🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Consumo de aceite por desgaste de anillos o retenes (80%). - **Diagnóstico Diferencial:**    - *Hipótesis Principal (Consumo de aceite por desgaste d,3627
CASE_020,f11_case_020,3,consume medio litro de aceite cada 400 km,consume medio litro de aceite cada 400 km,completo,consume medio litro de aceite cada 400 km,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,consume medio litro de aceite cada 400 km,MOTOR,0.9969,Consumo de aceite por desgaste de anillos o retenes,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),Consumo de aceite por desgaste de anillos o retenes: 0.9969; Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo): 0.0330; Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic): 0.0170,consume medio litro de aceite cada 400 km,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA","🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  *   **Hipótesis Principal (99%):** Consumo excesivo de aceite (medio litro cada 400 km, lo que equivale a 1.25 L por cada 1,000 km, superando ampliamente el límite admisible OEM de < 0.3 L / 1,000 km). Las causas probables son el desgaste ",4499
CASE_021,f11_case_021,1,se recalienta el motor,se recalienta el motor,esperando_autopregunta,se recalienta el motor,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,se recalienta el motor,MOTOR,0.5232,Falla en termostato o motoventilador de radiador,Empaque de culata soplado o danado,Falla en bujias o bobinas de encendido (misfire),Falla en termostato o motoventilador de radiador: 0.5232; Empaque de culata soplado o danado: 0.4145; Falla en bujias o bobinas de encendido (misfire): 0.0443,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para precisar la causa del problema de temperatura:  • 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 52% • 2️⃣ Consume refrigerante, bota humo blanco espeso o burbujea el depósito de expansión (Empaque de culata) — 41% • 3️⃣ Jalonea o ",40
CASE_021,f11_case_021,2,en carretera va bien pero en tráfico sube la temperatura,se recalienta el motor,completo,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 52%,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,se recalienta el motor,MOTOR,0.8000,Falla en termostato o motoventilador de radiador,Empaque de culata soplado o danado,Falla en bujias o bobinas de encendido (misfire),Falla en termostato o motoventilador de radiador: 0.8000; Empaque de culata soplado o danado: 0.1300; Falla en bujias o bobinas de encendido (misfire): 0.0700,se recalienta el motor,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),⏳ *Analizando consulta (cola #1)* Hipótesis preliminar ML: *Falla en termostato o motoventilador de radiador* (80%). En breve recibirás el resumen; el detalle quedará en el panel.,6
CASE_021,f11_case_021,3,noté que el electroventilador no activa nunca,noté que el electroventilador no activa nunca,inicio,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,noté que el electroventilador no activa nunca,MOTOR,0.0000,Consulta fuera del alcance automotriz,NOT_AVAILABLE,NOT_AVAILABLE,0.0000,NOT_AVAILABLE,NOT_AVAILABLE,"🚗 Describe el síntoma, por ejemplo: *vibra al manejar*.",1
CASE_022,f11_case_022,1,el pedal de freno se siente raro,el pedal de freno se siente raro,esperando_autopregunta,el pedal de freno se siente raro,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,el pedal de freno se siente raro,FRENOS,0.4210,Fuga hidraulica o aire en el sistema de frenos,Falla en servofreno (booster) o linea de vacio,Discos de freno alabeados o desgastados,Fuga hidraulica o aire en el sistema de frenos: 0.4210; Falla en servofreno (booster) o linea de vacio: 0.2391; Discos de freno alabeados o desgastados: 0.2167,NOT_AVAILABLE,NOT_AVAILABLE,🤖 🔍 Para precisar la causa en el sistema de frenos:  • 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en frenos) — 42% • 2️⃣ El pedal de freno se puso duro como piedra y cuesta detener el auto (Servofreno / Booster) — 24% • 3️⃣ La vibración ocurre ÚNICAMEN,46
CASE_022,f11_case_022,2,al frenar a más de 80 km/h el timón y pedal vibran,el pedal de freno se siente raro,completo,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en frenos) — 42%,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,el pedal de freno se siente raro,FRENOS,0.8000,Fuga hidraulica o aire en el sistema de frenos,Falla en servofreno (booster) o linea de vacio,Discos de freno alabeados o desgastados,Fuga hidraulica o aire en el sistema de frenos: 0.8000; Falla en servofreno (booster) o linea de vacio: 0.1300; Discos de freno alabeados o desgastados: 0.0700,el pedal de freno se siente raro,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",⏳ *Analizando consulta (cola #2)* Hipótesis preliminar ML: *Fuga hidraulica o aire en el sistema de frenos* (80%). En breve recibirás el resumen; el detalle quedará en el panel.,5
CASE_022,f11_case_022,3,en baja velocidad frena parejo sin ruidos,en baja velocidad frena parejo sin ruidos,completo,en baja velocidad frena parejo sin ruidos,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,en baja velocidad frena parejo sin ruidos,SUSPENSION_CHASIS,0.3845,Llantas desbalanceadas o desalineadas,Cremallera de direccion asistida con holgura o fuga,Disco de embrague desgastado o patinando,Llantas desbalanceadas o desalineadas: 0.3845; Cremallera de direccion asistida con holgura o fuga: 0.4000; Disco de embrague desgastado o patinando: 0.2150,en baja velocidad frena parejo sin ruidos,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,"⏳ *Analizando consulta (cola #3)* Hipótesis preliminar ML: *Llantas desbalanceadas o desalineadas* (38%). Al ser confianza media (<70%), se contrastará con manuales y pruebas de taller. En breve recibirás el resumen; el detalle quedará en el panel.",46
