case_id,session_id,turn,user_input,normalized_input,current_issue,stored_positive_symptoms,stored_negative_symptoms,unknown_information,DTC,synthesized_ml_query,macro_prediction,macro_confidence,fault_top1,fault_top2,fault_top3,fault_confidences,rag_query,rag_hits,final_response,latency_ms
CASE_011,f11_v2_case_011,1,se calienta,se calienta,esperando_clarificacion,sintoma_sobrecalentamiento:sobrecalentamiento,,,NO_DTC,se calienta,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,N/A,N/A,Conf=0.000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_012,f11_v2_case_012,1,bota humo,bota humo,esperando_clarificacion,,,,NO_DTC,bota humo,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,N/A,N/A,Conf=0.000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_013,f11_v2_case_013,1,el timón está duro,el timón está duro,esperando_autopregunta,,,,NO_DTC,el timón está duro,SUSPENSION_CHASIS,0.5350,Cremallera de direccion asistida con holgura o fuga,Llantas desbalanceadas o desalineadas,Falla en servofreno (booster) o linea de vacio,Top1=0.535 | Top2=0.462 | Top3=0.002,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ El timón tiene juego excesivo, fuga líquido de dirección o golpea al doblar (Cremallera de dirección) — 54% • 2️⃣ La vibración ocurre en carretera a velocidad constante sin tocar el pedal de freno (Llantas desbalancea",45
CASE_014,f11_v2_case_014,1,suena feo al frenar,presenta ruido anómalo. al frenar.,completo,condicion_operacion:al frenar; sintoma_ruido_anómalo:ruido anómalo,,,NO_DTC,presenta ruido anómalo. al frenar.,FRENOS,0.8572,Desgaste de pastillas y zapatas de freno,Discos de freno alabeados o desgastados,Falla en sistema de frenado regenerativo (EV / Hibridos),Top1=0.857 | Top2=0.093 | Top3=0.050,presenta ruido anómalo. al frenar.,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Desgaste de pastillas y zapatas de freno (85%). - **Diagnóstico Diferencial:**    - *Hipótesis Principal (85%):* El ruido anómalo se manifiesta típicamente como un chillido agudo metálico debido al roce de la leng,4161
CASE_015,f11_v2_case_015,1,se apaga,presenta apagado de motor.,esperando_autopregunta,sintoma_apagado_de_motor:apagado de motor,,,NO_DTC,presenta apagado de motor.,MOTOR,0.2178,Cuerpo de aceleracion o valvula IAC sucia,Falla en bujias o bobinas de encendido (misfire),Limpiaparabrisas o motor pluma quemado,Top1=0.218 | Top2=0.194 | Top3=0.192,NOT_AVAILABLE,NOT_AVAILABLE,🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Las revoluciones (RPM) suben y bajan solas o se apaga al desacelerar o llegar a semáforos (Cuerpo de aceleración / IAC) — 22% • 2️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobin,38
CASE_016,f11_v2_case_016,1,mi carro tiembla,mi carro tiembla,esperando_clarificacion,sintoma_vibración:vibración,,,NO_DTC,mi carro tiembla,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,N/A,N/A,Conf=0.000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_016,f11_v2_case_016,2,cuando acelero en subida,presenta vibración. al acelerar bajo carga.,esperando_autopregunta,sintoma_vibración:vibración; condicion_operacion:al acelerar bajo carga,,,NO_DTC,presenta vibración. al acelerar bajo carga.,MOTOR,0.4575,Bomba de gasolina quemada o con baja presion,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Top1=0.458 | Top2=0.154 | Top3=0.137,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para precisar el origen exacto de la vibración o comportamiento detectado:  • 1️⃣ Falta de potencia en alta, se ahoga en subida o zumba fuerte el tanque de combustible (Bomba de combustible) — 46% • 2️⃣ El motor tose, tironea a cualquier velocidad o le cuesta responder al acelerador (Inyectores ",43
CASE_016,f11_v2_case_016,3,también parpadea el check engine y tironea un cilindro,presenta vibración. al acelerar bajo carga.,completo,sintoma_vibración:vibración; condicion_operacion:al acelerar bajo carga,,,NO_DTC,presenta vibración. al acelerar bajo carga.,MOTOR,0.4575,Bomba de gasolina quemada o con baja presion,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Top1=0.458 | Top2=0.353 | Top3=0.190,presenta vibración. al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  *   **Hipótesis Principal:** Bomba de gasolina quemada o con baja presión (45%). *   **Diagnóstico Diferencial:**      *   *Hipótesis Principal (Bomba de combustible baja presión/caudal):* Se manifiesta con tirones o pérdida de potencia pr,3917
CASE_017,f11_v2_case_017,1,hace un ruido adelante,hace un ruido adelante,esperando_autopregunta,,,,NO_DTC,hace un ruido adelante,ELECTRICO,0.5328,Bateria descargada o bornes sulfatados,Faja o cadena de distribucion destensada o con salto de punto,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Top1=0.533 | Top2=0.281 | Top3=0.075,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Las luces del tablero se apagan o parpadean al dar arranque y suena arrastrado (Batería descargada) — 53% • 2️⃣ Sonido de cadena floja en la distribución, motor descalibrado o fuera de punto (Cadena / Correa de distri",36
CASE_017,f11_v2_case_017,2,como un zumbido al rodar,hace un ruido adelante. Aclaración técnica del mecánico: como un zumbido al rodar,completo,,,,NO_DTC,hace un ruido adelante. Aclaración técnica del mecánico: como un zumbido al rodar,SUSPENSION_CHASIS,0.6802,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Cremallera de direccion asistida con holgura o fuga,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Top1=0.680 | Top2=0.208 | Top3=0.112,hace un ruido adelante. Aclaración técnica del mecánico: como un zumbido al rodar,PROCEDIMIENTO: MEDICIÓN DE ALABEO CON RELOJ COMPARADOR Y REEMPLAZO DE RODAMIENTO DE MAZA DE RUEDA,"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura) (68%). * **Diagnóstico Diferencial:**    - *Hipótesis Principal (68%):* El zumbido es de tipo turbina o motor de avión (*whirring*), el cual se in",3763
CASE_017,f11_v2_case_017,3,aumenta con la velocidad y se calma al virar a la derecha,hace un ruido adelante. Aclaración técnica del mecánico: como un zumbido al rodar aumenta con la velocidad y se calma al virar a la derecha,esperando_autopregunta,,,,NO_DTC,hace un ruido adelante. Aclaración técnica del mecánico: como un zumbido al rodar aumenta con la velocidad y se calma al virar a la derecha,TRANSMISION,0.5361,Rodajes de caja mecanica o diferencial gastados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Llantas desbalanceadas o desalineadas,Top1=0.536 | Top2=0.255 | Top3=0.206,NOT_AVAILABLE,NOT_AVAILABLE,🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Zumbido áspero o aullido en la caja de cambios al rodar a velocidad (Rodamientos de caja / Diferencial) — 54% • 2️⃣ Zumbido grave de rodadura que se incrementa al tomar curvas en carretera (Rodamiento de rueda / Maza),33
CASE_018,f11_v2_case_018,1,no arranca,presenta motor no arranca.,esperando_autopregunta,motor_arranca:NO; sintoma_motor_no_arranca:motor no arranca,,,NO_DTC,presenta motor no arranca.,ELECTRICO,0.5702,Bateria descargada o bornes sulfatados,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Top1=0.570 | Top2=0.157 | Top3=0.153,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para precisar el origen del problema de arranque:  • 1️⃣ Las luces del tablero se apagan o parpadean al dar arranque y suena arrastrado (Batería descargada) — 57% • 2️⃣ El motor tose, tironea a cualquier velocidad o le cuesta responder al acelerador (Inyectores / Filtro) — 16% • 3️⃣ Jalonea o ca",33
CASE_018,f11_v2_case_018,2,al girar la llave se escucha solo un clac seco,presenta motor no arranca.,completo,motor_arranca:NO; sintoma_motor_no_arranca:motor no arranca,,,NO_DTC,presenta motor no arranca.,ELECTRICO,0.5702,Bateria descargada o bornes sulfatados,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Top1=0.570 | Top2=0.279 | Top3=0.150,presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Batería descargada o bornes sulfatados (57%). - **Diagnóstico Diferencial:**    - *Hipótesis Principal (Batería/Bornes - 57%):* Se manifiesta con un motor que no gira o gira muy lento al accionar la llave, acompañ",3125
CASE_018,f11_v2_case_018,3,las luces del tablero quedan prendidas y la batería tiene 12.6V,presenta motor no arranca. medición 12.6v.,completo,motor_arranca:NO; sintoma_motor_no_arranca:motor no arranca; medicion:12.6v,,,NO_DTC,presenta motor no arranca. medición 12.6v.,ELECTRICO,0.8203,Bateria descargada o bornes sulfatados,Fuga parasita de corriente en reposo (consumo nocturno de bateria),Elevalunas electrico o guaya de alzacristales rota o trabada,Top1=0.820 | Top2=0.117 | Top3=0.063,presenta motor no arranca. medición 12.6v.,PROCEDIMIENTO: DIAGNÓSTICO DE CONSUMO PARÁSITO DE CORRIENTE Y DRENAJE DE BATERÍA EN REPOSO (DESCARGA NOCTURNA / SIN ARRANQUE EN LAS MAÑANAS),🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Batería descargada o bornes sulfatados (82%). El síntoma de motor que no arranca con una medición en reposo de 12.6V superficiales suele indicar una batería con pérdida de capacidad de carga (amperaje de arranque ,3679
CASE_019,f11_v2_case_019,1,pierde potencia,pierde potencia,esperando_clarificacion,,,,NO_DTC,pierde potencia,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,N/A,N/A,Conf=0.000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_019,f11_v2_case_019,2,en frío anda bien pero caliente se desinfla,pierde potencia en frío anda bien pero caliente se desinfla,completo,temperatura:frío,,,NO_DTC,pierde potencia en frío anda bien pero caliente se desinfla,MOTOR,0.7962,Falla en bujias o bobinas de encendido (misfire),Bomba de gasolina quemada o con baja presion,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),Top1=0.796 | Top2=0.132 | Top3=0.071,pierde potencia en frío anda bien pero caliente se desinfla,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),PERFIL DEL VEHÍCULO DECLARADO: Vehículo: Genérico | Placa: N/A  🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Falla en bujías o bobinas de encendido (*misfire*) (79%). - **Diagnóstico Diferencial:**    - *Hipótesis Principal (79%):* Falla en bujías o bobinas ,4685
CASE_019,f11_v2_case_019,3,medí presión en rampa de combustible y cae a 20 PSI,pierde potencia en frío anda bien pero caliente se desinfla medí presión en rampa de combustible y cae a 20 psi,completo,temperatura:frío; medicion:20 psi,,,NO_DTC,pierde potencia en frío anda bien pero caliente se desinfla medí presión en rampa de combustible y cae a 20 psi,MOTOR,0.9127,Bomba de gasolina quemada o con baja presion,Falla en bujias o bobinas de encendido (misfire),Inyectores sucios o filtro de combustible obstruido,Top1=0.913 | Top2=0.057 | Top3=0.031,pierde potencia en frío anda bien pero caliente se desinfla medí presión en rampa de combustible y c,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal (91%):** Bomba de gasolina con baja presión o deficiencia en el suministro (respaldado por tu medición física: la presión en la rampa cae críticamente a 20 PSI bajo condiciones de temperatura/exigencia). * **Diagnós,3193
CASE_020,f11_v2_case_020,1,bota humo por el escape,bota humo por el escape,esperando_autopregunta,,,,NO_DTC,bota humo por el escape,MOTOR,0.4420,Consumo de aceite por desgaste de anillos o retenes,Empaque de culata soplado o danado,Falla en sensor de oxigeno o mezcla rica,Top1=0.442 | Top2=0.267 | Top3=0.217,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 44% • 2️⃣ Consume refrigerante, bota humo blanco espeso o burbujea el depósito de expansión (Empaque de culata) — 27% •",39
CASE_020,f11_v2_case_020,2,es humo azul espeso,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 44%,completo,,,,NO_DTC,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 44%,MOTOR,0.8000,Consumo de aceite por desgaste de anillos o retenes,Empaque de culata soplado o danado,Falla en sensor de oxigeno o mezcla rica,Top1=0.800 | Top2=0.130 | Top3=0.070,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baj,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA",🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Consumo de aceite por desgaste de anillos o retenes (80%). - **Diagnóstico Diferencial:**    - *Hipótesis Principal (80%):* Se manifiesta con humo azulado (especialmente tras retenciones en bajada o al acelerar tr,3334
CASE_020,f11_v2_case_020,3,consume medio litro de aceite cada 400 km,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 44% consume medio litro de aceite cada 400 km,completo,,,,NO_DTC,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 44% consume medio litro de aceite cada 400 km,MOTOR,0.7847,Consumo de aceite por desgaste de anillos o retenes,Empaque de culata soplado o danado,Fuga en mangueras de intercooler o turbocompresor danado,Top1=0.785 | Top2=0.140 | Top3=0.075,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baj,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA",🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Consumo de aceite por desgaste de anillos o retenes de válvula (78%). * **Diagnóstico Diferencial:**    - *Hipótesis Principal (78%):* El humo azulado se presenta de forma característica al acelerar tras retencio,3241
CASE_021,f11_v2_case_021,1,se recalienta el motor,se recalienta el motor,esperando_autopregunta,,,,NO_DTC,se recalienta el motor,MOTOR,0.5232,Falla en termostato o motoventilador de radiador,Empaque de culata soplado o danado,Falla en bujias o bobinas de encendido (misfire),Top1=0.523 | Top2=0.414 | Top3=0.044,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para precisar la causa del problema de temperatura:  • 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 52% • 2️⃣ Consume refrigerante, bota humo blanco espeso o burbujea el depósito de expansión (Empaque de culata) — 41% • 3️⃣ Jalonea o ",42
CASE_021,f11_v2_case_021,2,en carretera va bien pero en tráfico sube la temperatura,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 52%,completo,,,,NO_DTC,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 52%,MOTOR,0.8000,Falla en termostato o motoventilador de radiador,Empaque de culata soplado o danado,Falla en bujias o bobinas de encendido (misfire),Top1=0.800 | Top2=0.130 | Top3=0.070,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ve,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Falla en termostato o motoventilador de radiador (80%). * **Diagnóstico Diferencial:**    - *Hipótesis Principal (Termostato / Motoventilador - 80%):* Se manifiesta con temperatura que sube rápidamente en tráfico,3228
CASE_021,f11_v2_case_021,3,noté que el electroventilador no activa nunca,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 52% noté que el electroventilador no activa nunca,completo,,,,NO_DTC,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 52% noté que el electroventilador no activa nunca,MOTOR,0.9981,Falla en termostato o motoventilador de radiador,Empaque de culata soplado o danado,Inyectores sucios o filtro de combustible obstruido,Top1=0.998 | Top2=0.033 | Top3=0.017,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ve,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Falla en el termostato o motoventilador de radiador (99%), sustentada por la evidencia física reportada de que el electroventilador no activa nunca y el rápido incremento de temperatura en tráfico. * **Diagnóstic",3663
CASE_022,f11_v2_case_022,1,el pedal de freno se siente raro,el pedal de freno se siente raro,esperando_autopregunta,,,,NO_DTC,el pedal de freno se siente raro,FRENOS,0.4210,Fuga hidraulica o aire en el sistema de frenos,Falla en servofreno (booster) o linea de vacio,Discos de freno alabeados o desgastados,Top1=0.421 | Top2=0.239 | Top3=0.217,NOT_AVAILABLE,NOT_AVAILABLE,🤖 🔍 Para precisar la causa en el sistema de frenos:  • 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en frenos) — 42% • 2️⃣ El pedal de freno se puso duro como piedra y cuesta detener el auto (Servofreno / Booster) — 24% • 3️⃣ La vibración ocurre ÚNICAMEN,41
CASE_022,f11_v2_case_022,2,al frenar a más de 80 km/h el timón y pedal vibran,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en frenos) — 42%,completo,,,,NO_DTC,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en frenos) — 42%,FRENOS,0.8000,Fuga hidraulica o aire en el sistema de frenos,Falla en servofreno (booster) o linea de vacio,Discos de freno alabeados o desgastados,Top1=0.800 | Top2=0.130 | Top3=0.070,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o ,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  *   **Hipótesis Principal:** Fuga hidráulica o presencia de aire en el sistema de frenos (80%). *   **Diagnóstico Diferencial:**      *   *Hipótesis Principal (Fuga o aire - 80%):* El pedal se siente esponjoso, cede de forma progresiva o r",3244
CASE_022,f11_v2_case_022,3,en baja velocidad frena parejo sin ruidos,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en frenos) — 42% en baja velocidad frena parejo sin ruidos,completo,,,,NO_DTC,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en frenos) — 42% en baja velocidad frena parejo sin ruidos,FRENOS,0.8333,Fuga hidraulica o aire en el sistema de frenos,Discos de freno alabeados o desgastados,Desgaste de pastillas y zapatas de freno,Top1=0.833 | Top2=0.108 | Top3=0.058,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o ,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),"🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal (83%):** Fuga hidráulica externa/interna o presencia de aire en el circuito del sistema de frenos. * **Diagnóstico Diferencial:**    - *Hipótesis Principal (Fuga/Aire - 83%):* Se manifiesta con un pedal esponjoso, e",3592
CASE_023,f11_v2_case_023,1,no entra la marcha,no entra la motor de arranque,completo,,,,NO_DTC,no entra la motor de arranque,ELECTRICO,0.5263,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),Fallo en inversor de corriente IGBT o motor electrico (EV),Bateria descargada o bornes sulfatados,Top1=0.526 | Top2=0.308 | Top3=0.166,no entra la motor de arranque,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados) (52%). - **Diagnóstico Diferencial:**    - *Hipótesis Principal (Motor de arranque / Solenoide):* Se manifiesta típicamente con un ,3790
