case_id,turn,rag_query,titulo_manual,similitud_rag,relevante,observacion
CASE_021,2,se recalienta el motor,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.4480,SI,Procedimiento indexado recuperado
CASE_022,2,el pedal de freno se siente raro,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",0.4147,SI,Procedimiento indexado recuperado
CASE_022,3,en baja velocidad frena parejo sin ruidos,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.2149,SI,Procedimiento indexado recuperado
CASE_023,1,no entra la motor de arranque,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.4984,SI,Procedimiento indexado recuperado
CASE_023,2,el pedal de embrague se fue hasta el fondo sin resistencia,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.4302,SI,Procedimiento indexado recuperado
CASE_023,3,veo líquido de frenos goteando debajo de la caja,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),0.2220,SI,Procedimiento indexado recuperado
CASE_024,1,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_024,2,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_024,3,revisé en elevador y los amortiguadores tienen aceite chorreado,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.4056,SI,Procedimiento indexado recuperado
CASE_025,2,el escape tira humo negro por mezcla rica o combustion incompleta y humo pica los ojos,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.4539,SI,Procedimiento indexado recuperado
CASE_025,3,scanner marca sensor de oxigeno pegado en mezcla rica,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.6132,SI,Procedimiento indexado recuperado
CASE_026,1,presenta ruido anómalo. cuando está al frenar.,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.4186,SI,Procedimiento indexado recuperado
CASE_028,1,cuando está al doblar la dirección.,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE CAJA DE DIRECCIÓN CREMALLERA ELECTRÓNICA Y ACOPLE FLEXIBLE (CHILLIDO / JUEGO EN CREMALLERA / DTC C1532),0.4268,SI,Procedimiento indexado recuperado
CASE_029,1,presenta patinado de transmisión / embrague. cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.6138,SI,Procedimiento indexado recuperado
CASE_030,1,presenta humo blanco / ebullición refrigerante.,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),0.8311,SI,Procedimiento indexado recuperado
CASE_032,1,presenta chasquido de arranque clac.,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.6182,SI,Procedimiento indexado recuperado
CASE_033,1,"presenta clic_unico, chasquido de arranque clac.","PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.6182,SI,Procedimiento indexado recuperado
CASE_034,1,ocurre en frío. código de escáner P0303.,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),0.9149,SI,Procedimiento indexado recuperado
CASE_035,1,"el pedal de freno se va al fondo lentamente en los semáforos, el nivel del depósito baja y hay mancha de líquido en la r",PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),0.3355,SI,Procedimiento indexado recuperado
CASE_036,1,presenta funcionamiento irregular / misfire. cuando está al acelerar bajo carga.,"PROCEDIMIENTO: DIAGNÓSTICO DE TURBOALIMENTADOR, ACTUADOR ELECTRÓNICO WASTEGATE Y FUGAS DE PRESIÓN DE AIRE (DTC P0234 / P0299)",0.3555,SI,Procedimiento indexado recuperado
CASE_039,1,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_041,1,cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.7418,SI,Procedimiento indexado recuperado
CASE_043,1,presenta ruido anómalo. cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.4064,SI,Procedimiento indexado recuperado
CASE_046,1,hace un ruido en la suspensión. todavía no lo he subido al elevador.,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.3918,SI,Procedimiento indexado recuperado
CASE_047,1,presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.2257,SI,Procedimiento indexado recuperado
CASE_048,1,no sé si el testigo del motor prendió porque el tablero está opaco.,PROCEDIMIENTO: DIAGNÓSTICO Y REGENERACIÓN DE FILTRO DE PARTÍCULAS DPF / FAP Y SISTEMA DE UREA ADBLUE DEF (DTC P2002 / P20EE),0.5060,SI,Procedimiento indexado recuperado
CASE_050,1,"presenta funcionamiento irregular / misfire. código de escáner P0300, P0301.",PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),1.0000,SI,Procedimiento indexado recuperado
CASE_054,1,presenta alto consumo de combustible. código de escáner P0171.,PROCEDIMIENTO: DIAGNÓSTICO DE MEZCLA POBRE / RICA Y ANÁLISIS DE DATOS EN VIVO STFT & LTFT (DTC P0171 / P0172),1.0000,SI,Procedimiento indexado recuperado
CASE_055,1,cuando está en carretera a velocidad. código de escáner P0128.,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),1.0000,SI,Procedimiento indexado recuperado
CASE_058,1,cuando está al doblar la dirección. código de escáner P0420.,PROCEDIMIENTO: DIAGNÓSTICO DE CONTRAPRESIÓN DE ESCAPE Y CATALIZADOR TAPONADO (DTC P0420 / P0430 / AUTO AMARRADO EN PISTA),0.6768,SI,Procedimiento indexado recuperado
CASE_059,1,presenta vibración. cuando está al frenar. código de escáner P0130.,PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DEL ALABEO DE DISCOS DE FRENO Y VARIACIÓN DE ESPESOR DTV (VIBRACIÓN EN PEDAL / VOLANTE AL FRENAR),0.3601,SI,Procedimiento indexado recuperado
CASE_060,1,presenta funcionamiento irregular / misfire. código de escáner P0300.,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),1.0000,SI,Procedimiento indexado recuperado
CASE_061,1,"no entran los cambios mecánicos pedal al piso, y el cliente dice que tiene código de abs.",PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE VELOCIDAD ABS Y CILINDRO MAESTRO (DTC C0035 / C0221),0.4777,SI,Procedimiento indexado recuperado
CASE_062,1,presenta sobrecalentamiento. cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.6326,SI,Procedimiento indexado recuperado
CASE_064,1,en plena subida el motor preignicion o falla de bujias por cascabeleo como si tuviera canicas adentro.,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),0.3837,SI,Procedimiento indexado recuperado
CASE_065,1,presenta ruido anómalo. cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.4064,SI,Procedimiento indexado recuperado
CASE_067,1,"presenta clic_unico, apagado de motor, chasquido de arranque clac.","PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.5197,SI,Procedimiento indexado recuperado
CASE_069,1,la batería muere de noche y amanece planchado sin carga.,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.4430,SI,Procedimiento indexado recuperado
CASE_070,1,la caja me raspa cuando meto retroceso o primera.,PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),0.2975,SI,Procedimiento indexado recuperado
CASE_071,3,cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.7418,SI,Procedimiento indexado recuperado
CASE_072,3,presenta anomalía en frenos.,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.3531,SI,Procedimiento indexado recuperado
CASE_073,2,no enfria nada,PROCEDIMIENTO: CARGA DE REFRIGERANTE R134a / R1234yf Y PRUEBA DE FUGAS CON MANÓMETROS (DTC B1000 / A/C TIBIO),0.3730,SI,Procedimiento indexado recuperado
CASE_074,3,pedal suelto,PROCEDIMIENTO: DIAGNÓSTICO ACÚSTICO DIFERENCIAL Y SUSTITUCIÓN DE COLLARÍN DE EMPUJE O CRAPODINA HIDRÁULICA DE EMBRAGUE,0.7755,SI,Procedimiento indexado recuperado
CASE_075,2,luz de bateria roja,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.4946,SI,Procedimiento indexado recuperado
CASE_076,1,suena trac trac,PROCEDIMIENTO: MEDICIÓN DE ALABEO CON RELOJ COMPARADOR Y REEMPLAZO DE RODAMIENTO DE MAZA DE RUEDA,0.2751,SI,Procedimiento indexado recuperado
CASE_076,2,cuando está al doblar la dirección.,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE CAJA DE DIRECCIÓN CREMALLERA ELECTRÓNICA Y ACOPLE FLEXIBLE (CHILLIDO / JUEGO EN CREMALLERA / DTC C1532),0.4268,SI,Procedimiento indexado recuperado
CASE_077,2,por el radiador,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),0.4089,SI,Procedimiento indexado recuperado
CASE_078,1,presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.2257,SI,Procedimiento indexado recuperado
CASE_078,3,da vueltas y vueltas el motor,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.2011,SI,Procedimiento indexado recuperado
CASE_079,1,mi carro no aranca de ninguna manera,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.2689,SI,Procedimiento indexado recuperado
CASE_082,1,no enfria el aire sale re caliente,PROCEDIMIENTO: CARGA DE REFRIGERANTE R134a / R1234yf Y PRUEBA DE FUGAS CON MANÓMETROS (DTC B1000 / A/C TIBIO),0.3897,SI,Procedimiento indexado recuperado
CASE_083,1,la bateria se deskarga solita en la noche,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.5425,SI,Procedimiento indexado recuperado
CASE_085,1,las pastillas de freno están gastadas chillan,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.3683,SI,Procedimiento indexado recuperado
CASE_086,1,se recalienta en tráfico,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.4933,SI,Procedimiento indexado recuperado
CASE_086,2,presenta patinado de transmisión / embrague. cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.6138,SI,Procedimiento indexado recuperado
CASE_087,1,la ventana no baja,"PROCEDIMIENTO: REPARACIÓN Y REEMPLAZO DE MOTOR ELEVALUNAS ELÉCTRICO, GUAYA Y ALZACRISTALES (LUNA O VIDRIO DE PUERTA TRABADO)",1.0000,SI,Procedimiento indexado recuperado
CASE_088,1,presenta chasquido de arranque clac. cuando está al doblar la dirección.,PROCEDIMIENTO: REEMPLAZO DE JUNTA HOMOCINÉTICA Y CUBREPOLVOS DE PALIER (CLAC CLAC AL DOBLAR),0.3610,SI,Procedimiento indexado recuperado
CASE_088,2,aparte de eso tengo una fuga de aceite negra en el piso del motor,"PROCEDIMIENTO: DIAGNÓSTICO DE TURBOCOMPRESOR, VÁLVULA WASTEGATE Y PRESIÓN DE SOBREALIMENTACIÓN BOOST (DTC P0299 / P0234)",0.4120,SI,Procedimiento indexado recuperado
CASE_089,1,presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.2257,SI,Procedimiento indexado recuperado
CASE_089,2,nuevo problema: me quedé sin frenos el pedal se va al fondo,PROCEDIMIENTO: DIAGNÓSTICO DEL SISTEMA DE FRENADO REGENERATIVO Y SERVOFRENO ELECTROHIDRÁULICO (EV / HÍBRIDOS),0.2766,SI,Procedimiento indexado recuperado
CASE_090,2,otra falla: sale vapor blanco consume refrigerante posible empaque de culata,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),0.6058,SI,Procedimiento indexado recuperado
CASE_091,1,cuando está en carretera a velocidad.,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.6288,SI,Procedimiento indexado recuperado
CASE_091,2,"presenta chasquido de arranque clac, motor no arranca.","PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.5710,SI,Procedimiento indexado recuperado
CASE_092,1,Chevrolet Sail año 2018.,PROCEDIMIENTO: DIAGNOSTICO Y REPARACION DE CIERRE CENTRALIZADO Y ACTUADOR ELECTRICO DE PUERTA (CARROCERIA_001),0.3339,SI,Procedimiento indexado recuperado
CASE_092,3,cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.7418,SI,Procedimiento indexado recuperado
CASE_094,1,revisé los inyectores,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.2881,SI,Procedimiento indexado recuperado
CASE_094,2,tengo otro problema: el alternador no carga,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",1.0000,SI,Procedimiento indexado recuperado
CASE_095,1,hace ruido de frenos,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.2797,SI,Procedimiento indexado recuperado
CASE_095,2,"olvida eso, ahora la dirección se puso dura como piedra",PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE CAJA DE DIRECCIÓN CREMALLERA ELECTRÓNICA Y ACOPLE FLEXIBLE (CHILLIDO / JUEGO EN CREMALLERA / DTC C1532),0.2125,SI,Procedimiento indexado recuperado
CASE_097,2,quiero consultar otra falla: gotea líquido de frenos en la llanta delantera,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.2733,SI,Procedimiento indexado recuperado
CASE_098,2,presenta patinado de transmisión / embrague.,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.4438,SI,Procedimiento indexado recuperado
CASE_099,2,Toyota Corolla año 2015. presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.2142,SI,Procedimiento indexado recuperado
CASE_100,2,"en el mismo tiida, ahora no sube la ventana del copiloto","PROCEDIMIENTO: REPARACIÓN Y REEMPLAZO DE MOTOR ELEVALUNAS ELÉCTRICO, GUAYA Y ALZACRISTALES (LUNA O VIDRIO DE PUERTA TRABADO)",1.0000,SI,Procedimiento indexado recuperado
CASE_101,2,presenta funcionamiento irregular / misfire. código de escáner P0301.,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),1.0000,SI,Procedimiento indexado recuperado
CASE_102,2,Kia Rio. código de escáner C0040.,PROCEDIMIENTO: PURGA Y CAMBIO DE LÍQUIDO DEL SISTEMA HIDRÁULICO DE FRENOS (PEDAL ESPONJOSO / DTC C0040),1.0000,SI,Procedimiento indexado recuperado
CASE_103,1,cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.7418,SI,Procedimiento indexado recuperado
CASE_103,2,"no, me equivoqué, el ruido es cuando piso el freno","PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",0.3250,SI,Procedimiento indexado recuperado
CASE_104,1,presenta humo blanco / ebullición refrigerante.,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),0.8311,SI,Procedimiento indexado recuperado
CASE_104,2,perdón quise decir humo negro por mezcla rica o combustion incompleta con olor fuerte a bencina,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.5283,SI,Procedimiento indexado recuperado
CASE_105,1,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_105,2,"no era adelante, me fijé bien y suena atrás en el tubo de escape",PROCEDIMIENTO: DIAGNÓSTICO DE CONTRAPRESIÓN DE ESCAPE Y CATALIZADOR TAPONADO (DTC P0420 / P0430 / AUTO AMARRADO EN PISTA),0.3450,SI,Procedimiento indexado recuperado
CASE_106,2,el problema real es que no hay chispa en ninguna bujía,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),0.5327,SI,Procedimiento indexado recuperado
CASE_107,1,presenta pérdida de potencia. cuando está al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.5925,SI,Procedimiento indexado recuperado
CASE_107,2,el pedal de freno se va al fondo con fuga de líquido,PROCEDIMIENTO: DIAGNÓSTICO DEL SISTEMA DE FRENADO REGENERATIVO Y SERVOFRENO ELECTROHIDRÁULICO (EV / HÍBRIDOS),0.2815,SI,Procedimiento indexado recuperado
CASE_107,4,la fuga de líquido es en el caliper trasero derecho,"PROCEDIMIENTO: REVISIÓN DE GUÍAS DESLIZANTES, PISTÓN AGARROTADO Y RETRACCIÓN HIDRÁULICA DE CÁLIPER DE FRENO",0.4268,SI,Procedimiento indexado recuperado
CASE_108,2,"presenta clic_unico, chasquido de arranque clac. cuando está al doblar la dirección.",PROCEDIMIENTO: REEMPLAZO DE JUNTA HOMOCINÉTICA Y CUBREPOLVOS DE PALIER (CLAC CLAC AL DOBLAR),0.3610,SI,Procedimiento indexado recuperado
CASE_108,3,las presiones de gas marcan cero en el manómetro,PROCEDIMIENTO: CARGA DE REFRIGERANTE R134a / R1234yf Y PRUEBA DE FUGAS CON MANÓMETROS (DTC B1000 / A/C TIBIO),0.5347,SI,Procedimiento indexado recuperado
CASE_109,1,Kia Picanto año 2019.,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.4420,SI,Procedimiento indexado recuperado
CASE_109,4,volvo fh freno de aire pierde presión por la válvula de descarga,"PROCEDIMIENTO: DIAGNÓSTICO DE VÁLVULA DE CUATRO VÍAS, SECADOR DE AIRE APS Y REGULADOR DE PRESIÓN NEUMÁTICO (CAMIONES)",0.6741,SI,Procedimiento indexado recuperado
CASE_110,1,el carro no frena tiene fuga,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",0.5906,SI,Procedimiento indexado recuperado
CASE_110,3,"hola, ahora quiero consultar por un ruido en la suspensión","PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.4110,SI,Procedimiento indexado recuperado
CASE_111,3,"buenas tardes, tengo una fuga de aceite en la caja de cambios",PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),0.6224,SI,Procedimiento indexado recuperado
