id_grupo,tamano,clase_objetivo,n_clases_distintas,split_asignado,ejemplo_texto
G-ORIG-0016,1,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,buenas tardes maestro tengo que pisar hasta el fondo el pedal para que pare ultimamente
G-ORIG-0017,1,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,hola maestro tengo que pisar hasta el fondo el pedal para que pare en carabayllo
G-ORIG-0018,4,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,siento el pedal de freno blando y el nivel de liquido bajo
G-ORIG-0019,4,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,el pedal de freno se hunde solo al mantenerlo pisado
G-ORIG-0020,3,Falla en bujias o bobinas de encendido (misfire),1,TRAIN,el motor cascabelea fuerte cuando subo una cuesta
G-ORIG-0021,1,Falla en bujias o bobinas de encendido (misfire),1,DEV,resulta que el motor cascabelea fuerte cuando subo una cuesta al andar
G-ORIG-0022,4,Falla en bujias o bobinas de encendido (misfire),1,TRAIN,siento un cascabeleo en el motor al acelerar fuerte
G-ORIG-0023,1,Falla en bujias o bobinas de encendido (misfire),1,DEV,el carro cascabelea y pierde fuerza en la subida
G-ORIG-0024,1,Falla en bujias o bobinas de encendido (misfire),1,DEV,hola maestro el carro cascabelea y pierde fuerza en la subida al andar
G-ORIG-0025,1,Falla en bujias o bobinas de encendido (misfire),1,TRAIN,buenas tardes maestro el carro cascabelea y pierde fuerza en la subida desde ayer
G-ORIG-0026,1,Falla en bujias o bobinas de encendido (misfire),1,TRAIN,hola maestro el carro cascabelea y pierde fuerza en la subida ultimamente
G-ORIG-0027,3,Falla en bujias o bobinas de encendido (misfire),1,TRAIN,escucho un sonajero o cascabeleo en el motor al pisar el acelerador
G-ORIG-0028,1,Falla en bujias o bobinas de encendido (misfire),1,DEV,amigo una consulta escucho un sonajero o cascabeleo en el motor al pisar el acelerador al andar
G-ORIG-0029,3,Falla en bujias o bobinas de encendido (misfire),1,TRAIN,el motor cabecea y cascabelea en tercera marcha
G-ORIG-0030,1,Falla en bujias o bobinas de encendido (misfire),1,TRAIN,buenas tardes maestro el motor cabecea y cascabelea en tercera marcha desde ayer
G-ORIG-0031,3,Bateria descargada o bornes sulfatados,1,TRAIN,el carro no arranca solo hace un click click al girar la llave
G-ORIG-0032,1,Bateria descargada o bornes sulfatados,1,TRAIN,sabes que el carro no arranca solo hace un click click al girar la llave al andar
G-ORIG-0033,2,Bateria descargada o bornes sulfatados,1,TRAIN,no prende el auto no da arranque y las luces estan tenues
G-ORIG-0034,1,Bateria descargada o bornes sulfatados,1,TRAIN,mi carro presenta no prende el auto no da arranque y las luces estan tenues al andar
G-ORIG-0035,1,Bateria descargada o bornes sulfatados,1,TRAIN,buenas tardes maestro no prende el auto no da arranque y las luces estan tenues en la pista
G-ORIG-0036,2,Bateria descargada o bornes sulfatados,1,TRAIN,giro la llave y no hace nada la bateria esta muerta
G-ORIG-0037,1,Bateria descargada o bornes sulfatados,1,TRAIN,buenas tardes maestro giro la llave y no hace nada la bateria esta muerta cuando salgo a trabajar
G-ORIG-0038,1,Bateria descargada o bornes sulfatados,1,TRAIN,sabes que giro la llave y no hace nada la bateria esta muerta al andar
G-ORIG-0039,4,Bateria descargada o bornes sulfatados,1,TRAIN,el carro no da marcha y el tablero parpadea
G-ORIG-0040,3,Bateria descargada o bornes sulfatados,1,TRAIN,no arranca en las mañanas solo suena un tacc seco
G-ORIG-0041,1,Bateria descargada o bornes sulfatados,1,TRAIN,buenas tardes maestro no arranca en las mañanas solo suena un tacc seco en carabayllo
G-ORIG-0042,2,Llantas desbalanceadas o desalineadas,1,DEV,el timon tiembla bastante a mas de 80 kilometros por hora
G-ORIG-0043,1,Llantas desbalanceadas o desalineadas,1,TRAIN,buenas tardes maestro el timon tiembla bastante a mas de 80 kilometros por hora al andar
G-ORIG-0044,2,Llantas desbalanceadas o desalineadas,1,TRAIN,vibra la direccion del carro cuando voy por la panamericana
G-ORIG-0045,1,Llantas desbalanceadas o desalineadas,1,TRAIN,buenas tardes maestro vibra la direccion del carro cuando voy por la panamericana al andar
G-ORIG-0046,1,Llantas desbalanceadas o desalineadas,1,TRAIN,hola maestro vibra la direccion del carro cuando voy por la panamericana cuando salgo a trabajar
G-ORIG-0047,3,Llantas desbalanceadas o desalineadas,1,TRAIN,el timon zapatea fuerte a alta velocidad
G-ORIG-0048,2,Llantas desbalanceadas o desalineadas,1,TRAIN,siento que la direccion vibra entre 70 y 90 km/h
G-ORIG-0049,1,Llantas desbalanceadas o desalineadas,1,TRAIN,sabes que siento que la direccion vibra entre 70 y 90 km/h al andar
G-ORIG-0050,1,Llantas desbalanceadas o desalineadas,1,DEV,hola maestro siento que la direccion vibra entre 70 y 90 km/h al andar
G-ORIG-0051,3,Llantas desbalanceadas o desalineadas,1,DEV,el carro se jala para un lado y tiembla el timon
G-ORIG-0052,1,Llantas desbalanceadas o desalineadas,1,TRAIN,resulta que el carro se jala para un lado y tiembla el timon al andar
G-ORIG-0053,2,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,suena un golpe seco en la llanta al pasar un rompemuelles
G-ORIG-0054,1,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,buenas tardes maestro suena un golpe seco en la llanta al pasar un rompemuelles cuando salgo a trabajar
G-ORIG-0055,1,Amortiguadores reventados o bujes de suspension gastados,1,DEV,hola maestro suena un golpe seco en la llanta al pasar un rompemuelles al andar
G-ORIG-0056,4,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,escucho un trancazo seco en la suspension al pasar por baches
G-ORIG-0057,2,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,el carro golpea feo abajo al cruzar un bache en carabayllo
G-ORIG-0058,2,Amortiguadores reventados o bujes de suspension gastados,1,DEV,resulta que el carro golpea feo abajo al cruzar un bache en carabayllo al andar
G-ORIG-0059,3,Amortiguadores reventados o bujes de suspension gastados,1,DEV,suena un golpe fuerte en la rueda delantera derecha al caer en hueco
G-ORIG-0060,1,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,buenas tardes maestro suena un golpe fuerte en la rueda delantera derecha al caer en hueco ultimamente
G-ORIG-0061,2,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,la suspension suena suelta y golpea al andar
G-ORIG-0062,2,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,hola maestro la suspension suena suelta y golpea al andar en la pista
G-ORIG-0063,2,Juntas homocineticas o palieres danados,1,DEV,suena un clac clac fuerte al girar todo el timon para doblar
G-ORIG-0064,2,Juntas homocineticas o palieres danados,1,TRAIN,buenas tardes maestro suena un clac clac fuerte al girar todo el timon para doblar en carabayllo
G-ORIG-0065,3,Juntas homocineticas o palieres danados,1,TRAIN,cuando doblo toda la esquina suena un crujido en la llanta
G-ORIG-0066,1,Juntas homocineticas o palieres danados,1,TRAIN,hola maestro cuando doblo toda la esquina suena un crujido en la llanta en carabayllo
G-ORIG-0067,3,Juntas homocineticas o palieres danados,1,TRAIN,suena clac clac en las ruedas delanteras cuando giro a la izquierda
G-ORIG-0068,1,Juntas homocineticas o palieres danados,1,TRAIN,buenas tardes maestro suena clac clac en las ruedas delanteras cuando giro a la izquierda al andar
G-ORIG-0069,3,Juntas homocineticas o palieres danados,1,TRAIN,al dar vuelta en u se escucha un traqueteo en el palier
G-ORIG-0070,1,Juntas homocineticas o palieres danados,1,DEV,buenas tardes maestro al dar vuelta en u se escucha un traqueteo en el palier desde ayer
G-ORIG-0071,3,Juntas homocineticas o palieres danados,1,TRAIN,suena un chasquido continuo cuando doblo el timon
G-ORIG-0072,1,Juntas homocineticas o palieres danados,1,TRAIN,mi carro presenta suena un chasquido continuo cuando doblo el timon al andar
G-ORIG-0073,2,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,el carro se aguanta o pierde fuerza cuando acelero
G-ORIG-0074,1,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,amigo una consulta el carro se aguanta o pierde fuerza cuando acelero al andar
G-ORIG-0075,3,Inyectores sucios o filtro de combustible obstruido,1,DEV,siento que el auto se chupa y no responde al acelerador
G-ORIG-0076,1,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,buenas tardes maestro siento que el auto se chupa y no responde al acelerador ultimamente
G-ORIG-0077,2,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,el carro se atranca al querer adelantar un bus
G-ORIG-0078,2,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,hola maestro el carro se atranca al querer adelantar un bus desde ayer
G-ORIG-0079,2,Inyectores sucios o filtro de combustible obstruido,1,DEV,acelero y el carro no avanza se queda aguantado
G-ORIG-0080,1,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,hola maestro acelero y el carro no avanza se queda aguantado en carabayllo
G-ORIG-0081,1,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,sabes que acelero y el carro no avanza se queda aguantado al andar
G-ORIG-0082,2,Inyectores sucios o filtro de combustible obstruido,1,DEV,pierde potencia de la nada cuando acelero en pista
G-ORIG-0083,2,Inyectores sucios o filtro de combustible obstruido,1,TRAIN,hola maestro pierde potencia de la nada cuando acelero en pista ultimamente
G-ORIG-0084,2,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,el carro esta consumiendo demasiada gasolina ultimamente
G-ORIG-0085,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,hola maestro el carro esta consumiendo demasiada gasolina ultimamente en la pista
G-ORIG-0086,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,buenas tardes maestro el carro esta consumiendo demasiada gasolina ultimamente desde ayer
G-ORIG-0087,2,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,esta tragando combustible como loco y huele raro
G-ORIG-0088,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,buenas tardes maestro esta tragando combustible como loco y huele raro en la pista
G-ORIG-0089,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,buenas tardes maestro esta tragando combustible como loco y huele raro al andar
G-ORIG-0090,3,Falla en sensor de oxigeno o mezcla rica,1,DEV,el consumo de gasolina se disparo al doble este mes
G-ORIG-0091,2,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,huele mal el escape y consume mucha gasolina
G-ORIG-0092,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,buenas tardes maestro huele mal el escape y consume mucha gasolina en carabayllo
G-ORIG-0093,1,Falla en sensor de oxigeno o mezcla rica,1,DEV,hola maestro huele mal el escape y consume mucha gasolina al andar
G-ORIG-0094,2,Falla en sensor de oxigeno o mezcla rica,1,DEV,el tanque de gasolina se rinde muy rapido
G-ORIG-0095,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,amigo una consulta el tanque de gasolina se rinde muy rapido al andar
G-ORIG-0096,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,hola maestro el tanque de gasolina se rinde muy rapido al andar
G-ORIG-0097,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,esta botando humo negro espeso por el tubo de escape
G-ORIG-0098,2,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,sabes que esta botando humo negro espeso por el tubo de escape al andar
G-ORIG-0099,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,hola maestro esta botando humo negro espeso por el tubo de escape en carabayllo
G-ORIG-0100,2,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,sale humo negro y mancha de hollin el suelo al acelerar
G-ORIG-0101,2,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,buenas tardes maestro sale humo negro y mancha de hollin el suelo al acelerar ultimamente
G-ORIG-0102,3,Falla en sensor de oxigeno o mezcla rica,1,DEV,bota humo oscuro y carbon por el escape
G-ORIG-0103,2,Falla en sensor de oxigeno o mezcla rica,1,DEV,sale humo negro con olor a gasolina mal quemada
G-ORIG-0104,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,buenas tardes maestro sale humo negro con olor a gasolina mal quemada en carabayllo
G-ORIG-0105,1,Falla en sensor de oxigeno o mezcla rica,1,DEV,hola maestro sale humo negro con olor a gasolina mal quemada en carabayllo
G-ORIG-0106,3,Falla en sensor de oxigeno o mezcla rica,1,DEV,al acelerar a fondo bota una nube de humo negro
G-ORIG-0107,1,Falla en sensor de oxigeno o mezcla rica,1,TRAIN,hola maestro al acelerar a fondo bota una nube de humo negro ultimamente
G-ORIG-0108,2,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,sale humo azul con olor a aceite quemado por el escape
G-ORIG-0109,1,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,buenas tardes maestro sale humo azul con olor a aceite quemado por el escape cuando salgo a trabajar
G-ORIG-0110,3,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,bota humo azuloso continuo cuando acelero
G-ORIG-0111,1,Consumo de aceite por desgaste de anillos o retenes,1,DEV,hola maestro bota humo azuloso continuo cuando acelero ultimamente
G-ORIG-0112,3,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,el motor consume aceite y bota humo azul por el tubo
G-ORIG-0113,1,Consumo de aceite por desgaste de anillos o retenes,1,DEV,sabes que el motor consume aceite y bota humo azul por el tubo al andar
G-ORIG-0114,3,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,bota humo garzo azulado al salir en primera
G-ORIG-0115,1,Consumo de aceite por desgaste de anillos o retenes,1,DEV,sabes que bota humo garzo azulado al salir en primera al andar
G-ORIG-0116,1,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,tengo que rellenar aceite cada semana y bota humo azul
G-ORIG-0117,2,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,buenas tardes maestro tengo que rellenar aceite cada semana y bota humo azul desde ayer
G-ORIG-0118,1,Consumo de aceite por desgaste de anillos o retenes,1,TRAIN,mi carro presenta tengo que rellenar aceite cada semana y bota humo azul al andar
G-ORIG-0119,3,Empaque de culata soplado o danado,1,TRAIN,sale bastante humo blanco espeso por el tubo de escape
G-ORIG-0120,1,Empaque de culata soplado o danado,1,TRAIN,hola maestro sale bastante humo blanco espeso por el tubo de escape en carabayllo
G-ORIG-0121,3,Empaque de culata soplado o danado,1,TRAIN,bota humo blanco como vapor y se consume el agua del radiador
G-ORIG-0122,1,Empaque de culata soplado o danado,1,TRAIN,buenas tardes maestro bota humo blanco como vapor y se consume el agua del radiador en carabayllo
G-ORIG-0123,3,Empaque de culata soplado o danado,1,TRAIN,el motor calienta y bota humo blanco espeso constante
G-ORIG-0124,1,Empaque de culata soplado o danado,1,TRAIN,hola maestro el motor calienta y bota humo blanco espeso constante en la pista
G-ORIG-0125,3,Empaque de culata soplado o danado,1,DEV,se mezcla el agua con el aceite y bota humo blanco
G-ORIG-0126,1,Empaque de culata soplado o danado,1,TRAIN,hola maestro se mezcla el agua con el aceite y bota humo blanco al andar
G-ORIG-0127,3,Empaque de culata soplado o danado,1,TRAIN,bota bastante vapor y agua por el tubo de escape
G-ORIG-0128,1,Empaque de culata soplado o danado,1,DEV,hola maestro bota bastante vapor y agua por el tubo de escape en la pista
G-ORIG-0129,3,Alternador defectuoso o placa de diodos quemada,1,TRAIN,suena un chillido agudo de faja debajo del capo
G-ORIG-0130,1,Alternador defectuoso o placa de diodos quemada,1,TRAIN,hola maestro suena un chillido agudo de faja debajo del capo cuando salgo a trabajar
G-ORIG-0131,3,Alternador defectuoso o placa de diodos quemada,1,DEV,el motor chilla feo al encenderlo en las mañanas
G-ORIG-0132,1,Alternador defectuoso o placa de diodos quemada,1,TRAIN,buenas tardes maestro el motor chilla feo al encenderlo en las mañanas al andar
G-ORIG-0133,2,Alternador defectuoso o placa de diodos quemada,1,TRAIN,suena un silbido agudo continuo en la faja del alternador
G-ORIG-0134,1,Alternador defectuoso o placa de diodos quemada,1,TRAIN,buenas tardes maestro suena un silbido agudo continuo en la faja del alternador desde ayer
G-ORIG-0135,1,Alternador defectuoso o placa de diodos quemada,1,TRAIN,sabes que suena un silbido agudo continuo en la faja del alternador al andar
G-ORIG-0136,3,Alternador defectuoso o placa de diodos quemada,1,TRAIN,prende la luz de la bateria en el tablero y chilla la faja
G-ORIG-0137,1,Alternador defectuoso o placa de diodos quemada,1,TRAIN,hola maestro prende la luz de la bateria en el tablero y chilla la faja cuando salgo a trabajar
G-ORIG-0138,3,Alternador defectuoso o placa de diodos quemada,1,TRAIN,chilla la faja al prender las luces altas o aire
G-ORIG-0139,1,Alternador defectuoso o placa de diodos quemada,1,DEV,hola maestro chilla la faja al prender las luces altas o aire en carabayllo
G-ORIG-0140,2,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,el motor se apaga solo cuando bajo la velocidad o freno
G-ORIG-0141,1,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,buenas tardes maestro el motor se apaga solo cuando bajo la velocidad o freno desde ayer
G-ORIG-0142,1,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,hola maestro el motor se apaga solo cuando bajo la velocidad o freno ultimamente
G-ORIG-0143,3,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,al llegar a una esquina o semaforo el carro se apaga de la nada
G-ORIG-0144,1,Cuerpo de aceleracion o valvula IAC sucia,1,DEV,buenas tardes maestro al llegar a una esquina o semaforo el carro se apaga de la nada cuando salgo a trabajar
G-ORIG-0145,3,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,se apaga el motor al poner neutro o soltar el acelerador
G-ORIG-0146,1,Cuerpo de aceleracion o valvula IAC sucia,1,DEV,mi carro presenta se apaga el motor al poner neutro o soltar el acelerador al andar
G-ORIG-0147,2,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,el minimo esta inestable y el carro se apaga solo
G-ORIG-0148,1,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,tengo un problema el minimo esta inestable y el carro se apaga solo al andar
G-ORIG-0149,1,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,hola maestro el minimo esta inestable y el carro se apaga solo ultimamente
G-ORIG-0150,3,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,se apaga en cada rompemuelles si no lo mantengo acelerado
G-ORIG-0151,1,Cuerpo de aceleracion o valvula IAC sucia,1,TRAIN,hola maestro se apaga en cada rompemuelles si no lo mantengo acelerado al andar
G-ORIG-0152,1,Falla electrica del cierre centralizado o actuador de puerta,1,TRAIN,pasa que al cerrar la puerta de mi auto y al aplastar el control de la puerta este no lo abre y sigue bloqueada
G-ORIG-0153,1,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",1,TRAIN,la chapa de la puerta esta inclinada para el costado y no abre
G-ORIG-0154,1,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",1,TRAIN,el seguro mecanico de la puerta se quedo trabado o chueco
G-ORIG-0155,1,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",1,TRAIN,la chapa de la puerta no encaja ni cierra bien
G-ORIG-0156,1,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",1,TRAIN,el pestillo de la puerta esta doblado y la chapa no responde
G-ORIG-0157,1,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",1,TRAIN,la cerradura de la puerta se quedo trabada hacia un lado
G-ORIG-0158,1,Falla electrica del cierre centralizado o actuador de puerta,1,TRAIN,aplasto el control y el seguro de la puerta se queda trabado
G-ORIG-0159,5,Desgaste de pastillas y zapatas de freno,1,TRAIN,chillido feo al frenar
G-ORIG-0160,1,Desgaste de pastillas y zapatas de freno,1,DEV,siento que chillido feo al frenar cuando voy manejando
G-ORIG-0161,2,Desgaste de pastillas y zapatas de freno,1,DEV,al salir a trabajar chillido feo al frenar al pasar un rompemuelles
G-ORIG-0162,7,Desgaste de pastillas y zapatas de freno,1,TRAIN,ruido de metal con metal en las ruedas al pisar el freno
G-ORIG-0163,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,al salir a trabajar ruido de metal con metal en las ruedas al pisar el freno de la nada
G-ORIG-0164,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,siento que ruido de metal con metal en las ruedas al pisar el freno al acelerar
G-ORIG-0165,9,Desgaste de pastillas y zapatas de freno,1,TRAIN,chilla la rueda delantera cuando freno
G-ORIG-0166,7,Desgaste de pastillas y zapatas de freno,1,TRAIN,chirrido agudo en el pedal de freno
G-ORIG-0167,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,al salir a trabajar chirrido agudo en el pedal de freno cuando voy manejando
G-ORIG-0168,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,siento que chirrido agudo en el pedal de freno en carabayllo
G-ORIG-0169,6,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,pedal de freno esponjoso y se hunde hasta el fondo
G-ORIG-0170,2,Fuga hidraulica o aire en el sistema de frenos,1,DEV,al salir a trabajar pedal de freno esponjoso y se hunde hasta el fondo cuando voy manejando
G-ORIG-0171,1,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,siento que pedal de freno esponjoso y se hunde hasta el fondo al acelerar
G-ORIG-0172,6,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,freno muy largo y no frena casi nada
G-ORIG-0173,1,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,siento que freno muy largo y no frena casi nada al pasar un rompemuelles
G-ORIG-0174,1,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,al salir a trabajar freno muy largo y no frena casi nada de la nada
G-ORIG-0175,7,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,el nivel de liquido de frenos baja solo
G-ORIG-0176,2,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,siento que el nivel de liquido de frenos baja solo en las mañanas
G-ORIG-0177,9,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,tengo que bombear el freno para que agarre
G-ORIG-0178,15,Falla en servofreno (booster) o linea de vacio,1,TRAIN,pedal de freno duro como una piedra y no frena
G-ORIG-0179,2,Falla en servofreno (booster) o linea de vacio,1,DEV,al salir a trabajar pedal de freno duro como una piedra y no frena al pasar un rompemuelles
G-ORIG-0180,8,Falla en servofreno (booster) o linea de vacio,1,TRAIN,tengo que hacer mucha fuerza con la pierna para frenar
G-ORIG-0181,1,Falla en servofreno (booster) o linea de vacio,1,DEV,siento que tengo que hacer mucha fuerza con la pierna para frenar al acelerar
G-ORIG-0182,6,Falla en servofreno (booster) o linea de vacio,1,TRAIN,el freno esta hiper duro
G-ORIG-0183,1,Falla en servofreno (booster) o linea de vacio,1,TRAIN,al salir a trabajar el freno esta hiper duro de la nada
G-ORIG-0184,7,Discos de freno alabeados o desgastados,1,DEV,el timon y el pedal de freno vibran bastante al frenar a alta velocidad
G-ORIG-0185,2,Discos de freno alabeados o desgastados,1,DEV,siento que el timon y el pedal de freno vibran bastante al frenar a alta velocidad cuando voy manejando
G-ORIG-0186,6,Discos de freno alabeados o desgastados,1,TRAIN,tiembla el pedal cuando piso el freno despacio
G-ORIG-0187,2,Discos de freno alabeados o desgastados,1,TRAIN,al salir a trabajar tiembla el pedal cuando piso el freno despacio al acelerar
G-ORIG-0188,1,Discos de freno alabeados o desgastados,1,TRAIN,siento que tiembla el pedal cuando piso el freno despacio al pasar un rompemuelles
G-ORIG-0189,7,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,golpe seco o trancazo en la llanta al pasar por rompemuelles
G-ORIG-0190,1,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,al salir a trabajar golpe seco o trancazo en la llanta al pasar por rompemuelles en la pista
G-ORIG-0191,14,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,ruido de cazoleta en huecos
G-ORIG-0192,3,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,al salir a trabajar ruido de cazoleta en huecos al acelerar
G-ORIG-0193,1,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,siento que ruido de cazoleta en huecos al pasar un rompemuelles
G-ORIG-0194,6,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,la suspension golpea feo abajo
G-ORIG-0195,1,Amortiguadores reventados o bujes de suspension gastados,1,DEV,siento que la suspension golpea feo abajo en carabayllo
G-ORIG-0196,6,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,el carro se hamaca demasiado al frenar
G-ORIG-0197,2,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,siento que el carro se hamaca demasiado al frenar cuando voy manejando
G-ORIG-0198,1,Amortiguadores reventados o bujes de suspension gastados,1,TRAIN,al salir a trabajar el carro se hamaca demasiado al frenar cuando voy manejando
G-ORIG-0199,7,Juntas homocineticas o palieres danados,1,TRAIN,suena clac clac fuerte al girar todo el timon para doblar
G-ORIG-0200,1,Juntas homocineticas o palieres danados,1,TRAIN,siento que suena clac clac fuerte al girar todo el timon para doblar en carabayllo
G-ORIG-0201,16,Juntas homocineticas o palieres danados,1,TRAIN,crujido en la llanta al dar vuelta en U
G-ORIG-0202,1,Juntas homocineticas o palieres danados,1,TRAIN,siento que crujido en la llanta al dar vuelta en U en las mañanas
G-ORIG-0203,7,Juntas homocineticas o palieres danados,1,DEV,traqueteo en el palier delantero al doblar la esquina
G-ORIG-0204,1,Juntas homocineticas o palieres danados,1,TRAIN,al salir a trabajar traqueteo en el palier delantero al doblar la esquina en las mañanas
G-ORIG-0205,7,Llantas desbalanceadas o desalineadas,1,TRAIN,el timon tiembla bastante a mas de 80 km/h
G-ORIG-0206,1,Llantas desbalanceadas o desalineadas,1,DEV,al salir a trabajar el timon tiembla bastante a mas de 80 km/h en la pista
G-ORIG-0207,8,Llantas desbalanceadas o desalineadas,1,TRAIN,direccion vibra en la autopista
G-ORIG-0208,1,Llantas desbalanceadas o desalineadas,1,TRAIN,al salir a trabajar direccion vibra en la autopista de la nada
G-ORIG-0209,7,Llantas desbalanceadas o desalineadas,1,TRAIN,el carro se jala solo hacia un lado en pista recta
