pantalla,campo_frontend,variable,endpoint,backend,tabla,columna,se_guarda,se_recupera,se_muestra,pretest,posttest,estado,hallazgo
"Validacion en Taller (ValidacionNuevoCasoModal)","Placa del Vehiculo","nuevoCaso.placa","POST /api/v1/validaciones","validacion_taller.py / _pseudonimizar_placa()","validaciones_taller","placa_enmascarada, placa_hash","SI","SI","SI","SI","SI","SE TRANSFORMA","La placa en crudo se pseudonimiza mediante HMAC-SHA256 (64 chars) y mascara visual ABC-*** para cumplimiento LPDP/GDPR."
"Validacion en Taller (ValidacionNuevoCasoModal)","Marca y Modelo","nuevoCaso.marca_modelo","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","marca_modelo","SI","SI","SI","SI","SI","OK","Persistido en validaciones_taller.marca_modelo y visible en tabla de casos."
"Validacion en Taller (ValidacionNuevoCasoModal)","Año del Vehiculo","nuevoCaso.vehiculo_anio","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","vehiculo_anio, detalles_campos->campo_3","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Se persiste en BD y en JSON detalles_campos, pero ValidacionCasosTable no tiene columna visual para año."
"Validacion en Taller (ValidacionNuevoCasoModal)","Kilometraje","nuevoCaso.vehiculo_kilometraje","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","vehiculo_kilometraje, detalles_campos->campo_3","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Se persiste en BD, pero ValidacionCasosTable no muestra la columna de kilometraje."
"Validacion en Taller (ValidacionNuevoCasoModal)","Tipo de Combustible","nuevoCaso.vehiculo_combustible","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","vehiculo_combustible, detalles_campos->campo_3","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Se persiste en BD, pero no se muestra en ValidacionCasosTable (solo en Anexo 2 CSV)."
"Validacion en Taller (ValidacionNuevoCasoModal)","Tipo de Transmision","nuevoCaso.vehiculo_transmision","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","vehiculo_transmision, detalles_campos->campo_3","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Se persiste en BD, pero no se muestra en ValidacionCasosTable (solo en Anexo 2 CSV)."
"Validacion en Taller (ValidacionNuevoCasoModal)","Sintoma","nuevoCaso.sintoma","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","sintoma","SI","SI","SI","SI","SI","OK","Persistido en validaciones_taller.sintoma y visible en tabla de casos y Anexo 2."
"Validacion en Taller (ValidacionNuevoCasoModal)","Descripcion del Sintoma","nuevoCaso.descripcion_sintoma","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","descripcion_sintoma, detalles_campos->campo_5","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Se persiste en BD, pero no se muestra en ValidacionCasosTable (solo en Anexo 2 CSV)."
"Validacion en Taller (ValidacionNuevoCasoModal)","Hipotesis / Prediccion CarBot","nuevoCaso.chatbot_prediccion","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","chatbot_prediccion","SI","SI","SI","SI","SI","OK","En Pretest es la hipotesis manual del mecanico; en Posttest es la prediccion Top 1 CarBot."
"Validacion en Taller (ValidacionNuevoCasoModal)","Sistema Afectado Probable","nuevoCaso.sistema_afectado_probable","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","sistema_afectado_probable, detalles_campos->campo_6","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Se persiste en BD y en JSON detalles_campos, pero no tiene columna en ValidacionCasosTable."
"Validacion en Taller (ValidacionNuevoCasoModal)","Falla Real Confirmada","nuevoCaso.falla_real","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","falla_real, detalles_campos->campo_7","SI","SI","SI","SI","SI","OK","Persistido en validaciones_taller.falla_real y visible en tabla y Ficha 1."
"Validacion en Taller (ValidacionNuevoCasoModal)","¿Fue Acierto? (1 / 0)","nuevoCaso.prediccion_correcta","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","prediccion_correcta","SI","SI","SI","SI","SI","OK","Persistencia binaria validada. Se refleja en Ficha 1 oficial (PPCF)."
"Validacion en Taller (ValidacionNuevoCasoModal)","Tiempo Empleado (min)","nuevoCaso.tiempo_diagnostico_minutos","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","tiempo_diagnostico_minutos, detalles_campos->campo_8","SI","SI","SI","SI","SI","INCONSISTENTE","Se almacena el numero ingresado por el usuario, pero carece de timestamps de inicio/fin de servidor."
"Validacion en Taller (ValidacionNuevoCasoModal)","Metodo de Confirmacion Fisica","nuevoCaso.metodo_confirmacion","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","metodo_confirmacion","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Requerido obligatoriamente para estado verificado; no tiene columna visual en ValidacionCasosTable."
"Validacion en Taller (ValidacionNuevoCasoModal)","Evidencia o Referencia","nuevoCaso.evidencia_ref","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","evidencia_ref","SI","SI","NO","SI","SI","SE GUARDA PERO NO SE MUESTRA","Requerido obligatoriamente para estado verificado; no tiene columna visual en ValidacionCasosTable."
"Validacion en Taller (ValidacionNuevoCasoModal)","Estado del Registro (verificado / borrador)","nuevoCaso.estado_registro","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","estado_registro","SI","SI","SI","SI","SI","OK","Permite clasificar registros oficiales ('verificado') frente a borradores preliminares."
"Validacion en Taller (ValidacionNuevoCasoModal)","Indicador 1 VI: Sintoma Correcto","nuevoCaso.sintoma_registrado_correctamente","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","sintoma_registrado_correctamente","SI","SI","SI","NO","SI","OK","Se muestra en la tarjeta de metricas de la Variable Independiente en ConsultasTesisView."
"Validacion en Taller (ValidacionNuevoCasoModal)","Indicador 2 VI: Etapas Procesadas","normalizacion_correcta, extraccion_correcta, clasificacion_procesada","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","normalizacion_correcta, extraccion_correcta, clasificacion_procesada, procesamiento_validado","SI","SI","SI","NO","SI","OK","Se calcula procesamiento_validado = 1 si las 3 etapas fueron marcadas y se refleja en metricas VI."
"Validacion en Taller (ValidacionNuevoCasoModal)","Diagnostico ID / Vinculacion WhatsApp","No existe en formulario","POST /api/v1/validaciones","validacion_taller.py","validaciones_taller","diagnostico_id, conversacion_id","NO","NO","NO","NO","SI","NO SE GUARDA","Falta selector en frontend para vincular un diagnostico previo de CarBot; queda NULL en registros manuales."
"Validacion en Taller (ValidacionNuevoCasoModal)","Identificador de Par Experimental (caso_pareja_id)","No existe en formulario","POST /api/v1/validaciones","validacion_taller.py","validaciones_taller","Inexistente en tabla","NO","NO","NO","SI","SI","NO SE GUARDA","No existe columna ni campo para emparejar Caso Pre_i con Caso Post_i para prueba t de muestras relacionadas."
"Exportacion Anexo 2 (Boton Descargar Anexo 2)","Descarga CSV Anexo 2","periodo","GET /api/v1/validaciones/exportar-fichas-anexo2-csv","validacion_taller.py / exportar_fichas_anexo2_csv()","validaciones_taller","Todas las columnas oficiales","NO APLICA","SI","SI","SI","SI","INCONSISTENTE","Exporta exclusivamente en formato LONG vertical. Falta exportador en formato WIDE para SPSS."
