id,taller_id,vehiculo_marca_modelo,diagnostico_id,fase_previa,tipo_registro_previo,estado_registro_previo,origen_clave,tipo_registro_nuevo,estado_registro_nuevo,motivo
5efb2749-d819-46f0-bb4b-06364797e066,5313362a-c18d-456f-892d-a8980155c461,Toyota Yaris,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_001,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
e9cd15d4-5f12-45bf-9447-d7acb83fbd57,5313362a-c18d-456f-892d-a8980155c461,Hyundai Accent,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_002,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
8765c60e-67c7-4d50-b83a-126cde8cd5ba,5313362a-c18d-456f-892d-a8980155c461,Nissan Versa,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_003,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
6b0f0547-bb07-494f-a6cd-1a9e666108e9,5313362a-c18d-456f-892d-a8980155c461,Kia Rio,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_004,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
056958f7-7143-43c3-8538-a55e575172a8,5313362a-c18d-456f-892d-a8980155c461,Chevrolet Sail,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_005,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
f026f7e9-b01d-46a8-bb41-e073e13b73ce,5313362a-c18d-456f-892d-a8980155c461,Toyota Corolla,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_006,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
13733454-fd53-4168-b050-d2286b3060e4,5313362a-c18d-456f-892d-a8980155c461,Suzuki Swift,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_007,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
997bc568-4204-46c1-bbae-7115a8fa3f51,5313362a-c18d-456f-892d-a8980155c461,Nissan Sentra,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_008,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
331e7f4c-de38-4a57-b465-2e66176f56af,5313362a-c18d-456f-892d-a8980155c461,Hyundai i10,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_009,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
de86e43f-1070-49f2-8ea4-aff4e9c27eb9,5313362a-c18d-456f-892d-a8980155c461,Kia Cerato,,Post-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_POST_010,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
