ID,exact_class,macro,baseline_chunks,candidate_chunks,description,symptoms,causes,questions,tests,tools,interpretation,next_action,DTC,safety,provenance,chain_status,remaining_gap
22,Falla electrica del cierre centralizado o actuador de puerta,CARROCERIA_NEUMATICA,5,5,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
23,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),CARROCERIA_NEUMATICA,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
24,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
25,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,2,2,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
26,Falla en bujias o bobinas de encendido (misfire),MOTOR,25,25,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
27,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),TRANSMISION,8,8,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
28,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
29,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,5,6,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
30,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
31,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
32,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,2,2,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
33,Falla en regulador de presion de combustible o diafragma roto,MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
34,Falla en sensor de oxigeno o mezcla rica,MOTOR,15,15,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
35,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,3,3,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
36,Falla en sensor de velocidad de rueda ABS,FRENOS,10,10,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
37,Falla en servofreno (booster) o linea de vacio,FRENOS,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
38,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
39,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,1,4,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
40,Falla en sistema de frenado regenerativo (EV / Hibridos),FRENOS,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
41,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,1,4,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
42,Falla en termostato o motoventilador de radiador,MOTOR,4,4,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
43,Fallo en inversor de corriente IGBT o motor electrico (EV),ELECTRICO,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
44,Falta o degradacion de aceite de caja de cambios,TRANSMISION,5,5,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
45,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),ELECTRICO,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
46,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,4,4,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
47,Fuga en mangueras de refrigerante o radiador picado,MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
48,Fuga hidraulica o aire en el sistema de frenos,FRENOS,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
49,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
50,Fuga parasita de corriente en reposo (consumo nocturno de bateria),ELECTRICO,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
51,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,3,3,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
52,Inyectores sucios o filtro de combustible obstruido,MOTOR,5,5,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
53,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,2,2,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
54,Limpiaparabrisas o motor pluma quemado,CARROCERIA_NEUMATICA,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
55,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
56,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
57,Rodajes de caja mecanica o diferencial gastados,TRANSMISION,7,7,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
58,Rodajes de transmision manual o eje primario gastados,TRANSMISION,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
59,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
60,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,2,4,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
61,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
