item_id,class,proposed_content,reason_blocked,missing_source,safety_risk,OEM_dependency,future_action
BLK_011_CHG-011,Reemplazar chunk stub de 56 car. en Nissan Versa 2021,Inyección de texto técnico sintético para rellenar stub de Toyota Corolla sin manual OEM físico,Clasificación Reconciliación: C — REQUIERE FUENTE. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_012_CHG-012,Reemplazar chunk stub de 56 car. en Toyota Corolla 2019,Inyección de texto técnico sintético para rellenar stub de Nissan Versa sin manual OEM físico,Clasificación Reconciliación: C — REQUIERE FUENTE. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_013_CHG-013,Incorporar bloque obligatorio de seguridad de Alta Tensión en EV/HV,Procedimientos invasivos de desarme de celdas o inversor HV generados por IA,Clasificación Reconciliación: B — PARCIALMENTE RESPALDADO. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,ALTO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_014_CHG-014,"Incorporar advertencia de inyección subcutánea en Common Rail (1,600+ bar)",Valores fijos de presión de riel (>1800 bar) sin condición de prueba específica de motor,Clasificación Reconciliación: A — RESPALDADO. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,ALTO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_015_CHG-015,Protocolo de despresurización de línea de gasolina antes de apertura,Presiones universales '45-60 PSI' generalizadas para todos los sistemas de inyección,Clasificación Reconciliación: A — RESPALDADO. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,ALTO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_016_CHG-016,Procedimiento de diagnóstico dinámico de A/C (carretera vs detenido),Presiones universales fijas de A/C (50-60 PSI baja / 120-140 PSI alta) no trazables,Clasificación Reconciliación: B — PARCIALMENTE RESPALDADO. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_017_CHG-017,Incorporar preguntas discriminantes explícitas y descarte en Grupos A a E,Árboles sintéticos de misfire con probabilidades artificiales para sustitución de piezas,Clasificación Reconciliación: C — REQUIERE FUENTE / REQUIERE_VALIDACION_MANUAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_018_CHG-018,Migración de los 239 registros al formato de schema enriquecido schema_v2,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_019_CHG-019,"Integrar lookup relacional SQLite para el catálogo DTC (18,805 códigos) en query builder",Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_020_CHG-020,Generar manifiesto posicional estricto con hashes SHA-256 (corpus_manifest.json),Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
