id_candidato,sintoma,condicion,causa_candidata,revision_inicial,pregunta_aclaracion,urgencia_fuente,sistema_fuente,codigo_canonico_propuesto,falla_canonica_propuesta,sistema_canonico,estado_mapeo,decision_revision,validado_por_mecanico,apto_entrenamiento,uso_recomendado_actual,fuente,url_fuente,seccion_fuente,fecha_consulta,licencia_fuente,sha256_texto_fuente,observaciones_revision
GEM-0014,se enciende la luz check engine,con el motor encendido,sensor de motor defectuoso,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0015,se enciende la luz check engine,con el motor encendido,fuga de vacio,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0016,se enciende la luz check engine,con el motor encendido,problema del sistema de emisiones,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0017,el motor se calienta,durante la marcha o en trafico,nivel bajo de refrigerante,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,REFRIGERACION_002,Fuga en mangueras de refrigerante o radiador picado,Refrigeración,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0018,el motor se calienta,durante la marcha o en trafico,fuga de refrigerante,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,REFRIGERACION_002,Fuga en mangueras de refrigerante o radiador picado,Refrigeración,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0019,el motor se calienta,durante la marcha o en trafico,radiador obstruido o dañado,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0020,el motor se calienta,durante la marcha o en trafico,motoventilador que no enciende,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,REFRIGERACION_001,Falla en termostato o motoventilador de radiador,Refrigeración,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0021,el motor se calienta,durante la marcha o en trafico,termostato trabado,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,REFRIGERACION_001,Falla en termostato o motoventilador de radiador,Refrigeración,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0022,el motor se calienta,durante la marcha o en trafico,bomba de agua defectuosa,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0023,el motor se calienta,durante la marcha o en trafico,tapa de radiador dañada,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0024,el motor se calienta,durante la marcha o en trafico,aceite bajo o degradado,Comprobar temperatura y refrigerante solo con el motor frio.,"¿Sube la temperatura, pierde refrigerante o sale vapor?",ALTA,Refrigeracion y motor,,,,REQUIERE_REVISION_AMBIGUEDAD,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Motor recalentado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0025,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",bomba de gasolina debil,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",COMBUSTIBLE_002,Bomba de gasolina quemada o con baja presion,Inyección de Combustible,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0026,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",filtro de combustible obstruido,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",COMBUSTIBLE_001,Inyectores sucios o filtro de combustible obstruido,Inyección de Combustible,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0027,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",alternador defectuoso,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",ELECTRICO_001,Alternador defectuoso o placa de diodos quemada,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0028,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",conexion deficiente de bateria,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",ELECTRICO_002,Bateria descargada o bornes sulfatados,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0029,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",sensor de cigüeñal defectuoso,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0030,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",sensor de arbol de levas defectuoso,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0031,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",cuerpo de aceleracion sucio,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",COMBUSTIBLE_003,Cuerpo de aceleracion o valvula IAC sucia,Inyección de Combustible,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0032,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",valvula IAC sucia o defectuosa,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",COMBUSTIBLE_003,Cuerpo de aceleracion o valvula IAC sucia,Inyección de Combustible,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0033,el auto se apaga solo,"en minimo, en marcha, al frenar o al acelerar",fuga de vacio,"Precisar cuando se apaga y revisar combustible, carga y admision.","¿Se apaga en minimo, al frenar, al acelerar o despues de calentarse?",ALTA,"Combustible, electrico y admision",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto se apaga solo,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0034,la bateria se descarga con frecuencia,con el vehiculo apagado o despues de trayectos cortos,bateria envejecida,"Medir bateria, carga del alternador, bornes y consumo en reposo.",¿Se descarga aun despues de cargarla o cambiarla?,MEDIA_ALTA,Sistema electrico,ELECTRICO_002,Bateria descargada o bornes sulfatados,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Bateria descargada,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0035,la bateria se descarga con frecuencia,con el vehiculo apagado o despues de trayectos cortos,luces o accesorios quedaron encendidos,"Medir bateria, carga del alternador, bornes y consumo en reposo.",¿Se descarga aun despues de cargarla o cambiarla?,MEDIA_ALTA,Sistema electrico,,,,REQUIERE_DESCARTE,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Bateria descargada,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0036,la bateria se descarga con frecuencia,con el vehiculo apagado o despues de trayectos cortos,alternador que no carga,"Medir bateria, carga del alternador, bornes y consumo en reposo.",¿Se descarga aun despues de cargarla o cambiarla?,MEDIA_ALTA,Sistema electrico,ELECTRICO_001,Alternador defectuoso o placa de diodos quemada,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Bateria descargada,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0037,la bateria se descarga con frecuencia,con el vehiculo apagado o despues de trayectos cortos,bornes sucios o flojos,"Medir bateria, carga del alternador, bornes y consumo en reposo.",¿Se descarga aun despues de cargarla o cambiarla?,MEDIA_ALTA,Sistema electrico,ELECTRICO_002,Bateria descargada o bornes sulfatados,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Bateria descargada,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0038,la bateria se descarga con frecuencia,con el vehiculo apagado o despues de trayectos cortos,consumo electrico parasitario,"Medir bateria, carga del alternador, bornes y consumo en reposo.",¿Se descarga aun despues de cargarla o cambiarla?,MEDIA_ALTA,Sistema electrico,,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Bateria descargada,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0039,la bateria se descarga con frecuencia,con el vehiculo apagado o despues de trayectos cortos,trayectos demasiado cortos,"Medir bateria, carga del alternador, bornes y consumo en reposo.",¿Se descarga aun despues de cargarla o cambiarla?,MEDIA_ALTA,Sistema electrico,,,,REQUIERE_DESCARTE,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Bateria descargada,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0040,la bateria se descarga con frecuencia,con el vehiculo apagado o despues de trayectos cortos,degradacion por calor,"Medir bateria, carga del alternador, bornes y consumo en reposo.",¿Se descarga aun despues de cargarla o cambiarla?,MEDIA_ALTA,Sistema electrico,ELECTRICO_002,Bateria descargada o bornes sulfatados,Sistema Eléctrico y Carga,REQUIERE_REVISION_AMBIGUEDAD,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Bateria descargada,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0041,"hay luz de bateria, luces debiles o apagones",con el motor en funcionamiento,alternador defectuoso,Medir voltaje de bateria y carga del alternador.,¿Las luces se debilitan o el auto se apaga con el motor encendido?,ALTA,Sistema electrico,ELECTRICO_001,Alternador defectuoso o placa de diodos quemada,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Alternador en mal estado,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0042,el auto pierde fuerza,al acelerar o subir pendientes,filtro de aire sucio,"Revisar filtro de aire, respuesta al acelerar y codigos OBD2.","¿Pierde fuerza al acelerar, en subida o en ambos casos?",MEDIA_ALTA,"Motor, combustible y transmision",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Perdida de potencia,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
