"sintoma","tipo_vehiculo","codigo_obd","falla","codigo_falla","origen","estado_validacion"
"Trepida el pedal de freno en bajadas pronunciadas por discos alabeados","Hatchback Suzuki Swift 2018","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Oscilacion y salto en el pedal de frenos causado por discos de freno torcidos","Sedan Kia Cerato 2017","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Vibraciones molestas en el volante y pedal al aplicar presion en los frenos","Sedan Nissan Sentra 2018","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Discos de freno con desgaste desparejo y alabeo lateral que hace temblar la rueda","SUV Changan CS35 2020","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Sensacion de pedal pulsante y volante vibrando al pisar el freno a 80 km/h","Hatchback VW Gol 2015","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Discos delanteros alabeados por sobrecalentamiento produciendo fuerte cabeceo","Pickup Toyota Hilux 2018","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Pedal de freno excesivamente duro y rigido que cuesta mucho hundir para frenar","Camion Isuzu Forward 2019","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Servofreno booster pinchado perdiendo vacio con pedal de freno durisimo","Camion Volvo FH 2018","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Falta de asistencia de vacio en el servofreno con pedal de freno que no cede","Sedan Honda Civic 2016","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Pedal de freno duro como una piedra por diafragma de servofreno roto","SUV Nissan X-Trail 2017","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"El pedal de freno no baja facilmente y requiere excesiva fuerza del conductor","Sedan Mazda 3 2018","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Booster de freno con fuga de vacio produciendo un pedal de freno rigido","Sedan Toyota Yaris 2018","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Perdida de vacio en el servofreno haciendo que el pedal este sumamente pesado","Hatchback Kia Rio 2017","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Pedal de freno duro al tacto sin asistencia hidraulica ni servofreno","Sedan Nissan Versa 2019","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Valvula check de vacio de booster averiada dejando el pedal de freno muy duro","Sedan Hyundai Accent 2018","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Dificultad severa para clavar los frenos por servofreno booster desinflado","SUV Hyundai Tucson 2016","SIN_OBD","Falla en servofreno (booster) o linea de vacio","FRENO_004","SINTETICO","NO_VALIDADO"
"Luz de advertencia de sensor de velocidad ABS encendida fija en el cuadro","Sedan Chevrolet Sail 2016","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Sensor de velocidad de rueda ABS sucio de limalla que hace saltar el pedal","Sedan Toyota Corolla 2015","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Falla en sensor ABS de rueda delantera que activa el sistema en piso seco","Hatchback Suzuki Swift 2018","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Lectura erratica del captador de velocidad de rueda ABS con testigo encendido","Sedan Kia Cerato 2017","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Sensor de rueda ABS desconectado o con cable cortado marcando codigo de falla","Sedan Nissan Sentra 2018","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Pulsaciones raras en el ABS a baja velocidad por anillo reluctor magnetico sucio","SUV Changan CS35 2020","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Testigo de frenos ABS prendido continuo por sensor inductivo de rueda averiado","Hatchback VW Gol 2015","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Sensor de giro de rueda ABS enviando señal nula a la centralita de frenado","Pickup Toyota Hilux 2018","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Activacion falsa del ABS al frenar suave por sensor de rueda descalibrado","Camion Isuzu Forward 2019","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Sensor de velocidad de rueda ABS con resistencia abierta y luz en tablero","Camion Volvo FH 2018","SIN_OBD","Falla en sensor de velocidad de rueda ABS","FRENO_005","SINTETICO","NO_VALIDADO"
"Perdida de presion de aire neumatico en tanques de freno de camion pesado","Sedan Honda Civic 2016","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Freno de aire de camion no descarga y los pulmones de freno quedan clavados","SUV Nissan X-Trail 2017","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Fuga audible de aire comprimido por valvula de descarga rapida de frenos","Sedan Mazda 3 2018","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Pedal de freno de aire sin presion neumatica suficiente en el manometro","Sedan Toyota Yaris 2018","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Camara de freno neumatico pulmon perdiendo presion de aire por diafragma","Hatchback Kia Rio 2017","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Frenos neumaticos de camion demoran en cargar aire por fuga en cañerias","Sedan Nissan Versa 2019","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Valvula de pedal de freno de aire soplando aire continuo por el escape","Sedan Hyundai Accent 2018","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Perdida de aire neumatico en mangueras espiraladas de freno del semirremolque","SUV Hyundai Tucson 2016","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Pulmon de freno de aire bloqueado que no libera el freno de estacionamiento","Sedan Chevrolet Sail 2016","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Baja presion en circuito neumatico de frenos sonando la chicharra de alerta","Sedan Toyota Corolla 2015","SIN_OBD","Fugas de aire o fallos en el sistema de frenos neumático (Camiones)","FRENO_006","SINTETICO","NO_VALIDADO"
"Valvula secadora de aire APS obstruida escupiendo agua en tanques de freno","Hatchback Suzuki Swift 2018","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Filtro secador de aire neumatico saturado con condensacion en todo el circuito","Sedan Kia Cerato 2017","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Valvula APS de camion no realiza el ciclo de purga y acumula humedad de aire","Sedan Nissan Sentra 2018","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Humedad y aceite excesivo saliendo por la valvula de purga del secador APS","SUV Changan CS35 2020","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Falla en modulo secador de aire APS que bloquea la alimentacion de tanques","Hatchback VW Gol 2015","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Cartucho de secador de aire neumatico tapado de carbon y agua condensada","Pickup Toyota Hilux 2018","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Valvula secadora APS disparando descarga de aire continua sin regenerar","Camion Isuzu Forward 2019","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Secador neumatico de aire APS con calentador quemado congelando cañerias","Camion Volvo FH 2018","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Presencia de agua sucia en tanques de aire por filtro secador APS colmatado","Sedan Honda Civic 2016","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Fuga constante por la valvula de purga automatica del secador de aire APS","SUV Nissan X-Trail 2017","SIN_OBD","Válvula de freno de aire o secador APS obstruido (Camiones)","FRENO_007","SINTETICO","NO_VALIDADO"
"Bujias desgastadas y bobina de encendido defectuosa con misfire y temblores","Sedan Mazda 3 2018","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Bujias gastadas con bobina quemada que produce cascabeleo al acelerar","Sedan Toyota Yaris 2018","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Bobina de encendido defectuosa y bujias empastadas con motor en 3 cilindros","Hatchback Kia Rio 2017","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Bujias de encendido desgastadas con bobina fallando y tironeos en ralenti","Sedan Nissan Versa 2019","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Motor tiembla en minimo por bujias carbonizadas y bobina de ignicion en corto","Sedan Hyundai Accent 2018","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Falla de encendido misfire en cilindro 1 por bujia gastada y bobina abierta","SUV Hyundai Tucson 2016","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Chispa debil en bujias de encendido con bobina fallando en altas revoluciones","Sedan Chevrolet Sail 2016","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Tirones fuertes al acelerar por bujias viejas con holgura de electrodo excesiva","Sedan Toyota Corolla 2015","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Bobina de ignicion quemada que apaga un cilindro y enciende el check engine","Hatchback Suzuki Swift 2018","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Bujias desgastadas produciendo explosiones leves por el escape y cabeceo","Sedan Kia Cerato 2017","SIN_OBD","Falla en bujias o bobinas de encendido (misfire)","MOTOR_001","SINTETICO","NO_VALIDADO"
"Consumo excesivo de aceite de motor con humo blanco azulado por el escape","Sedan Nissan Sentra 2018","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Desgaste de anillos de piston y retenes de valvula quemando aceite de motor","SUV Changan CS35 2020","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Humo azul continuo al acelerar por paso de aceite en guias y anillos gastados","Hatchback VW Gol 2015","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Consumo de un litro de aceite cada 1000 km por anillos de piston pegados","Pickup Toyota Hilux 2018","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Aceite pasando a la camara de combustion por retenes de valvula tostados","Camion Isuzu Forward 2019","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Bujias empapadas en aceite de motor por desgaste severo de cilindros y aros","Camion Volvo FH 2018","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Compresion baja por anillos de piston gastados con mucho humo azul al escape","Sedan Honda Civic 2016","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Perdida de nivel de aceite de motor por combustion interna en los cilindros","SUV Nissan X-Trail 2017","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Piston con holgura excesiva y aros gastados consumiendo lubricante de motor","Sedan Mazda 3 2018","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Retenes de guia de valvula resecos dejando caer aceite al multiple de escape","Sedan Toyota Yaris 2018","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","MOTOR_002","SINTETICO","NO_VALIDADO"
"Empaque de culata soplado con burbujas en el radiador y humo blanco espeso","Hatchback Kia Rio 2017","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Junta de culata quemada pasando compresion al circuito de refrigerante","Sedan Nissan Versa 2019","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Empaque de culata picado mezclando aceite con agua formando una pasta cafe","Sedan Hyundai Accent 2018","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Sobrepresion en mangueras de agua y recalentamiento por empaque de culata roto","SUV Hyundai Tucson 2016","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Humo blanco con olor dulce por el escape por empaque de culata soplado","Sedan Chevrolet Sail 2016","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Perdida de refrigerante sin fuga externa por filtracion en junta de culata","Sedan Toyota Corolla 2015","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Mezcla de refrigerante en el carter de aceite por empaque de culata averiado","Hatchback Suzuki Swift 2018","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Culata deformada y empaque quemado que hierve el vaso de expansion de agua","Sedan Kia Cerato 2017","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Paso de compresion de cilindro a las galerias de agua por junta rota","Sedan Nissan Sentra 2018","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Empaque de culata perforado provocando arranque en 3 cilindros por agua","SUV Changan CS35 2020","SIN_OBD","Empaque de culata soplado o danado","MOTOR_003","SINTETICO","NO_VALIDADO"
"Baja presion de aceite de motor con testigo de aladines prendido en caliente","Hatchback VW Gol 2015","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Bomba de aceite de motor desgastada produciendo ruidos metalicos en el carter","Pickup Toyota Hilux 2018","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Presion de aceite insuficiente que hace sonar los buzos hidraulicos del motor","Camion Isuzu Forward 2019","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Testigo de presion de aceite parpadea en ralenti por desgaste de bomba de aceite","Camion Volvo FH 2018","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Colador de bomba de aceite en el carter tapado de lodo bajando la lubricacion","Sedan Honda Civic 2016","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Falta de lubricacion y baja presion de aceite por bomba de engranajes gastada","SUV Nissan X-Trail 2017","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Golpeteo en metales de biela y bancada por caida critica de presion de aceite","Sedan Mazda 3 2018","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Bomba de aceite con holgura excesiva que no levanta presion en altas RPM","Sedan Toyota Yaris 2018","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Luz roja de aceite encendida por valvula de alivio de bomba pegada abierta","Hatchback Kia Rio 2017","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Manometro de presion de aceite marca menos de 10 PSI en caliente al ralenti","Sedan Nissan Versa 2019","SIN_OBD","Baja presion de aceite o bomba de aceite defectuosa","MOTOR_004","SINTETICO","NO_VALIDADO"
"Faja de distribucion destensada o con salto de punto perdiendo sincronizacion","Sedan Hyundai Accent 2018","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Cadena de distribucion estirada con ruido de matraca y sincronismo corrido","SUV Hyundai Tucson 2016","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Salto de dientes en la faja de distribucion provocando dificultad de arranque","Sedan Chevrolet Sail 2016","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Tensor de cadena de distribucion vencido con cascabeleo al encender el motor","Sedan Toyota Corolla 2015","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Faja de distribucion agrietada y floja que altera la puesta a punto del motor","Hatchback Suzuki Swift 2018","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Cadena de tiempo desfasada marcando desincronizacion de cigueñal y levas","Sedan Kia Cerato 2017","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Chirrido y holgura en rodillos guias de la faja de distribucion del motor","Sedan Nissan Sentra 2018","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Motor descalibrado en la distribucion por salto de punto en pinon de levas","SUV Changan CS35 2020","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Cadena de distribucion raspando contra la tapa por patines guia rotos","Hatchback VW Gol 2015","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Faja de tiempo floja que produce explosiones en admision por desfase de levas","Pickup Toyota Hilux 2018","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","MOTOR_005","SINTETICO","NO_VALIDADO"
"Falla en actuador de turbocompresor o VGT en motores alemanes TSI TFSI","Camion Isuzu Forward 2019","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Valvula de descarga wastegate y actuador electronico de turbo trabado","Camion Volvo FH 2018","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Perdida de presion de sobrealimentacion por actuador de turbo descalibrado","Sedan Honda Civic 2016","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Actuador VGT de geometria variable de turbo pegado con falta de potencia","SUV Nissan X-Trail 2017","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Geometria variable del turbocompresor trabada por carbonilla en alabes","Sedan Mazda 3 2018","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Actuador electronico de presion de turbo con engranajes internos rotos","Sedan Toyota Yaris 2018","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Fallo de presion de turbo baja en motor TSI por varilla de actuador suelta","Hatchback Kia Rio 2017","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Sobrepresion de turbo por actuador VGT que no abre los alabes en alta carga","Sedan Nissan Versa 2019","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Motor entra en modo de emergencia por desfase en la posicion de actuador turbo","Sedan Hyundai Accent 2018","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Actuador de wastegate perdiendo vacio con codigo de presion de turbo P0299","SUV Hyundai Tucson 2016","SIN_OBD","Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)","MOTOR_006","SINTETICO","NO_VALIDADO"
"Falla de descarbonizacion e inyeccion directa GDI carbon en valvulas","Sedan Chevrolet Sail 2016","SIN_OBD","Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)","MOTOR_007","SINTETICO","NO_VALIDADO"
"Valvulas de admision tupidas de carbonilla en motor de inyeccion directa GDI","Sedan Toyota Corolla 2015","SIN_OBD","Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)","MOTOR_007","SINTETICO","NO_VALIDADO"
"Perdida de potencia y ralenti inestable por acumulacion de carbon en valvula GDI","Hatchback Suzuki Swift 2018","SIN_OBD","Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)","MOTOR_007","SINTETICO","NO_VALIDADO"
"Motor GDI con ahogo al acelerar por costra de carbon en conductos de culata","Sedan Kia Cerato 2017","SIN_OBD","Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)","MOTOR_007","SINTETICO","NO_VALIDADO"
