id,sintoma,falla,codigo_falla,sistema,subcomponente,requiere_escaner,prueba_sugerida,codigo_dtc,origen_dato,grupo_origen,estado_revision,validado_mecanico
11,"Al probar el auto: al subir una cuesta con pasajeros, el motor cabecea y pierde fuerza; el cliente indica que y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-03-00,solo_experimento,NO
12,"Al exigir torque en carretera, jalonea bruscamente al acelerar, con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-02-01,solo_experimento,NO
13,"Al subir una cuesta con pasajeros, parece que anduviera en 3 pistones, y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-02,solo_experimento,NO
14,"Mire: El carro empieza a temblar feo y pierde pique acelerando en tercera a bajas vueltas, sobre todo pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-00-03,solo_experimento,NO
15,"Mire: Jalonea bruscamente al acelerar al pisar el acelerador saliendo, sobre todo con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-01,solo_experimento,NO
16,"Al exigir torque en carretera, parece que anduviera en 3 pistones, y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-01-02,solo_experimento,NO
17,Revisión técnica: acelerando en tercera a bajas vueltas se nota que parece que anduviera en 3 pistones y además con olor a gasolina sin quemar en el tubo de escape.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-01-01,solo_experimento,NO
18,"Mire: Jalonea bruscamente al acelerar al pisar el acelerador saliendo, sobre todo con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-01,solo_experimento,NO
19,"Mire: Parece que anduviera en 3 pistones al subir una cuesta con pasajeros, sobre todo y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-00,solo_experimento,NO
20,"Maestro, jalonea bruscamente al acelerar al pisar el acelerador saliendo. Pasa que y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-00,solo_experimento,NO
21,Revisión técnica: al exigir torque en carretera se nota que parece que anduviera en 3 pistones y además pero en neutro se siente parejo.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-01-03,solo_experimento,NO
22,"Maestro, parece que anduviera en 3 pistones al pisar el acelerador saliendo. Pasa que y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-01-02,solo_experimento,NO
23,"Al probar el auto: acelerando en tercera a bajas vueltas, jalonea bruscamente al acelerar; el cliente indica que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-02-03,solo_experimento,NO
24,"Maestro, jalonea bruscamente al acelerar al pisar el acelerador saliendo. Pasa que con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-01,solo_experimento,NO
25,"Al pisar el acelerador saliendo, el carro empieza a temblar feo y pierde pique, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-00-00,solo_experimento,NO
26,"Al probar el auto: acelerando en tercera a bajas vueltas, parece que anduviera en 3 pistones; el cliente indica que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-01-03,solo_experimento,NO
27,"Al probar el auto: al subir una cuesta con pasajeros, el motor cabecea y pierde fuerza; el cliente indica que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-03-03,solo_experimento,NO
28,"Al pisar el acelerador saliendo, jalonea bruscamente al acelerar, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-00,solo_experimento,NO
29,"Mire: Jalonea bruscamente al acelerar al exigir torque en carretera, sobre todo y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-02-00,solo_experimento,NO
30,"Al pisar el acelerador saliendo, parece que anduviera en 3 pistones, pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-01-03,solo_experimento,NO
31,"Mire: Parece que anduviera en 3 pistones al exigir torque en carretera, sobre todo y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-01-00,solo_experimento,NO
32,"Maestro, parece que anduviera en 3 pistones acelerando en tercera a bajas vueltas. Pasa que y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-01-02,solo_experimento,NO
33,"Al subir una cuesta con pasajeros, jalonea bruscamente al acelerar, pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-02-03,solo_experimento,NO
34,"Maestro, jalonea bruscamente al acelerar al subir una cuesta con pasajeros. Pasa que y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-02-02,solo_experimento,NO
35,"Al subir una cuesta con pasajeros, parece que anduviera en 3 pistones, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-00,solo_experimento,NO
36,"Maestro, el carro empieza a temblar feo y pierde pique al pisar el acelerador saliendo. Pasa que con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-00-01,solo_experimento,NO
37,"Al probar el auto: al pisar el acelerador saliendo, parece que anduviera en 3 pistones; el cliente indica que y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-01-02,solo_experimento,NO
38,"Mire: Parece que anduviera en 3 pistones al pisar el acelerador saliendo, sobre todo con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-01-01,solo_experimento,NO
39,"Al probar el auto: al pisar el acelerador saliendo, jalonea bruscamente al acelerar; el cliente indica que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-03,solo_experimento,NO
40,"Maestro, el carro empieza a temblar feo y pierde pique al pisar el acelerador saliendo. Pasa que con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-00-01,solo_experimento,NO
41,"Al probar el auto: al subir una cuesta con pasajeros, jalonea bruscamente al acelerar; el cliente indica que y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-02-00,solo_experimento,NO
42,"Acelerando en tercera a bajas vueltas, parece que anduviera en 3 pistones, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-01-00,solo_experimento,NO
43,"Al subir una cuesta con pasajeros, parece que anduviera en 3 pistones, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-00,solo_experimento,NO
44,"Mire: El carro empieza a temblar feo y pierde pique al exigir torque en carretera, sobre todo con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-00-01,solo_experimento,NO
45,"Al probar el auto: al pisar el acelerador saliendo, parece que anduviera en 3 pistones; el cliente indica que con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-01-01,solo_experimento,NO
46,Revisión técnica: al pisar el acelerador saliendo se nota que parece que anduviera en 3 pistones y además pero en neutro se siente parejo.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-01-03,solo_experimento,NO
47,Revisión técnica: acelerando en tercera a bajas vueltas se nota que el carro empieza a temblar feo y pierde pique y además y parpadea el check engine en el tablero.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-00-00,solo_experimento,NO
48,Revisión técnica: al exigir torque en carretera se nota que el motor cabecea y pierde fuerza y además pero en neutro se siente parejo.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-03-03,solo_experimento,NO
49,Revisión técnica: al subir una cuesta con pasajeros se nota que el carro empieza a temblar feo y pierde pique y además y parpadea el check engine en el tablero.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-00-00,solo_experimento,NO
50,"Maestro, el carro empieza a temblar feo y pierde pique al exigir torque en carretera. Pasa que con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-00-01,solo_experimento,NO
51,Revisión técnica: acelerando en tercera a bajas vueltas se nota que el motor cabecea y pierde fuerza y además con olor a gasolina sin quemar en el tubo de escape.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-03-01,solo_experimento,NO
52,"Maestro, jalonea bruscamente al acelerar acelerando en tercera a bajas vueltas. Pasa que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-02-03,solo_experimento,NO
53,"Al subir una cuesta con pasajeros, el motor cabecea y pierde fuerza, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-03-00,solo_experimento,NO
54,"Maestro, el carro empieza a temblar feo y pierde pique al subir una cuesta con pasajeros. Pasa que con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-00-01,solo_experimento,NO
55,"Maestro, el motor cabecea y pierde fuerza al pisar el acelerador saliendo. Pasa que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-03-03,solo_experimento,NO
56,Revisión técnica: al pisar el acelerador saliendo se nota que el carro empieza a temblar feo y pierde pique y además con olor a gasolina sin quemar en el tubo de escape.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-00-01,solo_experimento,NO
57,Revisión técnica: al subir una cuesta con pasajeros se nota que el motor cabecea y pierde fuerza y además y el motor vibra mucho en ralentí.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-03-02,solo_experimento,NO
58,"Maestro, el motor cabecea y pierde fuerza al exigir torque en carretera. Pasa que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-03-03,solo_experimento,NO
59,"Acelerando en tercera a bajas vueltas, jalonea bruscamente al acelerar, con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-02-01,solo_experimento,NO
60,"Al subir una cuesta con pasajeros, jalonea bruscamente al acelerar, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-02-00,solo_experimento,NO
61,"Al probar el auto: al pisar el acelerador saliendo, parece que anduviera en 3 pistones; el cliente indica que y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-01-00,solo_experimento,NO
62,"Al probar el auto: al subir una cuesta con pasajeros, parece que anduviera en 3 pistones; el cliente indica que y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-00,solo_experimento,NO
63,"Al subir una cuesta con pasajeros, parece que anduviera en 3 pistones, pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-03,solo_experimento,NO
64,Revisión técnica: acelerando en tercera a bajas vueltas se nota que el carro empieza a temblar feo y pierde pique y además y parpadea el check engine en el tablero.,Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-00-00,solo_experimento,NO
65,"Mire: Jalonea bruscamente al acelerar al exigir torque en carretera, sobre todo con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-02-01,solo_experimento,NO
66,"Maestro, jalonea bruscamente al acelerar acelerando en tercera a bajas vueltas. Pasa que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-02-03,solo_experimento,NO
67,"Al exigir torque en carretera, el motor cabecea y pierde fuerza, y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-03-02,solo_experimento,NO
68,"Al subir una cuesta con pasajeros, el motor cabecea y pierde fuerza, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-03-00,solo_experimento,NO
69,"Mire: Jalonea bruscamente al acelerar acelerando en tercera a bajas vueltas, sobre todo con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-02-01,solo_experimento,NO
70,"Mire: Parece que anduviera en 3 pistones al subir una cuesta con pasajeros, sobre todo y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-02,solo_experimento,NO
71,"Al probar el auto: al acelerar después de frenar con motor en bajada, bota humo gris azulado por el escape; el cliente indica que sin que se sienta pérdida de fuerza en carretera.",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,Retenes y anillos,NO,"Inspección de depósitos húmedos en bujías, prueba de compresión húmeda y prueba de fugas de cilindro",N/A,sintetico_aumentado,AUG-002-01-03-02,solo_experimento,NO
72,"Maestro, quema aceite visiblemente al primer arranque al encender el carro tras horas apagado. Pasa que pero luego de avanzar un par de cuadras el humo desaparece.",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,Retenes y anillos,NO,"Inspección de depósitos húmedos en bujías, prueba de compresión húmeda y prueba de fugas de cilindro",N/A,sintetico_aumentado,AUG-002-00-02-00,solo_experimento,NO
73,"Al probar el auto: saliendo de un semáforo largo, escupe una bocanada visible de humo azulado; el cliente indica que pero luego de avanzar un par de cuadras el humo desaparece.",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,Retenes y anillos,NO,"Inspección de depósitos húmedos en bujías, prueba de compresión húmeda y prueba de fugas de cilindro",N/A,sintetico_aumentado,AUG-002-02-00-00,solo_experimento,NO
74,"Al probar el auto: al acelerar después de frenar con motor en bajada, quema aceite visiblemente al primer arranque; el cliente indica que sin que se sienta pérdida de fuerza en carretera.",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,Retenes y anillos,NO,"Inspección de depósitos húmedos en bujías, prueba de compresión húmeda y prueba de fugas de cilindro",N/A,sintetico_aumentado,AUG-002-01-02-02,solo_experimento,NO
75,"Mire: Quema aceite visiblemente al primer arranque al acelerar después de frenar con motor en bajada, sobre todo y la varilla marca consumo de medio cuarto de aceite por mes.",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,Retenes y anillos,NO,"Inspección de depósitos húmedos en bujías, prueba de compresión húmeda y prueba de fugas de cilindro",N/A,sintetico_aumentado,AUG-002-01-02-01,solo_experimento,NO
76,"En las mañanas al dar marcha, quema aceite visiblemente al primer arranque, pero luego de avanzar un par de cuadras el humo desaparece.",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,Retenes y anillos,NO,"Inspección de depósitos húmedos en bujías, prueba de compresión húmeda y prueba de fugas de cilindro",N/A,sintetico_aumentado,AUG-002-03-02-00,solo_experimento,NO
77,"En las mañanas al dar marcha, quema aceite visiblemente al primer arranque, pero luego de avanzar un par de cuadras el humo desaparece.",Consumo de aceite por desgaste de anillos o retenes,MOTOR_002,Motor,Retenes y anillos,NO,"Inspección de depósitos húmedos en bujías, prueba de compresión húmeda y prueba de fugas de cilindro",N/A,sintetico_aumentado,AUG-002-03-02-00,solo_experimento,NO
