id_caso,estado,tipo_registro,fecha_hora,placa_simulada,sintoma_inicial,referencia_congelada,respuestas_permitidas,conversacion,preguntas_carbot,respuestas_proporcionadas,interacciones,diagnostico_final_carbot,top3,confianza,estado_final,solicitud_id,tiempo_tecnico_total_ms,igualdad_exacta,error,estado_final_original,motivo_no_recuperable
SIMULACION_POST_V2_011,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.197044+00:00,SIMPOSTV2-011,El pedal se va hasta abajo y debo bombear para que el vehículo frene.,Aire en sistema hidráulico de frenos,"Pedal esponjoso, mejora bombeando y depósito parece normal.","[{""turno"": 1, ""entrada"": ""El pedal se va hasta abajo y debo bombear para que el vehículo frene."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Fuga hidraulica o aire en el sistema de frenos\n2. Caliper de freno trabado o mordaza pegada (piston agarrotado)\n3. Falla en servofreno (booster) o linea de vacio\n\nComprueba físicamente el sistema de frenos; si el frenado es inseguro, no circules.\n\nNo hay procedimiento compatible verificado. Para especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""en_cola_gemini""}]",[],[],1,Fuga hidraulica o aire en el sistema de frenos,"[{""falla"": ""Fuga hidraulica o aire en el sistema de frenos"", ""probabilidad"": 0.9982}, {""falla"": ""Caliper de freno trabado o mordaza pegada (piston agarrotado)"", ""probabilidad"": 0.033}, {""falla"": ""Falla en servofreno (booster) o linea de vacio"", ""probabilidad"": 0.017}]",0.9982,JOB_NO_RECUPERABLE,8e8b1712-9023-4c22-a294-d5c2bcfc91fc,37.04,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_012,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.234621+00:00,SIMPOSTV2-012,Al girar a la derecha se oye un zumbido que aumenta con la velocidad.,Rodamiento de rueda desgastado,"Aumenta con velocidad, cambia al girar y no golpea baches.","[{""turno"": 1, ""entrada"": ""Al girar a la derecha se oye un zumbido que aumenta con la velocidad."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #2)*\nHipótesis preliminar ML: *Rodajes de caja mecanica o diferencial gastados* (71%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Rodajes de caja mecanica o diferencial gastados,"[{""falla"": ""Rodajes de caja mecanica o diferencial gastados"", ""probabilidad"": 0.7171}, {""falla"": ""Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura)"", ""probabilidad"": 0.184}, {""falla"": ""Llantas desbalanceadas o desalineadas"", ""probabilidad"": 0.099}]",0.7171,JOB_NO_RECUPERABLE,3c6ad5d6-a7c4-45ac-8817-9f2e524b0be0,37.56,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_013,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.271014+00:00,SIMPOSTV2-013,En los baches suena clac clac adelante y el auto se siente inestable.,Bieleta de barra estabilizadora desgastada,"Suena solo en baches, no vibra en carretera y es adelante.","[{""turno"": 1, ""entrada"": ""En los baches suena clac clac adelante y el auto se siente inestable."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #3)*\nHipótesis preliminar ML: *Juntas homocineticas o palieres danados* (87%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Juntas homocineticas o palieres danados,"[{""falla"": ""Juntas homocineticas o palieres danados"", ""probabilidad"": 0.8771}, {""falla"": ""Amortiguadores reventados o bujes de suspension gastados"", ""probabilidad"": 0.08}, {""falla"": ""Bateria descargada o bornes sulfatados"", ""probabilidad"": 0.043}]",0.8771,JOB_NO_RECUPERABLE,b3bfcab1-8d18-4ffe-bdee-cd0efbc5f2f7,36.38,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_014,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.306830+00:00,SIMPOSTV2-014,Una rueda quedó inclinada y el neumático se desgasta solo por el borde interior.,Brazo de suspensión doblado,"Golpeó un hueco, gasta por dentro y se va a un lado.","[{""turno"": 1, ""entrada"": ""Una rueda quedó inclinada y el neumático se desgasta solo por el borde interior."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Llantas desbalanceadas o desalineadas\n2. Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire)\n3. Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado\n\nConfirma la holgura o daño mediante inspección física segura antes de cambiar componentes.\n\nNo hay procedimiento compatible verificado. Para especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""en_cola_gemini""}]",[],[],1,Llantas desbalanceadas o desalineadas,"[{""falla"": ""Llantas desbalanceadas o desalineadas"", ""probabilidad"": 0.5342}, {""falla"": ""Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire)"", ""probabilidad"": 0.303}, {""falla"": ""Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado"", ""probabilidad"": 0.163}]",0.5342,JOB_NO_RECUPERABLE,80f67086-871b-4d7d-8c60-883d9e353054,35.8,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_015,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.342643+00:00,SIMPOSTV2-015,El auto rebota varias veces después de pasar un rompemuelles.,Amortiguadores desgastados,"Rebota varias veces, motor normal y no pierde fuerza.","[{""turno"": 1, ""entrada"": ""El auto rebota varias veces después de pasar un rompemuelles."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Inyectores sucios o filtro de combustible obstruido\n2. Faja o cadena de distribucion destensada o con salto de punto\n3. Cuerpo de aceleracion o valvula IAC sucia\n\nConfirma la hipótesis mediante una prueba de taller antes de sustituir componentes.\n\nNo hay procedimiento compatible verificado. Para especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""en_cola_gemini""}]",[],[],1,Inyectores sucios o filtro de combustible obstruido,"[{""falla"": ""Inyectores sucios o filtro de combustible obstruido"", ""probabilidad"": 0.5847}, {""falla"": ""Faja o cadena de distribucion destensada o con salto de punto"", ""probabilidad"": 0.27}, {""falla"": ""Cuerpo de aceleracion o valvula IAC sucia"", ""probabilidad"": 0.145}]",0.5847,JOB_NO_RECUPERABLE,16921f94-6084-4517-be2b-ce34c5829901,35.8,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_016,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.410147+00:00,SIMPOSTV2-016,"El motor enciende check engine, gasta más gasolina y falla al acelerar.",Sensor de oxígeno defectuoso,"Consume más, check prendido y no humea negro fuerte.","[{""turno"": 1, ""entrada"": ""El motor enciende check engine, gasta más gasolina y falla al acelerar."", ""respuesta_carbot"": ""🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:\n\n• 1️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobinas de encendido) — 40%\n• 2️⃣ El motor tose, tironea a cualquier velocidad o le cuesta responder al acelerador (Inyectores / Filtro) — 35%\n• 3️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 24%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*"", ""modo"": ""esperando_clarificacion""}, {""turno"": 2, ""entrada"": ""Consume más, check prendido y no humea negro fuerte."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #6)*\nHipótesis preliminar ML: *Falla en sensor de oxigeno o mezcla rica* (60%).\nAl ser confianza media (<70%), se contrastará con manuales y pruebas de taller.\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]","[""🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:\n\n• 1️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobinas de encendido) — 40%\n• 2️⃣ El motor tose, tironea a cualquier velocidad o le cuesta responder al acelerador (Inyectores / Filtro) — 35%\n• 3️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 24%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*""]","[""Consume más, check prendido y no humea negro fuerte.""]",2,Falla en sensor de oxigeno o mezcla rica,"[{""falla"": ""Falla en sensor de oxigeno o mezcla rica"", ""probabilidad"": 0.6042}, {""falla"": ""Falla en bujias o bobinas de encendido (misfire)"", ""probabilidad"": 0.257}, {""falla"": ""Inyectores sucios o filtro de combustible obstruido"", ""probabilidad"": 0.139}]",0.6042,JOB_NO_RECUPERABLE,9b56e813-8764-4c06-8a0b-e1c0d9984856,67.52,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_017,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.413342+00:00,SIMPOSTV2-017,Marca error de mezcla pobre y se siente poca fuerza al salir desde parado.,Sensor MAF sucio,"Pierde fuerza, filtro de aire sucio y no veo manguera suelta.","[{""turno"": 1, ""entrada"": ""Marca error de mezcla pobre y se siente poca fuerza al salir desde parado."", ""respuesta_carbot"": ""🚗 Describe el síntoma, por ejemplo: *vibra al manejar*."", ""modo"": ""fuera_de_alcance""}]",[],[],1,Consulta fuera del alcance automotriz,[],0.0,fuera_de_alcance,,3.15,False,,,
SIMULACION_POST_V2_018,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.449415+00:00,SIMPOSTV2-018,El velocímetro deja de marcar intermitentemente y aparece check engine.,Sensor de velocidad defectuoso,"Velocímetro se cae, odómetro falla y cambios normales.","[{""turno"": 1, ""entrada"": ""El velocímetro deja de marcar intermitentemente y aparece check engine."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #7)*\nHipótesis preliminar ML: *Falla en sensor de oxigeno o mezcla rica* (45%).\nAl ser confianza media (<70%), se contrastará con manuales y pruebas de taller.\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Falla en sensor de oxigeno o mezcla rica,"[{""falla"": ""Falla en sensor de oxigeno o mezcla rica"", ""probabilidad"": 0.4573}, {""falla"": ""Falla en bujias o bobinas de encendido (misfire)"", ""probabilidad"": 0.353}, {""falla"": ""Falla en sensor de velocidad de rueda ABS"", ""probabilidad"": 0.19}]",0.4573,JOB_NO_RECUPERABLE,4327d3ed-0de0-4d3f-9413-b8c6fd108861,36.06,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_019,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.486207+00:00,SIMPOSTV2-019,En primera el motor revoluciona pero el carro casi no avanza y huele a quemado.,Disco de embrague patinando,"Revoluciona sin avanzar, huele quemado y pasa en subida.","[{""turno"": 1, ""entrada"": ""En primera el motor revoluciona pero el carro casi no avanza y huele a quemado."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #8)*\nHipótesis preliminar ML: *Disco de embrague desgastado o patinando* (99%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Disco de embrague desgastado o patinando,"[{""falla"": ""Disco de embrague desgastado o patinando"", ""probabilidad"": 0.9971}, {""falla"": ""Rodajes de transmision manual o eje primario gastados"", ""probabilidad"": 0.033}, {""falla"": ""Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW)"", ""probabilidad"": 0.017}]",0.9971,JOB_NO_RECUPERABLE,77ac8bf9-9658-4058-bccc-510efee06dbb,36.78,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_020,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.523276+00:00,SIMPOSTV2-020,Cuesta entrar los cambios y el pedal de embrague se queda pegado abajo.,Cilindro maestro de embrague defectuoso,"Pedal se queda abajo, líquido bajo y apagado entra mejor.","[{""turno"": 1, ""entrada"": ""Cuesta entrar los cambios y el pedal de embrague se queda pegado abajo."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Falla en bombin o bomba hidraulica de embrague\n2. Disco de embrague desgastado o patinando\n3. Sobrecalentamiento o solenoides en caja automatica CVT / DSG\n\nComprueba el acoplamiento y el estado del fluido según el procedimiento del fabricante; no fuerces la marcha.\n\nNo hay procedimiento compatible verificado. Para especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""en_cola_gemini""}]",[],[],1,Falla en bombin o bomba hidraulica de embrague,"[{""falla"": ""Falla en bombin o bomba hidraulica de embrague"", ""probabilidad"": 0.7362}, {""falla"": ""Disco de embrague desgastado o patinando"", ""probabilidad"": 0.171}, {""falla"": ""Sobrecalentamiento o solenoides en caja automatica CVT / DSG"", ""probabilidad"": 0.092}]",0.7362,JOB_NO_RECUPERABLE,8d5d960e-9726-457e-bb09-4567c21d843b,37.07,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_021,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.560726+00:00,SIMPOSTV2-021,"Al dar arranque solo se escucha un clic, las luces del tablero bajan de intensidad.",Batería descargada,"Solo hace clic, luces débiles y bornes se ven normales.","[{""turno"": 1, ""entrada"": ""Al dar arranque solo se escucha un clic, las luces del tablero bajan de intensidad."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #10)*\nHipótesis preliminar ML: *Alternador defectuoso o placa de diodos quemada* (82%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Alternador defectuoso o placa de diodos quemada,"[{""falla"": ""Alternador defectuoso o placa de diodos quemada"", ""probabilidad"": 0.8206}, {""falla"": ""Bateria descargada o bornes sulfatados"", ""probabilidad"": 0.117}, {""falla"": ""Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados)"", ""probabilidad"": 0.063}]",0.8206,JOB_NO_RECUPERABLE,6d05a673-135b-46ab-8c2e-c4f1878b1174,37.42,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_022,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.597666+00:00,SIMPOSTV2-022,La batería se descarga aunque es nueva y la luz de batería prende mientras manejo.,Alternador defectuoso,"Luz prende andando, carga baja y correa está puesta.","[{""turno"": 1, ""entrada"": ""La batería se descarga aunque es nueva y la luz de batería prende mientras manejo."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #11)*\nHipótesis preliminar ML: *Alternador defectuoso o placa de diodos quemada* (74%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Alternador defectuoso o placa de diodos quemada,"[{""falla"": ""Alternador defectuoso o placa de diodos quemada"", ""probabilidad"": 0.7418}, {""falla"": ""Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos)"", ""probabilidad"": 0.168}, {""falla"": ""Fuga parasita de corriente en reposo (consumo nocturno de bateria)"", ""probabilidad"": 0.09}]",0.7418,JOB_NO_RECUPERABLE,169fc48c-9136-443d-b544-b9e2adccfd5c,36.93,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_023,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.634701+00:00,SIMPOSTV2-023,Las luces parpadean y el tablero se apaga por segundos al acelerar.,Terminal negativo de batería sulfatado,"Empeora con baches, borne negativo sulfatado y batería nueva.","[{""turno"": 1, ""entrada"": ""Las luces parpadean y el tablero se apaga por segundos al acelerar."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #12)*\nHipótesis preliminar ML: *Alternador defectuoso o placa de diodos quemada* (72%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Alternador defectuoso o placa de diodos quemada,"[{""falla"": ""Alternador defectuoso o placa de diodos quemada"", ""probabilidad"": 0.7202}, {""falla"": ""Bateria descargada o bornes sulfatados"", ""probabilidad"": 0.182}, {""falla"": ""Cuerpo de aceleracion o valvula IAC sucia"", ""probabilidad"": 0.098}]",0.7202,JOB_NO_RECUPERABLE,1b2f8217-de04-400a-9cbe-c0cddb79c2b9,37.03,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_024,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.705488+00:00,SIMPOSTV2-024,El motor no enciende después de cargar combustible; se siente olor a gasolina.,Bomba de gasolina con baja presión,"Después de cargar falla, huele gasolina y no mantiene presión.","[{""turno"": 1, ""entrada"": ""El motor no enciende después de cargar combustible; se siente olor a gasolina."", ""respuesta_carbot"": ""🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:\n\n• 1️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 64%\n• 2️⃣ Falla de arranque en frío o descalibración de mezcla en vehículo flex/etanol (Sistema Bi-combustible) — 11%\n• 3️⃣ Falta de potencia en alta, se ahoga en subida o zumba fuerte el tanque de combustible (Bomba de combustible) — 11%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*"", ""modo"": ""esperando_clarificacion""}, {""turno"": 2, ""entrada"": ""Después de cargar falla, huele gasolina y no mantiene presión."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #13)*\nHipótesis preliminar ML: *Falla en sensor de oxigeno o mezcla rica* (76%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]","[""🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:\n\n• 1️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 64%\n• 2️⃣ Falla de arranque en frío o descalibración de mezcla en vehículo flex/etanol (Sistema Bi-combustible) — 11%\n• 3️⃣ Falta de potencia en alta, se ahoga en subida o zumba fuerte el tanque de combustible (Bomba de combustible) — 11%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*""]","[""Después de cargar falla, huele gasolina y no mantiene presión.""]",2,Falla en sensor de oxigeno o mezcla rica,"[{""falla"": ""Falla en sensor de oxigeno o mezcla rica"", ""probabilidad"": 0.7673}, {""falla"": ""Bomba de gasolina quemada o con baja presion"", ""probabilidad"": 0.151}, {""falla"": ""Inyectores sucios o filtro de combustible obstruido"", ""probabilidad"": 0.081}]",0.7673,JOB_NO_RECUPERABLE,e82229f9-4cbd-4933-9951-7280aae2293d,70.78,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_025,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.744391+00:00,SIMPOSTV2-025,"Al acelerar a fondo pierde potencia y da tirones, como si no llegara combustible.",Bomba de gasolina con baja presión,"Solo acelerando fuerte, mejora soltando y mínimo normal.","[{""turno"": 1, ""entrada"": ""Al acelerar a fondo pierde potencia y da tirones, como si no llegara combustible."", ""respuesta_carbot"": ""🔎 ¿Usa *GNV*, *GLP* o gasolina? ¿En cuál presenta la falla?"", ""modo"": ""esperando_clarificacion""}, {""turno"": 2, ""entrada"": ""Solo acelerando fuerte, mejora soltando y mínimo normal."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Falla en bujias o bobinas de encendido (misfire)\n2. Cuerpo de aceleracion o valvula IAC sucia\n3. Fuga en mangueras de intercooler o turbocompresor danado\n\nConfirma la hipótesis mediante una prueba de taller antes de sustituir componentes.\n\nNo hay procedimiento compatible verificado. Para especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""en_cola_gemini""}]","[""🔎 ¿Usa *GNV*, *GLP* o gasolina? ¿En cuál presenta la falla?""]","[""Solo acelerando fuerte, mejora soltando y mínimo normal.""]",2,Falla en bujias o bobinas de encendido (misfire),"[{""falla"": ""Falla en bujias o bobinas de encendido (misfire)"", ""probabilidad"": 0.7835}, {""falla"": ""Cuerpo de aceleracion o valvula IAC sucia"", ""probabilidad"": 0.141}, {""falla"": ""Fuga en mangueras de intercooler o turbocompresor danado"", ""probabilidad"": 0.076}]",0.7835,JOB_NO_RECUPERABLE,7afb19cb-1e97-4360-b1d3-e6b00cdb9907,38.88,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_026,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.814812+00:00,SIMPOSTV2-026,"Enciende, pero luego de unos minutos empieza a fallar un cilindro y vibra todo el motor.",Bobina de encendido defectuosa,"Pasa caliente, tiembla bastante y check prendido.","[{""turno"": 1, ""entrada"": ""Enciende, pero luego de unos minutos empieza a fallar un cilindro y vibra todo el motor."", ""respuesta_carbot"": ""🔎 ¿Vibra al frenar, a cierta velocidad o en mínimo?"", ""modo"": ""esperando_clarificacion""}, {""turno"": 2, ""entrada"": ""Pasa caliente, tiembla bastante y check prendido."", ""respuesta_carbot"": ""🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:\n\n• 1️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobinas de encendido) — 70%\n• 2️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 25%\n• 3️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 3%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*"", ""modo"": ""esperando_clarificacion""}, {""turno"": 3, ""entrada"": ""No se cuenta con ese dato en esta simulación."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #15)*\nHipótesis preliminar ML: *Falla en sensor de oxigeno o mezcla rica* (55%).\nAl ser confianza media (<70%), se contrastará con manuales y pruebas de taller.\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]","[""🔎 ¿Vibra al frenar, a cierta velocidad o en mínimo?"", ""🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:\n\n• 1️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobinas de encendido) — 70%\n• 2️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 25%\n• 3️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 3%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*""]","[""Pasa caliente, tiembla bastante y check prendido."", ""No se cuenta con ese dato en esta simulación.""]",3,Falla en sensor de oxigeno o mezcla rica,"[{""falla"": ""Falla en sensor de oxigeno o mezcla rica"", ""probabilidad"": 0.5512}, {""falla"": ""Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430)"", ""probabilidad"": 0.292}, {""falla"": ""Falla en bujias o bobinas de encendido (misfire)"", ""probabilidad"": 0.157}]",0.5512,JOB_NO_RECUPERABLE,6b52433e-ba40-4916-adaa-e0ceda60703a,70.43,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_027,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.852082+00:00,SIMPOSTV2-027,Cuando suelto el acelerador se apaga; el ralentí es muy bajo e inestable.,Válvula IAC sucia,"Mínimo muy bajo, acelerando no se apaga y no recalienta.","[{""turno"": 1, ""entrada"": ""Cuando suelto el acelerador se apaga; el ralentí es muy bajo e inestable."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #16)*\nHipótesis preliminar ML: *Cuerpo de aceleracion o valvula IAC sucia* (89%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Cuerpo de aceleracion o valvula IAC sucia,"[{""falla"": ""Cuerpo de aceleracion o valvula IAC sucia"", ""probabilidad"": 0.8972}, {""falla"": ""Bomba de gasolina quemada o con baja presion"", ""probabilidad"": 0.067}, {""falla"": ""Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas)"", ""probabilidad"": 0.036}]",0.8972,JOB_NO_RECUPERABLE,4ccae989-3d62-46f9-9e85-6b0570801363,37.24,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
SIMULACION_POST_V2_028,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.888506+00:00,SIMPOSTV2-028,Sube la temperatura en carretera y se escucha un ruido metálico cerca de la bomba de agua.,Bomba de agua defectuosa,"Ruido cerca de bomba, baja refrigerante y sube andando.","[{""turno"": 1, ""entrada"": ""Sube la temperatura en carretera y se escucha un ruido metálico cerca de la bomba de agua."", ""respuesta_carbot"": ""⏳ *Analizando consulta (cola #17)*\nHipótesis preliminar ML: *Fuga en mangueras de refrigerante o radiador picado* (84%).\nEn breve recibirás el resumen; el detalle quedará en el panel."", ""modo"": ""en_cola_gemini""}]",[],[],1,Fuga en mangueras de refrigerante o radiador picado,"[{""falla"": ""Fuga en mangueras de refrigerante o radiador picado"", ""probabilidad"": 0.8485}, {""falla"": ""Falla en termostato o motoventilador de radiador"", ""probabilidad"": 0.098}, {""falla"": ""Faja o cadena de distribucion destensada o con salto de punto"", ""probabilidad"": 0.053}]",0.8485,JOB_NO_RECUPERABLE,572bd676-28f5-4717-97f8-925f43002097,36.41,False,,en_cola_gemini,El UUID no existe en trabajos_gemini; la cola en memoria de la ejecución V2 ya no está disponible y no hay conversación ni diagnóstico durable asociados.
