id,clase_objetivo,macro_sistema,nivel_informacion,estado_auditoria,motivos,sim_intra_max,sim_inter_max,inter_ref_origen,dtc,es_contrastivo,clase_contrastiva
F10L01_0111,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2475,0.1785,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0112,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2585,0.1808,TRAIN,,NO,
F10L01_0113,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.211,0.1557,TRAIN,,SI,Falla en sensor de oxigeno o mezcla rica
F10L01_0114,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2251,0.2015,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0115,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.1008,0.1409,TRAIN,,NO,
F10L01_0116,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2343,0.2229,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0117,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.1151,0.1024,TRAIN,,NO,
F10L01_0118,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.156,0.1346,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0119,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.1702,0.1365,DEV_60,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0120,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.225,0.1502,TRAIN,,NO,
F10L01_0121,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.4029,0.3839,TRAIN,,NO,
F10L01_0122,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.4938,0.3791,G2,,NO,
F10L01_0123,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.261,0.4968,TRAIN,,NO,
F10L01_0124,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.7215,0.2684,TRAIN,,NO,
F10L01_0125,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.1489,0.1858,TRAIN,,NO,
F10L01_0126,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.2163,0.439,TRAIN,,NO,
F10L01_0127,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.2847,0.1723,TRAIN,,NO,
F10L01_0128,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.3423,0.213,TRAIN,,NO,
F10L01_0129,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.2417,0.2151,TRAIN,,NO,
F10L01_0130,Falla en sensor de oxigeno o mezcla rica,MOTOR,L1,APROBADO,CONFORME,0.3067,0.1722,TRAIN,,NO,
F10L01_0131,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.4938,0.2455,TRAIN,,NO,
F10L01_0132,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.7215,0.2858,TRAIN,,NO,
F10L01_0133,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2877,0.2981,TRAIN,,NO,
F10L01_0134,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.217,0.2699,TRAIN,,SI,Inyectores sucios o filtro de combustible obstruido
F10L01_0135,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2215,0.1585,TRAIN,,NO,
F10L01_0136,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2287,0.1699,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0137,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2853,0.5395,TRAIN,,NO,
F10L01_0138,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.202,0.1209,TRAIN,,NO,
F10L01_0139,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2532,0.2529,TRAIN,,NO,
F10L01_0140,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.3067,0.1606,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0141,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2846,0.2301,TRAIN,,NO,
F10L01_0142,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2623,0.2683,TRAIN,,NO,
F10L01_0143,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.2024,0.2319,TRAIN,,NO,
F10L01_0144,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.3056,0.1827,TRAIN,,NO,
F10L01_0145,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,APROBADO,CONFORME,0.1455,0.0763,TRAIN,P0172,NO,
F10L01_0146,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.4361,0.2253,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0147,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2532,0.1842,TRAIN,P0172,SI,Bomba de gasolina quemada o con baja presion
F10L01_0148,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2088,0.1511,TRAIN,,NO,
F10L01_0149,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2379,0.2303,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0150,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2846,0.2066,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0151,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2847,0.1965,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0152,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2623,0.1773,TRAIN,,NO,
F10L01_0153,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.1689,0.155,TRAIN,,NO,
F10L01_0154,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.1337,0.1538,TRAIN,,SI,Inyectores sucios o filtro de combustible obstruido
F10L01_0155,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2149,0.1939,TRAIN,P0172,NO,
F10L01_0156,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.202,0.1932,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0157,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.1975,0.2556,TRAIN,,NO,
F10L01_0158,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2287,0.2305,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0159,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.1918,0.1806,TRAIN,,NO,
F10L01_0160,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,APROBADO,CONFORME,0.2158,0.3433,TRAIN,P0172,SI,Bomba de gasolina quemada o con baja presion
F10L01_0161,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.2743,0.2666,TRAIN,,NO,
F10L01_0162,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.4029,0.3335,TRAIN,,NO,
F10L01_0163,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.2804,0.2247,TRAIN,,NO,
F10L01_0164,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.3106,0.5091,TRAIN,,NO,
F10L01_0165,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.5329,0.2034,TRAIN,,NO,
F10L01_0166,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.1491,0.1565,TRAIN,,NO,
F10L01_0167,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.2848,0.2489,TRAIN,,NO,
F10L01_0168,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.29,0.2937,TRAIN,,NO,
F10L01_0169,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.2804,0.2722,TRAIN,,NO,
F10L01_0170,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L1,APROBADO,CONFORME,0.2892,0.176,TRAIN,,NO,
F10L01_0171,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.5055,0.2696,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0172,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.5159,0.3638,TRAIN,,NO,
F10L01_0173,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.2921,0.4405,TRAIN,,NO,
F10L01_0174,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.2443,0.2253,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0175,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.2125,0.2971,TRAIN,,NO,
F10L01_0176,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.214,0.2185,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0177,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.1993,0.2963,G2,,NO,
F10L01_0178,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.4228,0.2068,TRAIN,,NO,
F10L01_0179,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.2351,0.2971,FIELD_60,,NO,
F10L01_0180,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.1611,0.1667,TRAIN,,NO,
F10L01_0181,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,L2,APROBADO,CONFORME,0.297,0.2095,TRAIN,,NO,
