id,clase_objetivo,macro_sistema,nivel_informacion,dtc,es_sintactico,significado,compatible_con_clase
F10-L03-0131,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0133,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0134,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0136,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P0234,SI,Condición de sobrepresión turbo/supercargador (Overboost),SI
F10-L03-0138,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0140,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P2563,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0143,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0145,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,P0234,SI,Condición de sobrepresión turbo/supercargador (Overboost),SI
F10-L03-0146,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0147,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0148,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P0234,SI,Condición de sobrepresión turbo/supercargador (Overboost),SI
F10-L03-0151,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P2563,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0153,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0154,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0157,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P0234,SI,Condición de sobrepresión turbo/supercargador (Overboost),SI
F10-L03-0160,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0171,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0174,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0184,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L2,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0186,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0189,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0193,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0197,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L03-0199,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L3,P0299,SI,Baja presión de sobrealimentación turbo/supercargador (Underboost),SI
F10-L04-0013,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L2,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0015,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L2,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L04-0022,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L2,P0521,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0023,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L2,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L04-0026,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0027,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L04-0029,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0032,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0521,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0033,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0036,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L04-0037,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L04-0038,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0040,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L04-0052,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,U0109,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0054,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,P069E,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0055,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,P025A,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0057,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0062,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,U0109,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0065,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,P069E,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0066,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,U0109,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0067,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,P025A,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0068,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0069,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,P069E,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0071,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,U0109,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0072,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,P025A,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0073,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,U0109,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0075,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0077,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,U0109,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0079,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,P069E,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0091,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L2,P2463,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0092,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L2,P20EE,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0095,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L2,P2453,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0098,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L2,P2002,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0099,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L2,P204F,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0102,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L2,P2463,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0106,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P2463,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0107,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P20EE,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0109,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P2002,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0111,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P2453,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0113,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P2463,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0114,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P204F,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0117,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P20EE,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0120,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,P2463,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0132,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0134,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,P0093,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0136,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,P1229,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0138,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0140,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,P0088,SI,Presión del riel de combustible demasiado alta,SI
F10-L04-0142,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0145,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0146,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0148,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0088,SI,Presión del riel de combustible demasiado alta,SI
F10-L04-0150,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0151,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0153,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0155,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0157,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0158,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0093,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0159,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0160,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,P0087,SI,Presión del riel de combustible demasiado baja,SI
F10-L04-0172,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L2,P0171,SI,Sistema demasiado pobre (Banco 1),SI
F10-L04-0173,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L2,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10-L04-0175,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L2,P0178,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0176,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L2,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L04-0179,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L2,P0171,SI,Sistema demasiado pobre (Banco 1),SI
F10-L04-0182,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L2,P0179,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0186,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10-L04-0187,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0171,SI,Sistema demasiado pobre (Banco 1),SI
F10-L04-0188,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0178,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0191,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10-L04-0193,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0171,SI,Sistema demasiado pobre (Banco 1),SI
F10-L04-0195,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0178,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0197,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0179,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L04-0199,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10-L05-0012,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L2,P0335,SI,Circuito del sensor CKP de posición de cigüeñal defectuoso,SI
F10-L05-0014,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L2,P0340,SI,Circuito del sensor CMP de árbol de levas defectuoso,SI
F10-L05-0016,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L2,P0339,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L05-0018,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L2,P0335,SI,Circuito del sensor CKP de posición de cigüeñal defectuoso,SI
F10-L05-0020,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L2,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L05-0022,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L2,P0341,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L05-0025,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L2,P0335,SI,Circuito del sensor CKP de posición de cigüeñal defectuoso,SI
F10-L05-0026,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L3,P0335,SI,Circuito del sensor CKP de posición de cigüeñal defectuoso,SI
F10-L05-0027,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L3,P0335,SI,Circuito del sensor CKP de posición de cigüeñal defectuoso,SI
