clase_objetivo,macro_sistema,total_registros,L1,L2,L3,con_dtc,contrastivos,coloquial,taller,tecnico,otros_lenguajes,longitud_promedio_palabras,longitud_min_palabras,longitud_max_palabras,vocabulario_unico,densidad_lexica
Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,40,10,15,15,16,14,0,11,14,15,32.7,12,78,461,0.352
Falla en bombin o bomba hidraulica de embrague,TRANSMISION,40,10,15,15,0,20,0,10,14,16,37.6,11,96,541,0.359
Falla en bujias o bobinas de encendido (misfire),MOTOR,40,10,15,15,8,9,0,9,5,26,15.8,3,31,199,0.315
Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),TRANSMISION,40,10,15,15,10,20,0,10,15,15,38.0,10,111,579,0.381
Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),MOTOR,40,10,15,15,29,22,0,11,13,16,38.5,11,104,502,0.326
Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,40,10,15,15,6,19,12,0,28,0,34.3,10,61,581,0.424
Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,40,10,15,15,14,18,0,12,13,15,35.8,10,90,558,0.39
Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,40,10,15,15,16,21,0,12,13,15,38.8,12,91,539,0.347
Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,40,10,15,15,2,15,18,0,22,0,33.3,9,58,490,0.368
Falla en regulador de presion de combustible o diafragma roto,MOTOR,40,10,15,15,11,24,0,12,12,16,38.0,12,99,520,0.342
Falla en sensor de oxigeno o mezcla rica,MOTOR,40,10,15,15,4,12,0,7,9,24,16.0,3,36,187,0.292
Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,40,10,15,15,19,19,0,11,13,16,37.3,11,82,545,0.365
Falla en sensor de velocidad de rueda ABS,FRENOS,40,10,15,15,11,12,0,8,14,18,37.3,11,97,579,0.388
Falla en servofreno (booster) o linea de vacio,FRENOS,40,10,15,15,6,19,0,9,15,16,36.6,11,96,541,0.37
Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,40,10,15,15,14,21,0,12,13,15,38.5,12,91,570,0.37
Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,40,10,15,15,18,16,0,9,14,17,36.7,12,83,572,0.389
Falla en sistema de frenado regenerativo (EV / Hibridos),FRENOS,40,10,15,15,14,21,0,7,16,17,37.8,11,101,567,0.375
Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,40,10,15,15,15,21,0,12,12,16,30.7,11,59,483,0.394
Falla en termostato o motoventilador de radiador,MOTOR,40,10,15,15,10,19,0,13,8,19,27.3,9,53,412,0.377
Fallo en inversor de corriente IGBT o motor electrico (EV),ELECTRICO,40,10,15,15,11,15,10,0,30,0,28.1,9,48,466,0.415
Falta o degradacion de aceite de caja de cambios,TRANSMISION,40,10,15,15,0,20,0,9,14,17,37.0,11,98,609,0.411
Foco o falla en sistema de refrigeracion de bateria/inversor (EV),ELECTRICO,40,10,15,15,8,18,10,0,30,0,30.6,9,53,511,0.418
Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,40,10,15,15,8,21,0,13,11,16,32.5,11,72,451,0.347
Fuga en mangueras de refrigerante o radiador picado,MOTOR,40,10,15,15,0,20,0,9,9,22,25.5,8,47,388,0.381
Fuga hidraulica o aire en el sistema de frenos,FRENOS,40,10,15,15,0,23,0,10,13,17,34.5,11,82,551,0.399
Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,40,10,15,15,17,18,0,12,13,15,37.6,12,101,524,0.348
Fuga parasita de corriente en reposo (consumo nocturno de bateria),ELECTRICO,40,10,15,15,0,19,14,0,26,0,34.1,8,60,560,0.41
Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,40,10,15,15,0,21,11,0,29,0,35.4,10,73,561,0.396
Inyectores sucios o filtro de combustible obstruido,MOTOR,40,10,15,15,0,17,0,11,4,25,15.8,4,32,214,0.339
Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,40,10,15,15,0,29,0,8,14,18,37.2,12,109,558,0.375
Limpiaparabrisas o motor pluma quemado,CARROCERIA_NEUMATICA,40,10,15,15,3,12,14,0,26,0,31.6,9,54,556,0.44
Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,40,10,15,15,0,29,0,8,14,18,36.1,10,94,564,0.391
Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,MOTOR,40,10,15,15,12,25,0,11,13,16,41.9,11,126,519,0.309
Rodajes de caja mecanica o diferencial gastados,TRANSMISION,40,10,15,15,0,22,0,9,14,17,37.0,12,108,526,0.356
Rodajes de transmision manual o eje primario gastados,TRANSMISION,40,10,15,15,0,28,0,10,14,16,39.2,12,125,499,0.319
Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,40,10,15,15,2,30,0,7,14,19,39.4,13,96,603,0.383
Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,40,10,15,15,14,18,0,9,16,15,37.4,10,103,586,0.392
Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,40,10,15,15,0,18,11,0,29,0,32.7,9,58,522,0.399
