id,estado,motivos,similitud_maxima,origen_similitud,recomendacion
F10-L01-0091,APROBADO,Sin observaciones técnicas.,0.7876,LOTE_01 (F10-L01-0011),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0092,APROBADO,Sin observaciones técnicas.,0.5523,LOTE_01 (F10-L01-0052),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0093,APROBADO,Sin observaciones técnicas.,0.567,LOTE_01 (F10-L01-0013),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0094,APROBADO,Sin observaciones técnicas.,0.6468,LOTE_01 (F10-L01-0054),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0095,REVISAR,Artefacto de plantilla sintética detectado ('al manejar despues de varias horas'). Redacción forzada o agramatical.,0.3835,LOTE_01 (F10-L01-0105),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0096,APROBADO,Sin observaciones técnicas.,0.7984,LOTE_01 (F10-L01-0016),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0097,APROBADO,Sin observaciones técnicas.,0.481,LOTE_01 (F10-L01-0057),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0098,APROBADO,Sin observaciones técnicas.,0.6162,LOTE_01 (F10-L01-0018),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0099,APROBADO,Sin observaciones técnicas.,0.6272,LOTE_01 (F10-L01-0019),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0100,APROBADO,Sin observaciones técnicas.,0.5692,LOTE_01 (F10-L01-0020),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0101,APROBADO,Sin observaciones técnicas.,0.59,LOTE_01 (F10-L01-0021),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0102,APROBADO,Sin observaciones técnicas.,0.6821,LOTE_01 (F10-L01-0062),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0103,APROBADO,Sin observaciones técnicas.,0.6139,LOTE_01 (F10-L01-0023),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0104,APROBADO,Sin observaciones técnicas.,0.7181,LOTE_01 (F10-L01-0024),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0105,APROBADO,Sin observaciones técnicas.,0.5496,LOTE_01 (F10-L01-0145),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0106,APROBADO,Sin observaciones técnicas.,0.7924,LOTE_01 (F10-L01-0026),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0107,APROBADO,Sin observaciones técnicas.,0.6724,LOTE_01 (F10-L01-0067),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0108,APROBADO,Sin observaciones técnicas.,0.6387,LOTE_01 (F10-L01-0028),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0109,APROBADO,Sin observaciones técnicas.,0.8147,LOTE_01 (F10-L01-0029),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0110,APROBADO,Sin observaciones técnicas.,0.614,LOTE_01 (F10-L01-0150),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0111,APROBADO,Sin observaciones técnicas.,0.742,LOTE_01 (F10-L01-0031),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0112,APROBADO,Sin observaciones técnicas.,0.6934,LOTE_01 (F10-L01-0072),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0113,APROBADO,Sin observaciones técnicas.,0.7634,LOTE_01 (F10-L01-0033),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0114,APROBADO,Sin observaciones técnicas.,0.8101,LOTE_01 (F10-L01-0034),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0115,APROBADO,Sin observaciones técnicas.,0.6884,LOTE_01 (F10-L01-0155),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0116,APROBADO,Sin observaciones técnicas.,0.7158,LOTE_01 (F10-L01-0036),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0117,APROBADO,Sin observaciones técnicas.,0.7419,LOTE_01 (F10-L01-0077),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0118,APROBADO,Sin observaciones técnicas.,0.6778,LOTE_01 (F10-L01-0038),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0119,APROBADO,Sin observaciones técnicas.,0.7976,LOTE_01 (F10-L01-0039),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0120,APROBADO,Sin observaciones técnicas.,0.6916,LOTE_01 (F10-L01-0160),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0121,APROBADO,Sin observaciones técnicas.,0.4362,LOTE_01 (F10-L01-0131),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0122,APROBADO,Sin observaciones técnicas.,0.5658,LOTE_01 (F10-L01-0002),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0123,APROBADO,Sin observaciones técnicas.,0.4463,LOTE_01 (F10-L01-0128),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0124,APROBADO,Sin observaciones técnicas.,0.6184,LOTE_01 (F10-L01-0044),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0125,APROBADO,Sin observaciones técnicas.,0.5915,LOTE_01 (F10-L01-0005),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0126,APROBADO,Sin observaciones técnicas.,0.4094,LOTE_01 (F10-L01-0121),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0127,APROBADO,Sin observaciones técnicas.,0.5426,LOTE_01 (F10-L01-0007),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0128,REVISAR,Artefacto de plantilla sintética detectado ('comenzó a sale humo'). Redacción forzada o agramatical.,0.4463,LOTE_01 (F10-L01-0123),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0129,APROBADO,Sin observaciones técnicas.,0.5583,LOTE_01 (F10-L01-0049),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0130,APROBADO,Sin observaciones técnicas.,0.3979,TRAIN (TRAIN_4405),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0131,APROBADO,Sin observaciones técnicas.,0.585,LOTE_01 (F10-L01-0091),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0132,APROBADO,Sin observaciones técnicas.,0.4903,LOTE_01 (F10-L01-0052),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0133,APROBADO,Sin observaciones técnicas.,0.548,LOTE_01 (F10-L01-0013),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0134,APROBADO,Sin observaciones técnicas.,0.5838,LOTE_01 (F10-L01-0054),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0135,REVISAR,Artefacto de plantilla sintética detectado ('al manejar despues de calentar'). Redacción forzada o agramatical.,0.4001,LOTE_01 (F10-L01-0055),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0136,APROBADO,Sin observaciones técnicas.,0.6236,LOTE_01 (F10-L01-0096),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0137,APROBADO,Sin observaciones técnicas.,0.4981,LOTE_01 (F10-L01-0057),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0138,APROBADO,Sin observaciones técnicas.,0.5918,LOTE_01 (F10-L01-0018),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0139,APROBADO,Sin observaciones técnicas.,0.6149,LOTE_01 (F10-L01-0099),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0140,APROBADO,Sin observaciones técnicas.,0.6304,LOTE_01 (F10-L01-0020),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0141,APROBADO,Sin observaciones técnicas.,0.4804,LOTE_01 (F10-L01-0101),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0142,APROBADO,Sin observaciones técnicas.,0.6456,LOTE_01 (F10-L01-0102),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0143,APROBADO,Sin observaciones técnicas.,0.5817,LOTE_01 (F10-L01-0023),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0144,APROBADO,Sin observaciones técnicas.,0.5833,LOTE_01 (F10-L01-0104),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0145,APROBADO,Sin observaciones técnicas.,0.6057,LOTE_01 (F10-L01-0025),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0146,APROBADO,Sin observaciones técnicas.,0.7013,LOTE_01 (F10-L01-0026),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0147,APROBADO,Sin observaciones técnicas.,0.6933,LOTE_01 (F10-L01-0067),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0148,APROBADO,Sin observaciones técnicas.,0.6226,LOTE_01 (F10-L01-0028),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0149,APROBADO,Sin observaciones técnicas.,0.7366,LOTE_01 (F10-L01-0109),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0150,APROBADO,Sin observaciones técnicas.,0.6292,LOTE_01 (F10-L01-0030),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0151,APROBADO,Sin observaciones técnicas.,0.6181,LOTE_01 (F10-L01-0111),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0152,APROBADO,Sin observaciones técnicas.,0.6806,LOTE_01 (F10-L01-0072),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0153,APROBADO,Sin observaciones técnicas.,0.7456,LOTE_01 (F10-L01-0033),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0154,APROBADO,Sin observaciones técnicas.,0.6791,LOTE_01 (F10-L01-0114),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0155,APROBADO,Sin observaciones técnicas.,0.7158,LOTE_01 (F10-L01-0035),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0156,APROBADO,Sin observaciones técnicas.,0.5354,LOTE_01 (F10-L01-0116),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0157,APROBADO,Sin observaciones técnicas.,0.6975,LOTE_01 (F10-L01-0077),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0158,APROBADO,Sin observaciones técnicas.,0.6649,LOTE_01 (F10-L01-0038),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0159,APROBADO,Sin observaciones técnicas.,0.7114,LOTE_01 (F10-L01-0119),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0160,APROBADO,Sin observaciones técnicas.,0.7087,LOTE_01 (F10-L01-0040),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0161,APROBADO,Sin observaciones técnicas.,0.4435,LOTE_01 (F10-L01-0010),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0162,APROBADO,Sin observaciones técnicas.,0.5388,LOTE_01 (F10-L01-0122),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0163,APROBADO,Sin observaciones técnicas.,0.4981,LOTE_01 (F10-L01-0168),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0164,APROBADO,Sin observaciones técnicas.,0.6442,LOTE_01 (F10-L01-0044),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0165,APROBADO,Sin observaciones técnicas.,0.3487,LOTE_01 (F10-L01-0170),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0166,APROBADO,Sin observaciones técnicas.,0.4867,LOTE_01 (F10-L01-0006),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0167,APROBADO,Sin observaciones técnicas.,0.5366,LOTE_01 (F10-L01-0007),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0168,REVISAR,Artefacto de plantilla sintética detectado ('comenzó a rpm suben'). Redacción forzada o agramatical.,0.4981,LOTE_01 (F10-L01-0163),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0169,APROBADO,Sin observaciones técnicas.,0.58,LOTE_01 (F10-L01-0049),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0170,APROBADO,Sin observaciones técnicas.,0.3572,TRAIN (TRAIN_4459),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0171,APROBADO,Sin observaciones técnicas.,0.6576,LOTE_01 (F10-L01-0091),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0172,REVISAR,Artefacto de plantilla sintética detectado ('cuando voy en semaforo'). Redacción forzada o agramatical.,0.5236,LOTE_01 (F10-L01-0052),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0173,APROBADO,Sin observaciones técnicas.,0.5546,LOTE_01 (F10-L01-0053),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0174,APROBADO,Sin observaciones técnicas.,0.5586,LOTE_01 (F10-L01-0054),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0175,APROBADO,Sin observaciones técnicas.,0.4369,LOTE_01 (F10-L01-0015),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0176,APROBADO,Sin observaciones técnicas.,0.7412,LOTE_01 (F10-L01-0096),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0177,APROBADO,Sin observaciones técnicas.,0.5253,LOTE_01 (F10-L01-0057),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0178,APROBADO,Sin observaciones técnicas.,0.5982,LOTE_01 (F10-L01-0058),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0179,APROBADO,Sin observaciones técnicas.,0.6116,LOTE_01 (F10-L01-0059),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0180,APROBADO,Sin observaciones técnicas.,0.5874,LOTE_01 (F10-L01-0020),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0181,APROBADO,Sin observaciones técnicas.,0.5867,LOTE_01 (F10-L01-0101),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0182,APROBADO,Sin observaciones técnicas.,0.622,LOTE_01 (F10-L01-0142),Aprobado para preselección en corpus maestro Fase 10.
