id,clase_objetivo,macro_sistema,nivel_informacion,criterios_evaluados,es_contrastivo,clase_contrastiva,dtc,texto_resumen,coherencia_tecnica,evaluacion_metrologica,evaluacion_negaciones,sesgo_marcas,dictamen
F10-L02-0113,Fuga en mangueras de refrigerante o radiador picado,MOTOR,L3,CONTRASTIVO | METROLOGIA | NEGACION | CLIMATIZACION,SI,Falla en termostato o motoventilador de radiador,,El auto botó todo el refrigerante en plena avenida. Se encontró la manguera superior abierta en forma de boca de pez por...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L02-0118,Fuga en mangueras de refrigerante o radiador picado,MOTOR,L3,CONTRASTIVO | NEGACION | CLIMATIZACION,SI,Empaque de culata soplado o danado,,Vapor blanco saliendo bajo el capó al llegar de viaje. Se diagnosticó perforación en el radiador producida por impacto d...,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L02-0119,Fuga en mangueras de refrigerante o radiador picado,MOTOR,L3,METROLOGIA | NEGACION | CLIMATIZACION | EV_HIBRIDO,NO,,,Inspección técnica: sistema no retiene 1.0 bar de presión estática. Se evidencia goteo profuso por la manguera de deriva...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L02-0120,Fuga en mangueras de refrigerante o radiador picado,MOTOR,L3,CONTRASTIVO | NEGACION,SI,Empaque de culata soplado o danado,,El auto derramó dos litros de refrigerante en el garaje. La abrazadera inferior tipo resorte del radiador perdió tensión...,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L02-0121,Consumo de aceite por desgaste de anillos o retenes,MOTOR,L1,CLIMATIZACION,NO,,,El carro me está pidiendo un litro de aceite cada dos semanas.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L02-0146,Consumo de aceite por desgaste de anillos o retenes,MOTOR,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Baja presion de aceite o bomba de aceite defectuosa,,Consumo excesivo de 1.2 litros de aceite por cada 1000 km sin goteo externo. Prueba de compresión seca marcó 115-118 psi...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0161,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,L1,CLIMATIZACION,NO,,,Se me prende el foquito rojo de la aceitera en el tablero cuando freno en los semáforos.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L02-0186,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Consumo de aceite por desgaste de anillos o retenes,P0524,Testigo de presión de aceite parpadea en ralentí a 800 rpm tras 25 minutos de funcionamiento a 92°C de temperatura de re...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0198,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,L3,CONTRASTIVO | METROLOGIA | NEGACION | CLIMATIZACION | EV_HIBRIDO,SI,Consumo de aceite por desgaste de anillos o retenes,,Luz de lubricación parpadea a 800 rpm en detenciones con motor caliente. Se colocó manómetro en serie con el bulbo regis...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L03-0001,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Se escucha un cascabeleo metálico por el lado de las correas al encender.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L03-0026,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L3,CONTRASTIVO | DTC | CLIMATIZACION | EV_HIBRIDO,SI,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),P0016,Escáner reporta DTC P0016 de correlación entre sensor de cigüeñal y árbol de levas de admisión. En osciloscopio de dos c...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L03-0041,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L1,CLIMATIZACION,NO,,,El carro se pone perezoso para acelerar cuando el motor calienta.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L03-0060,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L2,CONTRASTIVO | NEGACION | CLIMATIZACION | EV_HIBRIDO,SI,Cuerpo de aceleracion o valvula IAC sucia,,Al desacelerar tras rodar a 80 km/h el motor casi se apaga y cabecea bruscamente porque el árbol de levas se queda pegad...,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L03-0066,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Faja o cadena de distribucion destensada o con salto de punto,P0011,Escáner en datos en vivo grafica 'Desired Camshaft Position' en 35 grados de avance a 3200 rpm mientras que 'Actual Cams...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L03-0081,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El motor tiembla bastante durante el primer minuto al encender por las mañanas.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L03-0106,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Bomba de gasolina quemada o con baja presion,P0300,"Inspección endoscópica a través del puerto de admisión en motor 2.0 TSI con 95,000 km revela acumulación severa de carbó...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L03-0121,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Se prendió la luz EPC en el tablero y el carro perdió fuerza de golpe.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L03-0132,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L2,CONTRASTIVO | METROLOGIA | NEGACION | CLIMATIZACION,SI,Faja o cadena de distribucion destensada o con salto de punto,,Se escucha un sonido de sonajero metálico constante en la caracola de escape del turbo al soltar el gas entre 2000 y 300...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L03-0146,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Fuga en mangueras de intercooler o turbocompresor danado,P0299,En prueba de carretera bajo aceleración a fondo en 4ta marcha a 3500 rpm se enciende testigo EPC y el motor entra en mod...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L03-0158,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,L3,METROLOGIA | NEGACION | CLIMATIZACION | EV_HIBRIDO,NO,,,El vehículo ingresó con testigo EPC encendido y marcha en modo de emergencia. Se reemplazó el actuador electrónico de la...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L03-0161,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L1,CLIMATIZACION,NO,,,Se escucha un silbido fuerte como de aire escapando cuando acelero.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L03-0186,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,P0299,"El vehículo pierde potencia súbitamente al superar 2200 rpm bajo carga, emitiendo un soplido ensordecedor de aire compri...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0001,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L1,CLIMATIZACION,NO,,,Se prende la luz roja de la aceitera cuando me detengo en el semáforo.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0026,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Baja presion de aceite o bomba de aceite defectuosa,P0524,"En un Ford Focus 1.0 EcoBoost con 78,000 km se encendió el testigo de presión de aceite acompañado de pedal de freno dur...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0028,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,L3,CONTRASTIVO | METROLOGIA | NEGACION | CLIMATIZACION,SI,Baja presion de aceite o bomba de aceite defectuosa,,El cliente reclama que al frenar en bajadas la dirección y el pedal se endurecen y suena la chicharra de aceite. La prue...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L04-0041,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El carro se apaga de la nada mientras voy manejando y no quiere prender.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0042,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,CLIMATIZACION,NO,,,"Hola, al abrir el contacto no suena el zumbido de la bomba de gasolina atrás.",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0043,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El motor se corta de golpe como si cerrara la llave y a los 20 minutos arranca.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0044,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Tengo chispa en las bujías pero no llega nada de combustible a la rampa.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0045,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,CLIMATIZACION,NO,,,Aparece un código de pérdida de comunicación con el módulo de combustible.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0046,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El auto tironea en alta y huele a caliente cerca del tanque de gasolina.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0047,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Se apaga en marcha pero le meto 12 voltios directo a la bomba y sí gira.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0048,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,CAMION_NEUMATICO,NO,,,Mi camioneta se para de golpe en carretera y no llega corriente a la pila de gasolina.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0049,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,"Buenas, cambié la bomba de gasolina dos veces y sigue cortándose la corriente.",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0050,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L1,CLIMATIZACION,NO,,,Interrupción abrupta de la señal PWM de modulación hacia la electrobomba de baja.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0051,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,CONTRASTIVO | EV_HIBRIDO,SI,Bomba de gasolina quemada o con baja presion,,En una Chevrolet Silverado el motor se apaga súbitamente tras 30 minutos de marcha continua; se probó la bomba con 12V d...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0052,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,CONTRASTIVO | DTC | CLIMATIZACION,SI,Bomba de gasolina quemada o con baja presion,U0109,Código U0109 de pérdida de comunicación con el Fuel Pump Control Module en Ford F-150; el motor gira pero no hay presión...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0053,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,CLIMATIZACION | EV_HIBRIDO,NO,,,"Al dar contacto no llega voltaje a la bomba de gasolina; el relé principal activa normal y los fusibles están intactos, ...",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0054,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,CONTRASTIVO | DTC,SI,Bomba de gasolina quemada o con baja presion,P069E,"Hola maestro, tengo un Ford Fusion. El carro se muere en marcha y prende Check Engine con código P069E. Apago el auto 15...",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0055,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L2,DTC | CLIMATIZACION,NO,,P025A,DTC P025A referente a circuito abierto de control del módulo de bomba; el escáner no logra activar la prueba de actuador...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0066,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Bomba de gasolina quemada o con baja presion,U0109,Chevrolet Tahoe V8 se apaga súbitamente tras circular 45 minutos en carretera con DTC U0109 y P069E. Al ocurrir la falla...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0081,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Se prendió una luz en forma de tubo con puntitos en el tablero de mi diésel.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0103,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L2,CONTRASTIVO | NEGACION | CLIMATIZACION,SI,Falla en sensor de oxigeno o mezcla rica,,Al sacar el sensor de oxígeno anterior al DPF se observó completamente tupido de carbonilla negra grasa impidiendo la le...,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L04-0106,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),P2463,"Toyota Hilux 2.8 GD Euro 6 con 82,000 km ingresó en modo degradado sin superar 2200 rpm ni 70 km/h, con testigo de DPF e...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0121,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,CAMION_NEUMATICO,NO,,,La camioneta diésel demora bastante en arrancar en frío por las mañanas.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0122,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,CLIMATIZACION,NO,,,"Hola, al pisar a fondo el acelerador en subida el motor se apaga de golpe.",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0123,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,CLIMATIZACION,NO,,,Siento olor fuerte a petróleo crudo en el vano motor cuando acelero.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0124,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,CLIMATIZACION,NO,,,El motor cascabelea muy duro como tractor viejo al acelerar en carga.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0125,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,METROLOGIA,NO,,,Se prende el Check Engine y pierde toda la fuerza cuando paso de 2500 rpm.,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0126,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El escáner arroja código de baja presión en el riel de inyección.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0127,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El motor arranca rápido con líquido arrancador pero solo con la llave no prende.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0128,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,CAMION_NEUMATICO,NO,,,Mi camioneta se apaga cuando le exijo en carretera y bota humo negro.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0129,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,"Buenas, hay un tubito metálico delgado que está sudando diésel en el motor.",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0130,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L1,EV_HIBRIDO,NO,,,Divergencia negativa severa entre presión de combustible deseada y real en el rail.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0131,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,CONTRASTIVO | METROLOGIA,SI,Bomba de gasolina quemada o con baja presion,,En una Toyota Hilux 1GD 2.8 el motor demora 8 segundos en arrancar; en datos en vivo la presión de riel sube muy lento y...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0132,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,CONTRASTIVO | DTC | CLIMATIZACION,SI,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,P0087,Código P0087 por baja presión de riel en Ford Ranger 3.2; al acelerar a fondo en cuarta velocidad el motor se apaga de g...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0133,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,CONTRASTIVO,SI,Inyectores sucios o filtro de combustible obstruido,,Prueba de probetas de retorno de combustible en banco demostró que el inyector del cilindro 3 desborda 90 ml en 1 minuto...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0134,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,CONTRASTIVO | DTC | CAMION_NEUMATICO | EV_HIBRIDO,SI,Inyectores sucios o filtro de combustible obstruido,P0093,"Hola, al exigir mi camioneta en subida se apaga y enciende Check Engine con código P0093 de fuga grande de combustible; ...",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0135,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L2,METROLOGIA | CLIMATIZACION,NO,,,Fuga visible de combustible pulverizado por la tuerca cónica de la cañería de alta presión del cilindro 2 hacia la rampa...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0146,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Inyectores sucios o filtro de combustible obstruido,P0087,Toyota Hilux 1KD-FTV ingresa por apagado intempestivo al acelerar a fondo en 3ra velocidad bajo carga con DTC P0087 y P0...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L04-0161,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El carro no quiere arrancar en las mañanas frías tras cambiar de grifo de combustible.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L04-0186,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Falla en bujias o bobinas de encendido (misfire),P0172,Volkswagen Gol 1.6 MSI TotalFlex no arranca en frío por la mañana a 14°C de temperatura ambiente. En escáner el parámetr...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L05-0001,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El carro se apaga de golpe cuando calienta y luego no quiere prender.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L05-0026,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA,SI,Bomba de gasolina quemada o con baja presion,P0335,En prueba de osciloscopio automotriz de dos canales se monitorea la señal analógica del sensor de cigüeñal inductivo CKP...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L05-0041,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El carro se pone muy pesado para arrancar justo después de tanquear gasolina.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L05-0066,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,L3,CONTRASTIVO | DTC | CLIMATIZACION | EV_HIBRIDO,SI,Falla en regulador de presion de combustible o diafragma roto,P0441,Vehículo ingresa con queja de dificultad severa de encendido tras cargar combustible en la estación de servicio. El moto...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L05-0081,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Se prendió la luz del motor en el tablero pero el carro anda normal y no falla.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L05-0106,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Falla en sensor de oxigeno o mezcla rica,P0420,Vehículo ingresa con luz de Check Engine encendida y código DTC P0420 (Catalyst System Efficiency Below Threshold Bank 1...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L05-0108,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | NEGACION | CLIMATIZACION,SI,Falla en sensor de oxigeno o mezcla rica,P0420,"Toyota Corolla con 190,000 km presenta DTC P0420. La prueba termográfica con pirómetro infrarrojo en carretera estabiliz...",CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L05-0114,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,L3,CONTRASTIVO | DTC | NEGACION | CLIMATIZACION,SI,Falla en sensor de oxigeno o mezcla rica,P0420,DTC P0420 recurrente tras sustitución de ambas sondas lambda delantera y trasera con repuestos originales OEM. La prueba...,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L05-0120,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,L3,NEGACION | CLIMATIZACION,NO,,,El vehículo ingresó por olor nauseabundo a azufre y pérdida del 50% de rendimiento dinámico. Se constató que el converti...,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L05-0121,Falla en regulador de presion de combustible o diafragma roto,MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El carro bota mucho humo negro por el escape y gasta demasiada gasolina.,CONFORME,N/A,N/A,AUSENTE,APROBADO
