id,id_grupo,clase_objetivo,nivel_informacion,source_dataset,texto_usuario,tipo_lenguaje_anterior,tipo_lenguaje_nuevo
F10-L09-0165,G-09-51-05,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,Siento que el ventilador de la bateria no se apaga nunca.,COLOQUIAL,COTIDIANO
F10-L09-0166,G-09-51-06,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,Aparece un mensaje de revisar refrigeracion en el tablero del EV.,COLOQUIAL,COTIDIANO
F10-L09-0167,G-09-51-07,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,El carro electrico huele a caliente por la zona delantera y baja la potencia.,COLOQUIAL,COTIDIANO
F10-L09-0168,G-09-51-08,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,Se escucha un zumbido forzado de soplador bajo los asientos traseros.,COLOQUIAL,COTIDIANO
F10-L09-0170,G-09-51-10,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,El liquido de enfriamiento del sistema electrico esta hirviendo.,COLOQUIAL,COTIDIANO
F10-L09-0174,G-09-51-14,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L2,dataset_fase10_lote_09.csv,La rejilla de toma de aire del ventilador de bateria de traccion bajo el asiento trasero estaba tapada con polvo y pelos de mascota; el ventilador vibra atorado y salta alerta termica.,COLOQUIAL,COTIDIANO
F10-L09-0201,G-09-52-01,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,Giro la llave para encender el auto y no hace nada de nada.,COLOQUIAL,COTIDIANO
F10-L09-0202,G-09-52-02,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,Le doy marcha y solo se escucha un clac seco debajo del motor.,COLOQUIAL,COTIDIANO
F10-L09-0203,G-09-52-03,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,El carro no quiere dar arranque hoy en la manana.,COLOQUIAL,COTIDIANO
F10-L09-0204,G-09-52-04,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,Pongo la llave en posicion de arranque y el motor ni se entera.,COLOQUIAL,COTIDIANO
F10-L09-0205,G-09-52-05,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,A veces enciende a la primera y a veces le doy a la llave diez veces hasta que arranca.,COLOQUIAL,COTIDIANO
F10-L09-0206,G-09-52-06,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,Presiono el boton de encendido y no gira el motor.,COLOQUIAL,COTIDIANO
F10-L09-0207,G-09-52-07,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,Se escucha un golpe metalico unico al intentar prenderlo pero no gira.,COLOQUIAL,COTIDIANO
F10-L09-0208,G-09-52-08,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,El motor de mi camioneta no hace ningun intento por girar.,COLOQUIAL,COTIDIANO
F10-L09-0209,G-09-52-09,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,"Le doy encendido, suena un clic y todo queda en silencio.",COLOQUIAL,COTIDIANO
F10-L09-0210,G-09-52-10,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L1,dataset_fase10_lote_09.csv,Para que prenda tengo que darle varios llavazos seguidos.,COLOQUIAL,COTIDIANO
F10-L09-0211,G-09-52-11,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"Pongo contacto, las luces del tablero encienden con buen brillo, pero al girar la llave a start solo se escucha un clac metalico seco y el ciguenal no gira absolutamente nada.",COLOQUIAL,COTIDIANO
F10-L09-0214,G-09-52-14,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"La bateria tiene carga suficiente y las luces altas alumbran perfecto, pero al dar marcha el solenoide hace un solo chasquido y no se produce giro de arranque.",COLOQUIAL,COTIDIANO
F10-L09-0215,G-09-52-15,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"Falla intermitente en arranque en caliente: tras apagar el auto luego de viajar, le doy arranque y no gira; tras golpear suavemente el cuerpo del motor de arranque con una llave enciende al instante.",COLOQUIAL,COTIDIANO
F10-L09-0217,G-09-52-17,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"El auto se apago y ahora al dar marcha se escucha el rele bajo el volante pero el motor de arranque no emite ningun sonido, motor termico totalmente detenido sin girar.",COLOQUIAL,COTIDIANO
F10-L09-0220,G-09-52-20,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"Girando la llave a posicion de marcha el tablero no se apaga ni titilan los testigos, pero el motor no gira ni medio milimetro; el solenoide no empuja la horquilla.",COLOQUIAL,COTIDIANO
F10-L09-0221,G-09-52-21,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"El vehiculo quedo varado: el conductor intento encenderlo y tras un clic seco no hubo respuesta; se intento puente con cables pasa-corriente y el comportamiento fue exactamente identico, motor inmovil.",COLOQUIAL,COTIDIANO
F10-L09-0223,G-09-52-23,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"Arranque intermitente en frio: hace cinco intentos con clac seco sin giro de ciguenal, y en el sexto intento gira con fuerza y arranca de inmediato, sintoma clasico de carbones en su limite.",COLOQUIAL,COTIDIANO
F10-L09-0225,G-09-52-25,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),L2,dataset_fase10_lote_09.csv,"En vehiculo con transmision manual, empujandolo en segunda velocidad arranca al instante con compresion normal, pero por llave el motor de arranque no gira.",COLOQUIAL,COTIDIANO
F10-L09-0241,G-09-53-01,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,Si dejo el carro parado dos dias amanece sin nada de bateria.,COLOQUIAL,COTIDIANO
F10-L09-0242,G-09-53-02,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,Todas las mananas tengo que pedir puente para que prenda mi auto.,COLOQUIAL,COTIDIANO
F10-L09-0243,G-09-53-03,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,La bateria se me muere sola durante la noche.,COLOQUIAL,COTIDIANO
F10-L09-0244,G-09-53-04,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,Compre bateria nueva la semana pasada y ya se volvio a descargar parada.,COLOQUIAL,COTIDIANO
F10-L09-0245,G-09-53-05,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,"Si uso el carro a diario anda bien, pero el lunes despues del fin de semana no prende.",COLOQUIAL,COTIDIANO
F10-L09-0246,G-09-53-06,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,Tengo un consumo que me agota la bateria con el motor apagado.,COLOQUIAL,COTIDIANO
F10-L09-0247,G-09-53-07,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,El carro amanece totalmente muerto sin luces ni tablero.,COLOQUIAL,COTIDIANO
F10-L09-0248,G-09-53-08,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,Se me descarga la bateria cuando el auto esta estacionado en la cochera.,COLOQUIAL,COTIDIANO
F10-L09-0249,G-09-53-09,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,De noche algo se queda prendido y en la manana no da ni un giro de arranque.,COLOQUIAL,COTIDIANO
F10-L09-0250,G-09-53-10,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L1,dataset_fase10_lote_09.csv,Bateria amanece descargada aunque de dia funciona normal.,COLOQUIAL,COTIDIANO
F10-L09-0251,G-09-53-11,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L2,dataset_fase10_lote_09.csv,"El vehiculo funciona impecable todo el dia en ruta, pero al quedar estacionado en la noche por mas de 8 horas, a la manana siguiente la bateria esta en 10.5V y no enciende.",COLOQUIAL,COTIDIANO
F10-L09-0253,G-09-53-13,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L2,dataset_fase10_lote_09.csv,"Al apagar el motor y cerrar con llave, se nota que la luz interna de la guantera o maletero queda encendida por interruptor descalibrado, drenando la bateria en reposo.",COLOQUIAL,COTIDIANO
F10-L09-0260,G-09-53-20,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L2,dataset_fase10_lote_09.csv,"Se cambio bateria pensando que estaba rota, pero la bateria nueva se descargo a cero tras 48 horas de reposo; la bateria anterior estaba en buen estado.",COLOQUIAL,COTIDIANO
F10-L09-0265,G-09-53-25,Fuga parasita de corriente en reposo (consumo nocturno de bateria),L2,dataset_fase10_lote_09.csv,"El auto se utiliza diariamente para reparto sin problema; si queda guardado sabado y domingo, el lunes el motor de arranque no gira por falta de energia en bateria.",COLOQUIAL,COTIDIANO
F10-L10-0001,G-10-54-01,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,Prendo el aire del auto pero solo bota aire tibio por las rejillas.,COLOQUIAL,COTIDIANO
F10-L10-0002,G-10-54-02,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,El aire acondicionado no esta enfriando casi nada estos dias de calor.,COLOQUIAL,COTIDIANO
F10-L10-0003,G-10-54-03,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,Siento un silbido como de gas escapando por el tablero al encender el AC.,COLOQUIAL,COTIDIANO
F10-L10-0004,G-10-54-04,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,Al presionar el boton de aire acondicionado no se siente que acople nada.,COLOQUIAL,COTIDIANO
F10-L10-0005,G-10-54-05,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,El aire enfriaba bien la semana pasada y de repente dejo de helar por completo.,COLOQUIAL,COTIDIANO
F10-L10-0006,G-10-54-06,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,Sale aire por las ventilas pero no enfria el habitaculo.,COLOQUIAL,COTIDIANO
F10-L10-0007,G-10-54-07,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,Se escucha un chillido constante adelante cuando activo el interruptor del AC.,COLOQUIAL,COTIDIANO
F10-L10-0008,G-10-54-08,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,El enfriamiento del coche se corta a los pocos minutos de prenderlo.,COLOQUIAL,COTIDIANO
F10-L10-0009,G-10-54-09,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,Noto manchas verdes fosforescentes en unas mangueras del sistema de aire.,COLOQUIAL,COTIDIANO
F10-L10-0010,G-10-54-10,Falla en compresor de aire acondicionado o fuga de gas R134a,L1,dataset_fase10_lote_10.csv,El auto no enfria adentro cuando estoy en el trafico.,COLOQUIAL,COTIDIANO
F10-L10-0012,G-10-54-12,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,dataset_fase10_lote_10.csv,"El sistema de aire acondicionado enfria algo cuando voy a 90 km/h en autopista, pero al detenerme en un semaforo sale aire totalmente calido por las toberas centrales.",COLOQUIAL,COTIDIANO
F10-L10-0017,G-10-54-17,Falla en compresor de aire acondicionado o fuga de gas R134a,L2,dataset_fase10_lote_10.csv,"Se escucha un siseo prolongado de gas evaporandose tras la guantera durante 20 segundos cada vez que apago el vehiculo, perdiendo la capacidad de enfriar en 3 dias.",COLOQUIAL,COTIDIANO
F10-L10-0041,G-10-55-01,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,Una de las puertas no echa seguro cuando aprieto el control.,COLOQUIAL,COTIDIANO
F10-L10-0042,G-10-55-02,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,El pestillo de la puerta del chofer no se mueve con el boton central.,COLOQUIAL,COTIDIANO
F10-L10-0043,G-10-55-03,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,Se escucha un zumbido debil en la puerta pero el seguro no sube.,COLOQUIAL,COTIDIANO
F10-L10-0044,G-10-55-04,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,"El cierre de las puertas se volvio loco, abre y cierra solo.",COLOQUIAL,COTIDIANO
F10-L10-0045,G-10-55-05,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,No bajan los seguros de atras con la llave ni con el mando.,COLOQUIAL,COTIDIANO
F10-L10-0046,G-10-55-06,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,El seguro del copiloto no reacciona electricamente al cerrar el auto.,COLOQUIAL,COTIDIANO
F10-L10-0047,G-10-55-07,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,A veces traba el seguro y a veces no hace nada cuando presiono la alarma.,COLOQUIAL,COTIDIANO
F10-L10-0048,G-10-55-08,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,La compuerta del maletero no abre con el boton electrico.,COLOQUIAL,COTIDIANO
F10-L10-0049,G-10-55-09,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,Le doy al switch de seguros y solo suena un rele pero ninguna puerta traba.,COLOQUIAL,COTIDIANO
F10-L10-0050,G-10-55-10,Falla electrica del cierre centralizado o actuador de puerta,L1,dataset_fase10_lote_10.csv,Tengo que cerrar la puerta del acompanante manualmente por dentro porque electricamente no responde.,COLOQUIAL,COTIDIANO
F10-L10-0058,G-10-55-18,Falla electrica del cierre centralizado o actuador de puerta,L2,dataset_fase10_lote_10.csv,"El pestillo sube y baja perfectamente con el dedo sin ninguna traba fisica, pero al comandarlo desde la botonera maestra de la puerta no recibe pulso electrico.",COLOQUIAL,COTIDIANO
F10-L10-0063,G-10-55-23,Falla electrica del cierre centralizado o actuador de puerta,L2,dataset_fase10_lote_10.csv,"Falla intermitente: cuando el vehiculo esta frio en la manana los seguros no responden, pero tras circular 30 minutos y calentarse el habitaculo el sistema comienza a trabar.",COLOQUIAL,COTIDIANO
F10-L10-0081,G-10-56-01,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,La puerta del chofer rebota cuando la intento cerrar suave.,COLOQUIAL,COTIDIANO
F10-L10-0082,G-10-56-02,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,Tengo que tirar la puerta con muchisima fuerza para que enganche la traba.,COLOQUIAL,COTIDIANO
F10-L10-0083,G-10-56-03,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,La manija exterior de la puerta se siente suelta y no abre nada.,COLOQUIAL,COTIDIANO
F10-L10-0084,G-10-56-04,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,"La llave fisica no gira en la cerradura, esta totalmente trabada.",COLOQUIAL,COTIDIANO
F10-L10-0085,G-10-56-05,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,Se cayo la puerta y raspa abajo en el marco al cerrar.,COLOQUIAL,COTIDIANO
F10-L10-0086,G-10-56-06,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,La chapa de la maletera se quedo atascada y no abre con la llave.,COLOQUIAL,COTIDIANO
F10-L10-0087,G-10-56-07,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,"El pestillo mecanico esta durisimo, no lo puedo mover ni con la mano.",COLOQUIAL,COTIDIANO
F10-L10-0088,G-10-56-08,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,La puerta trasera quedo entreabierta y no termina de trabar en el segundo clic.,COLOQUIAL,COTIDIANO
F10-L10-0089,G-10-56-09,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,Jalo la palanquita interior para salir y no destraba la puerta.,COLOQUIAL,COTIDIANO
F10-L10-0090,G-10-56-10,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L1,dataset_fase10_lote_10.csv,Siento un ruido a lata suelta adentro de la puerta cuando intento abrirla.,COLOQUIAL,COTIDIANO
F10-L10-0092,G-10-56-12,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L2,dataset_fase10_lote_10.csv,La cerradura quedo totalmente bloqueada mecanicamente por grasa solidificada y polvo acumulado; la llave gira solo 10 grados y se traba en seco sin mover el pestillo.,COLOQUIAL,COTIDIANO
F10-L10-0094,G-10-56-14,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L2,dataset_fase10_lote_10.csv,Las bisagras de la puerta del conductor presentan holgura severa; al cerrar hay que levantar la puerta desde la manilla hacia arriba para que el pestillo calce en el cerradero.,COLOQUIAL,COTIDIANO
F10-L10-0098,G-10-56-18,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L2,dataset_fase10_lote_10.csv,El bombin de la cerradura mecanica fue forzado con destornillador; las laminillas internas de combinacion estan dobladas y bloquean el giro de la llave original.,COLOQUIAL,COTIDIANO
F10-L10-0100,G-10-56-20,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L2,dataset_fase10_lote_10.csv,"La cerradura de la puerta del copiloto abre y cierra electricamente con el boton, pero la chapa mecanica tiene juego excesivo y la puerta hace ruido de sonajero en caminos de tierra.",COLOQUIAL,COTIDIANO
F10-L10-0103,G-10-56-23,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",L2,dataset_fase10_lote_10.csv,El cerrojo de seguridad de la guantera se quedo trabado en posicion cerrada; la manija de plastico gira libre sin retraer los pestillos laterales de enganche.,COLOQUIAL,COTIDIANO
F10-L10-0121,G-10-57-01,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,El vidrio de la ventana del conductor no quiere subir.,COLOQUIAL,COTIDIANO
F10-L10-0122,G-10-57-02,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,Se escucho un golpe seco dentro de la puerta y la luna se cayo sola.,COLOQUIAL,COTIDIANO
F10-L10-0123,G-10-57-03,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,Presiono el boton de la ventana y solo suena un crujido de cables adentro.,COLOQUIAL,COTIDIANO
F10-L10-0124,G-10-57-04,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,La ventana del copiloto sube muy chueca y se frena a mitad de camino.,COLOQUIAL,COTIDIANO
F10-L10-0125,G-10-57-05,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,El motor del alzacristales suena pero el vidrio no se mueve ni un centimetro.,COLOQUIAL,COTIDIANO
F10-L10-0126,G-10-57-06,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,No funciona la ventana trasera derecha con ningun interruptor.,COLOQUIAL,COTIDIANO
F10-L10-0127,G-10-57-07,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,Tengo que agarrar el vidrio con las dos manos y jalarlo hacia arriba para cerrarlo.,COLOQUIAL,COTIDIANO
F10-L10-0128,G-10-57-08,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,La ventana baja rapido pero para subir le cuesta una eternidad.,COLOQUIAL,COTIDIANO
F10-L10-0129,G-10-57-09,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,El boton del elevalunas en la consola se siente suelto y no hace contacto.,COLOQUIAL,COTIDIANO
F10-L10-0130,G-10-57-10,Elevalunas electrico o guaya de alzacristales rota o trabada,L1,dataset_fase10_lote_10.csv,Se cayo el vidrio dentro de la puerta y suena que raspa todo al andar.,COLOQUIAL,COTIDIANO
F10-L10-0138,G-10-57-18,Elevalunas electrico o guaya de alzacristales rota o trabada,L2,dataset_fase10_lote_10.csv,El cristal delantero derecho quedo suelto: se puede empujar hacia abajo con la palma de la mano con facilidad porque los pernos de fijacion de la mordaza inferior del vidrio se aflojaron.,COLOQUIAL,COTIDIANO
F10-L10-0142,G-10-57-22,Elevalunas electrico o guaya de alzacristales rota o trabada,L2,dataset_fase10_lote_10.csv,El vidrio llega arriba del todo pero emite un traqueteo tipo ametralladora continua sin detener el motor; el engranaje reductor de nylon tiene la corona dentada comida.,COLOQUIAL,COTIDIANO
F10-L10-0145,G-10-57-25,Elevalunas electrico o guaya de alzacristales rota o trabada,L2,dataset_fase10_lote_10.csv,"El motor alzacristales trasero hace clic pero no gira; al golpear levemente el panel interior con el puno el cristal baja de golpe, senal de escobillas pegadas por polvo.",COLOQUIAL,COTIDIANO
F10-L10-0161,G-10-58-01,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,Las plumillas del limpiaparabrisas no se mueven para nada.,COLOQUIAL,COTIDIANO
F10-L10-0162,G-10-58-02,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,Prendi el limpiaparabrisas bajo la lluvia y se quedo congelado a la mitad.,COLOQUIAL,COTIDIANO
F10-L10-0163,G-10-58-03,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,Se escucha el motor del limpiador zumbando pero las plumas no barren.,COLOQUIAL,COTIDIANO
F10-L10-0164,G-10-58-04,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,"Solo funciona la velocidad maxima del limpiaparabrisas, las demas estan muertas.",COLOQUIAL,COTIDIANO
F10-L10-0165,G-10-58-05,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,Las plumas se mueven hiper lentas y parece que se van a quemar.,COLOQUIAL,COTIDIANO
F10-L10-0166,G-10-58-06,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,Salio olor a plastico quemado cerca del parabrisas y dejaron de funcionar los limpiavidrios.,COLOQUIAL,COTIDIANO
F10-L10-0167,G-10-58-07,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,El limpiador trasero no barre el vidrio y se escucha trabado.,COLOQUIAL,COTIDIANO
F10-L10-0168,G-10-58-08,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,"Al apagar el limpiaparabrisas no regresa a su posicion abajo, se queda cruzado arriba.",COLOQUIAL,COTIDIANO
F10-L10-0169,G-10-58-09,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,Le doy a la palanca del volante y no hace nada el limpia parabrisas.,COLOQUIAL,COTIDIANO
F10-L10-0170,G-10-58-10,Limpiaparabrisas o motor pluma quemado,L1,dataset_fase10_lote_10.csv,Las escobillas del parabrisas vibran y se traban a medio barrido.,COLOQUIAL,COTIDIANO
F10-L10-0177,G-10-58-17,Limpiaparabrisas o motor pluma quemado,L2,dataset_fase10_lote_10.csv,Bajo lluvia fuerte las plumas barren con extrema lentitud tardando 8 segundos por ciclo; con la luna mojada y lubricada el motor apenas tiene fuerza para arrastrar el varillaje.,COLOQUIAL,COTIDIANO
F10-L10-0179,G-10-58-19,Limpiaparabrisas o motor pluma quemado,L2,dataset_fase10_lote_10.csv,El brazo del limpiaparabrisas del piloto barre hasta golpear el parante exterior izquierdo de la carroceria; la estria conica del eje estriado esta desgastada y safada.,COLOQUIAL,COTIDIANO
