id,tipo_caso,texto_ingresado,ground_truth,macro_sistema_esperado,top1_predicho_antes,confianza_antes,top1_correcto_antes,top1_predicho_despues,confianza_despues,top1_correcto_despues,top2_despues,conf2_despues,top3_despues,conf3_despues,top3_correcto_despues,macro_sistema_despues,macro_correcto_despues,dtc_codigo,rag_titulo_despues,rag_sim_despues,hit_1_despues,hit_3_despues,hit_5_despues,mrr_despues
STRESS_11,COLOQUIAL,"cada vez que piso el acelerador para adelantar a un camión el motor pierde fuerza, se atraca y empieza a cabecear bien feo",Falla en bujias o bobinas de encendido (misfire),MOTOR,Pendiente de comparar el modo de combustible,0.0,0,Falla en bujias o bobinas de encendido (misfire),0.8123,1,Bomba de gasolina quemada o con baja presion,0.122,Inyectores sucios o filtro de combustible obstruido,0.066,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),0.3611,0,1,1,0.3333
STRESS_12,COLOQUIAL,"por las mañanas el carro no quiere prender a la primera, tengo que darle arranque tres o cuatro veces bombeando para que recién tosa y encienda",Bomba de gasolina quemada o con baja presion,MOTOR,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.8626,0,Bomba de gasolina quemada o con baja presion,0.6938,1,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.199,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0.107,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.4193,1,1,1,1.0
STRESS_13,COLOQUIAL,cuando me quedo atrapado en el tráfico de la avenida la aguja de la temperatura se sube hasta arriba y hierve el depósito pero en pista libre se normaliza,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.9475,1,Falla en termostato o motoventilador de radiador,0.9475,1,Fuga en mangueras de refrigerante o radiador picado,0.034,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.018,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.7309,1,1,1,1.0
STRESS_14,COLOQUIAL,cuando agarro velocidad en la carretera y paso de los ochenta por hora el timón empieza a temblar fuerte en las manos pero si voy despacio no pasa nada,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Llantas desbalanceadas o desalineadas,0.9534,1,Llantas desbalanceadas o desalineadas,0.9534,1,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.033,Amortiguadores reventados o bujes de suspension gastados,0.017,1,SUSPENSION_CHASIS,1,N/A,PROCEDIMIENTO: BALANCEO DINÁMICO DE RUEDAS EN EQUILIBRADORA Y ALINEACIÓN LÁSER DE DIRECCIÓN (VIBRACIÓN A VELOCIDAD DE CRUCERO / JALONEO LATERAL),0.2894,1,1,1,1.0
STRESS_15,COLOQUIAL,al tocar el freno suena un chillido espantoso como fierro raspando fierro en la llanta derecha adelante,Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.914,1,Desgaste de pastillas y zapatas de freno,0.914,1,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.056,Amortiguadores reventados o bujes de suspension gastados,0.03,1,FRENOS,1,N/A,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.4379,1,1,1,1.0
STRESS_16,COLOQUIAL,"para salir en una subida acelero fuerte, el motor ruge pero el carro avanza lentito y sale un olor a quemado insoportable",Disco de embrague desgastado o patinando,TRANSMISION,Disco de embrague desgastado o patinando,0.9985,1,Disco de embrague desgastado o patinando,0.9985,1,Consumo de aceite por desgaste de anillos o retenes,0.033,Empaque de culata soplado o danado,0.017,1,TRANSMISION,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.8256,1,1,1,1.0
STRESS_17,COLOQUIAL,cuando me paro en la esquina con el motor prendido las luces del tablero se bajan y parpadean y en la radio se mete un zumbido,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9624,1,Alternador defectuoso o placa de diodos quemada,0.9624,1,Bateria descargada o bornes sulfatados,0.033,Fuga en mangueras de refrigerante o radiador picado,0.017,1,ELECTRICO,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.7857,1,1,1,1.0
STRESS_18,COLOQUIAL,iba manejando y de golpe el pedal del freno se fue todito hasta el piso bien esponjoso y casi no para,Fuga hidraulica o aire en el sistema de frenos,FRENOS,Fuga hidraulica o aire en el sistema de frenos,0.9858,1,Fuga hidraulica o aire en el sistema de frenos,0.9858,1,Falla en servofreno (booster) o linea de vacio,0.033,Fallo en inversor de corriente IGBT o motor electrico (EV),0.017,1,FRENOS,1,N/A,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),0.3212,1,1,1,1.0
STRESS_19,COLOQUIAL,"el carro prende normal en mi casa pero después de andar media hora lo apago en la tienda y ya no quiere prender, tengo que esperar que se enfríe media hora",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.6914,1,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.6914,1,Bomba de gasolina quemada o con baja presion,0.201,Falla en bujias o bobinas de encendido (misfire),0.108,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),0.4854,1,1,1,1.0
STRESS_20,COLOQUIAL,paso por cualquier bache o pista parchada y la trompa del carro rebota como lancha y suena un golpe seco cloc cloc,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9815,1,Amortiguadores reventados o bujes de suspension gastados,0.9815,1,Cremallera de direccion asistida con holgura o fuga,0.033,Juntas homocineticas o palieres danados,0.017,1,SUSPENSION_CHASIS,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.6466,1,1,1,1.0
STRESS_21,AMBIGUO,el carro levanta temperatura de la nada cuando voy manejando,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.7413,1,Falla en termostato o motoventilador de radiador,0.7413,1,Inyectores sucios o filtro de combustible obstruido,0.168,Amortiguadores reventados o bujes de suspension gastados,0.091,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.4741,1,1,1,1.0
STRESS_22,AMBIGUO,el carro no arranca cuando le doy a la llave,Bateria descargada o bornes sulfatados,ELECTRICO,Auto-pregunta técnica de descarte enviada,0.5355,0,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.5355,0,Bateria descargada o bornes sulfatados,0.302,Bomba de gasolina quemada o con baja presion,0.163,1,ELECTRICO,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.5466,1,1,1,1.0
STRESS_23,AMBIGUO,siento que el carro vibra cuando voy manejando,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Consulta Ambigua / Datos Faltantes,0.0,0,Consulta Ambigua / Datos Faltantes,0.0,0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,0,MOTOR,0,N/A,,0.0,0,1,1,0.5
STRESS_24,AMBIGUO,el motor ha perdido potencia y no jala como antes,Inyectores sucios o filtro de combustible obstruido,MOTOR,Falla en bujias o bobinas de encendido (misfire),0.5528,0,Falla en bujias o bobinas de encendido (misfire),0.5528,0,Inyectores sucios o filtro de combustible obstruido,0.291,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0.157,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),0.3328,1,1,1,1.0
STRESS_25,AMBIGUO,se escucha un zumbido raro adelante cuando avanzo,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,Bomba de gasolina quemada o con baja presion,0.8328,0,Bomba de gasolina quemada o con baja presion,0.8328,0,Falla en compresor de aire acondicionado o fuga de gas R134a,0.109,Faja o cadena de distribucion destensada o con salto de punto,0.059,0,MOTOR,0,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.5526,0,0,0,0.0
STRESS_26,AMBIGUO,el escape bota humo raro cuando acelero el motor,Consumo de aceite por desgaste de anillos o retenes,MOTOR,Consumo de aceite por desgaste de anillos o retenes,0.6521,1,Consumo de aceite por desgaste de anillos o retenes,0.6521,1,Empaque de culata soplado o danado,0.226,Falla en sensor de oxigeno o mezcla rica,0.122,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.359,0,1,1,0.5
STRESS_27,AMBIGUO,a veces los cambios se ponen duros y cuesta meter las marchas,Falta o degradacion de aceite de caja de cambios,TRANSMISION,Falta o degradacion de aceite de caja de cambios,0.6101,1,Falta o degradacion de aceite de caja de cambios,0.6101,1,Falla en bombin o bomba hidraulica de embrague,0.253,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),0.136,1,TRANSMISION,1,N/A,PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),0.3851,1,1,1,1.0
STRESS_28,AMBIGUO,siento que el carro me está consumiendo mucha gasolina últimamente,Falla en sensor de oxigeno o mezcla rica,MOTOR,Falla en sensor de oxigeno o mezcla rica,0.9854,1,Falla en sensor de oxigeno o mezcla rica,0.9854,1,Empaque de culata soplado o danado,0.033,Inyectores sucios o filtro de combustible obstruido,0.017,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.6957,1,1,1,1.0
STRESS_29,AMBIGUO,el carro pega unos tirones o sacudidas de repente cuando acelero,Falla en bujias o bobinas de encendido (misfire),MOTOR,Inyectores sucios o filtro de combustible obstruido,0.9755,0,Inyectores sucios o filtro de combustible obstruido,0.9755,0,Empaque de culata soplado o danado,0.033,Fuga en mangueras de intercooler o turbocompresor danado,0.017,0,MOTOR,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE TURBOALIMENTADOR, ACTUADOR ELECTRÓNICO WASTEGATE Y FUGAS DE PRESIÓN DE AIRE (DTC P0234 / P0299)",0.2419,0,0,0,0.0
STRESS_30,AMBIGUO,se siente un fuerte olor a gasolina por momentos cerca del motor,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,Auto-pregunta técnica de descarte enviada,0.4732,0,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.4732,1,Falla en sensor de oxigeno o mezcla rica,0.342,Falla en bujias o bobinas de encendido (misfire),0.184,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE SISTEMA DE EVAPORACIÓN DE EMISIONES (EVAP) Y PURGA DE CÁNISTER (DTC P0440 / P0442 / P0455 / P0456),0.6475,1,1,1,1.0
STRESS_31,DTC,Escaneo OBD-II arroja código P0301. El motor tironea al acelerar en subida y tiembla en ralentí.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.9836,1,Falla en bujias o bobinas de encendido (misfire),0.9836,1,Faja o cadena de distribucion destensada o con salto de punto,0.033,Inyectores sucios o filtro de combustible obstruido,0.017,1,MOTOR,1,P0301,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),1.0,1,1,1,1.0
STRESS_32,DTC,Se detectó código DTC P0171 sistema demasiado pobre en banco 1. El motor tiene ralentí inestable y consumo elevado.,Falla en sensor de oxigeno o mezcla rica,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.897,0,Falla en sensor de oxigeno o mezcla rica,0.84,1,Cuerpo de aceleracion o valvula IAC sucia,0.104,Inyectores sucios o filtro de combustible obstruido,0.056,1,MOTOR,1,P0171,PROCEDIMIENTO: DIAGNÓSTICO DE MEZCLA POBRE / RICA Y ANÁLISIS DE DATOS EN VIVO STFT & LTFT (DTC P0171 / P0172),0.8736,1,1,1,1.0
STRESS_33,DTC,Luz de Check Engine encendida con código de diagnóstico P0420 eficiencia de catalizador por debajo del umbral banco 1.,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0.7408,1,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0.7408,1,Falla en sensor de oxigeno o mezcla rica,0.168,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.091,1,MOTOR,1,P0420,PROCEDIMIENTO: DIAGNÓSTICO DE CONTRAPRESIÓN DE ESCAPE Y CATALIZADOR TAPONADO (DTC P0420 / P0430 / AUTO AMARRADO EN PISTA),1.0,1,1,1,1.0
STRESS_34,DTC,Presenta código de avería P0505 en sistema de control de ralentí. El motor se apaga repentinamente al frenar en las esquinas.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.9301,1,Cuerpo de aceleracion o valvula IAC sucia,0.9301,1,Discos de freno alabeados o desgastados,0.045,Falla en sensor de velocidad de rueda ABS,0.024,1,MOTOR,1,P0505,PROCEDIMIENTO: DIAGNÓSTICO Y CALIBRACIÓN DE CUERPO DE ACELERACIÓN ELECTRÓNICO Y VÁLVULA IAC (DTC P0505 / P2119),1.0,1,1,1,1.0
STRESS_35,DTC,El escáner registra código DTC P0335 circuito del sensor de posición del cigüeñal A. El motor gira pero no hay ignición.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9901,1,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9901,1,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0.033,Falla en bujias o bobinas de encendido (misfire),0.017,1,MOTOR,1,P0335,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),1.0,1,1,1,1.0
STRESS_36,DTC,Código DTC P0128 temperatura de refrigerante por debajo de la temperatura regulada por termostato. Calefacción no calienta.,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.6923,1,Falla en termostato o motoventilador de radiador,0.7073,1,Fuga en mangueras de refrigerante o radiador picado,0.19,Empaque de culata soplado o danado,0.102,1,MOTOR,1,P0128,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),1.0,1,1,1,1.0
STRESS_37,DTC,Registra código DTC P0562 tensión baja del sistema eléctrico. Las luces bajan de intensidad y los testigos del cuadro parpadean.,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9034,1,Alternador defectuoso o placa de diodos quemada,0.9034,1,Bateria descargada o bornes sulfatados,0.063,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),0.034,1,ELECTRICO,1,P0562,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",1.0,1,1,1,1.0
STRESS_38,DTC,Se lee código de chasis C0035 circuito del sensor de velocidad de rueda delantera izquierda ABS. Testigo ABS fijo en tablero.,Falla en sensor de velocidad de rueda ABS,FRENOS,Falla en sensor de velocidad de rueda ABS,0.9986,1,Falla en sensor de velocidad de rueda ABS,0.9986,1,Fuga hidraulica o aire en el sistema de frenos,0.033,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.017,1,FRENOS,1,C0035,PROCEDIMIENTO: PURGADO HIDRÁULICO DE MÓDULO DE CONTROL ABS Y DIAGNÓSTICO DE SENSORES DE RUEDA (DTC C0035 / C0040 / C1101),1.0,1,1,1,1.0
STRESS_39,DTC,Transmisión automática presenta código DTC P0730 relación de engranajes incorrecta. La caja patina y se protege en tercera.,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,0.6889,1,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,0.6889,1,Falta o degradacion de aceite de caja de cambios,0.202,Disco de embrague desgastado o patinando,0.109,1,TRANSMISION,1,P0730,PROCEDIMIENTO: MANTENIMIENTO Y CAMBIO DE FLUIDO ATF/CVT EN TRANSMISIÓN AUTOMÁTICA (DTC P0700 / P0730),1.0,1,1,1,1.0
STRESS_40,DTC,Escáner reporta código DTC P0455 fuga grande detectada en sistema de control de emisiones por evaporación EVAP y olor a combustible.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.9943,1,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.9943,1,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.033,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.017,1,MOTOR,1,P0455,PROCEDIMIENTO: DIAGNÓSTICO DE SISTEMA DE EVAPORACIÓN DE EMISIONES (EVAP) Y PURGA DE CÁNISTER (DTC P0440 / P0442 / P0455 / P0456),1.0,1,1,1,1.0
STRESS_41,DIFERENCIAL,"El motor recalienta. Se observa burbujeo constante de compresión en el vaso de expansión, mangueras duras a alta presión y aceite emulsionado color café con leche en la varilla.",Empaque de culata soplado o danado,MOTOR,Empaque de culata soplado o danado,0.9729,1,Empaque de culata soplado o danado,0.9729,1,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.033,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),0.017,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE ENFRIADOR DE ACEITE DE MOTOR Y JUNTA DE CULATA (CONTAMINACIÓN DE REFRIGERANTE / MAYONESA),0.4501,1,1,1,1.0
