lote,id,tipo,texto,ground_truth,macro_esperado,top1_predicho,confianza_top1,top2_predicho,confianza_top2,top3_predicho,confianza_top3,macro_predicho,top1_correcto,top3_correcto,macro_correcto
FASE_11_6_50_CASOS,STRESS_14,COLOQUIAL,cuando agarro velocidad en la carretera y paso de los ochenta por hora el timón empieza a temblar fuerte en las manos pero si voy despacio no pasa nada,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Llantas desbalanceadas o desalineadas,0.9534,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.033,Amortiguadores reventados o bujes de suspension gastados,0.017,SUSPENSION_CHASIS,1,1,1
FASE_11_6_50_CASOS,STRESS_15,COLOQUIAL,al tocar el freno suena un chillido espantoso como fierro raspando fierro en la llanta derecha adelante,Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.914,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.056,Amortiguadores reventados o bujes de suspension gastados,0.03,FRENOS,1,1,1
FASE_11_6_50_CASOS,STRESS_16,COLOQUIAL,"para salir en una subida acelero fuerte, el motor ruge pero el carro avanza lentito y sale un olor a quemado insoportable",Disco de embrague desgastado o patinando,TRANSMISION,Disco de embrague desgastado o patinando,0.9985,Consumo de aceite por desgaste de anillos o retenes,0.033,Empaque de culata soplado o danado,0.017,TRANSMISION,1,1,1
FASE_11_6_50_CASOS,STRESS_17,COLOQUIAL,cuando me paro en la esquina con el motor prendido las luces del tablero se bajan y parpadean y en la radio se mete un zumbido,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9624,Bateria descargada o bornes sulfatados,0.033,Fuga en mangueras de refrigerante o radiador picado,0.017,ELECTRICO,1,1,1
FASE_11_6_50_CASOS,STRESS_18,COLOQUIAL,iba manejando y de golpe el pedal del freno se fue todito hasta el piso bien esponjoso y casi no para,Fuga hidraulica o aire en el sistema de frenos,FRENOS,Fuga hidraulica o aire en el sistema de frenos,0.9858,Falla en servofreno (booster) o linea de vacio,0.033,Fallo en inversor de corriente IGBT o motor electrico (EV),0.017,FRENOS,1,1,1
FASE_11_6_50_CASOS,STRESS_19,COLOQUIAL,"el carro prende normal en mi casa pero después de andar media hora lo apago en la tienda y ya no quiere prender, tengo que esperar que se enfríe media hora",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.6914,Bomba de gasolina quemada o con baja presion,0.201,Falla en bujias o bobinas de encendido (misfire),0.108,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_20,COLOQUIAL,paso por cualquier bache o pista parchada y la trompa del carro rebota como lancha y suena un golpe seco cloc cloc,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9815,Cremallera de direccion asistida con holgura o fuga,0.033,Juntas homocineticas o palieres danados,0.017,SUSPENSION_CHASIS,1,1,1
FASE_11_6_50_CASOS,STRESS_21,AMBIGUO,el carro levanta temperatura de la nada cuando voy manejando,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.7413,Inyectores sucios o filtro de combustible obstruido,0.168,Amortiguadores reventados o bujes de suspension gastados,0.091,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_22,AMBIGUO,el carro no arranca cuando le doy a la llave,Bateria descargada o bornes sulfatados,ELECTRICO,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.5355,Bateria descargada o bornes sulfatados,0.302,Bomba de gasolina quemada o con baja presion,0.163,ELECTRICO,0,1,1
FASE_11_6_50_CASOS,STRESS_23,AMBIGUO,siento que el carro vibra cuando voy manejando,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Consulta Ambigua / Datos Faltantes,0.0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,MOTOR,0,0,0
FASE_11_6_50_CASOS,STRESS_24,AMBIGUO,el motor ha perdido potencia y no jala como antes,Inyectores sucios o filtro de combustible obstruido,MOTOR,Falla en bujias o bobinas de encendido (misfire),0.5528,Inyectores sucios o filtro de combustible obstruido,0.291,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0.157,MOTOR,0,1,1
FASE_11_6_50_CASOS,STRESS_25,AMBIGUO,se escucha un zumbido raro adelante cuando avanzo,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,Bomba de gasolina quemada o con baja presion,0.8328,Falla en compresor de aire acondicionado o fuga de gas R134a,0.109,Faja o cadena de distribucion destensada o con salto de punto,0.059,MOTOR,0,0,0
FASE_11_6_50_CASOS,STRESS_26,AMBIGUO,el escape bota humo raro cuando acelero el motor,Consumo de aceite por desgaste de anillos o retenes,MOTOR,Consumo de aceite por desgaste de anillos o retenes,0.6521,Empaque de culata soplado o danado,0.226,Falla en sensor de oxigeno o mezcla rica,0.122,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_27,AMBIGUO,a veces los cambios se ponen duros y cuesta meter las marchas,Falta o degradacion de aceite de caja de cambios,TRANSMISION,Falta o degradacion de aceite de caja de cambios,0.6101,Falla en bombin o bomba hidraulica de embrague,0.253,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),0.136,TRANSMISION,1,1,1
FASE_11_6_50_CASOS,STRESS_28,AMBIGUO,siento que el carro me está consumiendo mucha gasolina últimamente,Falla en sensor de oxigeno o mezcla rica,MOTOR,Falla en sensor de oxigeno o mezcla rica,0.9854,Empaque de culata soplado o danado,0.033,Inyectores sucios o filtro de combustible obstruido,0.017,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_29,AMBIGUO,el carro pega unos tirones o sacudidas de repente cuando acelero,Falla en bujias o bobinas de encendido (misfire),MOTOR,Inyectores sucios o filtro de combustible obstruido,0.9755,Empaque de culata soplado o danado,0.033,Fuga en mangueras de intercooler o turbocompresor danado,0.017,MOTOR,0,0,1
FASE_11_6_50_CASOS,STRESS_30,AMBIGUO,se siente un fuerte olor a gasolina por momentos cerca del motor,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.4732,Falla en sensor de oxigeno o mezcla rica,0.342,Falla en bujias o bobinas de encendido (misfire),0.184,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_31,DTC,Escaneo OBD-II arroja código P0301. El motor tironea al acelerar en subida y tiembla en ralentí.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.9836,Faja o cadena de distribucion destensada o con salto de punto,0.033,Inyectores sucios o filtro de combustible obstruido,0.017,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_32,DTC,Se detectó código DTC P0171 sistema demasiado pobre en banco 1. El motor tiene ralentí inestable y consumo elevado.,Falla en sensor de oxigeno o mezcla rica,MOTOR,Falla en sensor de oxigeno o mezcla rica,0.84,Cuerpo de aceleracion o valvula IAC sucia,0.104,Inyectores sucios o filtro de combustible obstruido,0.056,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_33,DTC,Luz de Check Engine encendida con código de diagnóstico P0420 eficiencia de catalizador por debajo del umbral banco 1.,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0.7408,Falla en sensor de oxigeno o mezcla rica,0.168,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.091,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_34,DTC,Presenta código de avería P0505 en sistema de control de ralentí. El motor se apaga repentinamente al frenar en las esquinas.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.9301,Discos de freno alabeados o desgastados,0.045,Falla en sensor de velocidad de rueda ABS,0.024,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_35,DTC,El escáner registra código DTC P0335 circuito del sensor de posición del cigüeñal A. El motor gira pero no hay ignición.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9901,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0.033,Falla en bujias o bobinas de encendido (misfire),0.017,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_36,DTC,Código DTC P0128 temperatura de refrigerante por debajo de la temperatura regulada por termostato. Calefacción no calienta.,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.7073,Fuga en mangueras de refrigerante o radiador picado,0.19,Empaque de culata soplado o danado,0.102,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_37,DTC,Registra código DTC P0562 tensión baja del sistema eléctrico. Las luces bajan de intensidad y los testigos del cuadro parpadean.,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9034,Bateria descargada o bornes sulfatados,0.063,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),0.034,ELECTRICO,1,1,1
FASE_11_6_50_CASOS,STRESS_38,DTC,Se lee código de chasis C0035 circuito del sensor de velocidad de rueda delantera izquierda ABS. Testigo ABS fijo en tablero.,Falla en sensor de velocidad de rueda ABS,FRENOS,Falla en sensor de velocidad de rueda ABS,0.9986,Fuga hidraulica o aire en el sistema de frenos,0.033,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.017,FRENOS,1,1,1
FASE_11_6_50_CASOS,STRESS_39,DTC,Transmisión automática presenta código DTC P0730 relación de engranajes incorrecta. La caja patina y se protege en tercera.,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,0.6889,Falta o degradacion de aceite de caja de cambios,0.202,Disco de embrague desgastado o patinando,0.109,TRANSMISION,1,1,1
FASE_11_6_50_CASOS,STRESS_40,DTC,Escáner reporta código DTC P0455 fuga grande detectada en sistema de control de emisiones por evaporación EVAP y olor a combustible.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.9943,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.033,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.017,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_41,DIFERENCIAL,"El motor recalienta. Se observa burbujeo constante de compresión en el vaso de expansión, mangueras duras a alta presión y aceite emulsionado color café con leche en la varilla.",Empaque de culata soplado o danado,MOTOR,Empaque de culata soplado o danado,0.9729,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.033,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),0.017,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_42,DIFERENCIAL,"El motor sube temperatura por pérdida de refrigerante. El aceite de motor está completamente limpio y negro, pero hay goteo verde constante por fisura visible en el panel del radiador y charco abajo.",Fuga en mangueras de refrigerante o radiador picado,MOTOR,Fuga en mangueras de refrigerante o radiador picado,0.8816,Empaque de culata soplado o danado,0.077,Falla en termostato o motoventilador de radiador,0.041,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_43,DIFERENCIAL,"Consumo excesivo y humo negro por escape. El manómetro de combustible confirma 45 psi estables y filtro nuevo, pero el sensor lambda oscila trabado en 0.9V con STFT en -22% de corrección.",Falla en sensor de oxigeno o mezcla rica,MOTOR,Falla en sensor de oxigeno o mezcla rica,0.88,Falla en regulador de presion de combustible o diafragma roto,0.078,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),0.042,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_44,DIFERENCIAL,"Vibración en el volante únicamente al rodar a 95 km/h en autopista lisa perfecta. Rótulas, terminales y bieletas están firmes sin holgura y al pisar el freno no vibra en absoluto.",Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Llantas desbalanceadas o desalineadas,0.9962,Juntas homocineticas o palieres danados,0.033,Discos de freno alabeados o desgastados,0.017,SUSPENSION_CHASIS,1,1,1
FASE_11_6_50_CASOS,STRESS_45,DIFERENCIAL,"El carro amaneció sin energía. La batería se instaló nueva hace 3 días, pero con motor encendido el alternador solo entrega 11.9V sin cargar el acumulador al prender los faros.",Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.8143,Bateria descargada o bornes sulfatados,0.121,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.065,ELECTRICO,1,1,1
FASE_11_6_50_CASOS,STRESS_46,DIFERENCIAL,"El motor se apaga repentinamente al calentar a 90°C. La bomba de combustible sigue zumbando con 50 psi constantes en el riel, pero la aguja de RPM cae a cero en seco y no hay pulso de chispa.",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.6224,Bomba de gasolina quemada o con baja presion,0.245,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.132,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_47,DIFERENCIAL,"Tironeo en cilindro 2. Se instalaron 4 bujías de iridio nuevas calibradas a 0.040 pulgadas, pero la falla de chispa continúa en el cilindro 2 y desaparece al cambiar la bobina individual.",Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.75,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.163,DESCONOCIDO,0.0,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_48,DIFERENCIAL,El vehículo tiene ralentí inestable oscilante y se apaga al desacelerar. La mariposa de aceleración tiene gruesa capa de carbón que traba su cierre mecánico en un motor sin sensor MAF de hilo.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.8046,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),0.127,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.068,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_49,DIFERENCIAL,El motor queda acelerado a 1900 RPM fijas y no baja. Se escucha un siseo de aire constante cerca del múltiple de admisión y al tapar la manguera del servofreno el motor recupera su ralentí normal.,Falla en servofreno (booster) o linea de vacio,FRENOS,Falla en servofreno (booster) o linea de vacio,0.6978,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.196,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.106,FRENOS,1,1,1
FASE_11_6_50_CASOS,STRESS_50,DIFERENCIAL,Al acelerar en carretera en 3ra o 4ta marcha el motor sube de vueltas en vacío sin transmitir fuerza a las ruedas. La caja mecánica no presenta zumbido de engranajes y los cambios entran suaves.,Disco de embrague desgastado o patinando,TRANSMISION,Disco de embrague desgastado o patinando,0.84,Rodajes de transmision manual o eje primario gastados,0.104,Falta o degradacion de aceite de caja de cambios,0.056,TRANSMISION,1,1,1
FASE_11_6_2_BLIND_50,BLIND_01,TECNICO,Prueba de caudal de retorno en probetas graduadas arroja 85 ml/min en cilindro 4 frente a 15 ml/min en los restantes bajo presión de 1350 bar en rampa common rail.,Inyectores sucios o filtro de combustible obstruido,MOTOR,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),0.9775,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.033,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.017,MOTOR,0,0,1
FASE_11_6_2_BLIND_50,BLIND_02,TECNICO,"Al bombear el pedal de freno con motor apagado la altura se mantiene, pero al encender el motor el pedal desciende gradualmente hasta el piso sin registrar fugas externas en tuberías ni mordazas.",Fuga hidraulica o aire en el sistema de frenos,FRENOS,Fuga hidraulica o aire en el sistema de frenos,0.9075,Discos de freno alabeados o desgastados,0.06,Falla en servofreno (booster) o linea de vacio,0.032,FRENOS,1,1,1
FASE_11_6_2_BLIND_50,BLIND_03,TECNICO,En fosa de alineación con placas de holgura se evidencia juego axial de 3.5 mm en la rótula de suspensión inferior derecha al palanquear el brazo oscilante.,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9754,Limpiaparabrisas o motor pluma quemado,0.033,Juntas homocineticas o palieres danados,0.017,SUSPENSION_CHASIS,1,1,1
FASE_11_6_2_BLIND_50,BLIND_04,TECNICO,Prueba de conductancia con analizador digital de baterías reporta 210 CCA en batería etiquetada de 650 CCA con resistencia interna elevada a 28 miliohmios y 12.2V en reposo tras carga completa.,Bateria descargada o bornes sulfatados,ELECTRICO,Bateria descargada o bornes sulfatados,0.6015,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.259,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),0.139,ELECTRICO,1,1,1
FASE_11_6_2_BLIND_50,BLIND_05,TECNICO,El detector químico de fugas de combustión con líquido azul bromotimol vira a color amarillo verdoso en la boca de llenado del radiador al acelerar a 2000 RPM.,Empaque de culata soplado o danado,MOTOR,Fuga en mangueras de refrigerante o radiador picado,0.7984,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.131,Empaque de culata soplado o danado,0.071,MOTOR,0,1,1
FASE_11_6_2_BLIND_50,BLIND_06,TECNICO,Al drenar el lubricante de la transmisión manual se extrae apenas 600 ml de valvolina quemada con presencia visible de viruta metálica dorada de los anillos sincronizadores de segunda y tercera marcha.,Falta o degradacion de aceite de caja de cambios,TRANSMISION,Falta o degradacion de aceite de caja de cambios,0.9797,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,0.033,Rodajes de transmision manual o eje primario gastados,0.017,TRANSMISION,1,1,1
FASE_11_6_2_BLIND_50,BLIND_07,TECNICO,El osciloscopio en el conector del motor paso a paso de ralentí IAC muestra pulso PWM constante pero el obturador cónico permanece atascado mecánicamente en su asiento por lodo aceitoso.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.2632,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.479,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.258,MOTOR,0,0,1
FASE_11_6_2_BLIND_50,BLIND_08,TECNICO,"El vacuómetro conectado entre el múltiple de admisión y el servofreno booster marca 19 inHg estables, pero al pisar el pedal se oye escape de aire en el habitáculo y el vacío cae a cero.",Falla en servofreno (booster) o linea de vacio,FRENOS,Falla en servofreno (booster) o linea de vacio,0.9965,Fuga hidraulica o aire en el sistema de frenos,0.033,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0.017,FRENOS,1,1,1
FASE_11_6_2_BLIND_50,BLIND_09,TECNICO,Al registrar simultáneamente con osciloscopio la señal digital del CMP de árbol de levas y la rueda fónica del CKP se observa desfase de 18 grados por estiramiento de la cadena de distribución.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Faja o cadena de distribucion destensada o con salto de punto,0.4982,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.326,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),0.176,MOTOR,0,1,1
FASE_11_6_2_BLIND_50,BLIND_10,TECNICO,Caída de tensión entre terminal 30 y terminal M del solenoide de arranque mide 11.4V con llave en START pero el inducido del motor de arranque no gira y los carbones miden 3 mm de longitud.,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.9727,Bateria descargada o bornes sulfatados,0.033,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.017,ELECTRICO,1,1,1
FASE_11_6_2_BLIND_50,BLIND_11,COLOQUIAL,"Compadre, cada vez que salgo a la Panamericana y agarro entre 80 y 100 por hora el volante me tiembla como lavadora centrifugando, pero si bajo a 60 se calma solito.",Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Llantas desbalanceadas o desalineadas,0.973,Amortiguadores reventados o bujes de suspension gastados,0.033,Juntas homocineticas o palieres danados,0.017,SUSPENSION_CHASIS,1,1,1
FASE_11_6_2_BLIND_50,BLIND_12,COLOQUIAL,"El carro anda en tres patas, tiembla todo el motor como si quisiera saltar del capot y cuando acelero huele a gasolina cruda por el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.6613,Empaque de culata soplado o danado,0.22,Falla en regulador de presion de combustible o diafragma roto,0.119,MOTOR,1,1,1
FASE_11_6_2_BLIND_50,BLIND_13,COLOQUIAL,"Maestro, cuando voy a estacionar y piso despacito el freno suena como si estuviera afilando un cuchillo viejo, un chillido bien agudo que da vergüenza.",Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.9989,Falla en servofreno (booster) o linea de vacio,0.033,Falla en sistema de frenado regenerativo (EV / Hibridos),0.017,FRENOS,1,1,1
