﻿id,tipo_caso,texto_ingresado,ground_truth,macro_sistema_esperado,top1_predicho,confianza_top1,top2_predicho,confianza_top2,top3_predicho,confianza_top3,macro_sistema_predicho,top1_correcto,top3_correcto,macro_correcto,dtc_codigo,resultado_rag,documento_recuperado,similitud_rag,hit_at_1_rag,hit_at_3_rag,hit_at_5_rag,mrr_rag,tiempo_ml_ms,tiempo_rag_ms,tiempo_total_ms,respuesta_final_chatbot
STRESS_11,COLOQUIAL,"cada vez que piso el acelerador para adelantar a un camión el motor pierde fuerza, se atraca y empieza a cabecear bien feo",Falla en bujias o bobinas de encendido (misfire),MOTOR,Pendiente de comparar el modo de combustible,0.0,N/A,0.0,N/A,0.0,MOTOR,0,0,1,N/A,,RAG_PROC_088,0.1028,0,1,1,0.3333,0,0,0,"🔎 ¿Usa *GNV*, *GLP* o gasolina? ¿En cuál presenta la falla?..."
STRESS_12,COLOQUIAL,"por las mañanas el carro no quiere prender a la primera, tengo que darle arranque tres o cuatro veces bombeando para que recién tosa y encienda",Bomba de gasolina quemada o con baja presion,MOTOR,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.8626,Bateria descargada o bornes sulfatados,0.089,Falla en bombin o bomba hidraulica de embrague,0.048,ELECTRICO,0,0,0,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",RAG_PROC_216,0.6345,0,0,0,0.0,28,3,34,⏳ *Analizando consulta (cola #1)* Hipótesis preliminar ML: *Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados)* (86%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_13,COLOQUIAL,cuando me quedo atrapado en el tráfico de la avenida la aguja de la temperatura se sube hasta arriba y hierve el depósito pero en pista libre se normaliza,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.9475,Fuga en mangueras de refrigerante o radiador picado,0.034,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.018,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),RAG_PROC_068,0.7309,1,1,1,1.0,29,3,36,⏳ *Analizando consulta (cola #2)* Hipótesis preliminar ML: *Falla en termostato o motoventilador de radiador* (94%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_14,COLOQUIAL,cuando agarro velocidad en la carretera y paso de los ochenta por hora el timón empieza a temblar fuerte en las manos pero si voy despacio no pasa nada,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Llantas desbalanceadas o desalineadas,0.9534,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.033,Amortiguadores reventados o bujes de suspension gastados,0.017,SUSPENSION_CHASIS,1,1,1,N/A,PROCEDIMIENTO: BALANCEO DINÁMICO DE RUEDAS EN EQUILIBRADORA Y ALINEACIÓN LÁSER DE DIRECCIÓN (VIBRACIÓN A VELOCIDAD DE CRUCERO / JALONEO LATERAL),RAG_PROC_201,0.2894,1,1,1,1.0,29,3,36,⏳ *Analizando consulta (cola #3)* Hipótesis preliminar ML: *Llantas desbalanceadas o desalineadas* (95%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_15,COLOQUIAL,al tocar el freno suena un chillido espantoso como fierro raspando fierro en la llanta derecha adelante,Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.914,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.056,Amortiguadores reventados o bujes de suspension gastados,0.03,FRENOS,1,1,1,N/A,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),RAG_PROC_231,0.4379,1,1,1,1.0,28,3,34,⏳ *Analizando consulta (cola #4)* Hipótesis preliminar ML: *Desgaste de pastillas y zapatas de freno* (91%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_16,COLOQUIAL,"para salir en una subida acelero fuerte, el motor ruge pero el carro avanza lentito y sale un olor a quemado insoportable",Disco de embrague desgastado o patinando,TRANSMISION,Disco de embrague desgastado o patinando,0.9985,Consumo de aceite por desgaste de anillos o retenes,0.033,Empaque de culata soplado o danado,0.017,TRANSMISION,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,RAG_PROC_203,0.8256,1,1,1,1.0,34,3,42,⏳ *Analizando consulta (cola #5)* Hipótesis preliminar ML: *Disco de embrague desgastado o patinando* (99%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_17,COLOQUIAL,cuando me paro en la esquina con el motor prendido las luces del tablero se bajan y parpadean y en la radio se mete un zumbido,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9624,Bateria descargada o bornes sulfatados,0.033,Fuga en mangueras de refrigerante o radiador picado,0.017,ELECTRICO,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",RAG_PROC_040,0.7857,1,1,1,1.0,38,3,45,⏳ *Analizando consulta (cola #6)* Hipótesis preliminar ML: *Alternador defectuoso o placa de diodos quemada* (96%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_18,COLOQUIAL,iba manejando y de golpe el pedal del freno se fue todito hasta el piso bien esponjoso y casi no para,Fuga hidraulica o aire en el sistema de frenos,FRENOS,Fuga hidraulica o aire en el sistema de frenos,0.9858,Falla en servofreno (booster) o linea de vacio,0.033,Fallo en inversor de corriente IGBT o motor electrico (EV),0.017,FRENOS,1,1,1,N/A,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),RAG_PROC_220,0.3212,1,1,1,1.0,36,5,45,⏳ *Analizando consulta (cola #7)* Hipótesis preliminar ML: *Fuga hidraulica o aire en el sistema de frenos* (98%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_19,COLOQUIAL,"el carro prende normal en mi casa pero después de andar media hora lo apago en la tienda y ya no quiere prender, tengo que esperar que se enfríe media hora",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.6914,Bomba de gasolina quemada o con baja presion,0.201,Falla en bujias o bobinas de encendido (misfire),0.108,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),RAG_PROC_014,0.4854,1,1,1,1.0,36,5,45,"⏳ *Analizando consulta (cola #8)* Hipótesis preliminar ML: *Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP)* (69%). Al ser confianza media (<70%), se contrastará con manuales y pruebas de taller. En breve recibirás el resumen; el detalle quedará en el panel...."
STRESS_20,COLOQUIAL,paso por cualquier bache o pista parchada y la trompa del carro rebota como lancha y suena un golpe seco cloc cloc,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9815,Cremallera de direccion asistida con holgura o fuga,0.033,Juntas homocineticas o palieres danados,0.017,SUSPENSION_CHASIS,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",RAG_PROC_204,0.6466,1,1,1,1.0,42,3,49,⏳ *Analizando consulta (cola #9)* Hipótesis preliminar ML: *Amortiguadores reventados o bujes de suspension gastados* (98%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_21,AMBIGUO,el carro levanta temperatura de la nada cuando voy manejando,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.7413,Inyectores sucios o filtro de combustible obstruido,0.168,Amortiguadores reventados o bujes de suspension gastados,0.091,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),RAG_PROC_068,0.4741,1,1,1,1.0,31,3,38,⏳ *Analizando consulta (cola #10)* Hipótesis preliminar ML: *Falla en termostato o motoventilador de radiador* (74%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_22,AMBIGUO,el carro no arranca cuando le doy a la llave,Bateria descargada o bornes sulfatados,ELECTRICO,Auto-pregunta técnica de descarte enviada,0.5355,Bateria descargada o bornes sulfatados,0.4452,Bomba de gasolina quemada o con baja presion,0.0131,ELECTRICO,0,1,1,N/A,,RAG_PROC_216,0.5466,0,0,0,0.0,30,0,31,🤖 🔍 Para precisar el origen del problema de arranque:  • 1️⃣ Al girar la llave solo suena un chasquido 'clac' seco pero las luces quedan encendidas (Motor de arranque / Solenoide) — 54% • 2️⃣ Las luces del tablero se apagan o parpadean al dar arranque y suena arrastrado (Batería descargada) — 45% • ...
STRESS_23,AMBIGUO,siento que el carro vibra cuando voy manejando,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Consulta Ambigua / Datos Faltantes,0.0,N/A,0.0,N/A,0.0,SUSPENSION_CHASIS,0,0,1,N/A,,RAG_PROC_201,0.1865,1,1,1,1.0,0,0,0,"🔎 ¿Vibra al frenar, a cierta velocidad o en mínimo?..."
STRESS_24,AMBIGUO,el motor ha perdido potencia y no jala como antes,Inyectores sucios o filtro de combustible obstruido,MOTOR,Falla en bujias o bobinas de encendido (misfire),0.5528,Inyectores sucios o filtro de combustible obstruido,0.291,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,0.157,MOTOR,0,1,1,N/A,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),RAG_PROC_036,0.3328,0,0,0,0.0,31,3,37,"⏳ *Analizando consulta (cola #11)* Hipótesis preliminar ML: *Falla en bujias o bobinas de encendido (misfire)* (55%). Al ser confianza media (<70%), se contrastará con manuales y pruebas de taller. En breve recibirás el resumen; el detalle quedará en el panel...."
STRESS_25,AMBIGUO,se escucha un zumbido raro adelante cuando avanzo,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,Bomba de gasolina quemada o con baja presion,0.8328,Falla en compresor de aire acondicionado o fuga de gas R134a,0.109,Faja o cadena de distribucion destensada o con salto de punto,0.059,MOTOR,0,0,0,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),RAG_PROC_088,0.5526,0,0,0,0.0,32,3,38,⏳ *Analizando consulta (cola #12)* Hipótesis preliminar ML: *Bomba de gasolina quemada o con baja presion* (83%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_26,AMBIGUO,el escape bota humo raro cuando acelero el motor,Consumo de aceite por desgaste de anillos o retenes,MOTOR,Consumo de aceite por desgaste de anillos o retenes,0.6521,Empaque de culata soplado o danado,0.226,Falla en sensor de oxigeno o mezcla rica,0.122,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),RAG_PROC_071,0.3668,0,1,1,0.5,32,3,38,"⏳ *Analizando consulta (cola #13)* Hipótesis preliminar ML: *Consumo de aceite por desgaste de anillos o retenes* (65%). Al ser confianza media (<70%), se contrastará con manuales y pruebas de taller. En breve recibirás el resumen; el detalle quedará en el panel...."
STRESS_27,AMBIGUO,a veces los cambios se ponen duros y cuesta meter las marchas,Falta o degradacion de aceite de caja de cambios,TRANSMISION,Falta o degradacion de aceite de caja de cambios,0.6101,Falla en bombin o bomba hidraulica de embrague,0.253,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),0.136,TRANSMISION,1,1,1,N/A,PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),RAG_PROC_039,0.3851,1,1,1,1.0,30,3,36,"⏳ *Analizando consulta (cola #14)* Hipótesis preliminar ML: *Falta o degradacion de aceite de caja de cambios* (61%). Al ser confianza media (<70%), se contrastará con manuales y pruebas de taller. En breve recibirás el resumen; el detalle quedará en el panel...."
STRESS_28,AMBIGUO,siento que el carro me está consumiendo mucha gasolina últimamente,Falla en sensor de oxigeno o mezcla rica,MOTOR,Falla en sensor de oxigeno o mezcla rica,0.9854,Empaque de culata soplado o danado,0.033,Inyectores sucios o filtro de combustible obstruido,0.017,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),RAG_PROC_071,0.6957,1,1,1,1.0,32,4,40,⏳ *Analizando consulta (cola #15)* Hipótesis preliminar ML: *Falla en sensor de oxigeno o mezcla rica* (98%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_29,AMBIGUO,el carro pega unos tirones o sacudidas de repente cuando acelero,Falla en bujias o bobinas de encendido (misfire),MOTOR,Inyectores sucios o filtro de combustible obstruido,0.9755,Empaque de culata soplado o danado,0.033,Fuga en mangueras de intercooler o turbocompresor danado,0.017,MOTOR,0,0,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE TURBOALIMENTADOR, ACTUADOR ELECTRÓNICO WASTEGATE Y FUGAS DE PRESIÓN DE AIRE (DTC P0234 / P0299)",RAG_PROC_078,0.2455,0,0,0,0.0,28,3,39,⏳ *Analizando consulta (cola #16)* Hipótesis preliminar ML: *Inyectores sucios o filtro de combustible obstruido* (97%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_30,AMBIGUO,se siente un fuerte olor a gasolina por momentos cerca del motor,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,Auto-pregunta técnica de descarte enviada,0.4732,Falla en sensor de oxigeno o mezcla rica,0.4717,Falla en bujias o bobinas de encendido (misfire),0.0453,MOTOR,0,1,1,N/A,,RAG_PROC_075,0.6475,1,1,1,1.0,30,0,31,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Tironea o huele a nafta inmediatamente después de llenar el tanque (Sistema EVAP / Cánister) — 47% • 2️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 47% • 3️⃣ Jalon..."
STRESS_31,DTC,Escaneo OBD-II arroja código P0301. El motor tironea al acelerar en subida y tiembla en ralentí.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.9836,Faja o cadena de distribucion destensada o con salto de punto,0.033,Inyectores sucios o filtro de combustible obstruido,0.017,MOTOR,1,1,1,P0301,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),RAG_PROC_010,1.0,1,1,1,1.0,35,3,44,⏳ *Analizando consulta (cola #17)* Hipótesis preliminar ML: *Falla en bujias o bobinas de encendido (misfire)* (98%). En breve recibirás el resumen; el detalle quedará en el panel....
STRESS_32,DTC,Se detectó código DTC P0171 sistema demasiado pobre en banco 1. El motor tiene ralentí inestable y consumo elevado.,Falla en sensor de oxigeno o mezcla rica,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.897,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),0.067,Inyectores sucios o filtro de combustible obstruido,0.036,MOTOR,0,0,1,P0171,PROCEDIMIENTO: DIAGNÓSTICO DE MEZCLA POBRE / RICA Y ANÁLISIS DE DATOS EN VIVO STFT & LTFT (DTC P0171 / P0172),RAG_PROC_018,0.8736,1,1,1,1.0,36,3,45,⏳ *Analizando consulta (cola #18)* Hipótesis preliminar ML: *Cuerpo de aceleracion o valvula IAC sucia* (89%). En breve recibirás el resumen; el detalle quedará en el panel....
