id,tipo_caso,texto_ingresado,ground_truth,macro_sistema_esperado,top1_predicho,confianza_top1,top2_predicho,confianza_top2,top3_predicho,confianza_top3,macro_sistema_predicho,top1_correcto,top3_correcto,macro_correcto,dtc_codigo,rag_titulo,rag_similitud,hit_1_rag,hit_3_rag,hit_5_rag,mrr_rag,tiempo_ms
BLIND_11,COLOQUIAL,"Compadre, cada vez que salgo a la Panamericana y agarro entre 80 y 100 por hora el volante me tiembla como lavadora centrifugando, pero si bajo a 60 se calma solito.",Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Llantas desbalanceadas o desalineadas,0.973,Amortiguadores reventados o bujes de suspension gastados,0.033,Juntas homocineticas o palieres danados,0.017,SUSPENSION_CHASIS,1,1,1,N/A,PROCEDIMIENTO: BALANCEO DINÁMICO DE RUEDAS EN EQUILIBRADORA Y ALINEACIÓN LÁSER DE DIRECCIÓN (VIBRACIÓN A VELOCIDAD DE CRUCERO / JALONEO LATERAL),0.3624,1,1,1,1.0,33
BLIND_12,COLOQUIAL,"El carro anda en tres patas, tiembla todo el motor como si quisiera saltar del capot y cuando acelero huele a gasolina cruda por el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.6613,Empaque de culata soplado o danado,0.22,Falla en regulador de presion de combustible o diafragma roto,0.119,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),0.2326,0,1,1,0.5,53
BLIND_13,COLOQUIAL,"Maestro, cuando voy a estacionar y piso despacito el freno suena como si estuviera afilando un cuchillo viejo, un chillido bien agudo que da vergüenza.",Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.9989,Falla en servofreno (booster) o linea de vacio,0.033,Falla en sistema de frenado regenerativo (EV / Hibridos),0.017,FRENOS,1,1,1,N/A,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.4129,1,1,1,1.0,59
BLIND_14,COLOQUIAL,"Quiero adelantar en una subida empinada, piso a fondo el acelerador, el motor ruge a todo dar pero el auto parece carreta y no tiene pique ni avanza.",Disco de embrague desgastado o patinando,TRANSMISION,Disco de embrague desgastado o patinando,0.6592,Bomba de gasolina quemada o con baja presion,0.222,Inyectores sucios o filtro de combustible obstruido,0.119,TRANSMISION,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.6539,1,1,1,1.0,43
BLIND_15,COLOQUIAL,"Si estoy andando rápido en pista libre la temperatura está en la mitad bien bonita, pero apenas me meto al tráfico pesado se dispara la aguja al rojo y bota agua.",Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.8467,Empaque de culata soplado o danado,0.1,Fuga en mangueras de refrigerante o radiador picado,0.054,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.6236,1,1,1,1.0,59
BLIND_16,COLOQUIAL,"De noche cuando prendo las luces y el aire el carro se siente pesado, la luz del tablero parpadea tenue y en la pantalla del estéreo sale aviso de batería.",Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.7162,Bateria descargada o bornes sulfatados,0.184,Falla en compresor de aire acondicionado o fuga de gas R134a,0.099,ELECTRICO,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.6815,1,1,1,1.0,53
BLIND_17,COLOQUIAL,"El carro me deja botado cuando le queda un cuarto de tanque en subidas, empieza a toser como si se quedara sin combustible y en los asientos de atrás se siente un zumbido fuerte.",Bomba de gasolina quemada o con baja presion,MOTOR,Bomba de gasolina quemada o con baja presion,0.9177,Falla en bujias o bobinas de encendido (misfire),0.053,Consumo de aceite por desgaste de anillos o retenes,0.029,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.6098,1,1,1,1.0,44
BLIND_18,COLOQUIAL,"Después de manejar como media hora siento que la llanta delantera derecha echa un calor infernal y huele a balata quemada, como si se quedara frenada solita.",Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,Desgaste de pastillas y zapatas de freno,0.9152,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.055,Discos de freno alabeados o desgastados,0.03,FRENOS,0,1,1,N/A,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.5729,1,1,1,1.0,36
BLIND_19,COLOQUIAL,"Paso por cualquier rompemuelle o bache y la cola del carro parece bote en el mar, se queda rebotando cuatro veces arriba y abajo.",Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9814,Limpiaparabrisas o motor pluma quemado,0.033,Llantas desbalanceadas o desalineadas,0.017,SUSPENSION_CHASIS,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.4217,1,1,1,1.0,38
BLIND_20,COLOQUIAL,Ayer lo dejé estacionado bien y hoy en la mañana al querer prender solo sonó un tac tac bien bajito y se apagaron hasta los números del reloj.,Bateria descargada o bornes sulfatados,ELECTRICO,Bateria descargada o bornes sulfatados,0.4143,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.381,Alternador defectuoso o placa de diodos quemada,0.205,ELECTRICO,1,1,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.4095,1,1,1,1.0,36
BLIND_21,AMBIGUO,"Siento que el auto no tiene la misma fuerza de antes, le cuesta levantar velocidad en las avenidas.",Inyectores sucios o filtro de combustible obstruido,MOTOR,Inyectores sucios o filtro de combustible obstruido,0.6942,Bomba de gasolina quemada o con baja presion,0.199,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.107,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE BAJA PRESIÓN EN RIEL DE COMBUSTIBLE (DTC P0087),0.4965,1,1,1,1.0,37
BLIND_22,AMBIGUO,"El carro no quiere encender hoy día en la cochera, le doy a la llave y no prende.",Bateria descargada o bornes sulfatados,ELECTRICO,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.7845,Bateria descargada o bornes sulfatados,0.14,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.075,ELECTRICO,0,1,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.6759,1,1,1,1.0,40
BLIND_23,AMBIGUO,Se siente un golpe seco en la parte de abajo cuando paso por pistas en mal estado.,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9963,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.033,Falla en bujias o bobinas de encendido (misfire),0.017,SUSPENSION_CHASIS,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.403,1,1,1,1.0,36
BLIND_24,AMBIGUO,A veces cuando voy despacio en segunda me da unos jalones suaves pero no pasa siempre.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Consulta fuera del alcance automotriz,0.0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,MOTOR,0,0,1,N/A,,0.0,0,0,0,0.0,2
BLIND_25,AMBIGUO,Hay un zumbido sordo en la parte delantera del vehículo que se nota cuando supero los 40 km/h.,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.5478,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.294,Bomba de gasolina quemada o con baja presion,0.158,SUSPENSION_CHASIS,0,1,1,N/A,PROCEDIMIENTO: MEDICIÓN DE ALABEO CON RELOJ COMPARADOR Y REEMPLAZO DE RODAMIENTO DE MAZA DE RUEDA,0.4015,1,1,1,1.0,35
BLIND_26,AMBIGUO,"Cuando estoy parado en el semáforo siento que el motor no está serenito, vibra un poquito.",Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Consulta Ambigua / Datos Faltantes,0.0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,MOTOR,0,0,1,N/A,,0.0,0,0,1,0.25,0
BLIND_27,AMBIGUO,Noto una vibración molesta adelante pero no estoy seguro si viene de las ruedas o de los frenos.,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Falla electrica del cierre centralizado o actuador de puerta,0.6489,Desgaste de pastillas y zapatas de freno,0.228,Falla en sistema de frenado regenerativo (EV / Hibridos),0.123,CARROCERIA_NEUMATICA,0,0,0,N/A,PROCEDIMIENTO: DIAGNOSTICO Y REPARACION DE CIERRE CENTRALIZADO Y ACTUADOR ELECTRICO DE PUERTA (CARROCERIA_001),0.7841,0,0,0,0.0,34
BLIND_28,AMBIGUO,El carro me está rindiendo muy pocos kilómetros por galón últimamente y huele raro el humo.,Falla en sensor de oxigeno o mezcla rica,MOTOR,Falla en sensor de oxigeno o mezcla rica,0.7493,Consumo de aceite por desgaste de anillos o retenes,0.163,Empaque de culata soplado o danado,0.088,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.5759,1,1,1,1.0,34
BLIND_29,AMBIGUO,Tengo que rellenar el depósito de agua de vez en cuando porque se baja de nivel.,Fuga en mangueras de refrigerante o radiador picado,MOTOR,Consulta fuera del alcance automotriz,0.0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,MOTOR,0,0,1,N/A,,0.0,0,0,0,0.0,1
BLIND_30,AMBIGUO,A veces al subirme al vehículo siento un olor como a combustible pero no veo manchas abajo.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,Empaque de culata soplado o danado,0.5363,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0.301,Falla en sensor de oxigeno o mezcla rica,0.162,MOTOR,0,0,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.3365,0,0,0,0.0,41
BLIND_31,DTC,Escáner OBD-II registra código de avería P0304 de forma permanente. Hay fallo de combustión confirmado en el cilindro 4 bajo aceleración sostenida.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.9737,Cuerpo de aceleracion o valvula IAC sucia,0.033,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.017,MOTOR,0,0,1,P0304,PROCEDIMIENTO: PRUEBA METROLÓGICA DE COMPRESIÓN EN SECO/HÚMEDO Y DIAGNÓSTICO DE FUGA NEUMÁTICA DE CILINDROS (DTC P0300 A P0304),1.0,1,1,1,1.0,40
BLIND_32,DTC,Luz de fallo motor encendida con código P0171 sistema demasiado pobre banco 1. El ajuste a largo plazo LTFT se sitúa en +22% en ralentí.,Falla en sensor de oxigeno o mezcla rica,MOTOR,Falla en sensor de oxigeno o mezcla rica,0.84,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0.104,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.056,MOTOR,1,1,1,P0171,PROCEDIMIENTO: DIAGNÓSTICO DE MEZCLA DEMASIADO POBRE BANCO 1 (DTC P0171),0.8094,1,1,1,1.0,37
BLIND_33,DTC,La memoria de la computadora reporta código DTC P0420 sobre baja eficiencia del convertidor catalítico en banco 1 tras prueba dinámica de gases.,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0.9983,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0.033,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.017,MOTOR,1,1,1,P0420,PROCEDIMIENTO: DIAGNÓSTICO DE CONTRAPRESIÓN DE ESCAPE Y CATALIZADOR TAPONADO (DTC P0420 / P0430 / AUTO AMARRADO EN PISTA),1.0,1,1,1,1.0,37
BLIND_34,DTC,Código DTC P0505 registrado en ECU con ralentí acelerado a 1400 RPM y fluctuaciones erráticas al conectar el aire acondicionado.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.8304,Falla en compresor de aire acondicionado o fuga de gas R134a,0.11,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.059,MOTOR,1,1,1,P0505,PROCEDIMIENTO: DIAGNÓSTICO Y CALIBRACIÓN DE LA VÁLVULA DE RALENTÍ IAC (DTC P0505 / P0506 / P0507),1.0,1,1,1,1.0,37
BLIND_35,DTC,Código DTC P0335 activo en el módulo de motor. Se pierde la señal del sensor de posición de cigüeñal CKP cuando el bloque toma temperatura.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9634,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.033,Falla en bujias o bobinas de encendido (misfire),0.017,MOTOR,1,1,1,P0335,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),1.0,1,1,1,1.0,38
BLIND_36,DTC,Escaneo automotriz arroja código de falla P0128. La temperatura de trabajo del motor no alcanza el umbral de regulación por termostato trabado abierto.,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.9976,Inyectores sucios o filtro de combustible obstruido,0.033,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.017,MOTOR,1,1,1,P0128,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),1.0,1,1,1,1.0,37
BLIND_37,DTC,Se detecta código de falla P0562 tensión de sistema baja. El regulador del alternador no suministra la tensión necesaria con cargas eléctricas activadas.,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9614,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),0.033,Bateria descargada o bornes sulfatados,0.017,ELECTRICO,1,1,1,P0562,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",1.0,1,1,1,1.0,37
BLIND_38,DTC,Módulo electrónico de frenos ABS enciende testigo de avería con código de falla C0040 por circuito abierto en captador de velocidad de rueda.,Falla en sensor de velocidad de rueda ABS,FRENOS,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.9951,Falla en sensor de velocidad de rueda ABS,0.033,Fuga hidraulica o aire en el sistema de frenos,0.017,MOTOR,0,1,0,C0040,PROCEDIMIENTO: PURGADO HIDRÁULICO DE MÓDULO DE CONTROL ABS Y DIAGNÓSTICO DE SENSORES DE RUEDA (DTC C0035 / C0040 / C1101),1.0,1,1,1,1.0,36
BLIND_39,DTC,ECU de transmisión automática almacena código DTC P0730 relación de engranaje incorrecta. La caja patina severamente entre marchas.,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,0.6302,Falta o degradacion de aceite de caja de cambios,0.24,Disco de embrague desgastado o patinando,0.129,TRANSMISION,1,1,1,P0730,PROCEDIMIENTO: MANTENIMIENTO Y CAMBIO DE FLUIDO ATF/CVT EN TRANSMISIÓN AUTOMÁTICA (DTC P0700 / P0730),1.0,1,1,1,1.0,41
BLIND_40,DTC,DTC P0442 registrado por microfuga detectada en el circuito de control de emisiones evaporativas EVAP mediante prueba de vacío de cánister.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.9928,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.033,Falla en servofreno (booster) o linea de vacio,0.017,MOTOR,1,1,1,P0442,PROCEDIMIENTO: DIAGNÓSTICO DE SISTEMA DE EVAPORACIÓN DE EMISIONES (EVAP) Y PURGA DE CÁNISTER (DTC P0440 / P0442 / P0455 / P0456),1.0,1,1,1,1.0,35
BLIND_41,DIFERENCIAL,"A 100 km/h en autopista el timón vibra fuertemente en mis manos, pero al aplicar el pedal de freno la desaceleración es completamente lisa y no vibra para nada.",Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,Llantas desbalanceadas o desalineadas,0.7503,Discos de freno alabeados o desgastados,0.162,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.087,SUSPENSION_CHASIS,1,1,1,N/A,PROCEDIMIENTO: BALANCEO DINÁMICO DE RUEDAS EN EQUILIBRADORA Y ALINEACIÓN LÁSER DE DIRECCIÓN (VIBRACIÓN A VELOCIDAD DE CRUCERO / JALONEO LATERAL),0.2938,1,1,1,1.0,39
BLIND_42,DIFERENCIAL,"Se reemplazaron las bujías por unas nuevas de platino originales, pero el cilindro 2 sigue fallando sin chispa en la bobina individual.",Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.6446,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.231,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.124,MOTOR,1,1,1,N/A,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),0.3432,1,1,1,1.0,38
BLIND_43,DIFERENCIAL,Manejando en quinta a 90 km/h en carretera despejada el motor perdió toda la fuerza y se atrancó de golpe al pisar el acelerador.,Bomba de gasolina quemada o con baja presion,MOTOR,Falla en bujias o bobinas de encendido (misfire),0.3875,Rodajes de caja mecanica o diferencial gastados,0.398,Inyectores sucios o filtro de combustible obstruido,0.214,MOTOR,0,0,1,N/A,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),0.1741,0,0,0,0.0,39
BLIND_44,DIFERENCIAL,"El carro se me apagó rodando en un semáforo y ahora que está completamente detenido le doy arranque y el arrancador no gira absolutamente nada, se quedó mudo.",Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.9924,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.033,Faja o cadena de distribucion destensada o con salto de punto,0.017,ELECTRICO,1,1,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.6758,1,1,1,1.0,45
BLIND_45,DIFERENCIAL,"El pedal de freno se va hasta el fondo con tacto esponjoso al frenar en las esquinas, pero el motor no presenta fugas de vacío y el booster mantiene su retención.",Fuga hidraulica o aire en el sistema de frenos,FRENOS,Discos de freno alabeados o desgastados,0.4969,Falla en servofreno (booster) o linea de vacio,0.327,Fuga hidraulica o aire en el sistema de frenos,0.176,FRENOS,0,1,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",0.4212,1,1,1,1.0,44
