﻿id,tipo_caso,ground_truth,rank_first_hit,hit_1,hit_3,hit_5,mrr,doc_top1,titulo_top1,similitud_top1,diagnostico_ml_correcto,rag_correcto,tipo_discrepancia
STRESS_17,COLOQUIAL,Alternador defectuoso o placa de diodos quemada,1,1,1,1,1.0,RAG_PROC_040,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.7857,1,1,MATCH_AMBOS
STRESS_18,COLOQUIAL,Fuga hidraulica o aire en el sistema de frenos,1,1,1,1,1.0,RAG_PROC_220,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),0.3212,1,1,MATCH_AMBOS
STRESS_19,COLOQUIAL,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),1,1,1,1,1.0,RAG_PROC_014,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),0.4854,1,1,MATCH_AMBOS
STRESS_20,COLOQUIAL,Amortiguadores reventados o bujes de suspension gastados,1,1,1,1,1.0,RAG_PROC_204,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.6466,1,1,MATCH_AMBOS
STRESS_21,AMBIGUO,Falla en termostato o motoventilador de radiador,1,1,1,1,1.0,RAG_PROC_068,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.4741,1,1,MATCH_AMBOS
STRESS_22,AMBIGUO,Bateria descargada o bornes sulfatados,NO_HIT,0,0,0,0.0,RAG_PROC_216,,0.5466,0,0,FAIL_AMBOS
STRESS_23,AMBIGUO,Llantas desbalanceadas o desalineadas,1,1,1,1,1.0,RAG_PROC_201,,0.1865,0,1,ML_FAIL_RAG_OK
STRESS_24,AMBIGUO,Inyectores sucios o filtro de combustible obstruido,NO_HIT,0,0,0,0.0,RAG_PROC_036,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),0.3328,0,0,FAIL_AMBOS
STRESS_25,AMBIGUO,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),NO_HIT,0,0,0,0.0,RAG_PROC_088,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.5526,0,0,FAIL_AMBOS
STRESS_26,AMBIGUO,Consumo de aceite por desgaste de anillos o retenes,2,0,1,1,0.5,RAG_PROC_071,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.3668,1,0,ML_OK_RAG_FAIL
STRESS_27,AMBIGUO,Falta o degradacion de aceite de caja de cambios,1,1,1,1,1.0,RAG_PROC_039,PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),0.3851,1,1,MATCH_AMBOS
STRESS_28,AMBIGUO,Falla en sensor de oxigeno o mezcla rica,1,1,1,1,1.0,RAG_PROC_071,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.6957,1,1,MATCH_AMBOS
STRESS_29,AMBIGUO,Falla en bujias o bobinas de encendido (misfire),NO_HIT,0,0,0,0.0,RAG_PROC_078,"PROCEDIMIENTO: DIAGNÓSTICO DE TURBOALIMENTADOR, ACTUADOR ELECTRÓNICO WASTEGATE Y FUGAS DE PRESIÓN DE AIRE (DTC P0234 / P0299)",0.2455,0,0,FAIL_AMBOS
STRESS_30,AMBIGUO,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),1,1,1,1,1.0,RAG_PROC_075,,0.6475,0,1,ML_FAIL_RAG_OK
STRESS_31,DTC,Falla en bujias o bobinas de encendido (misfire),1,1,1,1,1.0,RAG_PROC_010,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),1.0,1,1,MATCH_AMBOS
STRESS_32,DTC,Falla en sensor de oxigeno o mezcla rica,1,1,1,1,1.0,RAG_PROC_018,PROCEDIMIENTO: DIAGNÓSTICO DE MEZCLA POBRE / RICA Y ANÁLISIS DE DATOS EN VIVO STFT & LTFT (DTC P0171 / P0172),0.8736,0,1,ML_FAIL_RAG_OK
STRESS_33,DTC,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),1,1,1,1,1.0,RAG_PROC_105,PROCEDIMIENTO: DIAGNÓSTICO DE CONTRAPRESIÓN DE ESCAPE Y CATALIZADOR TAPONADO (DTC P0420 / P0430 / AUTO AMARRADO EN PISTA),1.0,1,1,MATCH_AMBOS
STRESS_34,DTC,Cuerpo de aceleracion o valvula IAC sucia,1,1,1,1,1.0,RAG_PROC_057,PROCEDIMIENTO: DIAGNÓSTICO Y CALIBRACIÓN DE CUERPO DE ACELERACIÓN ELECTRÓNICO Y VÁLVULA IAC (DTC P0505 / P2119),1.0,1,1,MATCH_AMBOS
STRESS_35,DTC,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),1,1,1,1,1.0,RAG_PROC_014,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),1.0,1,1,MATCH_AMBOS
STRESS_36,DTC,Falla en termostato o motoventilador de radiador,1,1,1,1,1.0,RAG_PROC_068,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),1.0,1,1,MATCH_AMBOS
STRESS_37,DTC,Alternador defectuoso o placa de diodos quemada,1,1,1,1,1.0,RAG_PROC_040,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",1.0,1,1,MATCH_AMBOS
STRESS_38,DTC,Falla en sensor de velocidad de rueda ABS,1,1,1,1,1.0,RAG_PROC_073,PROCEDIMIENTO: PURGADO HIDRÁULICO DE MÓDULO DE CONTROL ABS Y DIAGNÓSTICO DE SENSORES DE RUEDA (DTC C0035 / C0040 / C1101),1.0,1,1,MATCH_AMBOS
STRESS_39,DTC,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,1,1,1,1,1.0,RAG_PROC_049,PROCEDIMIENTO: MANTENIMIENTO Y CAMBIO DE FLUIDO ATF/CVT EN TRANSMISIÓN AUTOMÁTICA (DTC P0700 / P0730),1.0,1,1,MATCH_AMBOS
STRESS_40,DTC,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),1,1,1,1,1.0,RAG_PROC_075,PROCEDIMIENTO: DIAGNÓSTICO DE SISTEMA DE EVAPORACIÓN DE EMISIONES (EVAP) Y PURGA DE CÁNISTER (DTC P0440 / P0442 / P0455 / P0456),1.0,1,1,MATCH_AMBOS
STRESS_41,DIFERENCIAL,Empaque de culata soplado o danado,1,1,1,1,1.0,RAG_PROC_012,PROCEDIMIENTO: DIAGNÓSTICO DE ENFRIADOR DE ACEITE DE MOTOR Y JUNTA DE CULATA (CONTAMINACIÓN DE REFRIGERANTE / MAYONESA),0.4737,1,1,MATCH_AMBOS
STRESS_42,DIFERENCIAL,Fuga en mangueras de refrigerante o radiador picado,1,1,1,1,1.0,RAG_PROC_222,PROCEDIMIENTO: DIAGNÓSTICO DE FUGA EN SISTEMA DE ENFRIAMIENTO Y PRUEBA DE PRESIÓN DE RADIADOR Y MANGUERAS (DTC P0128),0.4923,1,1,MATCH_AMBOS
STRESS_43,DIFERENCIAL,Falla en sensor de oxigeno o mezcla rica,1,1,1,1,1.0,RAG_PROC_071,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.3261,0,1,ML_FAIL_RAG_OK
STRESS_44,DIFERENCIAL,Llantas desbalanceadas o desalineadas,NO_HIT,0,0,0,0.0,RAG_PROC_123,PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DEL ALABEO DE DISCOS DE FRENO Y VARIACIÓN DE ESPESOR DTV (VIBRACIÓN EN PEDAL / VOLANTE AL FRENAR),0.3638,0,0,FAIL_AMBOS
STRESS_45,DIFERENCIAL,Alternador defectuoso o placa de diodos quemada,1,1,1,1,1.0,RAG_PROC_040,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.7961,1,1,MATCH_AMBOS
STRESS_46,DIFERENCIAL,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),1,1,1,1,1.0,RAG_PROC_014,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),0.5523,1,1,MATCH_AMBOS
STRESS_47,DIFERENCIAL,Falla en bujias o bobinas de encendido (misfire),1,1,1,1,1.0,RAG_PROC_010,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),0.3433,0,1,ML_FAIL_RAG_OK
STRESS_48,DIFERENCIAL,Cuerpo de aceleracion o valvula IAC sucia,1,1,1,1,1.0,RAG_PROC_057,PROCEDIMIENTO: DIAGNÓSTICO Y CALIBRACIÓN DE CUERPO DE ACELERACIÓN ELECTRÓNICO Y VÁLVULA IAC (DTC P0505 / P2119),0.5937,1,1,MATCH_AMBOS
STRESS_49,DIFERENCIAL,Falla en servofreno (booster) o linea de vacio,1,1,1,1,1.0,RAG_PROC_232,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",0.4979,1,1,MATCH_AMBOS
STRESS_50,DIFERENCIAL,Disco de embrague desgastado o patinando,1,1,1,1,1.0,RAG_PROC_203,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.5013,0,1,ML_FAIL_RAG_OK
